Perm: Processing provenance and data on the same data model through query rewriting,Boris Glavic; Gustavo Alonso,Data provenance is information that describes how a given data item was produced. Theprovenance includes source and intermediate data as well as the transformations involvedin producing the concrete data item. In the context of a relational databases; the source andintermediate dataitems are relations; tuples and attribute values. The transformations areSQL queries and/or functions on the relational data items. Existing approaches captureprovenance information by extending the underlying data model. This has the intrinsicdisadvantage that the provenance must be stored and accessed using a different modelthan the actual data. In this paper; we present an alternative approach that uses queryrewriting to annotate result tuples with provenance information. The rewritten query and itsresult use the same model and can; thus; be queried; stored and optimized using …,Data Engineering; 2009. ICDE'09. IEEE 25th International Conference on,2009,113
Data Provenance: A Categorization of Existing Approaches.,Boris Glavic; Klaus R Dittrich,Abstract: In many application areas like e-science and data-warehousing detailedinformation about the origin of data is required. This kind of information is often referred to asdata provenance or data lineage. The provenance of a data item includes information aboutthe processes and source data items that lead to its creation and current representation. Thediversity of data representation models and application domains has lead to a number ofmore or less formal definitions of provenance. Most of them are limited to a specialapplication domain; data representation model or data processing facility. Not surprisingly;the associated implementations are also restricted to some application domain and dependon a special data model. In this paper we give a survey of data provenance models andprototypes; present a general categorization scheme for provenance models and use this …,BTW,2007,87
Big data provenance: Challenges and implications for benchmarking,Boris Glavic,Abstract Data Provenance is information about the origin and creation process of data. Suchinformation is useful for debugging data and transformations; auditing; evaluating the qualityof and trust in data; modelling authenticity; and implementing access control for deriveddata. Provenance has been studied by the database; workflow; and distributed systemscommunities; but provenance for Big Data-which we refer to as Big Provenance-is a largelyunexplored field. This paper reviews existing approaches for large-scale distributedprovenance and discusses potential challenges for Big Data benchmarks that aim toincorporate provenance data/management. Furthermore; we will examine how Big Databenchmarking could benefit from different types of provenance information. We argue thatprovenance can be used for identifying and analyzing performance bottlenecks; to …,*,2014,43
A generic provenance middleware for database queries; updates; and transactions,Bahareh Arab; Dieter Gawlick; Venkatesh Radhakrishnan; Hao Guo; Boris Glavic,Abstract We present an architecture and prototype implementation for a generic provenancedatabase middleware (GProM) that is based on the concept of query rewrites; which areapplied to an algebraic graph representation of database operations. The system supports awide range of provenance types and representations for queries; updates; transactions; andoperations spanning multiple transactions. GProM supports several strategies forprovenance generation; eg; on-demand; rule-based; and “always on”. To the best of ourknowledge; we are the first to present a solution for computing the provenance of concurrentdatabase transactions. Our solution can retroactively trace transaction provenance as longas an audit log and time travel functionality are available (both are supported by mostDBMS). Other noteworthy features of GProM include: extensibility through a declarative …,Proceedings of TaPP,2014,33
Using sql for efficient generation and querying of provenance information,Boris Glavic; Renée J Miller; Gustavo Alonso,Abstract In applications such as data warehousing or data exchange; the ability to efficientlygenerate and query provenance information is crucial to understand the origin of data. In thischapter; we review some of the main contributions of Perm; a DBMS that generates differenttypes of provenance information for complex SQL queries (including nested and correlatedsubqueries and aggregation). The two key ideas behind Perm are representing data and itsprovenance together in a single relation and relying on query rewrites to generate thisrepresentation. Through this; Perm supports fully integrated; on-demand provenancegeneration and querying using SQL. Since Perm rewrites a query requesting provenanceinto a regular SQL query and generates easily optimizable SQL code; its performancegreatly benefits from the query optimization techniques provided by the underlying DBMS.,*,2013,30
The perm provenance management system in action,Boris Glavic; Gustavo Alonso,Abstract In this demonstration we present the Perm provenance management system (PMS).Perm is capable of computing; storing and querying provenance information for therelational data model. Provenance is computed by using query rewriting techniques toannotate tuples with provenance information. Thus; provenance data and provenancecomputations are represented as relational data and queries and; hence; can be queried;stored and optimized using standard relational database techniques. This demo shows thecomplete Perm system and lets attendants examine in detail the process of query rewritingand provenance retrieval in Perm; the most complete data provenance system availabletoday. For example; Perm supports lazy and eager provenance computation; externalprovenance and various contribution semantics.,Proceedings of the 2009 ACM SIGMOD International Conference on Management of data,2009,30
TRAMP: Understanding the behavior of schema mappings through provenance,Boris Glavic; Gustavo Alonso; Renée J Miller; Laura M Haas,Abstract Though partially automated; developing schema mappings remains a complex andpotentially error-prone task. In this paper; we present TRAMP (TRAnsformation MappingProvenance); an extensive suite of tools supporting the debugging and tracing of schemamappings and transformation queries. TRAMP combines and extends data provenance withtwo novel notions; transformation provenance and mapping provenance; to explain therelationship between transformed data and those transformations and mappings thatproduced that data. In addition we provide query support for transformations; data; and allforms of provenance. We formally define transformation and mapping provenance; presentan efficient implementation of both forms of provenance; and evaluate the resulting systemthrough extensive experiments.,Proceedings of the VLDB Endowment,2010,27
Provenance for nested subqueries,Boris Glavic; Gustavo Alonso,Abstract Data provenance is essential in applications such as scientific computing; curateddatabases; and data warehouses. Several systems have been developed that provideprovenance functionality for the relational data model. These systems support only a subsetof SQL; a severe limitation in practice since most of the application domains that benefit fromprovenance information use complex queries. Such queries typically involve nestedsubqueries; aggregation and/or user defined functions. Without support for these constructs;a provenance management system is of limited use. In this paper we address this limitationby exploring the problem of provenance derivation when complex queries are involved.More precisely; we demonstrate that the widely used definition of Why-provenance fails inthe presence of nested subqueries; and show how the definition can be modified to …,Proceedings of the 12th International Conference on Extending Database Technology: Advances in Database Technology,2009,25
Clustering multidimensional sequences in spatial and temporal databases,Ira Assent; Ralph Krieger; Boris Glavic; Thomas Seidl,Abstract Many environmental; scientific; technical or medical database applications requireeffective and efficient mining of time series; sequences or trajectories of measurementstaken at different time points and positions forming large temporal or spatial databases.Particularly the analysis of concurrent and multidimensional sequences poses newchallenges in finding clusters of arbitrary length and varying number of attributes. Wepresent a novel algorithm capable of finding parallel clusters in different subspaces anddemonstrate our results for temporal and spatial applications. Our analysis of structuralquality parameters in rivers is successfully used by hydrologists to develop measures forriver quality improvements.,Knowledge and Information Systems,2008,20
Perm: Efficient provenance support for relational databases,Boris Glavic,Abstract In many application areas like scientific computing; data-warehousing; and dataintegration detailed information about the origin of data is required. This kind of informationis often referred to as data provenance. The provenance of a piece of data; a so-called dataitem; includes information about the source data from which it is derived and thetransformations that lead to its creation and current representation. In the context ofrelational databases; provenance has been studied both from a theoretical and algorithmicperspective. Yet; in spite of the advances made; there are very few practical systemsavailable that support generating; querying and storing provenance information (We refer tosuch systems as provenance management systems or PMS). These systems support only asubset of SQL; a severe limitation in practice since most of the application domains that …,*,2010,19
