Shared memory parallelization of data mining algorithms: Techniques; programming interface; and performance,Ruoming Jin; Ge Yang; Gagan Agrawal,With recent technological advances; shared memory parallel machines have become morescalable; and offer large main memories and high bus bandwidths. They are emerging asgood platforms for data warehousing and data mining. In This work; we focus on sharedmemory parallelization of data mining algorithms. We have developed a series oftechniques for parallelization of data mining algorithms; including full replication; full locking;fixed locking; optimized full locking; and cache-sensitive locking. Unlike previous work onshared memory parallelization of specific data mining algorithms; all of our techniques applyto a large number of popular data mining algorithms. In addition; we propose a reduction-object-based interface for specifying a data mining algorithm. We show how our runtimesystem can apply any of the techniques we have developed starting from a common …,IEEE Transactions on Knowledge and Data Engineering,2005,208
3-hop: a high-compression indexing scheme for reachability query,Ruoming Jin; Yang Xiang; Ning Ruan; David Fuhry,Abstract Reachability queries on large directed graphs have attracted much attentionrecently. The existing work either uses spanning structures; such as chains or trees; tocompress the complete transitive closure; or utilizes the 2-hop strategy to describe thereachability. Almost all of these approaches work well for very sparse graphs. However; thechallenging problem is that as the ratio of the number of edges to the number of verticesincreases; the size of the compressed transitive closure grows very large. In this paper; wepropose a new 3-hop indexing scheme for directed graphs with higher density. The basicidea of 3-hop indexing is to use chain structures in combination with hops to minimize thenumber of structures that must be indexed. Technically; our goal is to find a 3-hop schemeover dense DAGs (directed acyclic graphs) with minimum index size. We develop an …,Proceedings of the 2009 ACM SIGMOD International Conference on Management of data,2009,186
Efficient decision tree construction on streaming data,Ruoming Jin; Gagan Agrawal,Abstract Decision tree construction is a well studied problem in data mining. Recently; therehas been much interest in mining streaming data. Domingos and Hulten have presented aone-pass algorithm for decision tree construction. Their work uses Hoeffding inequality toachieve a probabilistic bound on the accuracy of the tree constructed. In this paper; werevisit this problem. We make the following two contributions: 1) We present a numericalinterval pruning (NIP) approach for efficiently processing numerical attributes. Our resultsshow an average of 39% reduction in execution times. 2) We exploit the properties of thegain function entropy (and gini) to reduce the sample size required for obtaining a givenbound on the accuracy. Our experimental results show a 37% reduction in the number ofdata instances required.,Proceedings of the ninth ACM SIGKDD international conference on Knowledge discovery and data mining,2003,185
Efficiently answering reachability queries on very large directed graphs,Ruoming Jin; Yang Xiang; Ning Ruan; Haixun Wang,Abstract Efficiently processing queries against very large graphs is an important researchtopic largely driven by emerging real world applications; as diverse as XML databases; GIS;web mining; social network analysis; ontologies; and bioinformatics. In particular; graphreachability has attracted a lot of research attention as reachability queries are not onlycommon on graph databases; but they also serve as fundamental operations for many othergraph queries. The main idea behind answering reachability queries in graphs is to buildindices based on reachability labels. Essentially; each vertex in the graph is assigned withcertain labels such that the reachability between any two vertices can be determined by theirlabels. Several approaches have been proposed for building these reachability labels;among them are interval labeling (tree cover) and 2-hop labeling. However; due to the …,Proceedings of the 2008 ACM SIGMOD international conference on Management of data,2008,161
A topic modeling approach and its integration into the random walk framework for academic search,Jie Tang; Ruoming Jin; Jing Zhang,In this paper; we propose a unified topic modeling approach and its integration into therandom walk framework for academic search. Specifically; we present a topic model forsimultaneously modeling papers; authors; and publication venues. We combine theproposed topic model into the random walk framework. Experimental results show that ourproposed approach for academic search significantly outperforms the baseline methods ofusing BM25 and language model; and those of using the existing topic models (includingpLSI; LDA; and the AT model).,Data Mining; 2008. ICDM'08. Eighth IEEE International Conference on,2008,134
An algorithm for in-core frequent itemset mining on streaming data,Ruoming Jin; Gagan Agrawal,Frequent item set mining is a core data mining operation and has been extensively studiedover the last decade. This paper takes a new approach for this problem and makes twomajor contributions. First; we present a one pass algorithm for frequent item set mining;which has deterministic bounds on the accuracy; and does not require any out-of-coresummary structure. Second; because our one pass algorithm does not produce any falsenegatives; it can be easily extended to a two pass accurate algorithm. Our two passalgorithm is very memory efficient; and allows mining of datasets with large number ofdistinct items and/or very low support levels. Our detailed experimental evaluation onsynthetic and real datasets shows the following. First; our one pass algorithm is veryaccurate in practice. Second; our algorithm requires significantly lower memory than …,Data Mining; Fifth IEEE International Conference on,2005,134
Distance-constraint reachability computation in uncertain graphs,Ruoming Jin; Lin Liu; Bolin Ding; Haixun Wang,Abstract Driven by the emerging network applications; querying and mining uncertaingraphs has become increasingly important. In this paper; we investigate a fundamentalproblem concerning uncertain graphs; which we call the distance-constraint reachability(DCR) problem: Given two vertices s and t; what is the probability that the distance from s to tis less than or equal to a user-defined threshold d in the uncertain graph? Since thisproblem is# P-Complete; we focus on efficiently and accurately approximating DCR online.Our main results include two new estimators for the probabilistic reachability. One is aHorvitz-Thomson type estimator based on the unequal probabilistic sampling scheme; andthe other is a novel recursive sampling estimator; which effectively combines a deterministicrecursive computational procedure with a sampling process to boost the estimation …,Proceedings of the VLDB Endowment,2011,121
A survey of algorithms for dense subgraph discovery,Victor E Lee; Ning Ruan; Ruoming Jin; Charu Aggarwal,Abstract In this chapter; we present a survey of algorithms for dense subgraph discovery.The problem of dense subgraph discovery is closely related to clustering though the twoproblems also have a number of differences. For example; the problem of clustering islargely concerned with that of finding a fixed partition in the data; whereas the problem ofdense subgraph discovery defines these dense components in a much more flexible way.The problem of dense subgraph discovery may wither be defined over single or multiplegraphs. We explore both cases. In the latter case; the problem is also closely related to theproblem of the frequent subgraph discovery. This chapter will discuss and organize theliterature on this topic effectively in order to make it much more accessible to the reader.,*,2010,116
Fast and exact out-of-core and distributed k-means clustering,Ruoming Jin; Anjan Goswami; Gagan Agrawal,Abstract Clustering has been one of the most widely studied topics in data mining and k-means clustering has been one of the popular clustering algorithms. K-means requiresseveral passes on the entire dataset; which can make it very expensive for large disk-resident datasets. In view of this; a lot of work has been done on various approximateversions of k-means; which require only one or a small number of passes on the entiredataset. In this paper; we present a new algorithm; called fast and exact k-means clustering(FEKM); which typically requires only one or a small number of passes on the entire datasetand provably produces the same cluster centres as reported by the original k-meansalgorithm. The algorithm uses sampling to create initial cluster centres and then takes one ormore passes over the entire dataset to adjust these cluster centres. We provide …,Knowledge and Information Systems,2006,103
Communication and memory optimal parallel data cube construction,Ruoming Jin; Karthikeyan Vaidyanathan; Ge Yang; Gagan Agrawal,Data cube construction is a commonly used operation in data warehouses. Because of thevolume of data that is stored and analyzed in a data warehouse and the amount ofcomputation involved in data cube construction; it is natural to consider parallel machines forthis operation. This paper addresses a number of algorithmic issues in parallel data cubeconstruction. First; we present an aggregation tree for sequential (and parallel) data cubeconstruction; which has minimally bounded memory requirements. An aggregation tree isparameterized by the ordering of dimensions. We present a parallel algorithm based uponthe aggregation tree. We analyze the interprocessor communication volume and construct aclosed form expression for it. We prove that the same ordering of the dimensions in theaggregation tree minimizes both the computational and communication requirements. We …,IEEE Transactions on Parallel and Distributed Systems,2005,101
