A survey of large-scale analytical query processing in MapReduce,Christos Doulkeridis; Kjetil Nørvåg,Abstract Enterprises today acquire vast volumes of data from different sources and leveragethis information by means of data analysis to support effective decision-making and providenew functionality and services. The key requirement of data analytics is scalability; simplydue to the immense volume of data that need to be extracted; processed; and analyzed in atimely fashion. Arguably the most popular framework for contemporary large-scale dataanalytics is MapReduce; mainly due to its salient features that include scalability; fault-tolerance; ease of programming; and flexibility. However; despite its merits; MapReduce hasevident performance limitations in miscellaneous analytical tasks; and this has given rise toa significant body of research that aim at improving its efficiency; while maintaining itsdesirable properties. This survey aims to review the state of the art in improving the …,The VLDB Journal,2014,180
Efficient processing of top-k spatial keyword queries,João B Rocha-Junior; Orestis Gkorgkas; Simon Jonassen; Kjetil Nørvåg,Abstract Given a spatial location and a set of keywords; a top-k spatial keyword queryreturns the k best spatio-textual objects ranked according to their proximity to the querylocation and relevance to the query keywords. There are many applications handling hugeamounts of geotagged data; such as Twitter and Flickr; that can benefit from this query.Unfortunately; the state-of-the-art approaches require non-negligible processing cost thatincurs in long response time. In this paper; we propose a novel index to improve theperformance of top-k spatial keyword queries named Spatial Inverted Index (S2I). Our indexmaps each distinct term to a set of objects containing the term. The objects are storeddifferently according to the document frequency of the term and can be retrieved efficiently indecreasing order of keyword relevance and spatial proximity. Moreover; we present …,International Symposium on Spatial and Temporal Databases,2011,163
Reverse top-k queries,Akrivi Vlachou; Christos Doulkeridis; Yannis Kotidis; Kjetil Nørvåg,Rank-aware query processing has become essential for many applications that return to theuser only the top-k objects based on the individual user's preferences. Top-k queries havebeen mainly studied from the perspective of the user; focusing primarily on efficient queryprocessing. In this work; for the first time; we study top-k queries from the perspective of theproduct manufacturer. Given a potential product; which are the user preferences for whichthis product is in the top-k query result set? We identify a novel query type; namely reversetop-k query; that is essential for manufacturers to assess the potential market and impact oftheir products based on the competition. We formally define reverse top-k queries andintroduce two versions of the query; namely monochromatic and bichromatic. We firstprovide a geometric interpretation of the monochromatic reverse top-k query in the …,Data Engineering (ICDE); 2010 IEEE 26th International Conference on,2010,125
On efficient top-k query processing in highly distributed environments,Akrivi Vlachou; Christos Doulkeridis; Kjetil Nørvåg; Michalis Vazirgiannis,Abstract Lately the advances in centralized database management systems show a trendtowards supporting rank-aware query operators; like top-k; that enable users to retrieve onlythe most interesting data objects. A challenging problem is to support rank-aware queries inhighly distributed environments. In this paper; we present a novel approach; calledSPEERTO; for top-k query processing in large-scale peer-to-peer networks; where thedataset is horizontally distributed over the peers. Towards this goal; we explore theapplicability of the skyline operator for efficiently routing top-k queries in a large super-peernetwork. Relying on a thresholding scheme; SPEERTO returns the exact resultsprogressively to the user; while the number of queried super-peers and transferred data isminimized. Finally; we propose different variations of SPEERTO that allow balancing …,Proceedings of the 2008 ACM SIGMOD international conference on Management of data,2008,98
Determining time of queries for re-ranking search results,Nattiya Kanhabua; Kjetil Nørvåg,Abstract Recent work on analyzing query logs shows that a significant fraction of queries aretemporal; ie; relevancy is dependent on time; and temporal queries play an important role inmany domains; eg; digital libraries and document archives. Temporal queries can bedivided into two types: 1) those with temporal criteria explicitly provided by users; and 2)those with no temporal criteria provided. In this paper; we deal with the latter type of queries;ie; queries that comprise only keywords; and their relevant documents are associated toparticular time periods not given by the queries. We propose a number of methods todetermine the time of queries using temporal language models. After that; we show how toincrease the retrieval effectiveness by using the determined time of queries to re-rank thesearch results. Through extensive experiments we show that our proposed approaches …,International Conference on Theory and Practice of Digital Libraries,2010,96
Top-k spatial keyword queries on road networks,João B Rocha-Junior; Kjetil Nørvåg,Abstract With the popularization of GPS-enabled devices there is an increasing interest forlocation-based queries. In this context; one interesting problem is processing top-k spatialkeyword queries. Given a set of objects with a textual description (eg; menu of a restaurant);a query location (latitude and longitude); and a set of query keywords; a top-k spatialkeyword query returns the k best objects ranked in terms of both distance to the querylocation and textual relevance to the query keywords. So far; the research on this problemhas assumed Euclidean space. In order to process such queries efficiently; spatio-textualindexes combining R-trees and inverted files are employed. However; for most realapplications; the distance between the objects and query location is constrained by a roadnetwork (shortest path) and cannot be computed efficiently using R-trees. In this paper …,Proceedings of the 15th international conference on extending database technology,2012,84
DESENT: Decentralized and distributed semantic overlay generation in P2P networks,Christos Doulkeridis; Kjetil Norvag; Michalis Vazirgiannis,The current approach in web searching; ie; using centralized search engines; rises issuesthat question their future applicability: 1) coverage and scalability; 2) freshness; and 3)information monopoly. Performing web search using a P2P architecture that consists of theactual web servers has the potential to tackle those issues. In order to achieve the desiredperformance and scalability; as well as enhancing search quality relative to centralizedsearch engines; semantic overlay networks (SONS) connecting peers storing semanticallyrelated information can be employed. The lack of global content/topology knowledge in aP2P system is the key challenge in forming SONS; and this paper describes anunsupervised approach for decentralized and distributed generation of SONS (DESENT).Through simulations and analytical cost models we verify our claims regarding …,IEEE Journal on Selected Areas in Communications,2007,82
Efficient processing of top-k spatial preference queries,João B Rocha-Junior; Akrivi Vlachou; Christos Doulkeridis; Kjetil Nørvåg,Abstract Top-k spatial preference queries return a ranked set of the k best data objectsbased on the scores of feature objects in their spatial neighborhood. Despite the wide rangeof location-based applications that rely on spatial preference queries; existing algorithmsincur non-negligible processing cost resulting in high response time. The reason is thatcomputing the score of a data object requires examining its spatial neighborhood to find thefeature object with highest score. In this paper; we propose a novel technique to speed upthe performance of top-k spatial preference queries. To this end; we propose a mapping ofpairs of data and feature objects to a distance-score space; which in turn allows us to identifyand materialize the minimal subset of pairs that is sufficient to answer any spatial preferencequery. Furthermore; we present a novel algorithm that improves query processing …,Proceedings of the VLDB Endowment,2010,59
Monochromatic and bichromatic reverse top-k queries,Akrivi Vlachou; Christos Doulkeridis; Yannis Kotidis; Kjetil Norvag,Nowadays; most applications return to the user a limited set of ranked results based on theindividual user's preferences; which are commonly expressed through top-k queries. Fromthe perspective of a manufacturer; it is imperative that her products appear in the highestranked positions for many different user preferences; otherwise the product is not visible topotential customers. In this paper; we define a novel query type; namely the reverse top-kquery; that covers this requirement:“Given a potential product; which are the userpreferences that make this product belong to the top-k query result set?.” Reverse top-kqueries are essential for manufacturers to assess the impact of their products in the marketbased on the competition. We formally define reverse top-k queries and introduce twoversions of the query; monochromatic and bichromatic. First; we provide a geometric …,IEEE Transactions on Knowledge and Data Engineering,2011,57
Improving temporal language models for determining time of non-timestamped documents,Nattiya Kanhabua; Kjetil Nørvåg,Abstract Taking the temporal dimension into account in searching; ie; using time of contentcreation as part of the search condition; is now gaining increasingly interest. However; in thecase of web search and web warehousing; the timestamps (time of creation or creation ofcontents) of web pages and documents found on the web are in general not known or cannot be trusted; and must be determined otherwise. In this paper; we describe approachesthat enhance and increase the quality of existing techniques for determining timestampsbased on a temporal language model. Through a number of experiments on temporaldocument collections we show how our new methods improve the accuracy of timestampingcompared to the previous models.,International Conference on Theory and Practice of Digital Libraries,2008,57
