Denial of service attacks in wireless networks: The case of jammers,Konstantinos Pelechrinis; Marios Iliofotou; Srikanth V Krishnamurthy,The shared nature of the medium in wireless networks makes it easy for an adversary tolaunch a Wireless Denial of Service (WDoS) attack. Recent studies; demonstrate that suchattacks can be very easily accomplished using off-the-shelf equipment. To give a simpleexample; a malicious node can continually transmit a radio signal in order to block anylegitimate access to the medium and/or interfere with reception. This act is called jammingand the malicious nodes are referred to as jammers. Jamming techniques vary from simpleones based on the continual transmission of interference signals; to more sophisticatedattacks that aim at exploiting vulnerabilities of the particular protocol used. In this survey; wepresent a detailed up-to-date discussion on the jamming attacks recorded in the literature.We also describe various techniques proposed for detecting the presence of jammers …,IEEE Communications surveys & tutorials,2011,374
Lightweight jammer localization in wireless networks: System design and implementation,Konstantinos Pelechrinis; Iordanis Koutsopoulos; Ioannis Broustis; Srikanth V Krishnamurthy,Jamming attacks have become prevalent during the last few years; due to the shared natureand the open access to the wireless medium. Finding the location of a jamming device is ofgreat importance for restoring normal network operations. After detecting the malicious nodewe want to find its position; in order for further security actions to be taken. Our goal in thispaper is the design and implementation of a simple; lightweight and generic localizationalgorithm. Our scheme is based on the principles of the gradient descent minimizationalgorithm. The key observation is that the packet delivery ratio (PDR) has lower values aswe move closer to the jammer. Hence; the use of a gradient-based scheme; operating on thediscrete plane of the network topology; can help locate the jamming device. Thecontributions of our work are the following:(a) we demonstrate; through analysis and …,Global Telecommunications Conference; 2009. GLOBECOM 2009. IEEE,2009,70
Experimental characterization of 802.11 n link quality at high rates,Konstantinos Pelechrinis; Theodoros Salonidis; Henrik Lundgren; Nitin Vaidya,Abstract 802.11 n has made a quantum leap over legacy 802.11 systems by supportingextremely higher transmission rates at the physical layer. In this paper; we ask whether suchhigh rates translate to high quality links in a real deployment. Our experimental investigationin an indoor wireless testbed reveals that the highest transmission rates advertised by the802.11 n standard typically produce losses (or even outages) even in interference-freeenvironments. Such losses become more acute and persist at high SNR values; even at lowinterference intensity. We find that these problems are partly due to bad configurations thatdo not allow exploitation of spatial diversity; partly due to the wider 802.11 n channels thatexpose these sensitive high rates to more interference. We show that these problems can bealleviated using the 802.11 n MAC layer enhancements jointly with packet size …,Proceedings of the fifth ACM international workshop on Wireless network testbeds; experimental evaluation and characterization,2010,61
Data mining techniques for (network) intrusion detection systems,Theodoros Lappas; Konstantinos Pelechrinis,Abstract—In Information Security; intrusion detection is the act of detecting actions thatattempt to compromise the confidentiality; integrity or availability of a resource. Intrusiondetection does not; in general; include prevention of intrusions. In this paper; we are mostlyfocused on data mining techniques that are being used for such purposes. We debate on theadvantages and disadvantages of these techniques. Finally we present a new idea on howdata mining can aid IDSs.,Department of Computer Science and Engineering UC Riverside; Riverside CA,2007,49
Auto-configuration of 802.11 n WLANs,Mustafa Y Arslan; Konstantinos Pelechrinis; Ioannis Broustis; Srikanth V Krishnamurthy; Sateesh Addepalli; Konstantina Papagiannaki,Abstract Channel Bonding (CB) combines two adjacent frequency bands to form a new;wider band to facilitate high data rate transmissions in MIMO-based 802.11 n networks.However; the use of a wider band with CB can exacerbate interference effects. Furthermore;CB does not always provide benefits in interference-free settings; and can even degradeperformance in some cases. We conduct an in-depth; experimental study to understand theimplications of CB. Based on this study we design an auto-configuration framework;ACORN; for enterprise 802.11 n WLANs. ACORN integrates the functions of userassociation and channel allocation; since our study reveals that they are tightly coupledwhen CB is used. We show that the channel allocation problem with the constraints of CB isNP-complete. Thus; ACORN uses an algorithm that provides a worst case approximation …,Proceedings of the 6th International COnference,2010,47
Detecting selfish exploitation of carrier sensing in 802.11 networks,Konstantinos Pelechrinis; Guanhua Yan; Stephan Eidenbenz; Srikanth V Krishnamurthy,Recently; tuning the clear channel assessment (CCA) threshold in conjunction with powercontrol has been considered for improving the performance of Wireless LANs. However;CCA tuning can be exploited by selfish nodes in order to obtain an unfair share of theavailable bandwidth. In particular; by increasing the CCA threshold; a selfish client canmanipulate the carrier sensing mechanism to ignore the presence of other transmissions onthe medium; consequently; it increases the probability of accessing the medium andtherefore obtains a higher; unfair share of the available bandwidth. In this paper; we proposea novel approach to detect this misbehavior in WLANs. A key insight that leads to ourapproach is that a misbehaving node that has increased its CCA is unlikely to recognize lowpower receptions as legitimate packets; by intelligently sending low power probe …,INFOCOM 2009; IEEE,2009,46
Ares: an anti-jamming reinforcement system for 802.11 networks,Konstantinos Pelechrinis; Ioannis Broustis; Srikanth V Krishnamurthy; Christos Gkantsidis,Abstract Dense; unmanaged 802.11 deployments tempt saboteurs into launching jammingattacks by injecting malicious interference. Nowadays; jammers can be portable devices thattransmit intermittently at low power in order to conserve energy. In this paper; we firstconduct extensive experiments on an indoor 802.11 network to assess the ability of twophysical layer functions; rate adaptation and power control; in mitigating jamming. In thepresence of a jammer we find that:(a) the use of popular rate adaptation algorithms cansignificantly degrade network performance and;(b) appropriate tuning of the carrier sensingthreshold allows a transmitter to send packets even when being jammed and enables areceiver capture the desired signal. Based on our findings; we build ARES; an Anti-jammingREinforcement System; which tunes the parameters of rate adaptation and power control …,Proceedings of the 5th international conference on Emerging networking experiments and technologies,2009,44
Data fusion algorithms for network anomaly detection: classification and evaluation,Vasilis Chatzigiannakis; Georgios Androulidakis; K Pelechrinis; Symeon Papavassiliou; Vasilis Maglaris,In this paper; the problem of discovering anomalies in a large-scale network based on thedata fusion of heterogeneous monitors is considered. We present a classification of anomalydetection algorithms based on data fusion; and motivated by this classification; theoperational principles and characteristics of two different representative approaches; onebased on the Demster-Shafer theory of evidence and one based on principal componentanalysis; are described. The detection effectiveness of these strategies are evaluated andcompared under different attack scenarios; based on both real data and simulations. Ourstudy and corresponding numerical results revealed that in principle the conditions underwhich they operate efficiently are complementary; and therefore could be used effectively inan integrated way to detect a wider range of attacks..,Networking and Services; 2007. ICNS. Third International Conference on,2007,44
Downlink capacity of hybrid cellular ad hoc networks,Lap Kong Law; Konstantinos Pelechrinis; Srikanth V Krishnamurthy; Michalis Faloutsos,Abstract Augmenting cellular networks with shorter multihop wireless links that carry trafficto/from a base station can be expected to facilitate higher rates and improved spatial reuse;therefore potentially yielding increased wireless capacity. The resulting network is referredto as a hybrid network. However; while this approach can result in shorter range higher ratelinks and improved spatial reuse; which together favor a capacity increase; it relies onmultihop forwarding; which is detrimental to the overall capacity. In this paper; our objectiveis to evaluate the impact of these conflicting factors on the overall capacity of the hybridnetwork. We formally define the capacity of the network as the maximum possible downlinkthroughput under the constraint of max-min fairness. We analytically compute the capacity ofboth one-and two-dimensional hybrid networks with regular placement of base stations …,IEEE/ACM Transactions on Networking (TON),2010,41
Topology control for effective interference cancellation in multiuser MIMO networks,Ece Gelal; Jianxia Ning; Konstantinos Pelechrinis; Tae-Suk Kim; Ioannis Broustis; Srikanth V Krishnamurthy; Bhaskar D Rao,Abstract In multiuser multiple-input-multiple-output (MIMO) networks; receivers decodemultiple concurrent signals using successive interference cancellation (SIC). With SIC; aweak target signal can be deciphered in the presence of stronger interfering signals.However; this is only feasible if each strong interfering signal satisfies a signal-to-noise-plus-interference ratio (SINR) requirement. This necessitates the appropriate selection of asubset of links that can be concurrently active in each receiver's neighborhood; in otherwords; a subtopology consisting of links that can be simultaneously active in the network isto be formed. If the selected subtopologies are of small size; the delay between thetransmission opportunities on a link increases. Thus; care should be taken to form a limitednumber of subtopologies. We find that the problem of constructing the minimum number …,IEEE/ACM Transactions on Networking (TON),2013,40
