Efficient filtering of XML documents with XPath expressions,C-Y Chan; Pascal Felber; Minos Garofalakis; Rajeev Rastogi,Abstract The publish/subscribe paradigm is a popular model for allowing publishers (ie; datagenerators) to selectively disseminate data to a large number of widely dispersedsubscribers (ie; data consumers) who have registered their interest in specific informationitems. Early publish/subscribe systems have typically relied on simple subscriptionmechanisms; such as keyword or” bag of words” matching; or simple comparison predicateson attribute values. The emergence of XML as a standard for information exchange on theInternet has led to an increased interest in using more expressive subscription mechanisms(eg; based on XPath expressions) that exploit both the structure and the content of publishedXML documents. Given the increased complexity of these new data-filtering mechanisms;the problem of effectively identifying the subscription profiles that match an incoming XML …,The VLDB Journal—The International Journal on Very Large Data Bases,2002,565
Bitmap index design and evaluation,Chee-Yong Chan; Yannis E Ioannidis,Abstract Bitmap indexing has been touted as a promising approach for processing complexadhoc queries in read-mostly environments; like those of decision support systems.Nevertheless; only few possible bitmap schemes have been proposed in the past and verylittle is known about the space-time tradeoff that they offer. In this paper; we present ageneral framework to study the design space of bitmap indexes for selection queries andexamine the disk-space and time characteristics that the various alternative index choicesoffer. In particular; we draw a parallel between bitmap indexing and number representationin different number systems; and define a space of two orthogonal dimensions that capturesa wide array of bitmap indexes; both old and new. Within that space; we identify (analyticallyor experimentally) the following interesting points:(1) the time-optimal bitmap index;(2) the …,ACM SIGMOD Record,1998,483
Finding k-dominant skylines in high dimensional space,Chee-Yong Chan; HV Jagadish; Kian-Lee Tan; Anthony KH Tung; Zhenjie Zhang,Abstract Given a d-dimensional data set; a point p dominates another point q if it is betterthan or equal to q in all dimensions and better than q in at least one dimension. A point is askyline point if there does not exists any point that can dominate it. Skyline queries; whichreturn skyline points; are useful in many decision making applications. Unfortunately; as thenumber of dimensions increases; the chance of one point dominating another point is verylow. As such; the number of skyline points become too numerous to offer any interestinginsights. To find more important and meaningful skyline points in high dimensional space;we propose a new concept; called k-dominant skyline which relaxes the idea of dominanceto k-dominance. A point p is said to k-dominate another point q if there are k≤ d dimensionsin which p is better than or equal to q and is better in at least one of these k dimensions. A …,Proceedings of the 2006 ACM SIGMOD international conference on Management of data,2006,433
From region encoding to extended dewey: On efficient processing of XML twig pattern matching,Jiaheng Lu; Tok Wang Ling; Chee-Yong Chan; Ting Chen,Abstract Finding all the occurrences of a twig pattern in an XML database is a core operationfor efficient evaluation of XML queries. A number of algorithms have been proposed toprocess a twig query based on region encoding labeling scheme. While region encodingsupports efficient determination of structural relationship between two elements; we observethat the information within a single label is very limited. In this paper; we propose a newlabeling scheme; called extended Dewey. This is a powerful labeling scheme; since from thelabel of an element alone; we can derive all the elements names along the path from theroot to the element. Based on extended Dewey; we design a novel holistic twig joinalgorithm; called TJFast. Unlike all previous algorithms based on region encoding; toanswer a twig query; TJFast only needs to access the labels of the leaf query nodes …,Proceedings of the 31st international conference on Very large data bases,2005,379
Secure XML querying with security views,Wenfei Fan; Chee-Yong Chan; Minos Garofalakis,Abstract The prevalent use of XML highlights the need for a generic; flexible access-controlmechanism for XML documents that supports efficient and secure query access; withoutrevealing sensitive information unauthorized users. This paper introduces a novel paradigmfor specifying XML security constraints and investigates the enforcement of such constraintsduring XML query evaluation. Our approach is based on the novel concept of security views;which provide for each user group (a) an XML view consisting of all and only the informationthat the users are authorized to access; and (b) a view DTD that the XML view conforms to.Security views effectively protect sensitive data from access and potential inferences byunauthorized user; and provide authorized users with necessary schema information tofacilitate effective query formulation and optimization. We propose an efficient algorithm …,Proceedings of the 2004 ACM SIGMOD international conference on Management of data,2004,344
On high dimensional skylines,Chee-Yong Chan; HV Jagadish; Kian-Lee Tan; Anthony KH Tung; Zhenjie Zhang,Abstract In many decision-making applications; the skyline query is frequently used to find aset of dominating data points (called skyline points) in a multi-dimensional dataset. In a high-dimensional space skyline points no longer offer any interesting insights as there are toomany of them. In this paper; we introduce a novel metric; called skyline frequency thatcompares and ranks the interestingness of data points based on how often they are returnedin the skyline when different number of dimensions (ie; subspaces) are considered.Intuitively; a point with a high skyline frequency is more interesting as it can be dominated onfewer combinations of the dimensions. Thus; the problem becomes one of finding top-kfrequent skyline points. But the algorithms thus far proposed for skyline computation typicallydo not scale well with dimensionality. Moreover; frequent skyline computation requires …,International Conference on Extending Database Technology,2006,261
Multiway slca-based keyword search in xml data,Chong Sun; Chee-Yong Chan; Amit K Goenka,Abstract Keyword search for smallest lowest common ancestors (SLCAs) in XML data hasrecently been proposed as a meaningful way to identify interesting data nodes inXML datawhere their subtrees contain an input set of keywords. In this paper; we generalize thisuseful search paradigm to support keyword search beyond the traditional AND semantics toinclude both AND and OR boolean operators as well. We first analyze properties of the LCAcomputation and propose improved algorithms to solve the traditional keyword searchproblem (with only AND semantics). We then extend our approach to handle generalkeyword search involving combinations of AND and OR boolean operators. Theeffectiveness of our new algorithms is demonstrated with a comprehensive experimentalperformance study.,Proceedings of the 16th international conference on World Wide Web,2007,243
An efficient bitmap encoding scheme for selection queries,Chee-Yong Chan; Yannis E Ioannidis,Abstract Bitmap indexes are useful in processing complex queries in decision supportsystems; and they have been implemented in several commercial database systems. A keydesign parameter for bitmap indexes is the encoding scheme; which determines the bits thatare set to 1 in each bitmap in an index. While the relative performance of the two existingbitmap encoding schemes for simple selection queries of the form “v 1≤ A≤ v 2” is known(specifically; one of the encoding schemes is better for processing equality queries; ie; v 1= v2; while the other is better for processing range queries; ie; v 1< v 2); it remains an openquestion whether these two encoding schemes are indeed optimal for their respective queryclasses in the sense that there is no other encoding scheme with better space-time tradeoff.In this paper; we establish a number of optimality results for the existing encoding …,ACM SIGMOD Record,1999,243
System and method for filtering XML documents with XPath expressions,*,A system for; and method of; filtering an XML document with XPath expressions and aselective data dissemination system incorporating the system or the method. In oneembodiment; the filtering system includes:(1) a tree builder that builds a document data treefor the XML document and an XPath expression tree based on substrings in the XPathexpressions and (2) a tree prober; associated with the tree builder; that employs the XPathexpression tree to probe the document data tree and obtain matches with the substrings.,*,2004,207
Stratified computation of skylines with partially-ordered domains,Chee-Yong Chan; Pin-Kwang Eng; Kian-Lee Tan,Abstract In this paper; we study the evaluation of skyline queries with partially-orderedattributes. Because such attributes lack a total ordering; traditional index-based evaluationalgorithms (eg; NN and BBS) that are designed for totally-ordered attributes can no longerprune the space as effectively. Our solution is to transform each partially-ordered attributeinto a two-integer domain that allows us to exploit index-based algorithms to computeskyline queries on the transformed space. Based on this framework; we propose three novelalgorithms: BBS+ is a straightforward adaptation of BBS using the framework; and SDC(Stratification by Dominance Classification) and SDC+ are optimized to handle falsepositives and support progressive evaluation. Both SDC and SDC+ exploit a dominancerelationship to organize the data into strata. While SDC generates its strata at run time …,Proceedings of the 2005 ACM SIGMOD international conference on Management of data,2005,192
