Type-based XML projection,Véronique Benzaken; Giuseppe Castagna; Dario Colazzo; Kim Nguyên,Abstract XML data projection (or pruning) is one of the main optimization techniques recentlyadopted in the context of main-memory XML query-engines. The underlying idea is quitesimple: given a query Q over a document D; the subtrees of D not necessary to evaluate Qare pruned; thus obtaining a smaller document D'. Then Q is executed over D'; henceavoiding to allocate and process nodes that will never be reached by navigationalspecifications in Q. In this article; we propose a new approach; based on types; that greatlyimproves current solutions. Besides providing comparable or greater precision and farlesser pruning overhead our solution; unlike current approaches; takes into accountbackward axes; predicates; and can be applied to multiple queries rather than just to singleones. A side contribution is a new type system for XPath able to handle backward axes …,Proceedings of the 32nd international conference on Very large data bases,2006,66
RDF analytics: lenses over semantic graphs,Dario Colazzo; François Goasdoué; Ioana Manolescu; Alexandra Roatiş,Abstract The development of Semantic Web (RDF) brings new requirements for dataanalytics tools and methods; going beyond querying to semantics-rich analytics throughwarehouse-style tools. In this work; we fully redesign; from the bottom up; core data analyticsconcepts and tools in the context of RDF data; leading to the first complete formal frameworkfor warehouse-style RDF analytics. Notably; we define i) analytical schemas tailored toheterogeneous; semantics-rich RDF graph; ii) analytical queries which (beyond relationalcubes) allow flexible querying of the data and the schema as well as powerful aggregationand iii) OLAP-style operations. Experiments on a fully-implemented platform demonstratethe practical interest of our approach.,Proceedings of the 23rd international conference on World wide web,2014,42
Types for path correctness of XML queries,Dario Colazzo; Giorgio Ghelli; Paolo Manghi; Carlo Sartiani,Abstract If a subexpression in a query will never contribute data to the query answer; thisshould be regarded as an error. This principle has been recently accepted into mainstreamXML query languages; but was still waiting for a complete treatment. We provide here aprecise definition for this class of errors; and define a type system that is sound andcomplete; in its search for such errors; for a core language; under mild restrictions on the useof recursion in type definitions. In the process; we describe a dichotomy among existentialand universal type systems; which is useful to understand some unusual features of our typesystem.,ACM SIGPLAN Notices,2004,34
Static analysis for path correctness of XML queries,Dario Colazzo; Giorgio Ghelli; Paolo Manghi; Carlo Sartiani,Abstract A part of a query that will never contribute data to the query answer should beregarded as an error. This principle has been recently accepted into mainstream XML querylanguages; but was still waiting for a complete treatment. We provide here a precisedefinition for this class of errors; and define a type system that is sound and complete; in itssearch for such errors; for a core language; under mild restrictions on the use of recursion intype definitions. In the process; we describe a dichotomy among existential and universaltype systems; which is essential to understand some specific features of our type system.,Journal of Functional Programming,2006,32
Efficient and effective duplicate detection in hierarchical data,Luis Leitao; Pavel Calado; Melanie Herschel,Although there is a long line of work on identifying duplicates in relational data; only a fewsolutions focus on duplicate detection in more complex hierarchical structures; like XMLdata. In this paper; we present a novel method for XML duplicate detection; called XMLDup.XMLDup uses a Bayesian network to determine the probability of two XML elements beingduplicates; considering not only the information within the elements; but also the way thatinformation is structured. In addition; to improve the efficiency of the network evaluation; anovel pruning strategy; capable of significant gains over the unoptimized version of thealgorithm; is presented. Through experiments; we show that our algorithm is able to achievehigh precision and recall scores in several data sets. XMLDup is also able to outperformanother state-of-the-art duplicate detection solution; both in terms of efficiency and of …,IEEE Transactions on Knowledge and Data Engineering,2013,31
The Query Language TQL.,Giovanni Conforti; Giorgio Ghelli; Antonio Albano; Dario Colazzo; Paolo Manghi; Carlo Sartiani,Abstract This work presents the query language TQL; a query language for semistructureddata; that can be used to query XML files. TQL substitutes the standard path-based pattern-matching mechanism with a logic-based mechanism; where the programmer specifies theproperties of the pieces of data she is trying to extract. As a result; TQL queries are more'declarative'; or less 'operational'; than queries in comparable languages. This feature makessome queries easier to express; and should allow the adoption of better optimizationtechniques. Through a set of examples; we show that the range of queries that can bedeclaratively expressed in TQL is quite wide. The implementation of TQL bindingmechanism requires the adoption of non-standard techniques; and some of its aspects arestill open. In this paper we implicitly report about the current status of the implementation …,WebDB,2002,31
Efficient asymmetric inclusion between regular expression types,Dario Colazzo; Giorgio Ghelli; Carlo Sartiani,Abstract The inclusion of Regular Expressions (REs) is the kernel of any subtype checkingalgorithm for XML schema languages. XML applications would benefit from the extension ofREs with interleaving and counting; but this is not feasible in general; since inclusion isEXPSPACE-complete for such extended REs. In [9] we introduced a notion of" conflict-freeREs"; which are extended REs with excellent complexity behaviour; including a cubicinclusion algorithm [9] and linear membership [10]. Conflict-free REs have interleaving andcounting; but the complexity is tamed by the" conflict-free" limitations; which have beenfound to be satisfied by the vast majority of the content models published on the Web.However; the most important use of subtype checking is in the context of type-cheching ofXML manipulation languges. A type checker works by testing the inclusion of inferred …,Proceedings of the 12th International Conference on Database Theory,2009,29
Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics): Preface,Masayuki Abe; Kazumaro Aoki; Giuseppe Ateniese; Roberto Avanzi; Zuzana Beerliová; Olivier Billet; Alex Biryukov; Ian Blake; Colin Boyd; Eric Brier; Aniello Castiglione; Juyoung Cha; Aldar Chan; Liqun Chen; Kookrae Cho; Scott Contini; Paolo D'Arco; Jintai Ding; Christophe Doche; Orr Dunkelman; Matthias Fitzi; Pierre Alain Fouque; Jacques JA Fournier; Kouichi Fujisaki; Eiichiro Fujisaki; Jun Furukawa; David Galindo; Shai Halevi; Helena Handschuh; Chris Heneghan; Thomas Holenstein; Fumitaka Hoshino; Yong Ho Hwang; Toshiyuki Isshiki; Ellen Jochemsz; Antoine Joux; Ari Juels; Charanjit Jutla; Aggelos Kiayias; Hiroaki Kikuchi; Tetsutarou Kobayashi; Tadayoshi Kohno; Hugo Krawczyk; Sandeep Kumar; Tanja Lange; Jung Wook Lee; Barbara Masucci; Alexander May; Miodrag Mihaljevic; Kazuhiko Minematsu; Fabian Monrose; Paul Montague; Steve Myers; David Naccache; Antonio Nicolosi; Satoshi Obana; Satomi Okazaki; Katsuyuki Okeya; Francis Olivier; Roger Oyono; Dan Page; Jung Hyung Park; Kun Peng; Krzysztof Pietrzak; Dominik Raub; Yasuyuki Sakai; Kouichi Sakurai; Werner Schindler; Jae Woo Seo; Jong Hoon Shin; Igor Shparlinski; Ron Steinfeld; Mike Szydlo; Yael Tauman Kalai; Isamu Teranishi; Toshio Tokita; Michael Tunstall; Frederik Vercauteren; Karine Villegas; Shabsi Walfish; Huaxiong Wang; Xiaofeng Wang; Bogdan Warinschi; Benne De Weger; Christopher Wolf; Alex Yampolskiy; Yeon Hyeong Yang; Yiqun Lisa Yin; Jeong Yoon; David Pointcheval,Abe; M; Aoki; K; Ateniese; G; Avanzi; R; Beerliová; Z; Billet; O; Biryukov; A; Blake; I; Boyd; C;Brier; E; Castiglione; A; Cha; J; Chan; A; Chen; L; Cho; K; Contini; S; D'Arco; P; Ding; J;Doche; C; Dunkelman; O; Fitzi; M; Fouque; PA; Fournier; JJA; Fujisaki; K; Fujisaki; E;Furukawa; J; Galindo; D; Halevi; S; Handschuh; H; Heneghan; C; Holenstein; T; Hoshino; F;Hwang; YH; Isshiki; T; Jochemsz; E; Joux; A; Juels; A; Jutla; C; Kiayias; A; Kikuchi; H;Kobayashi; T; Kohno; T; Krawczyk; H; Kumar; S; Lange; T; Lee; JW; Masucci; B; May; A;Mihaljevic; M; Minematsu … Abe M; Aoki K; Ateniese G; Avanzi R; Beerliová Z; Billet O etal. Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligenceand Lecture Notes in Bioinformatics): Preface. Lecture Notes in Computer Science (includingsubseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics) …,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2006,29
AMADA: web data repositories in the amazon cloud,Andrés Aranda-Andújar; Francesca Bugiotti; Jesús Camacho-Rodríguez; Dario Colazzo; François Goasdoué; Zoi Kaoudi; Ioana Manolescu,Abstract We present AMADA; a platform for storing Web data (in particular; XML documentsand RDF graphs) based on the Amazon Web Services (AWS) cloud infrastructure. AMADAoperates in a Software as a Service (SaaS) approach; allowing users to upload; index; store;and query large volumes of Web data. The demonstration shows (i) the step-by-stepprocedure for building and exploiting the warehouse (storing; indexing; querying) and (ii) themonitoring tools enabling one to control the expenses (monetary costs) charged by AWS forthe operations involved while running AMADA.,Proceedings of the 21st ACM international conference on Information and knowledge management,2012,26
Efficient inclusion for a class of XML types with interleaving and counting,Giorgio Ghelli; Dario Colazzo; Carlo Sartiani,Abstract Inclusion between XML types is important but expensive; and is much moreexpensive when unordered types are considered. We prove here that inclusion for XMLtypes with interleaving and counting can be decided in polynomial time in presence of twoimportant restrictions: no element appears twice in the same content model; and Kleene staris only applied to disjunctions of single elements. Our approach is based on thetransformation of each such type into a set of constraints that completely characterizes thetype. We then provide a complete deduction system to verify whether the constraints of onetype imply all the constraints of another one.,International Symposium on Database Programming Languages,2007,24
