Protecting respondents identities in microdata release,Pierangela Samarati,Today's globally networked society places great demands on the dissemination and sharingof information. While in the past released information was mostly in tabular and statisticalform; many situations call for the release of specific data (microdata). In order to protect theanonymity of the entities (called respondents) to which information refers; data holders oftenremove or encrypt explicit identifiers such as names; addresses; and phone numbers.Deidentifying data; however; provides no guarantee of anonymity. Released informationoften contains other data; such as race; birth date; sex; and ZIP code; that can be linked topublicly available information to reidentify respondents and inferring information that was notintended for disclosure. In this paper we address the problem of releasing microdata whilesafeguarding the anonymity of respondents to which the data refer. The approach is …,IEEE transactions on Knowledge and Data Engineering,2001,2076
Access control: Principles and practice,RS Sandhu; P Samarati,Access control constrains what a user can do directly; as well as what programs executingon behalf of the users are allowed to do. In this way access control seeks to prevent activitythat could lead to a breach of security. This article explains access control and itsrelationship to other security services such as authentication; auditing; and administration. Itthen reviews the access matrix model and describes different approaches to implementingthe access matrix in practical systems; and follows with a discussion of access controlpolicies commonly found in current systems; and a brief consideration of access controladministration.,IEEE Communications Magazine,1994,1445
Protecting privacy when disclosing information: k-anonymity and its enforcement through generalization and suppression,Pierangela Samarati; Latanya Sweeney,Abstract Today's globally networked society places great demand on the dissemination andsharing of person-speci c data. Situations where aggregate statistical information was oncethe reporting norm now rely heavily on the transfer of microscopically detailed transactionand encounter information. This happens at a time when more and more historically publicinformation is also electronically available. When these data are linked together; theyprovide an electronic shadow of a person or organization that is as identifying and personalas a ngerprint; even when the sources of the information contains no explicit identi ers; suchas name and phone number. In order to protect the anonymity of individuals to whomreleased data refer; data holders often remove or encrypt explicit identi ers such as names;addresses and phone numbers. However; other distinctive data; which we term quasi …,*,1998,1100
A reputation-based approach for choosing reliable resources in peer-to-peer networks,Ernesto Damiani; Sabrina De Capitani di Vimercati; Stefano Paraboschi; Pierangela Samarati; Fabio Violante,Abstract Peer-to-peer (P2P) applications have seen an enormous success; and recentlyintroduced P2P services have reached tens of millions of users. A feature that significantlycontributes to the success of many P2P applications is user anonymity. However; anonymityopens the door to possible misuses and abuses; exploiting the P2P network as a way tospread tampered with resources; including Trojan Horses; viruses; and spam. To addressthis problem we propose a self-regulating system where the P2P network is used toimplement a robust reputation mechanism. Reputation sharing is realized through adistributed polling algorithm by which resource requestors can assess the reliability of aresource offered by a participant before initiating the download. This way; spreading ofmalicious contents will be reduced and eventually blocked. Our approach can be …,Proceedings of the 9th ACM conference on Computer and communications security,2002,890
Flexible support for multiple access control policies,Sushil Jajodia; Pierangela Samarati; Maria Luisa Sapino; VS Subrahmanian,Abstract Although several access control policies can be devised for controlling access toinformation; all existing authorization models; and the corresponding enforcementmechanisms; are based on a specific policy (usually the closed policy). As a consequence;although different policy choices are possible in theory; in practice only a specific policy canactually be applied within a given system. In this paper; we present a unified framework thatcan enforce multiple access control policies within a single system. The framework is basedon a language through which users can specify security policies to be enforced on specificaccesses. The language allows the specification of both positive and negativeauthorizations and incorporates notions of authorization derivation; conflict resolution; anddecision strategies. Different strategies may be applied to different users; groups; objects …,ACM Transactions on Database Systems (TODS),2001,795
Access control: Policies; models; and mechanisms,Pierangela Samarati; Sabrina De Capitani di Vimercati,Abstract Access control is the process of mediating every request to resources and datamaintained by a system and determining whether the request should be granted or denied.The access control decision is enforced by a mechanism implementing regulationsestablished by a security policy. Different access control policies can be applied;corresponding to different criteria for defining what should; and what should not; be allowed;and; in some sense; to different definitions of what ensuring security means. In this chapterwe investigate the basic concepts behind access control design and enforcement; and pointout different security requirements that may need to be taken into consideration. We discussseveral access control policies; and models formalizing them; that have been proposed inthe literature or that are currently under investigation.,*,2001,785
Database security,Silvana Castano; Maria Grazia Fugini; Giancarlo Martella; Pierangela Samarati,AIR nasce in UNIMI nel 2006 con lo scopo di raccogliere; documentare e conservare le informazionisulla produzione scientifica dell'Università degli Studi di Milano e costituisce di fatto l'Anagrafedella ricerca dell'Ateneo … Database security / S. Castano; M. Fugini; G. Martella; P.Samarati. - [sl] : Addison-Wesley; 1995. - ISBN 0-201-59375-0.,Addison-Wesley; ACM Press Books,1995,784
Generalizing data to provide anonymity when disclosing information,Pierangela Samarati; Latanya Sweeney,Abstract The proliferation of information on the Internet and access to fast computers withlarge storage capacities has increased the volume of information collected anddisseminated about individuals. The existence os these other data sources makes it mucheasier to re-identify individuals whose private information is released in data believed to beanonymous. At the same time; increasing demands are made on organizations to releaseindividualized data rather than aggregate statistical information. Even when explicitidentifiers; such as name and phone number; are removed or encrypted when releasingindividualized data; other characteristic data; which we term quasi-identifiers; can existwhich allow the data recipient to re-identify individuals to whom the data refer. In this paper;we provide a computational disclosure technique for releasing information from a private …,PODS,1998,760
A fine-grained access control system for XML documents,Ernesto Damiani; Sabrina De Capitani di Vimercati; Stefano Paraboschi; Pierangela Samarati,Abstract Web-based applications greatly increase information availability and ease ofaccess; which is optimal for public information. The distribution and sharing of informationvia the Web that must be accessed in a selective way; such as electronic commercetransactions; require the definition and enforcement of security controls; ensuring thatinformation will be accessible only to authorized entities. Different approaches have beenproposed that address the problem of protecting information in a Web system. However;these approaches typically operate at the file-system level; independently of the data thathave to be protected from unauthorized accesses. Part of this problem is due to thelimitations of HTML; historically used to design Web documents. The extensible markuplanguage (XML); a markup language promoted by the World Wide Web Consortium (W3C …,ACM Transactions on Information and System Security (TISSEC);,2002,718
Choosing reputable servents in a P2P network,Fabrizio Cornelli; Ernesto Damiani; Sabrina De Capitani di Vimercati; Stefano Paraboschi; Pierangela Samarati,Abstract Peer-to-peer information sharing environments are increasingly gainingacceptance on the Internet as they provide an infrastructure in which the desired informationcan be located and downloaded while preserving the anonymity of both requestors andproviders. As recent experience with P2P environments such as Gnutella shows; anonymityopens the door to possible misuses and abuses by resource providers exploiting thenetwork as a way to spread tampered with resources; including malicious programs; such asTrojan Horses and viruses. In this paper we propose an approach to P2P security whereservents can keep track; and share with others; information about the reputation of theirpeers. Reputation sharing is based on a distributed polling algorithm by which resourcerequestors can assess the reliability of perspective providers before initiating the …,Proceedings of the 11th international conference on World Wide Web,2002,644
A logical language for expressing authorizations,Sushil Jajodia; Pierangela Samarati; VS Subrahmanian,A major drawback of existing access control systems is that they have all been developedwith a specific access control policy in mind. This means that all protection requirements (ieaccesses to be allowed or denied) must be specified in terms of the policy enforced by thesystem. While this may be trivial for some requirements; specification of other requirementsmay become quite complex or even impossible. The reason for this is that a single policysimply cannot capture the different protection requirements that users may need to enforceon different data. In this paper; we take a first step towards a model that is able to supportdifferent access control policies. We propose a logical language for the specification ofauthorizations on which such a model can be based. The Authorization SpecificationLanguage (ASL) allows users to specify; together with the authorizations; the policy …,Security and Privacy; 1997. Proceedings.; 1997 IEEE Symposium on,1997,618
