Research issues in web data mining,Sanjay Kumar Madria; Sourav S Bhowmick; W-K Ng; Ee-Peng Lim,Abstract In this paper; we discuss mining with respect to web data referred here as web datamining. In particular; our focus is on web data mining research in context of our webwarehousing project called WHOWEDA (Warehouse of Web Data). We have categorizedweb data mining into threes areas; web content mining; web structure mining and webusage mining. We have highlighted and discussed various research issues involved in eachof these web data mining category. We believe that web data mining will be the topic ofexploratory research in near future.,International Conference on Data Warehousing and Knowledge Discovery,1999,364
A survey of web metrics,Devanshu Dhyani; Wee Keong Ng; Sourav S Bhowmick,Abstract The unabated growth and increasing significance of the World Wide Web hasresulted in a flurry of research activity to improve its capacity for serving information moreeffectively. But at the heart of these efforts lie implicit assumptions about" quality" and"usefulness" of Web resources and services. This observation points towards measurementsand models that quantify various attributes of web sites. The science of measuring allaspects of information; especially its storage and retrieval or informetrics has interestedinformation scientists for decades before the existence of the Web. Is Web informetrics anydifferent; or is it just an application of classical informetrics to a new medium? In this article;we examine this issue by classifying and discussing a wide ranging set of Web metrics. Wepresent the origins; measurement functions; formulations and comparisons of well-known …,ACM Computing Surveys (CSUR),2002,333
Association rule mining: A survey,Qiankun Zhao; Sourav S Bhowmick,Data mining [Chen et al. 1996] is the process of extracting interesting (non-trivial; implicit;previously unknown and potentially useful) information or patterns from large informationrepositories such as: relational database; data warehouses; XML repository; etc. Also datamining is known as one of the core processes of Knowledge Discovery in Database (KDD).Many people take data mining as a synonym for another popular term; KnowledgeDiscovery in Database (KDD). Alternatively other people treat Data Mining as the coreprocess of KDD. The KDD processes are shown in Figure 1 [Han and Kamber 2000].Usually there are three processes. One is called preprocessing; which is executed beforedata mining techniques are applied to the right data. The preprocessing includes datacleaning; integration; selection and transformation. The main process of KDD is the data …,Nanyang Technological University; Singapore,2003,214
Sequential pattern mining: A survey,Qiankun Zhao; Sourav S Bhowmick,Data mining [Chen et al. 1996] is the process of extracting interesting (non-trivial; implicit;previously unknown and potentially useful) information or patterns from large informationrepositories such as: relational database; data warehouses; XML repository; etc. Also datamining is known as one of the core processes of Knowledge Discovery in Database (KDD).Many people take data mining as a synonym for another popular term; KnowledgeDiscovery in Database (KDD). Alternatively other people treat Data Mining as the coreprocess of KDD. The KDD processes are shown in Figure 1 [Han and Kamber 2000].Usually there are three processes. One is called preprocessing; which is executed beforedata mining techniques are applied to the right data. The preprocessing includes datacleaning; integration; selection and transformation. The main process of KDD is the data …,ITechnical Report CAIS Nayang Technological University Singapore,2003,189
Mobile data and transaction management,Sanjay Kumar Madria; Mukesh Mohania; Sourav S Bhowmick; Bharat Bhargava,Abstract Mobile computing paradigm has emerged due to advances in wireless or cellularnetworking technology. This rapidly expanding technology poses many challengingresearch problems in the area of mobile database systems. The mobile users can accessinformation independent of their physical location through wireless connections. However;accessing and manipulating information without restricting users to specific locationscomplicates data processing activities. There are computing constraints that make mobiledatabase processing different from the wired distributed database computing. In this paper;we survey the fundamental research challenges particular to mobile database computing;review some of the proposed solutions and identify some of the upcoming researchchallenges. We discuss interesting research areas; which include mobile location data …,Information Sciences,2002,121
Event detection from evolution of click-through data,Qiankun Zhao; Tie-Yan Liu; Sourav S Bhowmick; Wei-Ying Ma,Abstract Previous efforts on event detection from the web have focused primarily on webcontent and structure data ignoring the rich collection of web log data. In this paper; wepropose the first approach to detect events from the click-through data; which is the log dataof web search engines. The intuition behind event detection from click-through data is thatsuch data is often event-driven and each event can be represented as a set ofquery-pagepairs that are not only semantically similar but also have similar evolution pattern over time.Given the click-through data; in our proposed approach; we first segment it into a sequenceof bipartite graphs based on theuser-defined time granularity. Next; the sequence of bipartitegraphs is represented as a vector-based graph; which records the semantic andevolutionary relationships between queries and pages. After that; the vector-based graph …,Proceedings of the 12th ACM SIGKDD international conference on Knowledge discovery and data mining,2006,68
Time-dependent semantic similarity measure of queries using historical click-through data,Qiankun Zhao; Steven CH Hoi; Tie-Yan Liu; Sourav S Bhowmick; Michael R Lyu; Wei-Ying Ma,Abstract It has become a promising direction to measure similarity of Web search queries bymining the increasing amount of click-through data logged by Web search engines; whichrecord the interactions between users and the search engines. Most existing approachesemploy the click-through data for similarity measure of queries with little consideration of thetemporal factor; while the click-through data is often dynamic and contains rich temporalinformation. In this paper we present a new framework of time-dependent query semanticsimilarity model on exploiting the temporal characteristics of historical click-through data.The intuition is that more accurate semantic similarity values between queries can beobtained by taking into account the timestamps of the log data. With a set of user-definedcalendar schema and calendar patterns; our time-dependent query similarity model is …,Proceedings of the 15th international conference on World Wide Web,2006,61
An XML Schema integration and query mechanism system,Sanjay Madria; Kalpdrum Passi; Sourav Bhowmick,Abstract The availability of large amounts of heterogeneous distributed web datanecessitates the integration of XML data from multiple XML sources for many reasons. Forexample; currently; there are many e-commerce companies; which offer similar products butuse different XML Schemas with possibly different ontologies. When any two suchcompanies merge; or make an effort to service customers in cooperation; there is a need foran integrated schema and query mechanism for the interoperability of applications. Inapplications like comparison-shopping; there is a need for an illusionary centralizedhomogeneous information system. In this paper; we propose XML Schema integration andquerying methodology. We define an object-oriented data model called XSDM (XMLSchema Data Model) and present a graphical representation of XML Schema for the …,Data & Knowledge Engineering,2008,58
Web warehousing: An algebra for web information,W-K Ng; E-P Lim; C-T Huang; Sourav Bhowmick; F-Q Qin,While conventional keyword indexes maintained by web search engines such as Yahoo;Lycos; and World Wide Web Worm work well for most simple keyword searches; they areinadequate when more complex and structured queries involving the underlying hypertextstructure of the World Wide Web are desired. Building from a database perspective; existingwork to support such queries focuses on constructing SQL-like query languages for theWWW that assumes a relational abstraction of the WWW. Nonetheless; the WWW is adirected graph and imposing a relational abstraction filters out its inherent topologicalstructure. We propose a data model for the WWW that retains its topological structure andconstruct a web algebra to manipulate objects in this model. The web algebra establishes aformal foundation from which different web query languages can be designed.,Research and Technology Advances in Digital Libraries; 1998. ADL 98. Proceedings. IEEE International Forum on,1998,57
A model for XML Schema integration,Kalpdrum Passi; Louise Lane; Sanjay Madria; Bipin C Sakamuri; Mukesh Mohania; Sourav Bhowmick,Abstract We define an object-oriented data model called XSDM (XML Schema Data Model)and present a graphical representation of XML Schema integration. The three layersincluded are; namely; pre-integration; comparison and integration. During pre-integration;the schema present in XML Schema notation is read and is converted into the XSDMnotation. During the comparison phase of integration; correspondences as well as conflictsbetween elements are identified. During the integration phase; conflict resolution;restructuring and merging of the initial schemas take place to obtain the global schema.,International Conference on Electronic Commerce and Web Technologies,2002,56
