Data management in location-dependent information services: Challenges and issues,Dik Lun Lee; Wang-Chien Lee; Jianliang Xu; Baihua Zheng,*,IEEE Pervasive computing,2002,257
Approaching the skyline in Z order,Ken CK Lee; Baihua Zheng; Huajing Li; Wang-Chien Lee,Abstract Given a set of multidimensional data points; skyline query retrieves a set of datapoints that are not dominated by any other points. This query is useful for multi-preferenceanalysis and decision making. By analyzing the skyline query; we observe a closeconnection between Z-order curve and skyline processing strategies and propose to use anew index structure called ZBtree; to index and store data points based on Z-order curve.We develop a suite of novel and efficient skyline algorithms; which scale very well to datadimensionality and cardinality; including (1) ZSearch; which processes skyline queries andsupports progressive result delivery;(2) ZUpdate; which facilitates incremental skyline resultmaintenance; and (3) k-ZSearch; which answers k-dominant skyline query (a skyline variantthat retrieves a representative subset of skyline results). Extensive experiments have …,Proceedings of the 33rd international conference on Very large data bases,2007,212
Cache invalidation and replacement strategies for location-dependent data in mobile environments,Baihua Zheng; Jianliang Xu; Dik Lun Lee,Mobile location-dependent information services (LDISs) have become increasingly popularin recent years. However; data caching strategies for LDISs have thus far received littleattention. In this paper; we study the issues of cache invalidation and cache replacement forlocation-dependent data under a geometric location model. We introduce a newperformance criterion; called caching efficiency; and propose a generic method for location-dependent cache invalidation strategies. In addition; two cache replacement policies; PAand PAID; are proposed. Unlike the conventional replacement policies; PA and PAID takeinto consideration the valid scope area of a data value. We conduct a series of simulationexperiments to study the performance of the proposed caching schemes. The experimentalresults show that the proposed location-dependent invalidation scheme is very effective …,IEEE Transactions on Computers,2002,200
Ir-tree: An efficient index for geographic document search,Zhisheng Li; Ken CK Lee; Baihua Zheng; Wang-Chien Lee; Dik Lee; Xufa Wang,Given a geographic query that is composed of query keywords and a location; a geographicsearch engine retrieves documents that are the most textually and spatially relevant to thequery keywords and the location; respectively; and ranks the retrieved documents accordingto their joint textual and spatial relevances to the query. The lack of an efficient index thatcan simultaneously handle both the textual and spatial aspects of the documents makesexisting geographic search engines inefficient in answering geographic queries. In thispaper; we propose an efficient index; called IR-tree; that together with a top-k documentsearch algorithm facilitates four major tasks in document searches; namely; 1) spatialfiltering; 2) textual filtering; 3) relevance computation; and 4) document ranking in a fullyintegrated manner. In addition; IR-tree allows searches to adopt different weights on …,IEEE Transactions on Knowledge and Data Engineering,2011,197
Semantic caching in location-dependent query processing,Baihua Zheng; Dik Lun Lee,Abstract A method is presented in this paper for answering location-dependent queries in amobile computing environment. We investigate a common scenario where data objects (eg;restaurants and gas stations) are stationary while clients that issue queries about the dataobjects are mobile. Our proposed technique constructs a Voronoi Diagram (VD) on the dataobjects to serve as an index for them. A VD defines; for each data object d; the region withinwhich d is the nearest point to any mobile client within that region. As such; the VD can beused to answer nearest-neighbor queries directly. Furthermore; the area within which theanswer is valid can be computed. Based on the VD; we develop a semantic caching schemethat records a cached item as well as its valid range. A simulation is conducted to study theperformance of the proposed semantic cache in comparison with the traditional cache …,International Symposium on Spatial and Temporal Databases,2001,179
Grid-partition index: a hybrid method for nearest-neighbor queries in wireless location-based services,Baihua Zheng; Jianliang Xu; Wang-Chien Lee; Lun Lee,Abstract Traditional nearest-neighbor (NN) search is based on two basic indexingapproaches: object-based indexing and solution-based indexing. The former is constructedbased on the locations of data objects: using some distance heuristics on object locations.The latter is built on a precomputed solution space. Thus; NN queries can be reduced to andprocessed as simple point queries in this solution space. Both approaches exhibit somedisadvantages; especially when employed for wireless data broadcast in mobile computingenvironments. In this paper; we introduce a new index method; called the grid-partitionindex; to support NN search in both on-demand access and periodic broadcast modes ofmobile computing. The grid-partition index is constructed based on the Voronoi diagram; ie;the solution space of NN queries. However; it has two distinctive characteristics. First; it …,The VLDB Journal—The International Journal on Very Large Data Bases,2006,115
Spatial queries in wireless broadcast systems,Baihua Zheng; Wang-Chien Lee; Dik Lun Lee,Abstract Owing to the advent of wireless networking and personal digital devices;information systems in the era of mobile computing are expected to be able to handle atremendous amount of traffic and service requests from the users. Wireless data broadcast;thanks to its high scalability; is particularly suitable for meeting such a challenge. Indexingtechniques have been developed for wireless data broadcast systems in order to conservethe scarce power resources in mobile clients. However; most of the previous studies do nottake into account the impact of location information of users. In this paper; we address theissues of supporting spatial queries (including window queries and k NN queries) of location-dependent information via wireless data broadcast. A linear index structure based on theHilbert curve and corresponding search algorithms are proposed to answer spatial …,Wireless Networks,2004,114
Energy efficient index for querying location-dependent data in mobile broadcast environments,Jianliang Xu; Baibua Zheng; W-C Lee; Dik Lun Lee,We are witnessing in recent years growing interest for location-dependent informationservices among mobile users. We examine the issue of processing location-dependentqueries in a mobile broadcast environment. Different from a traditional environment; mobileusers are concerned with not only access latencies but also power conservation. The planarpoint location algorithms and conventional spatial index structures are shown inefficient. Wepropose a new index data structure; called D-tree; for querying location-dependent data inmobile broadcast environments. The basic idea is to index data regions based on thedivisions between them. We describe how to construct the binary D-tree index; how toprocess location-dependent queries based on this index structure; and how to page the D-tree to fit the packet capacity. The performance of the D-tree is evaluated using both …,Data Engineering; 2003. Proceedings. 19th International Conference on,2003,108
DSI: A fully distributed spatial index for location-based wireless broadcast services,Wang-Chien Lee; Baihua Zheng,Recent announcement of the MSN Direct Service has demonstrated the feasibility andindustrial interest in utilizing wireless broadcast for pervasive information services. Tosupport location-based services in wireless data broadcast systems; a distributed spatialindex (called DSI) is proposed in this paper. DSI is highly efficient because it has a linear yetfully distributed structure that facilitates multiple search paths to be naturally mixed togetherby sharing links. Moreover; DSI is very resilient in error-prone wireless communicationenvironments. Search algorithms for two classical location-based queries; window queriesand kNN queries; based on DSI are presented. Performance evaluation of DSI shows thatDSI significantly outperforms R-tree and Hilbert Curve Index; two state-of-the-art spatialindexing techniques for wireless data broadcast,25th IEEE International Conference on Distributed Computing Systems (ICDCS'05),2005,88
TOSA: a near-optimal scheduling algorithm for multi-channel data broadcast,Baihua Zheng; Xia Wu; Xing Jin; Dik Lun Lee,Abstract Wireless broadcast is very suitable for delivering information to a large userpopulation. In this paper; we concentrate on data allocation methods for multiple broadcastchannels. To the best of our knowledge; this is the first allocation model that takes into theconsideration of items' access frequencies; items' lengths. and bandwidth of differentchannels. We first derive the optimal average expected delay for multiple channels for thegeneral case where data access frequencies; data sizes; and channel bandwidths can all benon-uniform. Second; we develop TOSA; a multi-channel allocation method that does notassume a uniform broadcast schedule for data items on the same channel. TOSA is basedon the idea of two-level data allocation; ie; a high-level optimization step for allocating datato the channels; followed by a low-level optimization step to schedule data within a …,Proceedings of the 6th international conference on Mobile data management,2005,79
Proactive caching for spatial queries in mobile environments,Haibo Hu; Jianliang Xu; Wing Sing Wong; Baihua Zheng; Dik Lun Lee; W-C Lee,Semantic caching enables mobile clients to answer spatial queries locally by storing thequery descriptions together with the results. However; it supports only a limited number ofquery types; and sharing results among these types is difficult. To address these issues; wepropose a proactive caching model which caches the result objects as well as the index thatsupports these objects as the results. The cached index enables the objects to be reused forall common types of queries. We also propose an adaptive scheme to cache such an index;which further optimizes the query response time for the best user experience. Simulationresults show that proactive caching achieves a significant performance gain over pagecaching and semantic caching in mobile environments where wireless bandwidth andbattery are precious resources.,21st International Conference on Data Engineering (ICDE'05),2005,75
