Energy management for mapreduce clusters,Willis Lang; Jignesh M Patel,Abstract The area of cluster-level energy management has attracted significant researchattention over the past few years. One class of techniques to reduce the energy consumptionof clusters is to selectively power down nodes during periods of low utilization to increaseenergy efficiency. One can think of a number of ways of selectively powering down nodes;each with varying impact on the workload response time and overall energy consumption.Since the MapReduce framework is becoming" ubiquitous"; the focus of this paper is ondeveloping a framework for systematically considering various MapReduce node powerdown strategies; and their impact on the overall energy consumption and workloadresponse time. We closely examine two extreme techniques that can be accommodated inthis framework. The first is based on a recently proposed technique called" Covering Set" …,Proceedings of the VLDB Endowment,2010,230
Towards eco-friendly database management systems,Willis Lang; Jignesh Patel,Abstract: Database management systems (DBMSs) have largely ignored the task ofmanaging the energy consumed during query processing. Both economical andenvironmental factors now require that DBMSs pay close attention to energy consumption. Inthis paper we approach this issue by considering energy consumption as a first-classperformance goal for query processing in a DBMS. We present two concrete techniques thatcan be used by a DBMS to directly manage the energy consumption. Both techniques tradeenergy consumption for performance. The first technique; called PVC; leverages the abilityof modern processors to execute at lower processor voltage and frequency. The secondtechnique; called QED; uses query aggregation to leverage common components of queriesin a workload. Using experiments run on a commercial DBMS and MySQL; we show that …,arXiv preprint arXiv:0909.1767,2009,92
Towards multi-tenant performance SLOs,Willis Lang; Srinath Shankar; Jignesh M Patel; Ajay Kalhan,As traditional and mission-critical relational database workloads migrate to the cloud in theform of Database-as-a-Service (DaaS); there is an increasing motivation to provideperformance goals in Service Level Objectives (SLOs). Providing such performance goals ischallenging for DaaS providers as they must balance the performance that they can deliverto tenants and the data center's operating costs. In general; aggressively aggregatingtenants on each server reduces the operating costs but degrades performance for thetenants; and vice versa. In this paper; we present a framework that takes as input the tenantworkloads; their performance SLOs; and the server hardware that is available to the DaaSprovider; and outputs a cost-effective recipe that specifies how much hardware to provisionand how to schedule the tenants on each hardware resource. We evaluate our method …,IEEE Transactions on Knowledge and Data Engineering,2014,83
Wimpy node clusters: What about non-wimpy workloads?,Willis Lang; Jignesh M Patel; Srinath Shankar,Abstract The high cost associated with powering servers has introduced new challenges inimproving the energy efficiency of clusters running data processing jobs. Traditional high-performance servers are largely energy inefficient due to various factors such as the over-provisioning of resources. The increasing trend to replace traditional high-performanceserver nodes with low-power low-end nodes in clusters has recently been touted as asolution to the cluster energy problem. However; the key tacit assumption that drives such asolution is that the proportional scale-out of such low-power cluster nodes results in constantscaleup in performance. This paper studies the validity of such an assumption usingmeasured price and performance results from a low-power Atom-based node and atraditional Xeon-based server and a number of published parallel scaleup results. Our …,Proceedings of the Sixth International Workshop on Data Management on New Hardware,2010,77
On energy management; load balancing and replication,Willis Lang; Jignesh M Patel; Jeffrey F Naughton,Abstract In this paper we investigate some opportunities and challenges that arise in energy-aware computing in a cluster of servers running data-intensive workloads. We leverage theinsight that servers in a cluster are often underutilized; which makes it attractive to considerpowering down some servers and redistributing their load to others. Of course; poweringdown servers naively will render data stored only on powered down servers inaccessible.While data replication can be exploited to power down servers without losing access to data;unfortunately; care must be taken in the design of the replication and server power downschemes to avoid creating load imbalances on the remaining" live" servers. Accordingly; inthis paper we study the interaction between energy management; load balancing; andreplication strategies for data-intensive cluster computing. In particular; we show that …,ACM SIGMOD Record,2010,61
Rethinking query processing for energy efficiency: Slowing down to win the race.,Willis Lang; Ramakrishnan Kandhan; Jignesh M Patel,Abstract The biggest change in the TPC benchmarks in over two decades is now wellunderway–namely the addition of an energy efficiency metric along with traditionalperformance metrics. This change is fueled by the growing; real; and urgent demand forenergy-efficient database processing. Database query processing engines must nowconsider becoming energy-aware; else they risk missing many opportunities for significantenergy savings. While other recent work has focused on solely optimizing for energyefficiency; we recognize that such methods are only practical if they also considerperformance requirements specified in SLAs. The focus of this paper is on the design andevaluation of a general framework for query optimization that considers both performanceconstraints and energy consumption as first-class optimization criteria. Our method …,IEEE Data Eng. Bull.,2011,48
Towards energy-efficient database cluster design,Willis Lang; Stavros Harizopoulos; Jignesh M Patel; Mehul A Shah; Dimitris Tsirogiannis,Abstract Energy is a growing component of the operational cost for many" big data"deployments; and hence has become increasingly important for practitioners of large-scaledata analysis who require scale-out clusters or parallel DBMS appliances. Although anumber of recent studies have investigated the energy efficiency of DBMSs; none of thesestudies have looked at the architectural design space of energy-efficient parallel DBMSclusters. There are many challenges to increasing the energy efficiency of a DBMS cluster;including dealing with the inherent scaling inefficiency of parallel data processing; andchoosing the appropriate energy-efficient hardware. In this paper; we experimentallyexamine and analyze a number of key parameters related to these challenges for designingenergy-efficient database clusters. We explore the cluster design space using empirical …,Proceedings of the VLDB Endowment,2012,42
Dictionary-based compression for long time-series similarity,Willis Lang; Michael Morse; Jignesh M Patel,Long time-series data sets are common in many domains; especially scientific domains.Applications in these fields often require comparing trajectories using similarity measures.Existing methods perform well for short time series but their evaluation cost degrades rapidlyfor longer time series. In this work; we develop a new time-series similarity measure calledthe Dictionary Compression Score (DCS) for determining time-series similarity. We alsoshow that this method allows us to accurately and quickly calculate similarity for both shortand long time series. We use the well-known Kolmogorov Complexity in information theoryand the Lempel-Ziv compression framework as a basis to calculate similarity scores. Weshow that off-the-shelf compressors do not fair well for computing time-series similarity. Toaddress this problem; we developed a novel dictionary-based compression technique to …,IEEE transactions on knowledge and data engineering,2010,24
When free is not really free: What does it cost to run a database workload in the cloud?,Avrilia Floratou; Jignesh M Patel; Willis Lang; Alan Halverson,Abstract The current computing trend towards cloud-based Database-as-a-Service (DaaS)as an alternative to traditional on-site relational database management systems (RDBMSs)has largely been driven by the perceived simplicity and cost-effectiveness of migrating to aDaaS. However; customers that are attracted to these DaaS alternatives may find that therange of different services and pricing options available to them add an unexpected level ofcomplexity to their decision making. Cloud service pricing models are typically 'pay-as-you-go'in which the customer is charged based on resource usage such as CPU and memoryutilization. Thus; customers considering different DaaS options must take into account howthe performance and efficiency of the DaaS will ultimately impact their monthly bill. In thispaper; we show that the current DaaS model can produce unpleasant surprises–for …,Technology Conference on Performance Evaluation and Benchmarking,2011,20
Scalable rule-based gene expression data classification,Mark A Iwen; Willis Lang; Jignesh M Patel,Current state-of-the-art association rule-based classifiers for gene expression data operatein two phases:(i) Association rule mining from training data followed by (ii) Classification ofquery data using the mined rules. In the worst case; these methods require an exponentialsearch over the subset space of the training data set's samples and/or genes during at leastone of these two phases. Hence; existing association rule-based techniques areprohibitively computationally expensive on large gene expression datasets. Our main resultis the development of a heuristic rule-based gene expression data classifier called BooleanStructure Table Classification (BSTC). BSTC is explicitly related to association rule-basedmethods; but is guaranteed to be polynomial space/time. Extensive cross validation studieson several real gene expression datasets demonstrate that BSTC retains the …,Data Engineering; 2008. ICDE 2008. IEEE 24th International Conference on,2008,14
