The global k-means clustering algorithm,Aristidis Likas; Nikos Vlassis; Jakob J Verbeek,Abstract We present the global k-means algorithm which is an incremental approach toclustering that dynamically adds one cluster center at a time through a deterministic globalsearch procedure consisting of N (with N being the size of the data set) executions of the k-means algorithm from suitable initial positions. We also propose modifications of the methodto reduce the computational load without significantly affecting solution quality. Theproposed clustering methods are tested on well-known data sets and they comparefavorably to the k-means algorithm with random restarts.,Pattern recognition,2003,1277
Image classification with the Fisher vector: Theory and practice,Jorge Sánchez; Florent Perronnin; Thomas Mensink; Jakob Verbeek,Abstract A standard approach to describe an image for classification and retrieval purposesis to extract a set of local patch descriptors; encode them into a high dimensional vector andpool them into an image-level signature. The most common patch encoding strategyconsists in quantizing the local descriptors into a finite set of prototypical elements. Thisleads to the popular Bag-of-Visual words representation. In this work; we propose to use theFisher Kernel framework as an alternative patch encoding strategy: we describe patches bytheir deviation from an “universal” generative Gaussian mixture model. This representation;which we call Fisher vector has many advantages: it is efficient to compute; it leads toexcellent results even with efficient linear classifiers; and it can be compressed with aminimal loss of accuracy using product quantization. We report experimental results on …,International journal of computer vision,2013,871
Is that you? Metric learning approaches for face identification,Matthieu Guillaumin; Jakob Verbeek; Cordelia Schmid,Face identification is the problem of determining whether two face images depict the sameperson or not. This is difficult due to variations in scale; pose; lighting; background;expression; hairstyle; and glasses. In this paper we present two methods for learning robustdistance measures:(a) a logistic discriminant approach which learns the metric from a set oflabelled image pairs (LDML) and (b) a nearest neighbour approach which computes theprobability for two images to belong to the same class (MkNN). We evaluate our approacheson the Labeled Faces in the Wild data set; a large and very challenging data set of facesfrom Yahoo! News. The evaluation protocol for this data set defines a restricted setting;where a fixed set of positive and negative image pairs is given; as well as an unrestrictedone; where faces are labelled by their identity. We are the first to present results for the …,ICCV,2009,661
Tagprop: Discriminative metric learning in nearest neighbor models for image auto-annotation,Matthieu Guillaumin; Thomas Mensink; Jakob Verbeek; Cordelia Schmid,Image auto-annotation is an important open problem in computer vision. For this task wepropose TagProp; a discriminatively trained nearest neighbor model. Tags of test imagesare predicted using a weighted nearest-neighbor model to exploit labeled training images.Neighbor weights are based on neighbor rank or distance. TagProp allows the integration ofmetric learning by directly maximizing the log-likelihood of the tag predictions in the trainingset. In this manner; we can optimally combine a collection of image similarity metrics thatcover different aspects of image content; such as local shape descriptors; or global colorhistograms. We also introduce a word specific sigmoidal modulation of the weightedneighbor tag predictions to boost the recall of rare words. We investigate the performance ofdifferent variants of our model and compare to existing work. We present experimental …,ICCV 2009,2009,566
Learning color names for real-world applications,Joost Van De Weijer; Cordelia Schmid; Jakob Verbeek; Diane Larlus,Color names are required in real-world applications such as image retrieval and imageannotation. Traditionally; they are learned from a collection of labeled color chips. Thesecolor chips are labeled with color names within a well-defined experimental setup by humantest subjects. However; naming colors in real-world images differs significantly from thisexperimental setting. In this paper; we investigate how color names learned from color chipscompare to color names learned from real-world images. To avoid hand labeling real-worldimages with color names; we use Google image to collect a data set. Due to the limitations ofGoogle image; this data set contains a substantial quantity of wrongly labeled data. Wepropose several variants of the PLSA model to learn color names from this noisy data.Experimental results show that color names learned from real-world images significantly …,IEEE Transactions on Image Processing,2009,391
Efficient greedy learning of Gaussian mixture models,JJ Verbeek; Nikos Vlassis; B Kröse,This article concerns the greedy learning of gaussian mixtures. In the greedy approach;mixture components are inserted into the mixture one aftertheother. We propose a heuristicfor searching for the optimal component to insert. In a randomized manner; a set ofcandidate new components is generated. For each of these candidates; we find the locallyoptimal new component and insert it into the existing mixture. The resulting algorithmresolves the sensitivity to initialization of state-of-the-art methods; like expectationmaximization; and has running time linear in the number of data points and quadratic in the(final) number of mixture components. Due to its greedy nature; the algorithm can beparticularly useful when the optimal number of mixture components is unknown.Experimental results comparing the proposed algorithm to other methods on density …,Neural computation,2003,380
Multimodal semi-supervised learning for image classification,Matthieu Guillaumin; Jakob Verbeek; Cordelia Schmid,In image categorization the goal is to decide if an image belongs to a certain category or not.A binary classifier can be learned from manually labeled images; while using more labeledexamples improves performance; obtaining the image labels is a time consuming process.We are interested in how other sources of information can aid the learning process given afixed amount of labeled images. In particular; we consider a scenario where keywords areassociated with the training images; eg as found on photo sharing websites. The goal is tolearn a classifier for images alone; but we will use the keywords associated with labeled andunlabeled images to improve the classifier using semi-supervised learning. We first learn astrong Multiple Kernel Learning (MKL) classifier using both the image content and keywords;and use it to score unlabeled images. We then learn classifiers on visual features only …,CVPR,2010,334
Action and event recognition with fisher vectors on a compact feature set,Dan Oneata; Jakob Verbeek; Cordelia Schmid,Abstract Action recognition in uncontrolled video is an important and challenging computervision problem. Recent progress in this area is due to new local features and models thatcapture spatio-temporal structure between local features; or human-object interactions.Instead of working towards more complex models; we focus on the low-level features andtheir encoding. We evaluate the use of Fisher vectors as an alternative to bag-of-wordhistograms to aggregate a small set of state-of-the-art low-level descriptors; in combinationwith linear classifiers. We present a large and varied set of evaluations; considering (i)classification of short actions in five datasets;(ii) localization of such actions in feature-lengthmovies; and (iii) large-scale recognition of complex events. We find that for basic actionrecognition and localization MBH features alone are enough for stateof-the-art …,Computer Vision (ICCV); 2013 IEEE International Conference on,2013,291
Region classification with markov field aspect models,Jakob Verbeek; Bill Triggs,Considerable advances have been made in learning to recognize and localize visual objectclasses. Simple bag-of-feature approaches label each pixel or patch independently. Moreadvanced models attempt to improve the coherence of the labellings by introducing someform of inter-patch coupling: traditional spatial models such as MRF's provide crisper locallabellings by exploiting neighbourhood-level couplings; while aspect models such as PLSAand LDA use global relevance estimates (global mixing proportions for the classesappearing in the image) to shape the local choices. We point out that the two approachesare complementary; combining them to produce aspect-based spatial field models thatoutperform both approaches. We study two spatial models: one based on averaging overforests of minimal spanning trees linking neighboring image regions; the other on an …,CVPR 2007,2007,241
Accurate image search using the contextual dissimilarity measure,Herve Jegou; Cordelia Schmid; Hedi Harzallah; Jakob Verbeek,This paper introduces the contextual dissimilarity measure; which significantly improves theaccuracy of bag-of-features-based image search. Our measure takes into account the localdistribution of the vectors and iteratively estimates distance update terms in the spirit ofSinkhorn's scaling algorithm; thereby modifying the neighborhood structure. Experimentalresults show that our approach gives significantly better results than a standard distance andoutperforms the state of the art in terms of accuracy on the Nisteacuter-Steweacutenius andLola data sets. This paper also evaluates the impact of a large number of parameters;including the number of descriptors; the clustering method; the visual vocabulary size; andthe distance measure. The optimal parameter choice is shown to be quite context-dependent. In particular; using a large number of descriptors is interesting only when …,Pattern Analysis and Machine Intelligence; IEEE Transactions on,2010,175
