Synthesis and characterization of functional poly (γ-benzyl-l-glutamate)(PBLG) as a hydrophobic precursor,Jinshan Guo; Yubin Huang; Xiabin Jing; Xuesi Chen,Abstract Four kinds of functional poly (γ-benzyl-l-glutamate)(PBLG) copolymers containingchloro; azido; allyl or propargyl groups on the side chains were synthesized through esterexchange reactions of PBLG with functional alcohols without any protection and de-protection process. Hydrolysis of PBLG; which was found during the ester exchange reactionunder low ratios of alcohol to the repeat units of PBLG; was thoroughly investigated; andcould be successfully depressed by addition of certain amount of benzyl alcohol to thereaction system. Click chemistry reactions of the azidized or propargylated copolymers; thiol–ene reaction of the allyllated copolymer were taken successfully; indicating that thefunctional groups on the copolymers were still reactive. Microspheres were also formed;which showed the potential application of the functional polymers as micro-carriers …,Polymer,2009,40
Chemosynthesis of poly (ε-lysine)-analogous polymers by microwave-assisted click polymerization,Jinshan Guo; Ying Wei; Dongfang Zhou; Pingqiang Cai; Xiabin Jing; Xue-Si Chen; Yubin Huang,Poly (ε-lysine)(ε-PL)-analogous click polypeptides with not only similar α-amino side groupsbut also similar main chain to ε-PL were chemically synthesized for the first time throughclick polymerization from aspartic (or glutamic)-acid-based dialkyne and diazide monomers.With microwave-assisting; the reaction time of click polymerization was compressed into 30min. The polymers were fully characterized by NMR; ATR-FTIR; and SEC-MALLS analysis.The deprotected click polypeptides had similar p K a value (7.5) and relatively lowcytotoxicity as ε-PL and could be used as substitutes of ε-PL in biomedical applications;especially in endotoxin selective removal. Poly (ethylene glycol)(PEG)-containingalternating copolymers with α-amino groups were also synthesized and characterized. Afterdeprotection; the polymers could be used as functional gene vector with PEG shadowing …,Biomacromolecules,2011,39
Click chemistry plays a dual role in biodegradable polymer design,Jinshan Guo; Zhiwei Xie; Richard T Tran; Denghui Xie; Dadi Jin; Xiaochun Bai; Jian Yang,The need for soft and elastic scaffold materials to resemble the elastic nature of soft tissueshas recently driven the development of various biodegradable elastomeric polymers intissue engineering and drug delivery.[1–10] As a substitute for the native extracellular matrix(ECM) of a target tissue or organ; the ideal scaffold material should be not only soft andelastic; but also amenable to surface biofunctionalization to mediate cell and tissueresponses.[6; 8; 10–12] A number of biodegradable elastomeric polymers such as poly(glycerolsebacate)(PGS);[2; 9] poly (ε-caprolactone)(PCL);[2; 9] and citrate-basedbiodegradable elastomers (CABEs) such as poly (1; 8-octanediol citrate)(POC);[1; 4; 7]crosslinked urethane-doped polyester elastomers (CUPE);[5] poly (alkylene maleatecitrates)(PAMCs);[13] and biodegradable photoluminescent polymers (BPLPs)[6] have …,Advanced Materials,2014,35
Synthesis and self-assembly of a novel Y-shaped copolymer with a helical polypeptide arm,Jing Sun; Xuesi Chen; Jinshan Guo; Quan Shi; Zhigang Xie; Xiabin Jing,Abstract A novel biodegradable Y-shaped copolymer; poly (l-lactide) 2-b-poly (γ-benzyl-l-glutamic acid)(PLLA 2-b-PBLG); was synthesized by the ring-opening polymerization (ROP)of N-carboxyanhydride of γ-benzyl-l-glutamate (BLG–NCA) with centrally amino-functionalized poly (l-lactide); PLLA 2-NH 2; as a macroinitiator in a convenient way. The Y-shaped copolymer and its precursors were characterized by 1 H NMR; FT-IR; GPC; WAXDand DSC measurements. The self-assembly of the PLLA 2-b-PBLG copolymer in tolueneand benzyl alcohol was examined. It was found that the self-assembly of the copolymer wasdependent on solvent and on relative length of the PBLG block. For a copolymer with PLLAblocks of 26 in total degree of polymerization (DP); if the PBLG block was long enough (eg;DP= 54 or more); the copolymer/toluene solution became a transparent gel at room …,Polymer,2009,35
Citric acid-based hydroxyapatite composite scaffolds enhance calvarial regeneration,Dawei Sun; Yuhui Chen; Richard T Tran; Song Xu; Denghui Xie; Chunhong Jia; Yuchen Wang; Ying Guo; Zhongmin Zhang; Jinshan Guo; Jian Yang; Dadi Jin; Xiaochun Bai,Abstract Citric acid-based polymer/hydroxyapatite composites (CABP-HAs) are a novel classof biomimetic composites that have recently attracted significant attention in tissueengineering. The objective of this study was to compare the efficacy of using two differentCABP-HAs; poly (1; 8-octanediol citrate)-click-HA (POC-Click-HA) and crosslinked urethane-doped polyester-HA (CUPE-HA) as an alternative to autologous tissue grafts in the repair ofskeletal defects. CABP-HA disc-shaped scaffolds (65 wt.-% HA with 70% porosity) wereused as bare implants without the addition of growth factors or cells to renovate 4 mmdiameter rat calvarial defects (n= 72; n= 18 per group). Defects were either left empty(negative control group); or treated with CUPE-HA scaffolds; POC-Click-HA scaffolds; orautologous bone grafts (AB group). Radiological and histological data showed a …,Scientific reports,2014,30
Hydrogen‐Bond‐Selective Phase Transfer of Nanoparticles across Liquid/Gel Interfaces,Zhengwei Mao; Jinshan Guo; Shuo Bai; Tich‐Lam Nguyen; Haibing Xia; Yubin Huang; Paul Mulvaney; Dayang Wang,Abstract In the swim: Colloidal nanoparticles coated with polylactide (PLA; red) and poly(ethylene glycol) brushes (PEG; black) can transfer from organic to aqueous phases acrossliquid/liquid or liquid/gel interfaces during degradation of the PLA coating (see picture: firststep); which is driven selectively by the hydrogen bonding of the PEG coating with theaqueous phase (second step).,Angewandte Chemie International Edition,2009,28
Emulsion click microspheres: Morphology/Shape control by surface cross-linking and porogen,and Yubin Huang* Jinshan Guo; Dongfang Zhou; Jianqing Hu; Xuesi,Click chemistry plays a dual role in emulsion microsphere (MS) preparation as both an insitu cross-linking method and a bioconjugation route. The morphology/shape of the MSs canbe adjusted by applying surface click cross-linking and a porogen simultaneously. Theemulsion click cross-linked MSs have potential application in drug delivery; and thepreserved azide groups could be used for further surface conjugation with bioactivemolecules.,RSC Advances,2014,25
Layer-by-layer assembled polypeptide capsules for platinum-based pro-drug delivery,Dongfang Zhou; Haihua Xiao; Fanbo Meng; Shaoyang Zhou; Jinshan Guo; Xiaoyuan Li; Xiabin Jing; Yubin Huang,Platinum (IV); a pro-drug of platinum (II); was conjugated to poly (l-lysine)(PLL); and thenassembled with poly (glutamic acid)(PGA) through a layer-by-layer (LbL) approach oncolloidal silica templates. After removal of the templates; biodegradable PGA/PLL-Pt (IV)multilayer capsules (diameter= 0.5 μm) with 10 μg of platinum incorporated into each bilayerwere obtained. Under acidic and/or reductive conditions; the amount and rate of platinumreleased from the capsules were increased; which are desirable traits for platinum-basedanticancer drug delivery systems. Furthermore; in vitro evaluation showed that the PGA/PLL-Pt (IV) multilayer microcapsules displayed higher cytotoxicity (IC50Pt= 3.5 μg/mL) againstcolon cancer cells CT-26 than that of free cisplatin (IC50Pt= 8.6 μg/mL). This enhancedcytotoxicity was attributed to the effective internalization of the capsules by the cancer …,Bioconjugate chemistry,2012,24
Self‐Assembly of a Hydrophobic Polypeptide Containing a Short Hydrophilic Middle Segment: Vesicles to Large Compound Micelles,Jing Sun; Quan Shi; Xuesi Chen; Jinshan Guo; Xiabin Jing,Abstract This report describes a facile route to prepare the vesicles and large compoundmicelles (LCMs) from a series of poly (ε-benzyloxycarbonyl L-lysine)-block-poly [diethyleneglycol bis (3-amino propyl) ether]-block-poly (ε-benzyloxycarbonyl L-lysine)(PZLL-DGBE-PZLL) in their water solution; depending on molecular weight of the polypeptides. A pyreneprobe is used to demonstrate the aggregate formation of PZLL-DGBE-PZLL in solution; andalso to measure their critical micelle concentration as a function of molecular weight of thepolymer. Transmission electron microscopy; atomic force microscopy; dynamic lightscattering and confocal laser scanning microscopy are used to observe their aggregatemorphologies. Rhodamine B is used as a fluorescent probe to confirm the structure of largecompound micelles composed of many reverse micelles with aqueous cores. These …,Macromolecular Chemistry and Physics,2008,24
Synthesis and characterization of anti-bacterial and anti-fungal citrate-based mussel-inspired bioadhesives,Jinshan Guo; Wei Wang; Jianqing Hu; Denghui Xie; Ethan Gerhard; Merisa Nisic; Dingying Shan; Guoying Qian; Siyang Zheng; Jian Yang,Abstract Bacterial and fungal infections in the use of surgical devices and medical implantsremain a major concern. Traditional bioadhesives fail to incorporate anti-microbialproperties; necessitating additional anti-microbial drug injection. Herein; by the introductionof the clinically used and inexpensive anti-fungal agent; 10-undecylenic acid (UA); into ourrecently developed injectable citrate-based mussel-inspired bioadhesives (iCMBAs); a newfamily of anti-bacterial and anti-fungal iCMBAs (AbAf iCs) was developed. AbAf iCs not onlyshowed strong wet tissue adhesion strength; but also exhibited excellent in vitro cyto-compatibility; fast degradation; and strong initial and considerable long-term anti-bacterialand anti-fungal ability. For the first time; the biocompatibility and anti-microbial ability ofsodium metaperiodate (PI); an oxidant used as a cross-linking initiator in the AbAf iCs …,Biomaterials,2016,19
