Integration of single cell injection; cell lysis; separation and detection of intracellular constituents on a microfluidic chip,Jian Gao; Xue-Feng Yin; Zhao-Lun Fang,A microfluidic system was developed for the analysis of single biological cells; withfunctional integration of cell sampling; single cell loading; docking; lysing; and capillaryelectrophoretic (CE) separation with laser induced fluorescence (LIF) detection inmicrofabricated channels of a single glass chip. Channels were 12 µm deep and 48 µmwide; with a simple crossed-channel design. The effective separation channel length was 35mm. During sampling with a cell suspension (cell population 1.2× 105 cells per mL inphysiological salt solution); differential hydrostatic pressure (created by adjusting liquidlevels in the four reservoirs) was used to control cell flow exclusively through the channelcrossing. Single cell loading into the separation channel was achieved by electrophoreticmeans by applying a set of potentials at the four reservoirs; counteracting the hydrostatic …,Lab on a Chip,2004,319
System integration-A major step toward lab on a chip,Mandy LY Sin; Jian Gao; Joseph C Liao; Pak Kin Wong,Microfluidics holds great promise to revolutionize various areas of biological engineering;such as single cell analysis; environmental monitoring; regenerative medicine; and point-of-care diagnostics. Despite the fact that intensive efforts have been devoted into the field in thepast decades; microfluidics has not yet been adopted widely. It is increasingly realized thatan effective system integration strategy that is low cost and broadly applicable to variousbiological engineering situations is required to fully realize the potential of microfluidics. Inthis article; we review several promising system integration approaches for microfluidics anddiscuss their advantages; limitations; and applications. Future advancements of thesemicrofluidic strategies will lead toward translational lab-on-a-chip systems for a widespectrum of biological engineering applications.,*,2011,77
Hybrid electrokinetic manipulation in high-conductivity media,Jian Gao; Mandy LY Sin; Tingting Liu; Vincent Gau; Joseph C Liao; Pak Kin Wong,This study reports a hybrid electrokinetic technique for label-free manipulation of pathogenicbacteria in biological samples toward medical diagnostic applications. While mostelectrokinetic techniques only function in low-conductivity buffers; hybrid electrokineticsenables effective operation in high-conductivity samples; such as physiological fluids (∼ 1 Sm− 1). The hybrid electrokinetic technique combines short-range electrophoresis anddielectrophoresis; and long-range AC electrothermal flow to improve its effectiveness. Themajor technical hurdle of electrode instability for manipulating high conductivity samples istackled by using a Ti–Au–Ti sandwich electrode and a 3-parallel-electrode configuration isdesigned for continuous isolation of bacteria. The device operates directly with biologicalsamples including urine and buffy coats. We show that pathogenic bacteria and …,Lab on a Chip,2011,59
Single cell antimicrobial susceptibility testing by confined microchannels and electrokinetic loading,Yi Lu; Jian Gao; Donna D Zhang; Vincent Gau; Joseph C Liao; Pak Kin Wong,Multidrug-resistant pathogens are an emerging global health problem. In addition to theneed of developing new antibiotics in the pipeline; the ability to rapidly determine theantibiotic resistance profiles of bacteria represents one of the most crucial steps toward themanagement of infectious diseases and the prevention of multidrug-resistant pathogens.Here; we report a single cell antimicrobial susceptibility testing (AST) approach for rapiddetermination of the antibiotic resistance of bacterial pathogens. By confining individualbacteria in gas permeable microchannels with dimensions comparable to a singlebacterium; the antibiotic resistance of the bacteria can be monitored in real-time at the singlecell level. To facilitate the dynamic loading of the bacteria into the confined microchannelsfor observation; AC electrokinetics is demonstrated for capturing bacteria to defined …,Analytical chemistry,2013,40
Rhodium (iii)-catalyzed C–H alkynylation of azomethine ylides under mild conditions,Xueyun Zhang; Zisong Qi; Jian Gao; Xingwei Li,Rh (III)-catalyzed efficient C–H alkynylation of azomethine imines with alkynylatedhypervalent iodine is developed under mild conditions. A broad scope of azomethine iminesand alkyne substrates is established. The azomethine acts as a masked aldehyde andcircumvents its poor directing effect.,Organic & biomolecular chemistry,2014,25
Electrokinetic focusing and separation of mammalian cells in conductive biological fluids,Jian Gao; Reza Riahi; Mandy LY Sin; Shufeng Zhang; Pak Kin Wong,Active manipulation of cells; such as trapping; focusing; and isolation; is essential for variousbioanalytical applications. Herein; we report a hybrid electrokinetic technique formanipulating mammalian cells in physiological fluids. This technique applies a combinationof negative dielectrophoretic force and hydrodynamic drag force induced byelectrohydrodynamics; which is effective in conductive biological fluids. With a three-electrode configuration; the stable equilibrium positions of cells can be adjusted forseparation and focusing applications. Cancer cells and white blood cells can be positionedand isolated into specific locations in the microchannel under both static and dynamic flowconditions. To investigate the sensitivity of the hybrid electrokinetic process; AC voltage;frequency; and bias dependences of the cell velocity were studied systematically. The …,Analyst,2012,25
A sensitive SERS detection of miRNA using a label-free multifunctional probe,Hao Zhang; Yu Liu; Jian Gao; Junhui Zhen,A novel surface enhanced Raman scattering (SERS) detection method is fabricated formiRNA based on a smart multifunctional probe for dual cyclical nucleic acid strand-displacement polymerization (CNDP); achieving high sensitivity; universality; rapid analysis;and good performance in real cell samples.,Chemical Communications,2015,21
Diaquabis (vanillinato-κ2O; O′) manganese (II),Jian Gao; Yu Liu,In the title complex;[Mn (C8H7O3) 2 (H2O) 2]; the MnII atom is located on a twofold axis andis coordinated by two vanillinate anions and two water molecules in a distorted octahedralgeometry. The vanillinate ligand chelates to the MnII atom through its methoxy and hydroxyO atoms; with greatly differing Mn—O bond distances [2.3506 (14) and 2.0901 (12) Å].,Acta Crystallographica Section E: Structure Reports Online,2005,6
A Multiplex Electrochemical Biosensor for Bloodstream Infection Diagnosis,Jian Gao; Lindsie Jeffries; Kathleen E Mach; David W Craft; Neal J Thomas; Vincent Gau; Joseph C Liao; Pak Kin Wong,Accurate and timely detection of bacterial pathogens will improve the clinical managementof infections. Herein; we demonstrate an electrochemical biosensor that directly detectsbacteria in human blood samples; resulting in the rapid diagnosis of a bloodstream infection.The multiplex biosensor detects the species-specific sequences of the 16S ribosomal RNAof bacteria for pathogen identification in physiological samples without preamplification. Theanalytical performance characteristics of the biosensor; including the limit of detection andprobe cross-reactivity; are evaluated systematically. The feasibility of the biosensor for adiagnosis of a bloodstream infection is demonstrated by identifying bacterial clinical isolatesspiked in whole blood and blood culture samples that were tested positive for bacteria. Theelectrochemical biosensor correctly identifies all the species in the samples with 100 …,SLAS TECHNOLOGY: Translating Life Sciences Innovation,2017,5
Single cell injection and lysis on a microfluidic chip,Gao Jian; Yin Xuefeng; Fang Zhaolun; Xia Fangquan,Abstract A microfluidic system was developed for the analysis of single biological cells; withfunctional integration of cell sampling; single cell loading; docking; lysing; and capillaryelectrophoretic separation in microfabricated channels on a single glass chip. Channelswere 12# mu# m deep and 75# mu# m wide; with a double-T design cell injector that wasdirectly connected to a capillary electrophoretic separation channel with an effectiveseparation length of 37 mm. During sampling with a cell suspension (cell population 1.2×10~(5) cells/mL in physiological salt solution); differential hydrostatic pressure (created byadjusting liquid levels in the four reservoirs) was used to control cell flow exclusively throughthe 200# mu# m channel between the two T-junctions. Single cell loading into theseparation channel was achieved by electrophoretic means by applying a set of …,Chemical Journal of Chinese Universities,2003,4
Cobalt Determination by Means of Flow Injection On-line Sorbent Preconcentration-Flame Atomic Absorption Spectrometry with 1-Nitroso-2-naphthol as a Complexi...,Xue-feng Yin; Akbar Ali; Guang-ming Xu; Yun-yang Ling; Jian Gao; Mei-ying Ye,摘要The suitability of 1-nitroso-2-naphthol (NN) as a complexing agent for on-line preconcentration of cobalt eluted on the C 18 microcolumn by means of the FI-FAAS system wastested. Various parameters affecting the complex formation and its elution were optimized. A2.3× 10-3 mol/L reagent solution and the aqueous sample solution acidified with0.1%(volume fraction) nitric acid were on-line mixed (6.4 mL/min) on a reaction coil set at(65±1)℃ and flowed through the microcolumn for 30 s. The pH of the mixed solution wasadjusted to 3-4 with HNO 3 (1 mol/L) or NaOH (1 mol/L). The adsorbed complexes in themicrocolumn were eluted into the nebulizer of FAAS in 10 s with ethanol acidified with 1%HNO 3 (3.0 mL/min). A good precision (1.6% for 100 μg/L Co (Ⅱ); n= 10); a high enrichmentfactor 17.2; with detection limit (3σ) 3.2 μg/L; and sample throughput (90 h-1) were …,CHEMICAL RESEARCH IN CHINESE UNIVERSITIES,2001,4
Application of microfluidic chip systems for the research of single cell,ZL Fang J Gao; XF Yin,*,PROGRESS IN CHEMISTRY,2004,3
Integrating Single Cell Injection; Cell Lysis and Separation of Intracellular Constituents on a Microfluidic Chip,J Gao; XF Yin; ZL Fang,Abstract A microfluidic system was developed for the analysis of single biological cells;integrating cell sampling; single cell loading; docking; lysing; and CE separation with LIFdetection in the channels of a single chip. Differential hydrostatic pressure was used tocontrol cell flow through a channel crossing. Single cell loading into the separation channelwas achieved electrophoretically. The loaded cell was docked before lysing at 1.4 kV; andCE separation and LIF determination of NDA-labeled intracellular glutathione was achievedin single erythrocytes.,7th International Conference on Miniaturized Chemical and Biochemical Analysis Systems; Squaw Valley; California; USA,2003,2
A HYBRID ELECTROKINETIC PROCESSOR FOR ISOLATING EXFOLIATED CANCER CELLS AND CIRCULATING TUMOR CELLS IN PHYSIOLOGICAL SAMPLES,Jian Gao; Reza Riahi; Mandy LY Sin; Pak Kin Wong,Abstract This paper reports a hybrid electrokinetic processor that combines electrophoresis(EP); dielectrophoresis (DEP) and AC electrothermal flow (ACEF) for isolating exfoliatedcancer cells (ECCs) and circulating tumor cells (CTCs) in physiological samples. While mostelectrokinetic techniques only function in low-conductivity buffers; hybrid electrokineticsenables effective operation in high-conductivity physiological fluids (∼ 1 S/m) such asblood; buffy coat and urine. Using a 3-electrode configuration with optimized AC voltage;frequency and DC offset; we demonstrate that breast cancer cells can be isolated in buffycoats and biological fluids in 10 sec.,The 15th International Conference on  Miniaturized Systems for Chemistry and Life Sciences,2011,1
Sensitive SERS detection of lead ions via DNAzyme based quadratic signal amplification,Aihua Tian; Yu Liu; Jian Gao,Abstract Highly sensitive detection of Pb 2+ is very necessary for water quality control;clinical toxicology; and industrial monitoring. In this work; a simple and novel DNAzyme-based SERS quadratic amplification method is developed for the detection of Pb 2+. Thisstrategy possesses some remarkable features compared to the conventional DNAzyme-based SERS methods; which are as follows:(i) Coupled DNAzyme-activated hybridizationchain reaction (HCR) with bio barcodes; a quadratic amplification method is designed usingthe unique catalytic selectivity of DNAzyme. The SERS signal is significantly amplified. Thismethod is rapid with a detection time of 2 h.(ii) The problem of high background induced byexcess bio barcodes is circumvented by using magnetic beads (MBs) as the carrier of signal-output products; and this sensing system is simple in design and can easily be carried out …,Talanta,2017,*
Single-cell automatic analysis apparatus based on the double light path of microfluidic chip,*,*,*,2017,*
Hybrid electrokinetic microfluidic chip device using for manipulation of micro scale target,*,*,*,2016,*
A quick preparation method of using transparent adhesive tape engraving microfluidic chip mould,*,*,*,2016,*
Structure Studies on Order Assemblage of CadmiumⅡ Complexes,Y. Liu ;Y.F. Li; D.J. Song; H.X. Tian; J. Gao,*,Advanced Material Engineering: Proceedings of the 2015 International Conference on Advanced Material Engineering,2015,*
