Supporting structured credentials and sensitive policies through interoperable strategies for automated trust negotiation,Ting Yu; Marianne Winslett; Kent E Seamons,Abstract Business and military partners; companies and their customers; and other closelycooperating parties may have a compelling need to conduct sensitive interactions on line;such as accessing each other's local services and other local resources. Automated trustnegotiation is an approach to establishing trust between parties so that such interactions cantake place; through the use of access control policies that specify what combinations ofdigital credentials a stranger must disclose to gain access to a local resource. A party canuse many different strategies to negotiate trust; offering tradeoffs between the length of thenegotiation; the amount of extraneous information disclosed; and the computational effortexpended. To preserve parties' autonomy; each party should ideally be able to choose itsnegotiation strategy independently; while still being guaranteed that negotiations will …,ACM Transactions on Information and System Security (TISSEC),2003,387
Aggregate query answering on anonymized tables,Qing Zhang; Nick Koudas; Divesh Srivastava; Ting Yu,Privacy is a serious concern when microdata need to be released for ad hoc analyses. Theprivacy goals of existing privacy protection approaches (eg; k-anonymity and l-diversity) aresuitable only for categorical sensitive attributes. Since applying them directly to numericalsensitive attributes (eg; salary) may result in undesirable information leakage; we proposeprivacy goals to better capture the need of privacy protection for numerical sensitiveattributes. Complementing the desire for privacy is the need to support ad hoc aggregateanalyses over microdata. Existing generalization-based anonymization approaches cannotanswer aggregate queries with reasonable accuracy. We present a general framework ofpermutation-based anonymization to support accurate answering of aggregate queries andshow that; for the same grouping; permutation-based techniques can always answer …,Data Engineering; 2007. ICDE 2007. IEEE 23rd International Conference on,2007,372
Negotiating trust in the Web,Marianne Winslett; Ting Yu; Kent E Seamons; Adam Hess; Jared Jacobson; Ryan Jarvis; Bryan Smith; Lina Yu,Our system; TrustBuilder; supports automated trust negotiation between strangers on theInternet. TrustBuilder lets negotiating parties disclose relevant digital credentials and accesscontrol policies and establish the trust necessary to complete their interaction. TrustBuilder isintended for use in any situation where two entities from different security domains need toestablish trust-business-to-business and retail interactions; cooperative work and jointventures; medical records; mobile computing; and so on.,IEEE Internet Computing,2002,319
A unified scheme for resource protection in automated trust negotiation,Ting Yu; Marianne Winslett,Automated trust negotiation is an approach to establishing trust between strangers throughiterative disclosure of digital credentials. In automated trust negotiation; access controlpolicies play a key role in protecting resources from unauthorized access. Unlike intraditional trust management systems; the access control policy for a resource is usuallyunknown to the party requesting access to the resource; when trust negotiation starts. Thenegotiating parties can rely on policy disclosures to learn each other's access controlrequirements. However a policy itself may also contain sensitive information. Disclosingpolicies' contents unconditionally may leak valuable business information or jeopardizeindividuals' privacy. In this paper we propose UniPro; a unified scheme to model protectionof resources; including policies; in trust negotiation. UniPro improves on previous work by …,Security and Privacy; 2003. Proceedings. 2003 Symposium on,2003,251
Limiting the Disclosure of Access Control Policies during Automated Trust Negotiation.,Kent E Seamons; Marianne Winslett; Ting Yu,ABSTRACT Automated trust negotiation is a new approach to establishing trust betweenstrangers through the exchange ofdigital credentials and the use ofmobile access controlpolicies that specify what combinations of credentials a stranger must supply in order to gainaccess to each local service or credential. In this paper; we show that access control policiescan also contain sensitive information that should be protected from inappropriate access bystrangers during negotiation. We present and analyze two automated trust negotiationstrategies that support protection for access control policies. The first is the relevantcredentials set strategy; which does not directly disclose access control policies and has afast running time; but may disclose more credentials than strictly necessary. The secondstrategy is the all relevant policies strategy; which freely discloses all relevant access …,NDSS,2001,234
Interoperable strategies in automated trust negotiation,Ting Yu; Marianne Winslett; Kent E Seamons,Abstract Automated trust negotiation is an approach to establishing trust between strangersthrough the exchange of digital credentials and the use of access control policies thatspecify what combinations of credentials a stranger must disclose in order to gain access toeach local service or credential. We introduce the concept of a trust negotiation protocol;which defines the ordering of messages and the type of information messages will contain.To carry out trust negotiation; a party pairs its negotiation protocol with a trust negotiationstrategy that controls the exact content of the messages; ie; which credentials to disclose;when to disclose them; and when to terminate a negotiation. There are a huge number ofpossible strategies for negotiating trust; each with different properties with respect to speedof negotiations and caution in giving out credentials and policies. In the autonomous …,Proceedings of the 8th ACM conference on Computer and Communications Security,2001,208
Approximate XML joins,Sudipto Guha; HV Jagadish; Nick Koudas; Divesh Srivastava; Ting Yu,Abstract XML is widely recognized as the data interchange standard for tomorrow; becauseof its ability to represent data from a wide variety sources. Hence; XML is likely to be theformat through which data from multiple sources is integrated. In this paper we study theproblem of integrating XML data sources through correlations realized as join operations. Achallenging aspect of this operation is the XML document structure. Two documents mightconvey approximately or exactly the same information but may be quite different in structure.Consequently approximate match in structure; in addition to; content has to be folded in thejoin operation. We quantify approximate match in structure and content using well definednotions of distance. For structure; we propose computationally inexpensive lower and upperbounds for the tree edit distance metric between two trees. We then show how the tree …,Proceedings of the 2002 ACM SIGMOD international conference on Management of data,2002,197
Requirements for policy languages for trust negotiation,Kent E Seamons; Marianne Winslett; Ting Yu; Bryan Smith; Evan Child; Jared Jacobson; Hyrum Mills; Lina Yu,In open systems like the Internet; traditional approaches to security based on identity do notprovide a solution to the problem of establishing trust between strangers; because strangersdo not share the same security domain. A new approach to establishing trust betweenstrangers is trust negotiation; the bilateral exchange of digital credentials describingattributes of the negotiation participants. This approach relies on access control policies thatgovern access to protected resources by specifying credential combinations that must besubmitted to obtain authorization. We describe a model for trust negotiation; focusing on thecentral role of policies. We delineate requirements for policy languages and runtime systemsfor trust negotiation; and evaluate four existing policy languages for trust management withrespect to those requirements. We conclude with recommendations for extending existing …,Policies for Distributed Systems and Networks; 2002. Proceedings. Third International Workshop on,2002,195
Anonymizing bipartite graph data using safe groupings,Graham Cormode; Divesh Srivastava; Ting Yu; Qing Zhang,Abstract Private data often comes in the form of associations between entities; such ascustomers and products bought from a pharmacy; which are naturally represented in theform of a large; sparse bipartite graph. As with tabular data; it is desirable to be able topublish anonymized versions of such data; to allow others to perform ad hoc analysis ofaggregate graph properties. However; existing tabular anonymization techniques do notgive useful or meaningful results when applied to graphs: small changes or masking of theedge structure can radically change aggregate graph properties. We introduce a new familyof anonymizations; for bipartite graph data; called (k; l)-groupings. These groupingspreserve the underlying graph structure perfectly; and instead anonymize the mapping fromentities to nodes of the graph. We identify a class of" safe"(k; l)-groupings that have …,Proceedings of the VLDB Endowment,2008,178
Differentially private spatial decompositions,Graham Cormode; Cecilia Procopiuc; Divesh Srivastava; Entong Shen; Ting Yu,Differential privacy has recently emerged as the de facto standard for private data release.This makes it possible to provide strong theoretical guarantees on the privacy and utility ofreleased data. While it is well-understood how to release data based on counts and simplefunctions under this guarantee; it remains to provide general purpose techniques to releasedata that is useful for a variety of queries. In this paper; we focus on spatial data such aslocations and more generally any multi-dimensional data that can be indexed by a treestructure. Directly applying existing differential privacy methods to this type of data simplygenerates noise. We propose instead the class of" private spatial decompositions'': theseadapt standard spatial indexing methods such as quad trees and kd-trees to provide aprivate description of the data distribution. Equipping such structures with differential …,Data engineering (ICDE); 2012 IEEE 28th international conference on,2012,173
PRUNES: an efficient and complete strategy for automated trust negotiation over the Internet,Ting Yu; Xiaosong Ma; Marianne Winslett,ABSTRACT The Internet provides an environment where two parties; who are virtuallystrangers to each other; can make connections and do business together. Before any actualbusiness starts; a certain level of trust should be established. Each party should make surethat the other one is qualified and can be trusted for the ongoing business. Property-baseddigital credentials 1] make it possible to prove that a party satisfies certain requirementsimposed by the ongoing business. The problem is that digital credentials themselves alsocontain valuable information which a party does not want to show to just any strangers.Therefore; for each credential there is usually a disclosure policy associated with it;indicating under what circumstances this credential can be disclosed. An automated trustnegotiation strategy needs to be adopted to establish trust between two parties based on …,Proceedings of the 7th ACM conference on Computer and communications security,2000,171
Protecting privacy during on-line trust negotiation,Kent E Seamons; Marianne Winslett; Ting Yu; Lina Yu; Ryan Jarvis,Abstract The dramatic growth of services and information on the Internet is accompanied bygrowing concerns over privacy. Trust negotiation is a new approach to establishing trustbetween strangers on the Internet through the bilateral exchange of digital credentials; theon-line analogue to the paper credentials people carry in their wallets today. When acredential contains sensitive information; its disclosure is governed by an access controlpolicy that specifies credentials that must be received before the sensitive credential isdisclosed. This paper identifies the privacy vulnerabilities present in on-line trust negotiationand the approaches that can be taken to eliminate or minimize those vulnerabilities. Thepaper proposes modifications to negotiation strategies to help prevent the inadvertentdisclosure of credential information during online trust negotiation for those credentials or …,International Workshop on Privacy Enhancing Technologies,2002,144
