Brownian motion.,Peter Mörters; Yuval Peres,This eagerly awaited textbook covers everything the graduate student in probability wants toknow about Brownian motion; as well as the latest research in the area. Starting with theconstruction of Brownian motion; the book then proceeds to sample path properties likecontinuity and nowhere differentiability. Notions of fractal dimension are introduced earlyand are used throughout the book to describe fine properties of Brownian paths. The relationof Brownian motion and random walk is explored from several viewpoints; including adevelopment of the theory of Brownian local times from random walk embeddings.Stochastic integration is introduced as a tool and an accessible treatment of the potentialtheory of Brownian motion clears the path for an extensive treatment of intersections ofBrownian paths. An investigation of exceptional points on the Brownian path and an …,*,2010,656
The universality classes in the parabolic Anderson model,Remco Van Der Hofstad; Wolfgang König; Peter Mörters,Abstract We discuss the long time behaviour of the parabolic Anderson model; the Cauchyproblem for the heat equation with random potential on Z^ d. We consider general iidpotentials and show that exactly four qualitatively different types of intermittent behaviourcan occur. These four universality classes depend on the upper tail of the potentialdistribution:(1) tails at∞ that are thicker than the double-exponential tails;(2) double-exponential tails at∞ studied by Gärtner and Molchanov;(3) a new class called almostbounded potentials; and (4) potentials bounded from above studied by Biskup and König.The new class (3); which contains both unbounded and bounded potentials; is studied inboth the annealed and the quenched setting. We show that intermittency occurs onunboundedly increasing islands whose diameter is slowly varying in time. The …,Communications in mathematical physics,2006,81
Small Scale Limit Theorems for the Intersection LocalTimes of Brownian Motion,Peter Morters; Narn-Rueih Shieh,*,Electronic Journal of Probability,1999,66
Random networks with sublinear preferential attachment: degree evolutions,Steffen Dereich; Peter Mörters,Abstract We define a dynamic model of random networks; where new vertices are connectedto old ones with a probability proportional to a sublinear function of their degree. We firstgive a strong limit law for the empirical degree distribution; and then have a closer look atthe temporal evolution of the degrees of individual vertices; which we describe in terms oflarge and moderate deviation principles. Using these results; we expose an interestingphase transition: in cases of strong preference of large degrees; eventually a single vertexemerges forever as vertex of maximal degree; whereas in cases of weak preference; thevertex of maximal degree is changing infinitely often. Loosely speaking; the transitionbetween the two phases occurs in the case when a new edge is attached to an existingvertex with a probability proportional to the root of its current degree.,Electronic Journal of Probability,2009,54
Brownian intersection local times: upper tail asymptotics and thick points,Wolfgang König; Peter Mörters,We equip the intersection of p independent Brownian paths in Rd; d≥ 2; with the naturalmeasure ℓ defined by projecting the intersection local time measure via one of the Brownianmotions onto the set of intersection points. Given a bounded domain we show that; as a↑∞;the probability of the event {l (U)> a} decays with an exponential rate of a1/pθ; where Θ isdescribed in terms of a variational problem. In the important special case when U is the unitball in R3 and p= 2; we characterize Θ in terms of an ordinary differential equation. We applyour results to the problem of finding the Hausdorff dimension spectrum for the thick points ofthe intersection of two independent Brownian paths in R3.,Annals of probability,2002,51
A two cities theorem for the parabolic Anderson model,Wolfgang König; Hubert Lacoin; Peter Mörters; Nadia Sidorova,Abstract The parabolic Anderson problem is the Cauchy problem for the heat equation∂ tu(t; z)= Δu (t; z)+ ξ (z) u (t; z) on (0;∞)× ℤ d with random potential (ξ (z): z∈ ℤ d). We considerindependent and identically distributed potentials; such that the distribution function of ξ (z)converges polynomially at infinity. If u is initially localized in the origin; that is; if $ u(0;{z})={\mathbh1} _ {0}({z}) $; we show that; as time goes to infinity; the solution iscompletely localized in two points almost surely and in one point with high probability. Wealso identify the asymptotic behavior of the concentration sites in terms of a weak limittheorem.,The Annals of Probability,2009,49
Weak and almost sure limits for the parabolic Anderson model with heavy tailed potentials,Remco Van Der Hofstad; Peter Mörters; Nadia Sidorova,Abstract We study the parabolic Anderson problem; that is; the heat equation∂ tu= Δu+ξu on(0;∞)× ℤ d with independent identically distributed random potential {ξ (z): z∈ ℤ d} andlocalized initial condition u (0; x)= 1 0 (x). Our interest is in the long-term behavior of therandom total mass U (t)=∑ zu (t; z) of the unique nonnegative solution in the case that thedistribution of ξ (0) is heavy tailed. For this; we study two paradigm cases of distributions withinfinite moment generating functions: the case of polynomial or Pareto tails; and the case ofstretched exponential or Weibull tails. In both cases we find asymptotic expansions for thelogarithm of the total mass up to the first random term; which we describe in terms of weaklimit theorems. In the case of polynomial tails; already the leading term in the expansion israndom. For stretched exponential tails; we observe random fluctuations in the almost …,The Annals of Applied Probability,2008,36
On the multifractal spectrum of the branching measure on a Galton–Watson tree,Peter Mörters; Narn-Rueih Shieh,Abstract Suppose that μ is the branching measure on the boundary of a supercritical Galton–Watson tree with offspring distribution N such that E [N log N]<∞ and P {N= 1}> 0. Wedetermine the multifractal spectrum of μ using a method different from that proposed byShieh and Taylor; which is flawed.,Journal of applied probability,2004,33
Ageing in the parabolic Anderson model,Peter Mörters; Marcel Ortgiese; Nadia Sidorova,Abstract. The parabolic Anderson model is the Cauchy problem for the heat equation with arandom potential. We consider this model in a setting which is continuous in time anddiscrete in space; and focus on time-constant; independent and identically distributedpotentials with polynomial tails at infinity. We are concerned with the long-term temporaldynamics of this system. Our main result is that the periods; in which the profile of thesolutions remains nearly constant; are increasing linearly over time; a phenomenon knownas ageing. We describe this phenomenon in the weak sense; by looking at the asymptoticprobability of a change in a given time window; and in the strong sense; by identifying thealmost sure upper envelope for the process of the time remaining until the next change ofprofile. We also prove functional scaling limit theorems for profile and growth rate of the …,Annales de l'Institut Henri Poincaré; Probabilités et Statistiques,2011,28
Large deviations of Markov chains indexed by random trees,Amir Dembo; Peter Mörters; Scott Sheffield,Abstract Given a finite typed rooted tree T with n vertices; the empirical subtree measure isthe uniform measure on the n typed subtrees of T formed by taking all descendants of asingle vertex. We prove a large deviation principle in n; with explicit rate function; for theempirical subtree measures of multitype Galton–Watson trees conditioned to have exactly nvertices. In the process; we extend the notions of shift-invariance and specific relativeentropy—as typically understood for Markov fields on deterministic graphs such as Z d—toMarkov fields on random trees. We also develop single-generation empirical measure largedeviation principles for a more general class of random trees including trees sampleduniformly from the set of all trees with n vertices.,Annales de l'Institut Henri Poincare (B) Probability and Statistics,2005,28
