Dbpedia: A nucleus for a web of open data,Sören Auer; Christian Bizer; Georgi Kobilarov; Jens Lehmann; Richard Cyganiak; Zachary Ives,Abstract DBpedia is a community effort to extract structured information from Wikipedia andto make this information available on the Web. DBpedia allows you to ask sophisticatedqueries against datasets derived from Wikipedia and to link other datasets on the Web toWikipedia data. We describe the extraction of the DBpedia datasets; and how the resultinginformation is published on the Web for human-and machine-consumption. We describesome emerging applications from the DBpedia community and show how website authorscan facilitate DBpedia content within their sites. Finally; we present the current status ofinterlinking DBpedia with other open datasets on the Web and outline how DBpedia couldserve as a nucleus for an emerging Web of open data.,*,2007,2935,7
An adaptive query execution system for data integration,Zachary G Ives; Daniela Florescu; Marc Friedman; Alon Levy; Daniel S Weld,Abstract Query processing in data integration occurs over network-bound; autonomous datasources. This requires extensions to traditional optimization and execution techniques forthree reasons: there is an absence of quality statistics about the data; data transfer rates areunpredictable and bursty; and slow or unavailable data sources can often be replaced byoverlapping or mirrored sources. This paper presents the Tukwila data integration system;designed to support adaptivity at its core using a two-pronged approach. Interleavedplanning and execution with partial optimization allows Tukwila to quickly recover fromdecisions based on inaccurate estimates. During execution; Tukwila uses adaptive queryoperators such as the double pipelined hash join; which produces answers quickly; and thedynamic collector; which robustly and efficiently computes unions across overlapping …,ACM SIGMOD Record,1999,590,7
Schema mediation in peer data management systems,Alon Y Halevy; Zachary G Ives; Dan Suciu; Igor Tatarinov,Intuitively; data management and data integration tools should be well-suited for exchanginginformation in a semantically meaningful way. Unfortunately; they suffer from two significantproblems: they typically require a comprehensive schema design before they can be used tostore or share information; and they are difficult to extend because schema evolution isheavyweight and may break backwards compatibility. As a result; many small-scale datasharing tasks are more easily facilitated by nondatabase-oriented tools that have littlesupport for semantics. The goal of the peer data management system (PDMS) is to addressthis need: we propose the use of a decentralized; easily extensible data managementarchitecture in which any user can contribute new data; schema information; or evenmappings between other peer's schemas. PDMSs represent a natural step beyond data …,Data Engineering; 2003. Proceedings. 19th International Conference on,2003,571,15
Piazza: data management infrastructure for semantic web applications,Alon Y Halevy; Zachary G Ives; Peter Mork; Igor Tatarinov,Abstract The Semantic Web envisions a World Wide Web in which data is described withrich semantics and applications can pose complex queries. To this point; researchers havedefined new languages for specifying meanings for concepts and developed techniques forreasoning about them; using RDF as the data model. To flourish; the Semantic Web needsto be able to accommodate the huge amounts of existing data and the applicationsoperating on them. To achieve this; we are faced with two problems. First; most of the world'sdata is available not in RDF but in XML; XML and the applications consuming it rely not onlyon the domain structure of the data; but also on its document structure. Hence; to provideinteroperability between such sources; we must map between both their domain structuresand their document structures. Second; data management practitioners often prefer to …,Proceedings of the 12th international conference on World Wide Web,2003,471,15
Updating xml,Igor Tatarinov; Zachary G Ives; Alon Y Halevy; Daniel S Weld,Abstract As XML has developed over the past few years; its role has expanded beyond itsoriginal domain as a semantics-preserving markup language for online documents; and it isnow also the de facto format for interchanging data between heterogeneous systems. Datasources expert XML “views” over their data; and other system can directly import or querythese views. As a result; there has been great interest in languages and systems forexpressing queries over XML data; whether the XML is stored in a repository or generatedas a view over some other data storage format. Clearly; in order to fully evolve XML into auniversal data representation and sharing format; we must allow users to specify updates toXML documents and must develop techniques to process them efficiently. Updatecapabilities are important not only for modifying XML documents; but also for propagating …,ACM SIGMOD Record,2001,441,4
What can database do for peer-to-peer?,Steven D Gribble; Alon Y Halevy; Zachary G Ives; Maya Rodrig; Dan Suciu,Abstract The Internet community has recently been focused on peer-to-peer systems likeNapster; Gnutella; and Freenet. The grand vision—a decentralized community of machinespooling their resources to benefit everyone—is compelling for many reasons: scalability;robustness; lack of need for administration; and even anonymity and resistance tocensorship. Existing peer-to-peer (P2P) systems have focused on specific applicationdomains (eg music files) or on providing filesystem-like capabilities; these systems ignorethe semantics of data. An important question for the database community is how datamanagement can be applied to P2P; and what we can learn from and contribute to the P2Parea. We address these questions; identify a number of potential research ideas in theoverlap between data management and P2P systems; present some preliminary …,WebDB,2001,355,15
Principles of data integration,AnHai Doan; Alon Halevy; Zachary Ives,Principles of Data Integration is the first comprehensive textbook of data integration;covering theoretical principles and implementation issues as well as current challengesraised by the semantic web and cloud computing. The book offers a range of dataintegration solutions enabling you to focus on what is most relevant to the problem at hand.Readers will also learn how to build their own algorithms and implement their own dataintegration application. Written by three of the most respected experts in the field; this bookprovides an extensive introduction to the theory and concepts underlying today's dataintegration techniques; with detailed; instruction for their application using concreteexamples throughout to explain the concepts. This text is an ideal resource for databasepractitioners in industry; including data warehouse engineers; database system …,*,2012,343,10
Adaptive query processing,Amol Deshpande; Zachary Ives; Vijayshankar Raman,Abstract As the data management field has diversified to consider settings in which queriesare increasingly complex; statistics are less available; or data is stored remotely; there hasbeen an acknowledgment that the traditional optimize-then-execute paradigm is insufficient.This has led to a plethora of new techniques; generally placed under the common banner ofadaptive query processing; that focus on using runtime feedback to modify query processingin a way that provides better response time or more efficient CPU utilization.,Foundations and Trends® in Databases,2007,323,4
The piazza peer data management system,Alon Y Halevy; Zachary G Ives; Jayant Madhavan; Peter Mork; Dan Suciu; Igor Tatarinov,Intuitively; data management and data integration tools are well-suited for exchanginginformation in a semantically meaningful way. Unfortunately; they suffer from two significantproblems: They typically require a comprehensive schema design before they can be usedto store or share information and they are difficult to extend because schema evolution isheavyweight and may break backward compatibility. As a result; many small-scale datasharing tasks are more easily facilitated by nondatabase-oriented tools that have littlesupport for semantics. The goal of the peer data management system (PDMS) is to addressthis need: We propose the use of a decentralized; easily extensible data managementarchitecture in which any user can contribute new data; schema information; or evenmappings between other peers' schemes. PDMSs represent a natural step beyond data …,IEEE Transactions on Knowledge and Data Engineering,2004,322,15
The Piazza peer data management project,Igor Tatarinov; Zachary Ives; Jayant Madhavan; Alon Halevy; Dan Suciu; Nilesh Dalvi; Xin Luna Dong; Yana Kadiyska; Gerome Miklau; Peter Mork,Abstract A major problem in today's information-driven world is that sharing heterogeneous;semantically rich data is incredibly difficult. Piazza is a peer data management system thatenables sharing heterogeneous data in a distributed and scalable way. Piazza assumes theparticipants to be interested in sharing data; and willing to define pairwise mappingsbetween their schemas. Then; users formulate queries over their preferred schema; and aquery answering system expands recursively any mappings relevant to the query; retrievingdata from other peers. In this paper; we provide a brief overview of the Piazza projectincluding our work on developing mapping languages and query reformulation algorithms;assisting the users in defining mappings; indexing; and enforcing access control overshared data.,ACM Sigmod Record,2003,263,7
