Progressive skyline computation in database systems,Dimitris Papadias; Yufei Tao; Greg Fu; Bernhard Seeger,Abstract The skyline of a d-dimensional dataset contains the points that are not dominatedby any other point on all dimensions. Skyline computation has recently receivedconsiderable attention in the database community; especially for progressive methods thatcan quickly return the initial results without reading the entire database. All the existingalgorithms; however; have some serious shortcomings which limit their applicability inpractice. In this article we develop branch-and-bound skyline (BBS); an algorithm based onnearest-neighbor search; which is I/O optimal; that is; it performs a single access only tothose nodes that may contain skyline points. BBS is simple to implement and supports alltypes of progressive processing (eg; user preferences; arbitrary dimensionality; etc).Furthermore; we propose several interesting variations of skyline computation; and show …,ACM Transactions on Database Systems (TODS),2005,865,6
An optimal and progressive algorithm for skyline queries,Dimitris Papadias; Yufei Tao; Greg Fu; Bernhard Seeger,Abstract The skyline of a set of d-dimensional points contains the points that are notdominated by any other point on all dimensions. Skyline computation has recently receivedconsiderable attention in the database community; especially for progressive (or online)algorithms that can quickly return the first skyline points without having to read the entiredata file. Currently; the most efficient algorithm is NN (< u> n</u> earest< u> n</u>eighbors); which applies the divide-and-conquer framework on datasets indexed by R-trees.Although NN has some desirable features (such as high speed for returning the initialskyline points; applicability to arbitrary data distributions and dimensions); it also presentsseveral inherent disadvantages (need for duplicate elimination if d> 2; multiple accesses ofthe same node; large space overhead). In this paper we develop BBS (< u> b</u> ranch …,Proceedings of the 2003 ACM SIGMOD international conference on Management of data,2003,858,22
Query processing in spatial network databases,Dimitris Papadias; Jun Zhang; Nikos Mamoulis; Yufei Tao,Abstract Despite the importance of spatial networks in real-life applications; most of thespatial database literature focuses on Euclidean spaces. In this paper we propose anarchitecture that integrates network and Euclidean information; capturing pragmaticconstraints. Based on this architecture; we develop a Euclidean restriction and a networkexpansion framework that take advantage of location and connectivity to efficiently prune thesearch space. These frameworks are successfully applied to the most popular spatialqueries; namely nearest neighbors; range search; closest pairs and e-distance joins; in thecontext of spatial network databases.,Proceedings of the 29th international conference on Very large data bases-Volume 29,2003,772,10
Anatomy: Simple and effective privacy preservation,Xiaokui Xiao; Yufei Tao,Abstract This paper presents a novel technique; anatomy; for publishing sensitive data.Anatomy releases all the quasi-identifier and sensitive values directly in two separate tables.Combined with a grouping mechanism; this approach protects privacy; and captures a largeamount of correlation in the microdata. We develop a linear-time algorithm for computinganatomized tables that obey the l-diversity privacy requirement; and minimize the error ofreconstructing the microdata. Extensive experiments confirm that our technique allowssignificantly more effective data analysis than the conventional publication method based ongeneralization. Specifically; anatomy permits aggregate reasoning with average error below10%; which is lower than the error obtained from a generalized table by orders ofmagnitude.,Proceedings of the 32nd international conference on Very large data bases,2006,751,10
The TPR*-tree: an optimized spatio-temporal access method for predictive queries,Yufei Tao; Dimitris Papadias; Jimeng Sun,Abstract A predictive spatio-temporal query retrieves the set of moving objects that willintersect a query window during a future time interval. Currently; the only access method forprocessing such queries in practice is the TPR-tree. In this paper we first perform an analysisto determine the factors that affect the performance of predictive queries and show thatseveral of these factors are not considered by the TPR-tree; which uses theinsertion/deletion algorithms of the R*-tree designed for static data. Motivated by this; wepropose a new index structure called the TPR*-tree; which takes into account the uniquefeatures of dynamic objects through a set of improved construction algorithms. In addition;we provide cost models that determine the optimal performance achievable by any data-partition spatio-temporal access method. Using experimental comparison; we illustrate …,Proceedings of the 29th international conference on Very large data bases-Volume 29,2003,714,20
Personalized privacy preservation,Xiaokui Xiao; Yufei Tao,Abstract We study generalization for preserving privacy in publication of sensitive data. Theexisting methods focus on a universal approach that exerts the same amount of preservationfor all persons; with-out catering for their concrete needs. The consequence is that we maybe offering insufficient protection to a subset of people; while applying excessive privacycontrol to another subset. Motivated by this; we present a new generalization frameworkbased on the concept of personalized anonymity. Our technique performs the minimumgeneralization for satisfying everybody's requirements; and thus; retains the largest amountof information from the microdata. We carry out a careful theoretical study that leads tovaluable insight into the behavior of alternative solutions. In particular; our analysismathematically reveals the circumstances where the previous work fails to protect privacy …,Proceedings of the 2006 ACM SIGMOD international conference on Management of data,2006,601,20
Continuous nearest neighbor search,Yufei Tao; Dimitris Papadias; Qiongmao Shen,A continuous nearest neighbor query retrieves the nearest neighbor (NN) of every point on aline segment. The result contains a set of tuples; such that point is the NN of all points in thecorresponding interval. Existing methods for continuous nearest neighbor search are basedon the repetitive application of simple NN algorithms; which incurs significant overhead. Inthis paper; one proposes techniques that solve the problem by performing a single query forthe whole input segment. As a result; the cost; depending on the query and datasetcharacteristics; may drop by orders of magnitude. CNN queries are essential for severalapplications such as location-based commerce and geographic informationsystems.Continuous Nearest Neighbor Search Yufei Tao Dimitris Papadias Qiongmao ShenDepartment of Computer Science Hong Kong University of Science and Technology …,*,2002,577,10
M-invariance: towards privacy preserving re-publication of dynamic datasets,Xiaokui Xiao; Yufei Tao,Abstract The previous literature of privacy preserving data publication has focused onperforming" one-time" releases. Specifically; none of the existing solutions supports re-publication of the microdata; after it has been updated with insertions< u> and</u> deletions.This is a serious drawback; because currently a publisher cannot provide researchers withthe most recent dataset continuously. This paper remedies the drawback. First; we reveal thecharacteristics of the re-publication problem that invalidate the conventional approachesleveraging k-anonymity and l-diversity. Based on rigorous theoretical analysis; we develop anew generalization principle m-invariance that effectively limits the risk of privacy disclosurein re-publication. We accompany the principle with an algorithm; which computes privacy-guarded relations that permit retrieval of accurate aggregate information about the …,Proceedings of the 2007 ACM SIGMOD international conference on Management of data,2007,484,20
The mv3r-tree: A spatio-temporal access method for timestamp and interval queries,Yufei Tao; Dimitris Papadias,Among the various types of spatio-temporal queries; the most common ones involve windowqueries in time. In particular; timestamp (or timeslice) queries retrieve all the objects thatintersect a window at a specific timestamp. Interval queries include multiple consecutivetimestamps. Although several indexes have been developed for either type; currently theredoes not exist a structure that can efficiently process both query types. This is a significantproblem due to the fundamental importance of these queries in any spatio-temporal systemthat deals with historical information retrieval. Our paper addresses the problem byproposing the MV3R-tree; a structure that utilizes the concepts of multi-version B-trees and3D R-trees. Extensive experimentation proves that MV3R-trees compare favorably withspecialized structures aimed at timestamp and interval window queries; both in terms of …,Proceedings of Very Large Data Bases Conference (VLDB); 11-14 September; Rome,2001,435,20
Efficient OLAP operations in spatial data warehouses,Dimitris Papadias; Panos Kalnis; Jun Zhang; Yufei Tao,Abstract Spatial databases store information about the position of individual objects inspace. In many applications however; such as traffic supervision or mobile communications;only summarized data; like the number of cars in an area or phones serviced by a cell; isrequired. Although this information can be obtained from transactional spatial databases; itscomputation is expensive; rendering online processing inapplicable. Driven by the non-spatial paradigm; spatial data warehouses can be constructed to accelerate spatial OLAPoperations. In this paper we consider the star-schema and we focus on the spatialdimensions. Unlike the non-spatial case; the groupings and the hierarchies can benumerous and unknown at design time; therefore the well-known materialization techniquesare not directly applicable. In order to address this problem; we construct an ad-hoc …,International Symposium on Spatial and Temporal Databases,2001,434,19
Location-based spatial queries,Jun Zhang; Manli Zhu; Dimitris Papadias; Yufei Tao; Dik Lun Lee,Abstract In this paper we propose an approach that enables mobile clients to determine thevalidity of previous queries based on their current locations. In order to make this possible;the server returns in addition to the query result; a validity region around the client's locationwithin which the result remains the same. We focus on two of the most common spatial querytypes; namely nearest neighbor and window queries; define the validity region in each caseand propose the corresponding query processing algorithms. In addition; we provideanalytical models for estimating the expected size of the validity region. Our techniques cansignificantly reduce the number of queries issued to the server; while introducing minimalcomputational and network overhead compared to traditional spatial queries.,Proceedings of the 2003 ACM SIGMOD international conference on Management of data,2003,354,10
