Evaluating probabilistic queries over imprecise data,Reynold Cheng; Dmitri V Kalashnikov; Sunil Prabhakar,Abstract Many applications employ sensors for monitoring entities such as temperature andwind speed. A centralized database tracks these entities to enable query processing. Due tocontinuous changes in these values and limited resources (eg; network bandwidth andbattery power); it is often infeasible to store the exact values at all times. A similar situationexists for moving object environments that track the constantly changing locations of objects.In this environment; it is possible for database queries to produce incorrect or invalid resultsbased upon old data. However; if the degree of error (or uncertainty) between the actualvalue and the database value is controlled; one can place more confidence in the answersto queries. More generally; query answers can be augmented with probabilistic estimates ofthe validity of the answers. In this paper we study probabilistic query evaluation based …,Proceedings of the 2003 ACM SIGMOD international conference on Management of data,2003,737,10
Querying imprecise data in moving object environments,Reynold Cheng; Dmitri V Kalashnikov; Sunil Prabhakar,In moving object environments; it is infeasible for the database tracking the movement ofobjects to store the exact locations of objects at all times. Typically; the location of an objectis known with certainty only at the time of the update. The uncertainty in its locationincreases until the next update. In this environment; it is possible for queries to produceincorrect results based upon old data. However; if the degree of uncertainty is controlled;then the error of the answers to queries can be reduced. More generally; query answers canbe augmented with probabilistic estimates of the validity of the answer. We study theexecution of probabilistic range and nearest-neighbor queries. The imprecision in answersto queries is an inherent property of these applications due to uncertainty in data; unlike thetechniques for approximate nearest-neighbor processing that trade accuracy for …,IEEE Transactions on Knowledge and Data Engineering,2004,589,21
Indexing multi-dimensional uncertain data with arbitrary probability density functions,Yufei Tao; Reynold Cheng; Xiaokui Xiao; Wang Kay Ngai; Ben Kao; Sunil Prabhakar,Abstract In an" uncertain database"; an object o is associated with a multi-dimensionalprobability density function (pdf); which describes the likelihood that o appears at eachposition in the data space. A fundamental operation is the" probabilistic range search"which; given a value pq and a rectangular area rq; retrieves the objects that appear in rqwith probabilities at least p q. In this paper; we propose the U-tree; an access methoddesigned to optimize both the I/O and CPU time of range retrieval on multi-dimensionalimprecise data. The new structure is fully dynamic (ie; objects can be incrementallyinserted/deleted in any order); and does not place any constraints on the data pdfs. Weverify the query and update efficiency of U-trees with extensive experiments.,Proceedings of the 31st international conference on Very large data bases,2005,350,12
Efficient indexing methods for probabilistic threshold queries over uncertain data,Reynold Cheng; Yuni Xia; Sunil Prabhakar; Rahul Shah; Jeffrey Scott Vitter,Abstract It is infeasible for a sensor database to contain the exact value of each sensor at allpoints in time. This uncertainty is inherent in these systems due to measurement andsampling errors; and resource limitations. In order to avoid drawing erroneous conclusionsbased upon stale data; the use of uncertainty intervals that model each data item as a rangeand associated probability density function (pdf) rather than a single value has recently beenproposed. Querying these uncertain data introduces imprecision into answers; in the form ofprobability values that specify the likeliness the answer satisfies the query. These queriesare more expensive to evaluate than their traditional counterparts but are guaranteed to becorrect and more informative due to the probabilities accompanying the answers. Althoughthe answer probabilities are useful; for many applications; it is only necessary to know …,Proceedings of the Thirtieth international conference on Very large data bases-Volume 30,2004,334,12
Preserving user location privacy in mobile data management infrastructures,Reynold Cheng; Yu Zhang; Elisa Bertino; Sunil Prabhakar,Abstract Location-based services; such as finding the nearest gas station; require users tosupply their location information. However; a user's location can be tracked without herconsent or knowledge. Lowering the spatial and temporal resolution of location data sent tothe server has been proposed as a solution. Although this technique is effective in protectingprivacy; it may be overkill and the quality of desired services can be severely affected. In thispaper; we suggest a framework where uncertainty can be controlled to provide high qualityand privacy-preserving services; and investigate how such a framework can be realized inthe GPS and cellular network systems. Based on this framework; we suggest a data model toaugment uncertainty to location data; and propose imprecise queries that hide the locationof the query issuer and yields probabilistic results. We investigate the evaluation and …,International Workshop on Privacy Enhancing Technologies,2006,315,11
Efficient clustering of uncertain data,Wang Kay Ngai; Ben Kao; Chun Kit Chui; Reynold Cheng; Michael Chau; Kevin Y Yip,We study the problem of clustering data objects whose locations are uncertain. A data objectis represented by an uncertainty region over which a probability density function (pdf) isdefined. One method to cluster uncertain objects of this sort is to apply the UK-meansalgorithm; which is based on the traditional K-means algorithm. In UK-means; an object isassigned to the cluster whose representative has the smallest expected distance to theobject. For arbitrary pdf; calculating the expected distance between an object and a clusterrepresentative requires expensive integration computation. We study various pruningmethods to avoid such expensive expected distance calculation.,Data Mining; 2006. ICDM'06. Sixth International Conference on,2006,291,0
Uncertain data mining: An example in clustering location data,Michael Chau; Reynold Cheng; Ben Kao; Jackey Ng,Abstract Data uncertainty is an inherent property in various applications due to reasons suchas outdated sources or imprecise measurement. When data mining techniques are appliedto these data; their uncertainty has to be considered to obtain high quality results. Wepresent UK-means clustering; an algorithm that enhances the K-means algorithm to handledata uncertainty. We apply UK-means to the particular pattern of moving-object uncertainty.Experimental results show that by considering uncertainty; a clustering algorithm canproduce more accurate results.,Pacific-Asia Conference on Knowledge Discovery and Data Mining,2006,198,18
Probabilistic verifiers: Evaluating constrained nearest-neighbor queries over uncertain data,Reynold Cheng; Jinchuan Chen; Mohamed Mokbel; Chi-Yin Chow,In applications like location-based services; sensor monitoring and biological databases; thevalues of the database items are inherently uncertain in nature. An important query foruncertain objects is the Probabilistic Nearest-Neighbor Query (PNN); which computes theprobability of each object for being the nearest neighbor of a query point. Evaluating thisquery is computationally expensive; since it needs to consider the relationship amonguncertain objects; and requires the use of numerical integration or Monte-Carlo methods.Sometimes; a query user may not be concerned about the exact probability values. Forexample; he may only need answers that have sufficiently high confidence. We thus proposethe Constrained Nearest-Neighbor Query (C-PNN); which returns the IDs of objects whoseprobabilities are higher than some threshold; with a given error bound in the answers …,Data Engineering; 2008. ICDE 2008. IEEE 24th International Conference on,2008,171,0
Range search on multidimensional uncertain data,Yufei Tao; Xiaokui Xiao; Reynold Cheng,Abstract In an uncertain database; every object o is associated with a probability densityfunction; which describes the likelihood that o appears at each position in amultidimensional workspace. This article studies two types of range retrieval fundamental tomany analytical tasks. Specifically; a nonfuzzy query returns all the objects that appear in asearch region rq with at least a certain probability t q. On the other hand; given an uncertainobject q; fuzzy search retrieves the set of objects that are within distance &epsiv; q from qwith no less than probability t q. The core of our methodology is a novel concept of“probabilistically constrained rectangle”; which permits effective pruning/validation ofnonqualifying/qualifying data. We develop a new index structure called the U-tree forminimizing the query overhead. Our algorithmic findings are accompanied with a …,ACM Transactions on Database Systems (TODS),2007,153,19
Efficient evaluation of imprecise location-dependent queries,Jinchuan Chen; Reynold Cheng,In location-based services; it is common for a user to issue a query based on his/her currentposition. One such example is" find the available cabs within two miles of my currentlocation". Very often; the query issuers' locations are imprecise due to measurement error;sampling error; or message delay. They may also want to protect their privacy by providing aless precise location. In this paper; we study the efficiency of queries that return probabilisticguarantees for location data with uncertainty. We classify this query into two types; based onwhether the data (1) has no uncertainty (eg; shops and restaurants); or (2) has a controlleddegree of uncertainty (eg; moving vehicles). Based on this classification; we develop threemethods to improve the computational and I/O performance. The first method expands thequery range based on the query issuer's uncertainty. The second idea exchanges the …,Data Engineering; 2007. ICDE 2007. IEEE 23rd International Conference on,2007,139,21
Mining uncertain data with probabilistic guarantees,Liwen Sun; Reynold Cheng; David W Cheung; Jiefeng Cheng,Abstract Data uncertainty is inherent in applications such as sensor monitoring systems;location-based services; and biological databases. To manage this vast amount of impreciseinformation; probabilistic databases have been recently developed. In this paper; we studythe discovery of frequent patterns and association rules from probabilistic data under thePossible World Semantics. This is technically challenging; since a probabilistic databasecan have an exponential number of possible worlds. We propose two effcient algorithms;which discover frequent patterns in bottom-up and top-down manners. Both algorithms canbe easily extended to discover maximal frequent patterns. We also explain how to use thesepatterns to generate association rules. Extensive experiments; using real and syntheticdatasets; were conducted to validate the performance of our methods.,Proceedings of the 16th ACM SIGKDD international conference on Knowledge discovery and data mining,2010,134,10
