The TSIMMIS project: Integration of heterogenous information sources,Sudarshan Chawathe; Hector Garcia-Molina; Joachim Hammer; Kelly Ireland; Yannis Papakonstantinou; Jeffrey Ullman; Jennifer Widom,The goal of the Tsimmis Project is to develop tools that facilitate the rapid integration ofheterogeneous information sources that may include both structured and unstructured data.This paper gives an overview of the project; describing components that extract propertiesfrom unstructured objects; that translate information into a common object model; thatcombine information from several sources; that allow browsing of information; and thatmanage constraints across heterogeneous sites. Tsimmis is a joint project between Stanfordand the IBM Almaden Research Center. 1 Overview A common problem facing manyorganizations today is that of multiple; disparate information sources and repositories;including databases; object stores; knowledge bases; file systems; digital libraries;information retrieval systems; and electronic mail systems. Decision makers often need …,*,1994,1549,20
Object exchange across heterogeneous information sources,Yannis Papakonstantinou; Hector Garcia-Molina; Jennifer Widom,We address the problem of providing integrated access to diverse and dynamic informationsources. We explain how this problem differs from the traditional database integrationproblem and we focus on one aspect of the information integration problem; namelyinformation exchange. We define an object-based information exchange model and acorresponding query language that we believe are well suited for integration of diverseinformation sources. We describe how; the model and language have been used tointegrate heterogeneous bibliographic information sources. We also describe two general-purpose libraries we have implemented for object exchange between clients and servers.,Data Engineering; 1995. Proceedings of the Eleventh International Conference on,1995,1229,18
The TSIMMIS approach to mediation: Data models and languages,Hector Garcia-Molina; Yannis Papakonstantinou; Dallan Quass; Anand Rajaraman; Yehoshua Sagiv; Jeffrey Ullman; Vasilis Vassalos; Jennifer Widom,Abstract TSIMMIS—The Stanford-IBM Manager of Multiple InformationSources—is a systemfor integrating information. It offers a datamodel and a common query language that aredesigned to support thecombining of information from many different sources. It alsoofferstools for generating automatically the components that are needed tobuild systems forintegrating information. In this paper we shalldiscuss the principal architectural features andtheir rationale.,Journal of intelligent information systems,1997,1114,12
Discover: Keyword search in relational databases,Vagelis Hristidis; Yannis Papakonstantinou,DISCOVER operates on relational databases and facilitates information discovery on themby allowing its user to issue keyword queries without any knowledge of the databaseschema or of SQL. DISCOVER returns qualified joining networks of tuples; that is; sets oftuples that are associated because they join on their primary and foreign keys andcollectively contain all the keywords of the query. DISCOVER proceeds in two steps. First;the Candidate Network Generator generates all candidate networks of relations; that is; joinexpressions that generate the joining networks of tuples. Second; the Plan Generator buildsplans for the efficient evaluation of the set of candidate networks; exploiting the opportunitiesto reuse common sub expressions of the candidate networks. Keyword search is the mostpopular information discovery method because the user does not need to know either a …,*,2002,997,18
Efficient keyword search for smallest LCAs in XML databases,Yu Xu; Yannis Papakonstantinou,Abstract Keyword search is a proven; user-friendly way to query HTML documents in theWorld Wide Web. We propose keyword search in XML documents; modeled as labeledtrees; and describe corresponding efficient algorithms. The proposed keyword searchreturns the set of smallest trees containing all keywords; where a tree is designated as"smallest" if it contains no tree that also contains all keywords. Our core contribution; theIndexed Lookup Eager algorithm; exploits key properties of smallest trees in order tooutperform prior algorithms by orders of magnitude when the query contains keywords withsignificantly different frequencies. The Scan Eager variant is tuned for the case where thekeywords have similar frequencies. We analytically and experimentally evaluate twovariants of the Eager algorithm; along with the Stack algorithm [13]. We also present the …,Proceedings of the 2005 ACM SIGMOD international conference on Management of data,2005,683,8
-Efficient IR-Style Keyword Search over Relational Databases,Vagelis Hristidis; Yannis Papakonstantinou; Luis Gravano,This chapter presents a system for efficient information retrieval (IR)-style keyword searchover relational databases. A query in the model is simply a list of keywords and does notneed to specify any relation or attribute names. The answer to such a query consists of arank of “tuple trees;” which potentially include tuples from multiple relations that arecombined via joins. To rank tuple trees; this chapter introduces a ranking function thatleverages and extends the ability of modern relational database systems to provide keywordsearch on individual text attributes and rank tuples accordingly. In particular; the rankingfunction appropriately combines the relational database management systems (RDBMS)provided scores of individual attributes and tuples. The chapter introduces several top-kquery-processing algorithms whose relative strengths depend; for example; on whether …,*,2003,670,12
Objectrank: Authority-based keyword search in databases,Andrey Balmin; Vagelis Hristidis; Yannis Papakonstantinou,Abstract The ObjectRank system applies authority-based ranking to keyword search indatabases modeled as labeled graphs. Conceptually; authority originates at the nodes(objects) containing the keywords and flows to objects according to their semanticconnections. Each node is ranked according to its authority with respect to the particularkeywords. One can adjust the weight of global importance; the weight of each keyword of thequery; the importance of a result actually containing the keywords versus being referencedby nodes containing them; and the volume of authority flow via each type of semanticconnection. Novel performance challenges and opportunities are addressed. First; schemasimpose constraints on the graph; which are exploited for performance purposes. Second; inorder to address the issue of authority ranking with respect to the given keywords (as …,Proceedings of the Thirtieth international conference on Very large data bases-Volume 30,2004,607,3
Query caching and optimization in distributed mediator systems,Sibel Adali; K Selçuk Candan; Yannis Papakonstantinou; VS Subrahmanian,Abstract Query processing and optimization in mediator systems that access distributed non-proprietary sources pose many novel problems. Cost-based query optimization is hardbecause the mediator does not have access to source statistics information and furthermoreit may not be easy to model the source's performance. At the same time; querying remotesources may be very expensive because of high connection overhead; long computationtime; financial charges; and temporary unavailability. We propose a cost-based optimizationtechnique that caches statistics of actual calls to the sources and consequently estimates thecost of the possible execution plans based on the statistics cache. We investigate issuespertaining to the design of the statistics cache and experimentally analyze various tradeoffs.We also present a query result caching mechanism that allows us to effectively use …,ACM SIGMOD Record,1996,507,18
Big data and its technical challenges,HV Jagadish; Johannes Gehrke; Alexandros Labrinidis; Yannis Papakonstantinou; Jignesh M Patel; Raghu Ramakrishnan; Cyrus Shahabi,The growth rate of the output of current NGS methods in terms of the raw sequence data producedby a single NGS machine is shown in Figure 1; along with the performance increase for the SPECintCPU benchmark. Clearly; the NGS sequence data growth far outstrips the performance gainsoffered by Moore's Law for single-threaded applications (here; SPECint). Note the sequencedata size in Figure 1 is the output of analyzing the raw images that are actually produced by theNGS instruments. The size of these raw image datasets themselves is so large (many TBs perlab per day) that it is impractical today to even consider storing them. Rather; these images areanalyzed on the fly to produce sequence data; which is then retained … Big Data has the potentialto revolutionize much more than just research. Google's work on Google File System andMapReduce; and subsequent open source work on systems like Hadoop; have led to …,Communications of the ACM,2014,411,12
XML-based information mediation with MIX,Chaitan Baru; Amarnath Gupta; Bertram Ludäscher; Richard Marciano; Yannis Papakonstantinou; Pavel Velikhov; Vincent Chu,Abstract The MIX mediator system; MIX m; is developed as part of the MIX Project at the SanDiego Supercomputer Center; and the University of California; San Diego. 1 MIX m usesXML as the common model for data exchange. Mediator views are expressed in XMAS (XMLMatching And Structuring Language); a declarative XML query language. To facilitate user-friendly query formulation and for optimization purposes; MIX m employs XML DTDs as astructural description (in effect; a “schema”) of the exchanged data. The novel features of thesystem include: Data exchange and integration solely relies on XML; ie; instance andschema information is represented by XML documents and XML DTDs; respectively. XMLqueries are denoted in XMAS; which builds upon ideas of languages like XML-QL; MSL; Yat;and UnQL. Additionally; XMAS features powerful grouping and order constructs for …,ACM SIGMOD Record,1999,390,18
Keyword proximity search on XML graphs,Vagelis Hristidis; Yannis Papakonstantinou; Andrey Balmin,XKeyword provides efficient keyword proximity queries on large XML graph databases. Aquery is simply a list of keywords and does not require any schema or query languageknowledge for its formulation. XKeyword is built on a relational database and; hence; canaccommodate very large graphs. Query evaluation is optimized by using the graph'sschema. In particular; XKeyword consists of two stages. In the preprocessing stage a set ofkeyword indices are built along with indexed path relations that describe particular patternsof paths in the graph. In the query processing stage plans are developed that use a nearoptimal set of path relations to efficiently locate the keyword query results. The results arepresented graphically using the novel idea of interactive result graphs; which are populatedon-demand according to the user's navigation and allow efficient information discovery …,Data Engineering; 2003. Proceedings. 19th International Conference on,2003,354,18
Object fusion in mediator systems,Yannis Papakonstantinou; Serge Abiteboul; Hector Garcia-Molina,Abstract One of the main tasks of mediators is to fuse information from heterogeneousinformation sources. This may involve; for example; removing redundancies; and resolvinginconsistencies in favor of the most reliable source. The problem becomes harder when thesources are unstructured semistructured and we do not have complete knowledge of theircontents and structure. In this paper we show how many common fusion operations can bespecified non-procedurally and succinctly. The key to our approach is to assign semanticallymeaningful object ids to objects as they are imported" into the mediator. These semantic idscan then be used to specify how various objects are combined or merged into objectsexported" by the mediator. In this paper we also discuss the implementation of a mediationsystem based on these principles. In particular; we present key optimization techniques …,VLDB,1996,348,12
PREFER: A system for the efficient execution of multi-parametric ranked queries,Vagelis Hristidis; Nick Koudas; Yannis Papakonstantinou,Abstract Users often need to optimize the selection of objects by appropriately weighting theimportance of multiple object attributes. Such optimization problems appear often inoperations' research and applied mathematics as well as everyday life; eg; a buyer mayselect a home as a weighted function of a number of attributes like its distance from office; itsprice; its area; etc. We capture such queries in our definition of preference queries that use aweight function over a relation's attributes to derive a score for each tuple. Database systemscannot efficiently produce the top results of a preference query because they need toevaluate the weight function over all tuples of the relation. PREFER answers preferencequeries efficiently by using materialized views that have been pre-processed and stored.,ACM Sigmod Record,2001,345,18
DTD inference for views of XML data,Yannis Papakonstantinou; Victor Vianu,Abstract We study the inference of Data Type Definitions (DTDs) for views of XML data;using an abstraction that focuses on document content structure. The views are defined by aquery language that produces a list of documents selected from one or more input sources.The selection conditions involve vertical and horizontal navigation; thus querying explicitlythe order present in input documents. We point several strong limitations in the descriptiveability of current DTDs and the need for extending them with (i) a subtyping mechanism and(ii) a more powerful specification mechanism than regular languages; such as context-freelanguages. With these extensions; we show that one can always infer tight DTDs; thatprecisely characterize a selection view on sources satisfying given DTDs. We also showimportant special cases where one can infer a tight DTD without requiring extension (ii) …,Proceedings of the nineteenth ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,2000,314,21
Integrating and accessing heterogeneous information sources in TSIMMIS,Hector Garcia-Molina; Joachim Hammer; Kelly Ireland; Yannis Papakonstantinou; Jeffrey Ullman; Jennifer Widom,Abstract The goal of the TSIMMIS Project is to develop tools that facilitate the rapidintegration of heterogeneous information sources that may include both structured andunstructured data. This paper gives an overview of the project; describing components thatextract properties from unstructured objects; that translate information into a common objectmodel; that combine information from several sources; and that allow browsing ofinformation.,Proceedings of the AAAI symposium on information gathering,1995,306,3
Medmaker: A mediation system based on declarative specifications,Yannis Papakonstantinou; Hector Garcia-Molina; Jeffrey Ullman,Mediators are used for integration of heterogeneous information sources. We present asystem for declaratively specifying mediators. It is targeted for integration of sources withunstructured or semi-structured data and/or sources with changing schemas. We illustratethe main features of the Mediator Specification Language (MSL); show how they facilitateintegration; and describe the implementation of the system that interprets the MSLspecifications.,Data Engineering; 1996. Proceedings of the Twelfth International Conference on,1996,279,12
A query translation scheme for rapid implementation of wrappers,Yannis Papakonstantinou; Ashish Gupta; Hector Garcia-Molina; Jeffrey Ullman,Abstract Wrappers provide access to heterogeneous information sources by convertingapplication queries into source specific queries or commands. In this paper we present awrapper implementation toolkit that facilitates rapid development of wrappers. We focus onthe query translation component of the toolkit; called the converter. The converter takes asinput a Query Description and Translation Language (QDTL) description of the queries thatcan be processed by the underlying source. Based on this the converter decides if anapplication query is (a) directly supported; ie; it can be translated to a query of the underlyingsystem following instructions in the QDTL description;(b) logically supported; ie; logicallyequivalent to a directly supported query;(c) indirectly supported; ie; it can be computed byapplying a filter; automatically generated by the converter; to the result of a directly …,International Conference on Deductive and Object-Oriented Databases,1995,266,18
Keyword proximity search in XML trees,Vagelis Hristidis; Nick Koudas; Yannis Papakonstantinou; Divesh Srivastava,Recent works have shown the benefits of keyword proximity search in querying XMLdocuments in addition to text documents. For example; given query keywords overShakespeare's plays in XML; the user might be interested in knowing how the keywordscooccur. In this paper; we focus on XML trees and define XML keyword; proximity queries toreturn the (possibly heterogeneous) set of minimum connecting trees (MCTs) of the matchesto the individual keywords in the query. We consider efficiently executing keyword proximityqueries on labeled trees (XML) in various settings: 1) when the XML database has beenpreprocessed and 2) when no indices are available on the XML database. We perform adetailed experimental evaluation to study the benefits of our approach and show that ouralgorithms considerably outperform prior algorithms and other applicable approaches.,IEEE Transactions on Knowledge and Data Engineering,2006,241,12
A transducer-based XML query processor,Bertram Ludäscher; Pratik Mukhopadhyay; Yannis Papakonstantinou,The XML Stream Machine (XSM) system is a novel XQuery processing paradigm that istuned to the efficient processing of sequentially accessed XML data (streams). The systemcompiles a given XQuery into an XSM; which is an XML stream transducer; that is; anabstract device that takes as input one or more XML data streams and produces one or moreoutput streams; potentially using internal buffers. It presents a systematic way to translateXQueries into efficient XSMs. First; the XQuery is translated into a network of XSMs thatcorrespond to the basic operators of the XQuery language and exchange streams. Thenetwork is reduced to a single XSM by repeated application of an XSM compositionoperation that is optimized to reduce the number of tests and actions that the XSM performsas well as the number of intermediate buffers that it uses. Finally; the optimized XSM is …,*,2002,217,3
Query rewriting for semistructured data,Yannis Papakonstantinou; Vasilis Vassalos,Abstract We address the problem of query rewriting for TSL; a language for queryingsemistructured data. We develop and present an algorithm that; given a semistructuredquery q and a set of semistructured views V; finds rewriting queries; ie; queries that accessthe views and produce the same result as q. Our algorithm is based on appropriatelygeneralizing containment mappings; the chase; and query composition—techniques thatwere developed for structured; relational data. We also develop an algorithm forequivalence checking of TSL queries. We show that the algorithm is sound and complete forTSL; ie; it always finds every non-trivial TSL rewriting query of q; and we discuss itscomplexity. We extend the rewriting algorithm to use some forms of structural constraints(such as DTDs) and find more opportunities for query rewriting.,ACM SIGMOD Record,1999,196,12
Capabilities-based query rewriting in mediator systems,Yannis Papakonstantinou; Ashish Gupta; Laura Haas,Abstract Users today are struggling to integrate a broad range of information sourcesproviding different levels of query capabilities. Currently; data sources with different andlimited capabilities are accessed either by writing rich functional wrappers for the moreprimitive sources; or by dealing with all sources at a “lowest common denominator”. Thispaper explores a third approach; in which a mediator ensures that sources receive queriesthey can handle; while still taking advantage of all of the query power of the source. Wepropose an architecture that enables this; and identify a key component of that architecture;the Capabilities-Based Rewriter (CBR). The CBR takes as input a description of thecapabilities of a data source; and a query targeted for that data source. From these; the CBRdetermines component queries to be sent to the sources; commensurate with their …,Distributed and Parallel Databases,1998,177,8
Capability based mediation in TSIMMIS,Chen Li; Ramana Yerneni; Vasilis Vassalos; Hector Garcia-Molina; Yannis Papakonstantinou; Jeffrey Ullman; Murty Valiveti,The TSIMMIS system [l] integrates data from multiple het-erogeneous sources and providesusers with seamless integrated views of the data. It translates a user query on the integratedviews into a set of source queries and postprocessing steps that compute the answer to theuser query from the results of the source queries. TSIMMIS uses a mediation architecture[ll]to accomplish this (Figure 1).,ACM SIGMOD Record,1998,169,20
Efficient LCA based keyword search in XML data,Yu Xu; Yannis Papakonstantinou,Abstract Keyword search in XML documents based on the notion of lowest commonancestors (LCAs) and modifications of it has recently gained research interest [10; 14; 22]. Inthis paper we propose an efficient algorithm called Indexed Stack to find answers to keywordqueries based on XRank's semantics to LCA [10]. The complexity of the Indexed Stackalgorithm is O (kd| S 1| log| S|) where k is the number of keywords in the query; d is the depthof the tree and| S 1|(| S|) is the occurrence of the least (most) frequent keyword in the query.In comparison; the best worst case complexity of the core algorithms in [10] is O (kd| S|). Weanalytically and experimentally evaluate the Indexed Stack algorithm and the two corealgorithms in [10]. The results show that the Indexed Stack algorithm outperforms in terms ofboth CPU and I/O costs other algorithms by orders of magnitude when the query contains …,Proceedings of the 11th international conference on Extending database technology: Advances in database technology,2008,167,21
Describing and using query capabilities of heterogeneous sources,Vasilis Vassalos; Yannis Papakonstantinou,Information integration systems have to cope with the different and limited query interfaces ofthe underlying information sources. First; the integration systems need descriptions of thequery capabilities of each source; ie; the set of queries supported by each source. Second;the integration systems need algorithms for deciding how a query can be answered giventhe capabilities of the sources. Third; they need to translate a query into the format that thesource understands. We present two languages suitable for descriptions of querycapabilities of sources and compare their expressive power. We also describe algorithms fordeciding whether a query" matches" the description and show their application to theproblem of translating user queries into source-specific queries and commands. Finally; wepropose new improved algorithms for the problem of answering queries using these …,*,1997,142,18
Asterix: towards a scalable; semistructured data platform for evolving-world models,Alexander Behm; Vinayak R Borkar; Michael J Carey; Raman Grover; Chen Li; Nicola Onose; Rares Vernica; Alin Deutsch; Yannis Papakonstantinou; Vassilis J Tsotras,Abstract ASTERIX is a new data-intensive storage and computing platform project spanningUC Irvine; UC Riverside; and UC San Diego. In this paper we provide an overview of theASTERIX project; starting with its main goal—the storage and analysis of data pertaining toevolving-world models. We describe the requirements and associated challenges; andexplain how the project is addressing them. We provide a technical overview of ASTERIX;covering its architecture; its user model for data and queries; and its approach to scalablequery processing and data management. ASTERIX utilizes a new scalable runtimecomputational platform called Hyracks that is also discussed at an overview level; we haverecently made Hyracks available in open source for use by other interested parties. We alsorelate our work on ASTERIX to the current state of the art and describe the research …,Distributed and Parallel Databases,2011,126,21
Information translation; mediation; and mosaic-based browsing in the TSIMMIS system,Joachim Hammer; Hector Garcia-Molina; Kelly Ireland; Yannis Papakonstantinou; Jeffrey Ullman; Jennifer Widom,Information Translation; Mediation; and Mosaic-Based Browsing in the TSIMMIS SystemJoachim Hammer; Hector Garcia-Molina; Kelly Ireland; Yannis Papakonstantinou; JeffreyUllman; Jennifer Widom Department of Computer Science Stanford University; Stanford; CA94305-2140; USA E-mail: joachim@ cs. stanford. edu The tsimmis project [1] provides anarchitecture and tools for accessing multiple heterogeneous information sources bytranslating source information into a common self-describing object model; called the ObjectExchange Model (OEM)[2]. tsimmis provides integrated access to heterogeneous sourcesthrough a layer of source specific translators as well as" intelligent" modules; calledmediators. Translators (wrappers) convert queries over information in the common del(OEM) into requests the source can execute. The data returned by the source is converted …,*,1995,124,10
