A survey of approaches to automatic schema matching,Erhard Rahm; Philip A Bernstein,Abstract. Schema matching is a basic problem in many database application domains; suchas data integration; E-business; data warehousing; and semantic query processing. Incurrent implementations; schema matching is typically performed manually; which hassignificant limitations. On the other hand; previous research papers have proposed manytechniques to achieve a partial automation of the match operation for specific applicationdomains. We present a taxonomy that covers many of these existing approaches; and wedescribe the approaches in some detail. In particular; we distinguish between schema-leveland instance-level; element-level and structure-level; and language-based and constraint-based matchers. Based on our classification we review some previous matchimplementations thereby indicating which part of the solution space they cover. We intend …,VLDB Journal,2001,4084,7
Generic schema matching with Cupid,Jayant Madhavan; Philip A Bernstein; Erhard Rahm,Abstract Schema matching is a critical step in many applications; such as XML messagemapping; data warehouse loading; and schema integration. In this paper; we investigatealgorithms for generic schema matching; outside of any particular data model or application.We first present a taxonomy for past solutions; showing that a rich range of techniques isavailable. We then propose a new algorithm; Cupid; that discovers mappings betweenschema elements based on their names; data types; constraints; and schema structure;using a broader set of techniques than past approaches. Some of our innovations are theintegrated use of linguistic and structural matching; context-dependent matching of sharedtypes; and a bias toward leaf structure where much of the schema content resides. Afterdescribing our algorithm; we present experimental results that compare Cupid to two …,Proc. 27th  Int. Conf. on Very Large Data Bases; 2001,2001,1891,15
Similarity flooding: A versatile graph matching algorithm and its application to schema matching,Sergey Melnik; Hector Garcia-Molina; Erhard Rahm,Matching elements of two data schemas or two data instances plays a key role in datawarehousing; e-business; or even biochemical applications. In this paper we present amatching algorithm based on a fixpoint computation that is usable across different scenarios.The algorithm takes two graphs (schemas; catalogs; or other data structures) as input; andproduces as output a mapping between corresponding nodes of the graphs. Depending onthe matching goal; a subset of the mapping is chosen using filters. After our algorithm runs;we expect a human to check and if necessary adjust the results. As a matter of fact; weevaluate the'accuracy'of the algorithm by counting the number of needed adjustments. Weconducted a user study; in which our accuracy metric was used to estimate the labor savingsthat the users could obtain by utilizing our algorithm to obtain an initial matching. Finally …,Proc.18th Int. Conf. on Data Engineering; 2002,2002,1811,20
Data cleaning: Problems and current approaches,Erhard Rahm; Hong Hai  Do,Abstract We classify data quality problems that are addressed by data cleaning and providean overview of the main solution approaches. Data cleaning is especially required whenintegrating heterogeneous data sources and should be addressed together with schema-related data transformations. In data warehouses; data cleaning is a major part of the so-called ETL process. We also discuss current tool support for data cleaning.,IEEE Data Eng. Bull.,2000,1615,1
COMA: a system for flexible combination of schema matching approaches,Hong-Hai Do; Erhard Rahm,This chapter presents the generic schema match system; COmbination MAtch (COMA);which provides an extensible library of simple and hybrid match algorithms and supports apowerful framework for combining match results. The user can tailor match strategies byselecting the marchers and their combination for a given match problem. Hybrid matcherscan also be configured easily by combining existing matchers using the providedcombination strategies. Schema matching is the task of finding semantic correspondencesbetween elements of two schemas. It is needed in many database applications; such asintegration of web data sources; data warehouse loading; and XML message mapping. Toreduce the amount of user effort as much as possible; automatic approaches combiningseveral match techniques are required. While such match approaches have found …,Proc. 28th Int. Conf. on Very Large Data Bases,2002,1414,10
Schema and ontology matching with COMA++,David Aumueller; Hong-Hai Do; Sabine Massmann; Erhard Rahm,Abstract We demonstrate the schema and ontology matching tool COMA++. It extends ourprevious prototype COMA utilizing a composite approach to combine different matchalgorithms [3]. COMA++ implements significant improvements and offers a comprehensiveinfrastructure to solve large real-world match problems. It comes with a graphical interfaceenabling a variety of user interactions. Using a generic data representation; COMA++uniformly supports schemas and ontologies; eg the powerful standard languages W3C XMLSchema and OWL. COMA++ includes new approaches for ontology matching; in particularthe utilization of shared taxonomies. Furthermore; different match strategies can be appliedincluding various forms of reusing previously determined match results and a so-calledfragment-based match approach which decomposes a large match problem into smaller …,Proc. 2005 ACM SIGMOD Int. Conf. on Management of Data,2005,748,20
Comparison of schema matching evaluations,Hong-Hai Do; Sergey Melnik; Erhard Rahm,Abstract Recently; schema matching has found considerable interest in both research andpractice. Determining matching components of database or XML schemas is needed inmany applications; eg for E-business and data integration. Various schema matchingsystems have been developed to solve the problem semi-automatically. While there havebeen some evaluations; the overall effectiveness of currently available automatic schemamatching systems is largely unclear. This is because the evaluations were conducted indiverse ways making it difficult to assess the effectiveness of each single system; let alone tocompare their effectiveness. In this paper we survey recently published schema matchingevaluations. For this purpose; we introduce the major criteria that influence the effectivenessof a schema matching approach and use these criteria to compare the various systems …,Net. ObjectDays: International Conference on Object-Oriented and Internet-Based Technologies; Concepts; and Applications for a Networked World,2002,566,1
Rondo: A programming platform for generic model management,Sergey Melnik; Erhard Rahm; Philip A Bernstein,Abstract Model management aims at reducing the amount of programming needed for thedevelopment of metadata-intensive applications. We present a first complete prototype of ageneric model management system; in which high-level operators are used to manipulatemodels and mappings between models. We define the key conceptual structures: models;morphisms; and selectors; and describe their use and implementation. We specify thesemantics of the known model-management operators applied to these structures; suggestnew ones; and develop new algorithms for implementing the individual operators. Weexamine the solutions for two model-management tasks that involve manipulations ofrelational schemas; XML schemas; and SQL views.,Proc. 2003 ACM SIGMOD Int. Conf. on Management of Data,2003,427,4
AgentWork: a workflow system supporting rule-based workflow adaptation,Robert Müller; Ulrike Greiner; Erhard Rahm,Abstract Current workflow management systems still lack support for dynamic and automaticworkflow adaptations. However; this functionality is a major requirement for next–generationworkflow systems to provide sufficient flexibility to cope with unexpected failure events. Wepresent the concepts and implementation of A gent W ork; a workflow management systemsupporting automated workflow adaptations in a comprehensive way. A rule-basedapproach is followed to specify exceptions and necessary workflow adaptations. A gent Work uses temporal estimates to determine which remaining parts of running workflows areaffected by an exception and is able to predictively perform suitable adaptations. This helpsto ensure that necessary adaptations are performed in time with minimal user interactionwhich is especially valuable in complex applications such as for medical treatments.,Data & Knowledge Engineering,2004,370,1
Schema matching and mapping,Zohra Bellahsene; Angela Bonifati; Erhard Rahm,*,*,2011,343
