Index structures for path expressions,Tova Milo; Dan Suciu,Abstract In recent years there has been an increased interest in managing data that does notconform to traditional data models; like the relational or object oriented model. The reasonsfor this non-conformance are diverse. On the one hand; data may not conform to suchmodels at the physical level: it may be stored in data exchange formats; fetched from theWeb; or stored as structured files. One the other hand; it may not conform at the logical level:data may have missing attributes; some attributes may be of different types in different dataitems; there may be heterogeneous collections; or the schema may be too complex orchanges too often. The term semistructured data has been used to refer to such data. Thesemistructured data model consists of an edge-labeled graph; in which nodes correspond toobjects and edges to attributes or values. Figure 1 illustrates a semistructured database …,International Conference on Database Theory,1999,905,7
Querying the world wide web,Alberto O Mendelzon; George A Mihaila; Tova Milo,The World Wide Web is a large; heterogeneous; distributed collection of documentsconnected by hypertext links. The most common technology currently used for searching theWeb depends on sending information retrieval requests to" index servers". One problem withthis is that these queries cannot exploit the structure and topology of the document network.The authors propose a query language; WebSQL; that takes advantage of multiple indexservers without requiring users to know about them; and that integrates textual retrieval withstructure and topology-based queries. They give a formal semantics for WebSQL using acalculus based on a novel" virtual graph" model of a document network. They propose anew theory of query cost based on the idea of" query locality;" that is; how much of thenetwork must be visited to answer a particular query. Finally; they describe a prototype …,Parallel and Distributed Information Systems; 1996.; Fourth International Conference on,1996,677,8
Using schema matching to simplify heterogeneous data translation,Tova Milo; Sagit Zohar,Abstract A broad spectrum of data is available on the Web in distinct heterogeneoussources; and stored under di erent formats. As the number of systems that utilize thisheterogeneous data grows; the importance of data translation and conversion mechanismsincreases greatly. In this paper we present a new translation system; based onschemamatching; aimed to simplify the intricate task of data conversion. We observe that inmany cases the schema of the data in the source system is very similar to the that of thetarget system. In such cases; much of the translation work can be done automatically; basedon the schemas similarity. This saves a lot of e ort for the user; limiting the amount ofprogramming needed. We de ne common schema and data models; in which schemas anddata (resp.) from many common models can be represented. Using a rulebased method …,vldb,1998,580,1
Typechecking for XML transformers,Tova Milo; Dan Suciu; Victor Vianu,Abstract We study the typechecking problem for XML (eXtensible Markup Language)transformers: given an XML transformation program and a DTD for the input XMLdocuments; check whether every result of the program conforms to a specified output DTD.We model XML transformers using a novel device called a k-pebble transducer; that canexpress most queries without data-value joins in XML-QL; XSLT; and other XML querylanguages. Types are modeled by regular tree languages; a robust extension of DTDs. Themain result of the paper is that typechecking for k-pebble transducers is decidable.Consequently; typechecking can be performed for a broad range of XML transformationlanguages; including XML-QL and a fragment of XSLT.,Journal of Computer and System Sciences,2003,383,10
Labeling dynamic XML trees,Edith Cohen; Haim Kaplan; Tova Milo,We consider online algorithms to label the nodes of an XML tree which is subject toinsertions and deletions of nodes. The labeling is done such that (1) each node is assigneda label immediately when it is inserted and this label remains unchanged; and (2) from apair of labels alone; one can decide whether one node is an ancestor of the other. Thisproblem arises in the context of XML databases that support queries on the structure of thedocuments as well as on the changes made to the documents over time. We consider herethe length of the assigned labels. We prove lower bounds on the length of labels whichsatisfy these requirements and provide labeling algorithms that match these bounds (up to aconstant factor). We also consider the same problem when “clues” that provide guaranteeson possible future insertions are given together with newly inserted nodes. Such clues …,SIAM Journal on Computing,2010,364,7
Querying and Updating the File.,Serge Abiteboul; Sophie Cluet; Tova Milo,Abstract We show how structured data stored in files can benefit from standard databasetechnology and in particular be queried and updated using database languages. Weintroduce the notion of structuring schema which consists of a grammar annotated withdatabase programs and of a database schema. We study the translation from structuredstrings to databases; and the converse. We adapt optimization techniques from relationaldatabases to our context.,VLDB,1993,238,2
Compact labeling schemes for ancestor queries,Serge Abiteboul; Haim Kaplan; Tova Milo,Abstract We consider the following problem. Give a rooted tree T; label the nodes of T in themost compact way such that given the labels of two nodes one can determine in constanttime; by looking only at the labels; if one node is an ancestor of the other. The best knownlabeling scheme is rather straightforward and uses labels of size at most 2 log n; where n isthe number of vertices In the tree. Our main result in this paper is a labeling scheme withmaximum label size close to 3/2 log n. Our motivation for studying this problem is enhancingthe performance of Web search engines. In the context of this application each indexeddocument is a tree and the labels of all trees are maintained in main memory. Thereforeeven small improvements in the maximum label size are important.,Proceedings of the twelfth annual ACM-SIAM symposium on Discrete algorithms,2001,223,7
Querying documents in object databases,Serge Abiteboul; Sophie Cluet; Vassilis Christophides; Tova Milo; Guido Moerkotte; Jérôme Siméon,structuring schemas that consist in grammars annotated with database programs. To querydocuments; we introduce an extension of OQL; the ODMG standard query language forobject databases. Our extension (named OQL-doc) allows us to query documents without aprecise knowledge of their structure using in particular generalized path expressions andpattern matching. This allows us to introduce in a declarative language (in the style of SQLor OQL); navigational and information retrieval styles of accessing data. Query processing inthe context of documents and path expressions leads to challenging implementation issues.We extend an object algebra with new operators to deal with generalized path expressions.We then consider two essential complementary optimization techniques. We show thatalmost standard database optimization techniques can be used to answer queries without …,International Journal on Digital Libraries,1997,223,7
Dynamic XML documents with distribution and replication,Serge Abiteboul; Angela Bonifati; Grégory Cobéna; Ioana Manolescu; Tova Milo,Abstract The advent of XML as a universal exchange format; and of Web services as a basisfor distributed computing; has fostered the apparition of a new class of documents: dynamicXML documents. These are XML documents where some data is given explicitly while otherparts are given only intensionally by means of embedded calls to web services that can becalled to generate the required information. By the sole presence of Web services; dynamicdocuments already include inherently some form of distributed computation. A higher levelof distribution that also allows (fragments of) dynamic documents to be distributed and/orreplicated over several sites is highly desirable in today's Web architecture; and in fact isalso relevant for regular (non dynamic) documents. The goal of this paper is to study newissues raised by the distribution and replication of dynamic XML data. Our study has …,Proceedings of the 2003 ACM SIGMOD international conference on Management of data,2003,213,4
Similarity-based queries,HV Jagadish; Alberto O Mendelzon; Tova Milo,Abstract We develop a domain-independent framework for defining qneries in terms ofsimilarity of objects. Our framework has three components: a pattern language; atransformation rule language; and a query language. The pattern language specifiesclasses of objects; the transformation rule language defines similarity by specifying thesimilarity-preserving transformations; and the whole package is wrapped in a general querylanguage. The framework can be “tuned” to the needs of a specific application domain; suchas time sequences; molecules; text strings or images; by the choice of these languages. Wedemonstrate the framework by presenting a specific instance on a specific domain–thedomain of sequences. We start with sequences over a finite alphabet; and then considersequences over infinite ordered domains. The basic pattern language weuseis regular …,Proceedings of the fourteenth ACM SIGACT-SIGMOD-SIGART symposium on Principles of database systems,1995,183,3
