High-performance complex event processing over streams,Eugene Wu; Yanlei Diao; Shariq Rizvi,Abstract In this paper; we present the design; implementation; and evaluation of a systemthat executes complex event queries over real-time streams of RFID readings encoded asevents. These complex event queries filter and correlate events to match specific patterns;and transform the relevant events into new composite events for the use of externalmonitoring applications. Stream-based execution of these queries enables time-criticalactions to be taken in environments such as supply chain management; surveillance andfacility management; healthcare; etc. We first propose a complex event language thatsignificantly extends existing event languages to meet the needs of a range of RFID-enabledmonitoring applications. We then describe a query plan-based approach to efficientlyimplementing this language. Our approach uses native operators to efficiently handle …,Proceedings of the 2006 ACM SIGMOD international conference on Management of data,2006,919,13
Webtables: exploring the power of tables on the web,Michael J Cafarella; Alon Halevy; Daisy Zhe Wang; Eugene Wu; Yang Zhang,Abstract The World-Wide Web consists of a huge number of unstructured documents; but italso contains structured data in the form of HTML tables. We extracted 14.1 billion HTMLtables from Google's general-purpose web crawl; and used statistical classificationtechniques to find the estimated 154M that contain high-quality relational data. Becauseeach relational table has its own" schema" of labeled and typed columns; each such tablecan be considered a small structured database. The resulting corpus of databases is largerthan any other corpus we are aware of; by at least five orders of magnitude.,Proceedings of the VLDB Endowment,2008,523,12
Relational cloud: A database-as-a-service for the cloud,Carlo Curino; Evan PC Jones; Raluca Ada Popa; Nirmesh Malviya; Eugene Wu; Sam Madden; Hari Balakrishnan; Nickolai Zeldovich,This paper introduces a new transactional “database-as-a-service”(DBaaS) calledRelational Cloud. A DBaaS promises to move much of the operational burden ofprovisioning; configuration; scaling; performance tuning; backup; privacy; and access controlfrom the database users to the service operator; offering lower overall costs to users. EarlyDBaaS efforts include Amazon RDS and Microsoft SQL Azure; which are promising in termsof establishing the market need for such a service; but which do not address three importantchallenges: efficient multi-tenancy; elastic scalability; and database privacy. We argue thatthese three challenges must be overcome before outsourcing database software andmanagement becomes attractive to many users; and cost-effective for service providers. Thekey technical features of Relational Cloud include:(1) a workload-aware approach to multi …,*,2011,347,19
Human-powered sorts and joins,Adam Marcus; Eugene Wu; David Karger; Samuel Madden; Robert Miller,Abstract Crowdsourcing markets like Amazon's Mechanical Turk (MTurk) make it possible totask people with small jobs; such as labeling images or looking up phone numbers; via aprogrammatic interface. MTurk tasks for processing datasets with humans are currentlydesigned with significant reimplementation of common workflows and ad-hoc selection ofparameters such as price to pay per task. We describe how we have integrated crowds intoa declarative workflow engine called Qurk to reduce the burden on workflow designers. Inthis paper; we focus on how to use humans to compare items for sorting and joining data;two of the most common operations in DBMSs. We describe our basic query interface andthe user interface of the tasks we post to MTurk. We also propose a number of optimizations;including task batching; replacing pairwise comparisons with numerical ratings; and pre …,Proceedings of the VLDB Endowment,2011,256,12
Design considerations for high fan-in systems: The HiFi approach,Michael J Franklin; Shawn R Jeffery; Sailesh Krishnamurthy; Frederick Reiss; Shariq Rizvi; Eugene Wu; Owen Cooper; Anil Edakkunni; Wei Hong,Abstract Advances in data acquisition and sensor technologies are leading towards thedevelopment of “high fan-in” architectures: widely distributed systems whose edges consistof numerous receptors such as sensor networks; RFID readers; or probes; and whoseinterior nodes are traditional host computers organized using the principles of cascadingstreams and successive aggregation. Examples include RFID-enabled supply chainmanagement; largescale environmental monitoring; and various types of network andcomputing infrastructure monitoring. In this paper; we identify the key characteristics anddata management challenges presented by high fan-in systems; and argue for a uniform;query-based approach towards addressing them. We then present our initial designconcepts behind HiFi; the system we are building to embody these ideas; and describe a …,*,2005,246,15
SASE: Complex event processing over streams,Daniel Gyllstrom; Eugene Wu; Hee-Jin Chae; Yanlei Diao; Patrick Stahlberg; Gordon Anderson,Abstract: RFID technology is gaining adoption on an increasing scale for tracking andmonitoring purposes. Wide deployments of RFID devices will soon generate anunprecedented volume of data. Emerging applications require the RFID data to be filteredand correlated for complex pattern detection and transformed to events that providemeaningful; actionable information to end applications. In this work; we design and developSASE; a com-plex event processing system that performs such data-informationtransformation over real-time streams. We design a complex event language for specifyingapplication logic for such transformation; devise new query processing techniques to effi-ciently implement the language; and develop a comprehensive system that collects; cleans;and processes RFID data for deliv-ery of relevant; timely information as well as storing …,arXiv preprint cs/0612128,2006,218,19
Crowdsourced databases: Query processing with people,Adam Marcus; Eugene Wu; David R Karger; Samuel R Madden; Robert C Miller,Amazon's Mechanical Turk (\MTurk") service allows users to post short tasks (\HITs") thatother users can receive a small amount of money for completing. Common tasks on thesystem include labelling a collection of images; com-bining two sets of images to identifypeople which appear in both; or extracting sentiment from a corpus of text snippets.Designing a work ow of various kinds of HITs for ltering; aggregating; sorting; and joiningdata sources together is common; and comes with a set of challenges in optimizing the costper HIT; the overall time to task completion; and the accuracy of MTurk results. We proposeQurk; a novel query system for managing these work ows; allowing crowd-poweredprocessing of relational databases. We describe a number of query execution andoptimization challenges; and discuss some potential solutions.,*,2011,192,5
Uncovering the relational web,Michael J Cafarella; Alon Y Halevy; Yang Zhang; Daisy Zhe Wang; Eugene Wu,ABSTRACT The World-Wide Web consists of a huge number of unstructured hypertextdocuments; but it also contains structured data in the form of HTML tables. Many of thesetables contain both relational-style data and a small “schema” of labeled and typed columns;making each such table a small structured database. The WebTables project is an effort toextract and make use of the huge number of these structured tables on the Web. A cleancollection of relational-style tables could be useful for improving web search; schemadesign; and many other applications. This paper describes the first stage of the WebTablesproject. First; we give an in-depth study of the Web's HTML table corpus. For example; weextracted 14.1 billion HTML tables from a several-billion-page portion of Google'sgeneralpurpose web crawl; and estimate that 154 million of these tables contain high …,under review,2008,134,12
Trajstore: An adaptive storage system for very large trajectory data sets,Philippe Cudre-Mauroux; Eugene Wu; Samuel Madden,The rise of GPS and broadband-speed wireless devices has led to tremendous excitementabout a range of applications broadly characterized as “location based services”. Currentdatabase storage systems; however; are inadequate for manipulating the very large anddynamic spatio-temporal data sets required to support such services. Proposals in theliterature either present new indices without discussing how to cluster data; potentiallyresulting in many disk seeks for lookups of densely packed objects; or use static quadtreesor other partitioning structures; which become rapidly suboptimal as the data or queriesevolve. As a result of these performance limitations; we built TrajStore; a dynamic storagesystem optimized for efficiently retrieving all data in a particular spatiotemporal region.TrajStore maintains an optimal index on the data and dynamically co-locates and …,Data Engineering (ICDE); 2010 IEEE 26th International Conference on,2010,130,5
Scorpion: Explaining Away Outliers in Aggregate Queries,Eugene Wu; Samuel Madden,Abstract Database users commonly explore large data sets by running aggregate queriesthat project the data down to a smaller number of points and dimensions; and visualizing theresults. Often; such visualizations will reveal outliers that correspond to errors or surprisingfeatures of the input data set. Unfortunately; databases and visualization systems do notprovide a way to work backwards from an outlier point to the common properties of the(possibly many) unaggregated input tuples that correspond to that outlier. We proposeScorpion; a system that takes a set of user-specified outlier points in an aggregate queryresult as input and finds predicates that explain the outliers in terms of properties of the inputtuples that are used to compute the selected outlier results. Specifically; this explanationidentifies predicates that; when applied to the input data; cause the outliers to disappear …,VLDB,2013,71,12
Relational Cloud: The Case for a Database Service,Sam Madden; Eugene Wu; Samuel Madden; Yang Zhang; Evan Jones; Carlo Curino,In this paper; we make the case for â databases as a serviceâ (DaaS); with two targetscenarios in mind:(i) consolidation of data management functionality for large organizationsand (ii) outsourcing data management to a cloud-based service provider for small/mediumorganizations. We analyze the many challenges to be faced; and discuss the design of adatabase service we are building; called Relational Cloud. The system has been designedfrom scratch and combines many recent advances and novel solutions. The prototype wepresent exploits multiple dedicated storage engines; provides high-availability viatransparent replication; supports automatic workload partitioning and live data migration;and provides serializable distributed transactions. While the system is still under activedevelopment; we are able to present promising initial results that showcase the key …,*,2010,52,12
