Keyword proximity search in complex data graphs,Konstantin Golenberg; Benny Kimelfeld; Yehoshua Sagiv,Abstract In keyword search over data graphs; an answer is a nonredundant subtree thatincludes the given keywords. An algorithm for enumerating answers is presented within anarchitecture that has two main components: an engine that generates a set of candidateanswers and a ranker that evaluates their score. To be effective; the engine must have threefundamental properties. It should not miss relevant answers; has to be efficient and mustgenerate the answers in an order that is highly correlated with the desired ranking. It isshown that none of the existing systems has implemented an engine that has all of theseproperties. In contrast; this paper presents an engine that generates all the answers withprovable guarantees. Experiments show that the engine performs well in practice. It is alsoshown how to adapt this engine to queries under the OR semantics. In addition; this …,Proceedings of the 2008 ACM SIGMOD international conference on Management of data,2008,180,19
Finding and approximating top-k answers in keyword proximity search,Benny Kimelfeld; Yehoshua Sagiv,Abstract Various approaches for keyword proximity search have been implemented inrelational databases; XML and the Web. Yet; in all of them; an answer is a Q-fragment;namely; a subtree T of the given data graph G; such that T contains all the keywords of thequery Q and has no proper subtree with this property. The rank of an answer is inverselyproportional to its weight. Three problems are of interest: finding an optimal (ie; top-ranked)answer; computing the top-k answers and enumerating all the answers in ranked order. It isshown that; under data complexity; an efficient algorithm for solving the first problem issufficient for solving the other two problems with polynomial delay. Similarly; an efficientalgorithm for finding a θ-approximation of the optimal answer suffices for carrying out thefollowing two tasks with polynomial delay; under query-and-data complexity. First …,Proceedings of the twenty-fifth ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,2006,176,20
Query efficiency in probabilistic XML models,Benny Kimelfeld; Yuri Kosharovsky; Yehoshua Sagiv,Abstract Various known models of probabilistic XML can be represented as instantiations ofabstract p-documents. Such documents have; in addition to ordinary nodes; distributionalnodes that specify the probabilistic process of generating a random document. Within thisabstraction; families of pdocuments; which are natural extensions and combinations ofprevious models; are considered. The focus is on efficiency of applying twig queries (withprojection) to p-documents. A closely related issue is the ability to (efficiently) translate agiven document of one family into another family. Furthermore; both of these tasks have twovariants that correspond to the value-based and object-based semantics. The translationrelationships among different families of p-documents are studied. An efficient algorithm forevaluating twig queries over one specific family is given. This algorithm generalizes a …,Proceedings of the 2008 ACM SIGMOD international conference on Management of data,2008,108,0
Matching twigs in probabilistic XML,Benny Kimelfeld; Yehoshua Sagiv,Abstract Evaluation of twig queries over probabilistic XML is investigated. Projection isallowed and; in particular; a query may be Boolean. It is shown that for a well-known modelof probabilistic XML; the evaluation of twigs with projection is tractable under datacomplexity (whereas in other probabilistic data models; projection is intractable). Underquery-and-data complexity; the problem becomes intractable even without projection (andfor rather simple twigs and data). In earlier work on probabilistic XML; answers are alwayscomplete. However; there is often a need to produce partial answers because XML data mayhave missing sub-elements and; furthermore; complete answers may be deemed irrelevantif their probabilities are too low. It is shown how to define a semantics that provides partialanswers that are maximal with respect to a probability threshold; which is specified by the …,Proceedings of the 33rd international conference on Very large data bases,2007,101,10
Interconnection semantics for keyword search in XML,Sara Cohen; Yaron Kanza; Benny Kimelfeld; Yehoshua Sagiv,Abstract A framework for describing semantic relationships among nodes in XML documentsis presented. In contrast to earlier work; the XML documents may have ID references (ie;they correspond to graphs and not just trees). A specific interconnection semantics in thisframework can be defined explicitly or derived automatically. The main advantage ofinterconnection semantics is the ability to pose queries on XML data in the style of keywordsearch. Several methods for automatically deriving interconnection semantics arepresented. The complexity of the evaluation and the satisfiability problems under the derivedsemantics is analyzed. For many important cases; the complexity is tractable and hence; theproposed interconnection semantics can be efficiently applied to real-world XML documents.,Proceedings of the 14th ACM international conference on Information and knowledge management,2005,96,0
On the expressiveness of probabilistic XML models,Serge Abiteboul; Benny Kimelfeld; Yehoshua Sagiv; Pierre Senellart,Abstract Various known models of probabilistic XML can be represented as instantiations ofthe abstract notion of p-documents. In addition to ordinary nodes; p-documents havedistributional nodes that specify the possible worlds and their probabilistic distribution.Particular families of p-documents are determined by the types of distributional nodes thatcan be used as well as by the structural constraints on the placement of those nodes in a p-document. Some of the resulting families provide natural extensions and combinations ofpreviously studied probabilistic XML models. The focus of the paper is on the expressivepower of families of p-documents. In particular; two main issues are studied. The first is theability to (efficiently) translate a given p-document of one family into another family. Thesecond is closure under updates; namely; the ability to (efficiently) represent the result of …,The VLDB Journal,2009,92,10
Query evaluation over probabilistic XML,Benny Kimelfeld; Yuri Kosharovsky; Yehoshua Sagiv,Abstract Query evaluation over probabilistic XML is explored. The queries are twig patternswith projection; and the data is represented in terms of three models of probabilistic XML(that extend existing ones in the literature). The first model makes an assumption ofindependence among the probabilistic junctions; whereas the second model can encodeprobabilistic dependencies. The third model combines the first two and; hence; is the mostgeneral. An efficient algorithm (under data complexity) is given for query evaluation in thefirst model. In addition; various optimizations are proposed; and their effectiveness is shownboth analytically and experimentally. For the other two models; it is shown that every query iseither intractable or trivial. Nonetheless; efficient (additive and multiplicative) approximationalgorithms are given for these two models. Finally; Boolean queries are enriched by …,The VLDB Journal,2009,68,20
Design and implementation of the LogicBlox system,Molham Aref; Balder ten Cate; Todd J Green; Benny Kimelfeld; Dan Olteanu; Emir Pasalic; Todd L Veldhuizen; Geoffrey Washburn,Abstract The LogicBlox system aims to reduce the complexity of software development formodern applications which enhance and automate decision-making and enable their usersto evolve their capabilities via a``self-service''model. Our perspective in this area is informedby over twenty years of experience building dozens of mission-critical enterpriseapplications that are in use by hundreds of large enterprises across industries such as retail;telecommunications; banking; and government. We designed and built LogicBlox to be thesystem we wished we had when developing those applications. In this paper; we discuss thedesign considerations behind the LogicBlox system and give an overview of itsimplementation; highlighting innovative aspects. These include: LogiQL; a unified anddeclarative language based on Datalog; the use of purely functional data structures; …,Proceedings of the 2015 ACM SIGMOD International Conference on Management of Data,2015,64,10
Incorporating constraints in probabilistic XML,Sara Cohen; Benny Kimelfeld; Yehoshua Sagiv,Abstract Constraints are important; not only for maintaining data integrity; but also becausethey capture natural probabilistic dependencies among data items. A probabilistic XMLdatabase (PXDB) is the probability subspace comprising the instances of a p-document thatsatisfy a set of constraints. In contrast to existing models that can express probabilisticdependencies; it is shown that query evaluation is tractable in PXDBs. The problems ofsampling and determining well-definedness (ie; whether the aforesaid subspace isnonempty) are also tractable. Furthermore; queries and constraints can include theaggregate functions count; max; min; and ratio. Finally; this approach can be easilyextended to allow a probabilistic interpretation of constraints.,ACM Transactions on Database Systems (TODS),2009,58,10
Jerusalem,Sara Cohen; Lior Ebel; Benny Kimelfeld,Abstract Social networks are ubiquitous; with online networks garnering a large portion ofWeb traffic. Both online and offline; social networks structures are an interesting data sourcewhose importance has been recognized for over a hundred years. Research on socialnetwork analysis has dealt with properties of entire networks; in addition to properties ofnodes or sets of nodes. A user queries a social network in pursuit of a desired outcome;such as an expert on a specific medical condition; a set of influential people to promote anew product; or a well-balanced group of database experts to form a program committee.The user may know what the desired outcome is; and may even be able to express it in aformal query language; given the right abstract predicates to represent typical social-networkmeasures (eg; the importance of a node or its relevance to some keywords). However …,*,1977,56,0
Running tree automata on probabilistic XML,Sara Cohen; Benny Kimelfeld; Yehoshua Sagiv,Abstract Tree automata (specifically; bottom-up and unranked) form a powerful tool forquerying and maintaining validity of XML documents. XML with uncertain data can bemodeled as a probability space of labeled trees; and that space is often represented by atree with distributional nodes. This paper investigates the problem of evaluating a treeautomaton over such a representation; where the goal is to compute the probability that theautomaton accepts a random possible world. This problem is generally intractable; but forthe case where the tree automaton is deterministic (and its transitions are defined bydeterministic string automata); an efficient algorithm is presented. The paper discusses theapplications of this result; including the ability to sample and to evaluate queries (eg; inmonadic second-order logic) while requiring a-priori conformance to a schema (eg; DTD) …,Proceedings of the twenty-eighth ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,2009,55,20
Probabilistic XML: Models and complexity,Benny Kimelfeld; Pierre Senellart,Abstract Uncertainty in data naturally arises in various applications; such as data integrationand Web information extraction. Probabilistic XML is one of the concepts that have beenproposed to model and manage various kinds of uncertain data. In essence; a probabilisticXML document is a compact representation of a probability distribution over ordinary XMLdocuments. Various models of probabilistic XML provide different languages; with variousdegrees of expressiveness; for such compact representations. Beyond representation;probabilistic XML systems are expected to support data management in a way that properlyreflects the uncertainty. For instance; query evaluation entails probabilistic inference; andupdate operations need to properly change the entire probability space. Efficiently andeffectively accomplishing data-management tasks in that manner is a major technical …,*,2013,54,20
Revisiting redundancy and minimization in an XPath fragment,Benny Kimelfeld; Yehoshua Sagiv,Abstract Redundancy and minimization of queries are investigated in a well known fragmentof XPath that includes child and descendant edges; branches; wildcards; and multiple outputnodes. Contrary to a published result; a proposed technique does not guarantee minimalityor even non-redundancy; and it is unknown whether a non-redundant query is also minimal.It is shown that for two sub-fragments; non-redundancy and minimality are the same; andcan be realized by means of simple (local) tests. The latter property is used to prove thattesting non-redundancy is NP-complete.,Proceedings of the 11th international conference on Extending database technology: Advances in database technology,2008,35,10
A dichotomy in the complexity of deletion propagation with functional dependencies,Benny Kimelfeld,Abstract A classical variant of the view-update problem is deletion propagation; where tuplesfrom the database are deleted in order to realize a desired deletion of a tuple from the view.This operation may cause a (sometimes necessary) side effect---deletion of additional tuplesfrom the view; besides the intentionally deleted one. The goal is to propagate deletion so asto maximize the number of tuples that remain in the view. In this paper; a view is defined by aself-join-free conjunctive query (sjf-CQ) over a schema with functional dependencies. Acondition is formulated on the schema and view definition at hand; and the followingdichotomy in complexity is established. If the condition is met; then deletion propagation issolvable in polynomial time by an extremely simple algorithm (very similar to the oneobserved by Buneman et al.). If the condition is violated; then the problem is NP-hard; and …,Proceedings of the 31st ACM SIGMOD-SIGACT-SIGAI symposium on Principles of Database Systems,2012,33,0
Probabilistic data exchange,Ronald Fagin; Benny Kimelfeld; Phokion G Kolaitis,Abstract The work reported here lays the foundations of data exchange in the presence ofprobabilistic data. This requires rethinking the very basic concepts of traditional dataexchange; such as solution; universal solution; and the certain answers of target queries.We develop a framework for data exchange over probabilistic databases; and make a casefor its coherence and robustness. This framework applies to arbitrary schema mappings; andfinite or countably infinite probability spaces on the source and target instances. Afterestablishing this framework and formulating the key concepts; we study the application of theframework to a concrete and practical setting where probabilistic databases are compactlyencoded by means of annotations formulated over random Boolean variables. In this setting;we study the problems of testing for the existence of solutions and universal solutions …,Journal of the ACM (JACM),2011,32,19
Maximizing conjunctive views in deletion propagation,Benny Kimelfeld; Jan Vondrák; Ryan Williams,Abstract In deletion propagation; tuples from the database are deleted in order to reflect thedeletion of a tuple from the view. Such an operation may result in the (often necessary)deletion of additional tuples from the view; besides the intentionally deleted one. The articlestudies the complexity of deletion propagation; where the view is defined by a conjunctivequery (CQ); and the goal is to maximize the number of tuples that remain in the view.Buneman et al. showed that for some simple CQs; this problem can be solved by astraightforward algorithm; which is called here the unidimensional algorithm. The articleidentifies additional cases of CQs where the unidimensional algorithm succeeds; and incontrast; shows that for some other CQs the problem is NP-hard to approximate better thansome constant ratio. In fact; it is shown here that among the CQs without self joins; the …,ACM Transactions on Database Systems (TODS),2012,30,20
Full disjunctions: Polynomial-delay iterators in action,Sara Cohen; Itzhak Fadida; Yaron Kanza; Benny Kimelfeld; Yehoshua Sagiv,Abstract Full disjunctions are an associative extension of the outer-join operator to anarbitrary number of relations. Their main advantage is the ability to maximally combine datafrom different relations while preserving all the original information. An algorithm forefficiently computing full disjunctions is presented. This algorithm is superior to previousones in three ways. First; it is the first algorithm that computes a full disjunction with apolynomial delay between tuples. Hence; it can be implemented as an iterator that producesa stream of tuples; which is important in many cases (eg; pipelined query processing andWeb applications). Second; the total runtime is linear in the size of the output. Third; thealgorithm employs a novel optimization that divides the relation schemes into biconnectedcomponents; uses a separate iterator for each component and applies outerjoins …,Proceedings of the 32nd international conference on Very large data bases,2006,29,8
Understanding queries in a search database system,Ronald Fagin; Benny Kimelfeld; Yunyao Li; Sriram Raghavan; Shivakumar Vaithyanathan,Abstract It is well known that a search engine can significantly benefit from an auxiliarydatabase; which can suggest interpretations of the search query by means of the involvedconcepts and their interrelationship. The difficulty is to translate abstract notions like conceptand interpretation into a concrete search algorithm that operates over the auxiliary database.To surpass existing heuristics; there is a need for a formal basis; which is realized in thispaper through the framework of a search database system; where an interpretation isidentified as a parse. It is shown that the parses of a query can be generated in polynomialtime in the combined size of the input and the output; even if parses are restricted to thosehaving a nonempty evaluation. Identifying that one parse is more specific than another isimportant for ranking answers; and this framework captures the precise semantics of …,Proceedings of the twenty-ninth ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,2010,28,0
On rewriting XPath queries using views,Foto Afrati; Rada Chirkova; Manolis Gergatsoulis; Benny Kimelfeld; Vassia Pavlaki; Yehoshua Sagiv,Abstract The problem of rewriting a query using a materialized view is studied for a wellknown fragment of XPath that includes the following three constructs: wildcards; descendantedges and branches. In earlier work; determining the existence of a rewriting was shown tobe coNP-hard; but no tight complexity bound was given. While it was argued that Σ 3 p is anupper bound; the proof was based on results that have recently been refuted. Consequently;the exact complexity (and even decidability) of this basic problem has been unknown; andthere have been no practical rewriting algorithms if the query and the view use all the threeconstructs mentioned above. It is shown that under fairly general conditions; there are onlytwo candidates for rewriting and hence; the problem can be practically solved by twocontainment tests. In particular; under these conditions; determining the existence of a …,Proceedings of the 12th International Conference on Extending Database Technology: Advances in Database Technology,2009,28,0
