HaLoop: Efficient iterative data processing on large clusters,Yingyi Bu; Bill Howe; Magdalena Balazinska; Michael D Ernst,Abstract The growing demand for large-scale data mining and data analysis applicationshas led both industry and academia to design new types of highly scalable data-intensivecomputing platforms. MapReduce and Dryad are two popular platforms in which thedataflow takes the form of a directed acyclic graph of operators. These platforms lack built-insupport for iterative programs; which arise naturally in many applications including datamining; web ranking; graph analysis; model fitting; and so on. This paper presents HaLoop;a modified version of the Hadoop MapReduce framework that is designed to serve theseapplications. HaLoop not only extends MapReduce with programming support for iterativeapplications; it also dramatically improves their efficiency by making the task scheduler loop-aware and by adding various caching mechanisms. We evaluated HaLoop on real …,Proceedings of the VLDB Endowment,2010,863,1
Skewtune: mitigating skew in mapreduce applications,YongChul Kwon; Magdalena Balazinska; Bill Howe; Jerome Rolia,Abstract We present an automatic skew mitigation approach for user-defined MapReduceprograms and present SkewTune; a system that implements this approach as a drop-inreplacement for an existing MapReduce implementation. There are three key challenges:(a)require no extra input from the user yet work for all MapReduce applications;(b) becompletely transparent; and (c) impose minimal overhead if there is no skew. The SkewTuneapproach addresses these challenges and works as follows: When a node in the clusterbecomes idle; SkewTune identifies the task with the greatest expected remaining processingtime. The unprocessed input data of this straggling task is then proactively repartitioned in away that fully utilizes the nodes in the cluster and preserves the ordering of the input data sothat the original output can be reconstructed by concatenation. We implement SkewTune …,Proceedings of the 2012 ACM SIGMOD International Conference on Management of Data,2012,349,2
Skew-resistant parallel processing of feature-extracting scientific user-defined functions,YongChul Kwon; Magdalena Balazinska; Bill Howe; Jerome Rolia,Abstract Scientists today have the ability to generate data at an unprecedented scale andrate and; as a result; they must increasingly turn to parallel data processing engines toperform their analyses. However; the simple execution model of these engines can make itdifficult to implement efficient algorithms for scientific analytics. In particular; many scientificanalytics require the extraction of features from data represented as either amultidimensional array or points in a multidimensional space. These applications exhibitsignificant computational skew; where the runtime of different partitions depends on morethan just input size and can therefore vary dramatically and unpredictably. In this paper; wepresent SkewReduce; a new system implemented on top of Hadoop that enables users toeasily express feature extraction analyses and execute them efficiently. At the heart of the …,Proceedings of the 1st ACM symposium on Cloud computing,2010,145,10
The HaLoop approach to large-scale iterative data analysis,Yingyi Bu; Bill Howe; Magdalena Balazinska; Michael D Ernst,Abstract The growing demand for large-scale data mining and data analysis applicationshas led both industry and academia to design new types of highly scalable data-intensivecomputing platforms. MapReduce has enjoyed particular success. However; MapReducelacks built-in support for iterative programs; which arise naturally in many applicationsincluding data mining; web ranking; graph analysis; and model fitting. This paper (This is anextended version of the VLDB 2010 paper" HaLoop: Efficient Iterative Data Processing onLarge Clusters" PVLDB 3 (1): 285---296; 2010.) presents HaLoop; a modified version of theHadoop MapReduce framework; that is designed to serve these applications. HaLoopallows iterative applications to be assembled from existing Hadoop programs withoutmodification; and significantly improves their efficiency by providing inter-iteration caching …,The VLDB Journal—The International Journal on Very Large Data Bases,2012,129,7
Hadoop's adolescence: an analysis of Hadoop usage in scientific workloads,Kai Ren; YongChul Kwon; Magdalena Balazinska; Bill Howe,Abstract We analyze Hadoop workloads from three di? erent research clusters from a user-centric perspective. The goal is to better understand data scientists' use of the system andhow well the use of the system matches its design. Our analysis suggests that Hadoopusage is still in its adolescence. We see underuse of Hadoop features; extensions; andtools. We see significant diversity in resource usage and application styles; including someinteractive and iterative workloads; motivating new tools in the ecosystem. We also observesignificant opportunities for optimizations of these workloads. We find that job customizationand configuration are used in a narrow scope; suggesting the future pursuit of automatictuning systems. Overall; we present the first user-centered measurement study of Hadoopand find significant opportunities for improving its efficient use for data scientists.,Proceedings of the VLDB Endowment,2013,94,1
A study of skew in mapreduce applications,YongChul Kwon; Magdalena Balazinska; Bill Howe; Jerome Rolia,Abstract—This paper presents a study of skew—highly variable task runtimes—inMapReduce applications. We describe various causes and manifestations of skew asobserved in real world Hadoop applications. Runtime task distributions from theseapplications demonstrate the presence and negative impact of skew on performancebehavior. We discuss best practices recommended for avoiding such behavior and theirlimitations.,Open Cirrus Summit,2011,91,22
Voyager: Exploratory analysis via faceted browsing of visualization recommendations,Kanit Wongsuphasawat; Dominik Moritz; Anushka Anand; Jock Mackinlay; Bill Howe; Jeffrey Heer,General visualization tools typically require manual specification of views: analysts mustselect data variables and then choose which transformations and visual encodings to apply.These decisions often involve both domain and visualization design expertise; and mayimpose a tedious specification process that impedes exploration. In this paper; we seek tocomplement manual chart construction with interactive navigation of a gallery ofautomatically-generated visualizations. We contribute Voyager; a mixed-initiative systemthat supports faceted browsing of recommended charts chosen according to statistical andperceptual measures. We describe Voyager's architecture; motivating design principles; andmethods for generating and interacting with visualization recommendations. In a studycomparing Voyager to a manual visualization specification tool; we find that Voyager …,IEEE transactions on visualization and computer graphics,2016,84,8
Data markets in the cloud: An opportunity for the database community,Magdalena Balazinska; Bill Howe; Dan Suciu,ABSTRACT Cloud-computing is transforming many aspects of data management. Mostrecently; the cloud is seeing the emergence of digital markets for data and associatedservices. We observe that our community has a lot to offer in building successful cloud-based data markets. We outline some of the key challenges that such markets face anddiscuss the associated research problems that our community can help solve.,Proc. of the VLDB Endowment,2011,84,15
Analyzing massive astrophysical datasets: Can Pig/Hadoop or a relational DBMS help?,Sarah Loebman; Dylan Nunley; YongChul Kwon; Bill Howe; Magdalena Balazinska; Jeffrey P Gardner,As the datasets used to fuel modern scientific discovery grow increasingly large; theybecome increasingly difficult to manage using conventional software. Parallel databasemanagement systems (DBMSs) and massive-scale data processing systems such asMapReduce hold promise to address this challenge. However; since these systems have notbeen expressly designed for scientific applications; their efficacy in this domain has not beenthoroughly tested. In this paper; we study the performance of these engines in one specificdomain: massive astrophysical simulations. We develop a use case that comprises fiverepresentative queries. We implement this use case in one distributed DBMS and in thePig/Hadoop system. We compare the performance of the tools to each other and to hand-written IDL scripts. We find that certain representative analyses are easy to express in …,Cluster Computing and Workshops; 2009. CLUSTER'09. IEEE International Conference on,2009,74,4
Scalable clustering algorithm for N-body simulations in a shared-nothing cluster,YongChul Kwon; Dylan Nunley; Jeffrey P Gardner; Magdalena Balazinska; Bill Howe; Sarah Loebman,Abstract Scientists' ability to generate and collect massive-scale datasets is increasing. As aresult; constraints in data analysis capability rather than limitations in the availability of datahave become the bottleneck to scientific discovery. MapReduce-style platforms hold thepromise to address this growing data analysis problem; but it is not easy to express manyscientific analyses in these new frameworks. In this paper; we study data analysischallenges found in the astronomy simulation domain. In particular; we present a scalable;parallel algorithm for data clustering in this domain. Our algorithm makes two contributions.First; it shows how a clustering problem can be efficiently implemented in a MapReduce-style framework. Second; it includes optimizations that enable scalability; even in thepresence of skew. We implement our solution in the Dryad parallel data processing …,International Conference on Scientific and Statistical Database Management,2010,69,7
