Robust and fast similarity search for moving object trajectories,Lei Chen; M Tamer Özsu; Vincent Oria,Abstract An important consideration in similarity-based retrieval of moving object trajectoriesis the definition of a distance function. The existing distance functions are usually sensitive tonoise; shifts and scaling of data that commonly occur due to sensor failures; errors indetection techniques; disturbance signals; and different sampling rates. Cleaning data toeliminate these is not always possible. In this paper; we introduce a novel distance function;Edit Distance on Real sequence (EDR) which is robust against these data imperfections.Analysis and comparison of EDR with other popular distance functions; such as Euclideandistance; Dynamic Time Warping (DTW); Edit distance with Real Penalty (ERP); andLongest Common Subsequences (LCSS); indicate that EDR is more robust than Euclideandistance; DTW and ERP; and it is on average 50% more accurate than LCSS. We also …,Proceedings of the 2005 ACM SIGMOD international conference on Management of data,2005,1004,18
On the marriage of lp-norms and edit distance,Lei Chen; Raymond Ng,Abstract Existing studies on time series are based on two categories of distance functions.The first category consists of the Lp-norms. They are metric distance functions but cannotsupport local time shifting. The second category consists of distance functions which arecapable of handling local time shifting but are nonmetric. The first contribution of this paperis the proposal of a new distance function; which we call ERP (" Edit distance with RealPenalty"). Representing a marriage of L1-norm and the edit distance; ERP can support localtime shifting; and is a metric. The second contribution of the paper is the development ofpruning strategies for large time series databases. Given that ERP is a metric; one way toprune is to apply the triangle inequality. Another way to prune is to develop a lower boundon the ERP distance. We propose such a lower bound; which has the nice computational …,Proceedings of the Thirtieth international conference on Very large data bases-Volume 30,2004,600,3
K-automorphism: A general framework for privacy preserving network publication,Lei Zou; Lei Chen; M Tamer Özsu,Abstract The growing popularity of social networks has generated interesting datamanagement and data mining problems. An important concern in the release of these datafor study is their privacy; since social networks usually contain personal information. Simplyremoving all identifiable personal information (such as names and social security number)before releasing the data is insufficient. It is easy for an attacker to identify the target byperforming different structural queries. In this paper we propose k-automorphism to protectagainst multiple structural attacks and develop an algorithm (called KM) that ensures k-automorphism. We also discuss an extension of KM to handle" dynamic" releases of thedata. Extensive experiments show that the algorithm performs well in terms of protection itprovides.,Proceedings of the VLDB Endowment,2009,335,10
Monochromatic and bichromatic reverse skyline search over uncertain databases,Xiang Lian; Lei Chen,Abstract Reverse skyline queries over uncertain databases have many importantapplications such as sensor data monitoring and business planning. Due to the existence ofuncertainty in many real-world data; answering reverse skyline queries accurately andefficiently over uncertain data has become increasingly important. In this paper; we modelthe probabilistic reverse skyline query on uncertain data; in both monochromatic andbichromatic cases; and propose effective pruning methods to reduce the search space ofquery processing. Moreover; efficient query procedures have been presented seamlesslyintegrating the proposed pruning methods. Extensive experiments have demonstrated theefficiency and effectiveness of our proposed approach with various experimental settings.,Proceedings of the 2008 ACM SIGMOD international conference on Management of data,2008,246,12
Contour map matching for event detection in sensor networks,Wenwei Xue; Qiong Luo; Lei Chen; Yunhao Liu,Abstract Many sensor network applications; such as object tracking and disaster monitoring;require effective techniques for event detection. In this paper; we propose a novel eventdetection mechanism based on matching the contour maps of in-network sensory datadistribution. Our key observation is that events in sensor networks can be abstracted intospatio-temporal patterns of sensory data and that pattern matching can be done efficientlythrough contour map matching. Therefore; we propose simple SQL extensions to allowusers to specify common types of events as patterns in contour maps and study energy-efficient techniques of contour map construction and maintenance for our pattern-basedevent detection. Our experiments with synthetic workloads derived from a real-world coalmine surveillance application validate the effectiveness and efficiency of our approach.,Proceedings of the 2006 ACM SIGMOD international conference on Management of data,2006,244,12
gStore: answering SPARQL queries via subgraph matching,Lei Zou; Jinghui Mo; Lei Chen; M Tamer Özsu; Dongyan Zhao,Abstract Due to the increasing use of RDF data; efficient processing of SPARQL queriesover RDF datasets has become an important issue. However; existing solutions suffer fromtwo limitations: 1) they cannot answer SPARQL queries with wildcards in a scalable manner;and 2) they cannot handle frequent updates in RDF repositories efficiently. Thus; most ofthem have to reprocess the dataset from scratch. In this paper; we propose a graph-basedapproach to store and query RDF data. Rather than mapping RDF triples into a relationaldatabase as most existing methods do; we store RDF data as a large graph. A SPARQLquery is then converted into a corresponding subgraph matching query. In order to speed upquery processing; we develop a novel index; together with some effective pruning rules andefficient search algorithms. Our method can answer exact SPARQL queries and queries …,Proceedings of the VLDB Endowment,2011,167,15
Distance-join: Pattern match query in a large graph database,Lei Zou; Lei Chen; M Tamer Özsu,Abstract The growing popularity of graph databases has generated interesting datamanagement problems; such as subgraph search; shortest-path query; reachabilityverification; and pattern match. Among these; a pattern match query is more flexiblecompared to a subgraph search and more informative compared to a shortest-path orreachability query. In this paper; we address pattern match problems over a large data graphG. Specifically; given a pattern graph (ie; query Q); we want to find all matches (in G) thathave the similar connections as those in Q. In order to reduce the search space significantly;we first transform the vertices into points in a vector space via graph embedding techniques;coverting a pattern match query into a distance-based multi-way join problem over theconverted vector space. We also propose several pruning strategies and a join order …,Proceedings of the VLDB Endowment,2009,162,0
Sliding-window top-k queries on uncertain streams,Cheqing Jin; Ke Yi; Lei Chen; Jeffrey Xu Yu; Xuemin Lin,Abstract Query processing on uncertain data streams has attracted a lot of attentions lately;due to the imprecise nature in the data generated from a variety of streaming applications;such as readings from a sensor network. However; all of the existing works on uncertaindata streams study unbounded streams. This paper takes the first step towards the importantand challenging problem of answering sliding-window queries on uncertain data streams;with a focus on arguably one of the most important types of queries---top-k queries. Thechallenge of answering sliding-window top-k queries on uncertain data streams stems fromthe strict space and time requirements of processing both arriving and expiring tuples in high-speed streams; combined with the difficulty of coping with the exponential blowup in thenumber of possible worlds induced by the uncertain data model. In this paper; we design …,Proceedings of the VLDB Endowment,2008,143,12
Nonthreshold-based event detection for 3D environment monitoring in sensor networks,Mo Li; Yunhao Liu; Lei Chen,Event detection is a crucial task for wireless sensor network applications; especiallyenvironment monitoring. Existing approaches for event detection are mainly based on somepredefined threshold values; and thus are often inaccurate and incapable of capturingcomplex events. For example; in coal mine monitoring scenarios; gas leakage or waterosmosis can hardly be described by the overrun of specified attribute thresholds; but somecomplex pattern in the full-scale view of the environmental data. To address this issue; wepropose a non-threshold based approach for the real 3D sensor monitoring environment.We employ energy-efficient methods to collect a time series of data maps from the sensornetwork and detect complex events through matching the gathered data to spatio-temporaldata patterns. Finally; we conduct trace driven simulations to prove the efficacy and …,IEEE Transactions on Knowledge and Data Engineering,2008,141,12
Mining frequent itemsets over uncertain databases,Yongxin Tong; Lei Chen; Yurong Cheng; Philip S Yu,Abstract In recent years; due to the wide applications of uncertain data; mining frequentitemsets over uncertain databases has attracted much attention. In uncertain databases; thesupport of an itemset is a random variable instead of a fixed occurrence counting of thisitemset. Thus; unlike the corresponding problem in deterministic databases where thefrequent itemset has a unique definition; the frequent itemset under uncertain environmentshas two different definitions so far. The first definition; referred as the expected support-based frequent itemset; employs the expectation of the support of an itemset to measurewhether this itemset is frequent. The second definition; referred as the probabilistic frequentitemset; uses the probability of the support of an itemset to measure its frequency. Thus;existing work on mining frequent itemsets over uncertain databases is divided into two …,Proceedings of the VLDB Endowment,2012,137,12
