The well-founded semantics for general logic programs,Allen Van Gelder; Kenneth A Ross; John S Schlipf,Abstract. A general logic program (abbreviated to “program” hereafter) is a set of roles thathave both positive and negative subgoals. It is common to view a deductive database as ageneral logic program consisting of rules (IDB) slttmg above elementary relations (EDB;facts). It is desirable to associate one Herbrand model with a program and think of thatmodel as the “meaning of the program;” or Its “declarative semantics.” Ideally; queriesdirected to the program would be answered in accordance with this model. Recent researchindicates that some programs do not have a “satisfactory” total model; for such programs; thequestion of an appropriate partial model arises. Unfounded sets and well-founded partialmodels are introduced and the well-founded semantics of a program are defined to be itswell-founded partial model. If the well-founded partial model is m fact a total model. it is …,Journal of the ACM (JACM),1991,2032,15
Filtering algorithms and implementation for very fast publish/subscribe systems,Françoise Fabret; H Arno Jacobsen; François Llirbat; Joăo Pereira; Kenneth A Ross; Dennis Shasha,Abstract Publish/Subscribe is the paradigm in which users express long-term interests(“subscriptions”) and some agent “publishes” events (eg; offers). The job ofPublish/Subscribe software is to send events to the owners of subscriptions satisfied bythose events. For example; a user subscription may consist of an interest in an airplane of acertain type; not to exceed a certain price. A published event may consist of an offer of anairplane with certain properties including price. Each subscription consists of a conjunctionof (attribute; comparison operator; value) predicates. A subscription closely resembles atrigger in that it is a long-lived conditional query associated with an action (usually; informingthe subscriber). However; it is less general than a trigger so novel data structures andimplementations may enable the creation of more scalable; high performance publish …,ACM Sigmod Record,2001,681,10
Unfounded sets and well-founded semantics for general logic programs,Allen Van Gelder; Kenneth Ross; John S Schlipf,Abstract A general logic program (abbreviated to “program” hereafter) is a set of rules thathave both positive and negative subgoals. It is common to view a deductive database as ageneral logic program consisting of rules (IDB) sitting above elementary relations (EDB;facts). It is desirable to associate one Herbrand model with a program and think of thatmodel as the “meaning of the program;” or its “declarative semantics.” Ideally; queriesdirected to the program would be answered in accordance with this model. We introduceunfounded sets and well-founded partial models; and define the well-founded semantics ofa program to be its well-founded partial model. If the well-founded partial model is in fact amodel; we call it the well-founded model; and say the program is “well-behaved”. We showthat the class of well-behaved programs properly includes previously studied classes of “ …,Proceedings of the seventh ACM SIGACT-SIGMOD-SIGART symposium on Principles of database systems,1988,588,7
Making B+-trees cache conscious in main memory,Jun Rao; Kenneth A Ross,Abstract Previous research has shown that cache behavior is important for main memoryindex structures. Cache conscious index structures such as Cache Sensitive Search Trees(CSS-Trees) perform lookups much faster than binary search and T-Trees. However; CSS-Trees are designed for decision support workloads with relatively static data. Although B+-Trees are more cache conscious than binary search and T-Trees; their utilization of a cacheline is low since half of the space is used to store child pointers. Nevertheless; forapplications that require incremental updates; traditional B+-Trees perform well. Our goal isto make B+-Trees as cache conscious as CSS-Trees without increasing their update cost toomuch. We propose a new indexing technique called “Cache Sensitive B+-Trees”(CSB+-Trees). It is a variant of B+-Trees that stores all the child nodes of any given node …,ACM SIGMOD Record,2000,469,7
Cache conscious indexing for decision-support in main memory,Jun Rao; Kenneth A Ross,Abstract We study indexing techniques for main memory; including hash indexes; binarysearch trees; T-trees; B+-trees; interpolation search; and binary search on arrays. In adecision-support context; our primary concerns are the lookup time; and the space occupiedby the index structure. Our goal is to provide faster lookup times than binary search bypaying attention to reference locality and cache behavior; without using substantial extraspace. We propose a new indexing technique called “Cache-Sensitive Search Trees”(CSS-trees). Our technique stores a directory structure on top of a sorted array. Nodes in thisdirectory have size matching the cache-line size of the machine. We store the directory in anarray and do not store internal-node pointers; child nodes can be found by performingarithmetic on array offsets.,VLDB,1999,338,20
Fast computation of sparse datacubes,Kenneth A Ross; Divesh Srivastava,Abstract Datacube queries compute aggregates over database relations at a variety ofgranularities; and they constitute an important class of decision support queries. Real-worlddata is frequently sparse; and hence e ciently computing datacubes over large sparserelations is important. We show that current techniques for computing datacubes over sparserelations do not scale well with the number of CUBE BY attributes; especially when therelation is much larger than main memory. We propose a novel algorithm for the fastcomputation of datacubes over sparse relations; and demonstrate the e ciency of ouralgorithm using synthetic; benchmark and real-world data sets. When the relation ts inmemory; our technique performs multiple in-memory sorts; and does not incur any I/Obeyond the input of the relation and the output of the datacube itself. When the relation …,VLDB,1997,324,20
The New Jersey data reduction report,Daniel Barbar'a; William DuMouchel; Christos Faloutsos; Peter J Haas; Joseph M Hellerstein; Yannis Ioannidis; HV Jagadish; Theodore Johnson; Raymond Ng; Viswanath Poosala; Kenneth A Ross; Kenneth C Sevcik,Abstract this paper we describe and evaluate several popular techniques for data reduction.Historically; the primary need for data reduction has been internal to a database system; in acost-based query optimizer. The need is for the query optimizer to estimate the cost ofalternative query plans cheaply--clearly the effort required to do so must be much smallerthan the effort of actually executing the query; and yet the cost of executing any query plandepends strongly upon the numerosity of specified attribute values and the selectivities ofspecified predicates. To address these query optimizer needs; many databases keepsummary statistics. Sampling techniques have also been proposed. More recently; there hasbeen an explosion of interest in the analysis of data in warehouses. Data warehouses canbe extremely large; yet obtaining answers quickly is important. Often; it is quite acceptable …,IEEE Data Engineering Bulletin,1997,321,20
Materialized view maintenance and integrity constraint checking: Trading space for time,Kenneth A Ross; Divesh Srivastava; S Sudarshan,Abstract We investigate the problem of incremental maintenance of an SQL view in the faceof database updates; and show that it is possible to reduce the total time cost of viewmaintenance by materializing (and maintaining) additional views. We formulate the problemof determining the optimal set of additional views to materialize as an optimization problemover the space of possible view sets (which includes the empty set). The optimizationproblem is harder than query optimization since it has to deal with multiple view sets;updates of multiple relations; and multiple ways of maintaining each view set for eachupdated relation. We develop a memoing solution for the problem; the solution can beimplemented using the expression DAG representation used in rule-based optimizers suchas Volcano. We demonstrate that global optimization cannot; in general; be achieved by …,ACM SIGMOD Record,1996,290,10
Implementing database operations using SIMD instructions,Jingren Zhou; Kenneth A Ross,Abstract Modern CPUs have instructions that allow basic operations to be performed onseveral data elements in parallel. These instructions are called SIMD instructions; since theyapply a single instruction to multiple data elements. SIMD technology was initially built intocommodity processors in order to accelerate the performance of multimedia applications.SIMD instructions provide new opportunities for database engine design andimplementation. We study various kinds of operations in a database context; and show howthe inner loop of the operations can be accelerated using SIMD instructions. The use ofSIMD instructions has two immediate performance benefits: It allows a degree of parallelism;so that many operands can be processed at once. It also often leads to the elimination ofconditional branch instructions; reducing branch mispredictions. We consider the most …,Proceedings of the 2002 ACM SIGMOD international conference on Management of data,2002,199,2
Adapting materialized views after redefinitions,Ashish Gupta; Inderpal S Mumick; Kenneth A Ross,Abstract We consider a variant of the view maintenance problem: How does one keep amaterialized view up-to-date when the view definition itself changes? Can one do betterthan recomputing the view from the base relations? Traditional view maintenance tries tomaintain the materialized view in response to modifications to the base relations; we try to"adapt" the view in response to changes in the view definition. Such techniques are neededfor applications where the user can change queries dynamically and see the changes in theresults fast. Data archaeology; data visualization; and dynamic queries are examples ofsuch applications. We consider all possible redefinitions of SQL SELECT-FROM-WHERE-GROUPBY; UNION; and EXCEPT views; and show how these views can be adapted usingthe old materialization for the cases where it is possible to do so. We identify extra …,ACM SIGMOD Record,1995,153,7
