Detecting changes in XML documents,Gregory Cobena; Serge Abiteboul; Amelie Marian,We present a diff algorithm for XML data. This work is motivated by the support for changecontrol in the context of the Xyleme project that is investigating dynamic warehousescapable of storing massive volumes of XML data. Because of the context; our algorithm hasto be very efficient in terms of speed and memory space even at the cost of some loss ofquality. Also; it considers; besides insertions; deletions and updates (standard in diffs); amove operation on subtrees that is essential in the context of XML. Intuitively; our diffalgorithm uses signatures to match (large) subtrees that were left unchanged between theold and new versions. Such exact matchings are then possibly propagated to ancestors anddescendants to obtain more matchings. It also uses XML specific information such as IDattributes. We provide a performance analysis of the algorithm. We show that it runs in …,Data Engineering; 2002. Proceedings. 18th International Conference on,2002,606,12
Evaluating top-k queries over web-accessible databases,Nicolas Bruno; Luis Gravano; Amelie Marian,A query to a Web search engine usually consists of a list of keywords; to which the searchengine responds with the best or" top" k pages for the query. This top-k query model isprevalent over multimedia collections in general; but also over plain relational data forcertain applications. For example; consider a relation with information on availablerestaurants; including their location; price range for one diner; and overall food rating. A userwho queries such a relation might simply specify the user's location and target price range;and expect in return the best 10 restaurants in terms of some combination-of proximity to theuser; closeness of match to the target price range; and overall food rating. Processing suchtop-k queries efficiently is challenging for a number of reasons. One critical such reason isthat; in many Web applications; the relation attributes might not be available other than …,Data Engineering; 2002. Proceedings. 18th International Conference on,2002,361,16
Change-centric management of versions in an XML warehouse,Amélie Marian; Serge Abiteboul; Gregory Cobena; Laurent Mignet,Abstract: We present a change-centric method to manage versions in a Web WareHouse ofXML data. The starting points is a sequence of snapshots of XML documents we obtain fromthe web. By running a di algorithm; we compute the changes between two consecutiveversions. We then represent the sequence using a novel representation of changes basedon completed deltas and persistent identi ers. We present the foundations of the logicalrepresentation and some aspects of the physical storage policy.,VLDB,2001,299,3
Evaluating top-k queries over web-accessible databases,Amélie Marian; Nicolas Bruno; Luis Gravano,Abstract A query to a web search engine usually consists of a list of keywords; to which thesearch engine responds with the best or" top" k pages for the query. This top-k query modelis prevalent over multimedia collections in general; but also over plain relational data forcertain applications. For example; consider a relation with information on availablerestaurants; including their location; price range for one diner; and overall food rating. A userwho queries such a relation might simply specify the user's location and target price range;and expect in return the best 10 restaurants in terms of some combination of proximity to theuser; closeness of match to the target price range; and overall food rating. Processing top-kqueries efficiently is challenging for a number of reasons. One critical such reason is that; inmany web applications; the relation attributes might not be available other than through …,ACM Transactions on Database Systems (TODS),2004,268,12
Beyond the stars: improving rating predictions using review text content.,Gayatree Ganu; Noemie Elhadad; Amélie Marian,ABSTRACT Online reviews are an important asset for users deciding to buy a product; see amovie; or go to a restaurant; as well as for businesses tracking user feedback. However;most reviews are written in a free-text format; and are therefore difficult for computer systemsto understand; analyze; and aggregate. One consequence of this lack of structure is thatsearching text reviews is often frustrating for users. User experience would be greatlyimproved if the structure and sentiment conveyed in the content of the reviews were takeninto account. Our work focuses on identifying this information from free-form text reviews;and using the knowledge to improve user experience in accessing reviews. Specifically; wefocused on improving recommendation accuracy in a restaurant review scenario. In thispaper; we report on our classification effort; and on the insight on user-reviewing behavior …,WebDB,2009,257,4
Corroborating information from disagreeing views,Alban Galland; Serge Abiteboul; Amélie Marian; Pierre Senellart,Abstract We consider a set of views stating possibly conflicting facts. Negative facts in theviews may come; eg; from functional dependencies in the underlying database schema. Wewant to predict the truth values of the facts. Beyond simple methods such as voting (typicallyrather accurate); we explore techniques based on" corroboration"; ie; taking into accounttrust in the views. We introduce three fixpoint algorithms corresponding to different levels ofcomplexity of an underlying probabilistic model. They all estimate both truth values of factsand trust in the views. We present experimental studies on synthetic and real-world data.This analysis illustrates how and in which context these methods improve corroborationresults over baseline methods. We believe that corroboration can serve in a wide range ofapplications such as source selection in the semantic Web; data quality assessment or …,Proceedings of the third ACM international conference on Web search and data mining,2010,241,10
Xyleme; a dynamic warehouse for XML data of the Web,Serge Abiteboul; V Aguilera; S Ailleret; B Amann; F Arambarri; S Cluet; G Cobena; G Corona; G Ferran; A Galland; M Hascoet; C-C Kanne; B Koechlin; D Le Niniven; A Marian; L Mignet; G Moerkotte; B Nguyen; M Preda; M-C Rousset; M Sebag; J-P Sirot; P Veltri; D Vodislav; F Watez; T Westmann,The current development of the Web and the generalization of XML technology provide amajor opportunity which can radically change the face of the Web. Xyleme intends to be aleader of this revolution by providing database services over the XML data of the Web.Originally; Xyleme was a research project functioning as an open; loosely coupled networkof researchers. At the end of 2000; a prototype had been implemented. A start-up company;also called Xyleme; is now turning into a product. The authors summarize the main researchefforts of the Xyleme team. They concern: a scalable architecture; the efficient storage ofhuge quantities of XML data (hundreds of millions of pages); XML query processing with full-text and structural indexing; data acquisition strategies to build the repository and keep it up-to-date; change control with services such as query subscription; and semantic data …,Database Engineering and Applications; 2001 International Symposium on.,2001,202,10
-Projecting XML Documents,Amélie Marian; Jérôme Siméon,This chapter presents projection techniques that can be used to support main-memoryXQuery evaluation over large XML documents. The chapter introduces a path analysistechnique that infers the set of paths used for an arbitrary XQuery expression. Theexperiments show that this technique can be used to evaluate queries on files up to twoGigabyte even on machines with limited memory. The chapter reveals that XQuery is notonly useful to query XML in databases; but also to applications that must process XMLdocuments as files or streams. These applications suffer from the limitations of current main-memory XQuery processors; which break for rather small documents. This chapter proposestechniques; based on a notion of projection for XML; which can be used to drastically reducememory requirements in XQuery processors. The chapter presents a loading algorithm …,*,2003,199,13
Structure and content scoring for XML,Sihem Amer-Yahia; Nick Koudas; Amélie Marian; Divesh Srivastava; David Toman,Abstract XML repositories are usually queried both on structure and content. Due tostructural heterogeneity of XML; queries are often interpreted approximately and theiranswers are returned ranked by scores. Computing answer scores in XML is an active areaof research that oscillates between pure content scoring such as the well-known tf* idf andtaking structure into account. However; none of the existing proposals fully accounts forstructure and combines it with content to score query answers. We propose novel XMLscoring methods that are inspired by tf* idf and that account for both structure and contentwhile considering query relaxations. Twig scoring; accounts for the most structure andcontent and is thus used as our reference method. Path scoring is an approximation thatloosens correlations between query nodes hence reducing the amount of time required to …,Proceedings of the 31st international conference on Very large data bases,2005,178,10
Optimizing top-k selection queries over multimedia repositories,Surajit Chaudhuri; Luis Gravano; Amelie Marian,Repositories of multimedia objects having multiple types of attributes (eg; image; text) arebecoming increasingly common. A query on these attributes will typically; request not just aset of objects; as in the traditional relational query model (filtering); but also a grade of matchassociated with each object; which indicates how well the object matches the selectioncondition (ranking). Furthermore; unlike in the relational model; users may just want the k top-ranked objects for their selection queries for a relatively small k. In addition to the differencesin the query model; another peculiarity of multimedia repositories is that they may allowaccess to the attributes of each object only through indexes. We investigate how to optimizethe processing of top-k selection queries over multimedia repositories. The accesscharacteristics of the repositories and the above query model lead to novel issues in …,IEEE Transactions on Knowledge and Data Engineering,2004,136,23
Adaptive processing of top-k queries in XML,Amelie Marian; Sihem Amer-Yahia; Nick Koudas; Divesh Srivastava,The ability to compute top-k matches to XML queries is gaining importance due to theincreasing number of large XML repositories. The efficiency of top-k query evaluation relieson using scores to prune irrelevant answers as early as possible in the evaluation process.In this context; evaluating the same query plan for all answers might be too rigid because; atany time in the evaluation; answers have gone through the same number and sequence ofoperations; which limits the speed at which scores grow. Therefore; adaptive queryprocessing that permits different plans for different partial matches and maximizes the bestscores is more appropriate. In this paper; we propose an architecture and adaptivealgorithms for efficiently computing top-k matches to XML queries. Our techniques can beused to evaluate both exact and approximate matches where approximation is defined by …,Data Engineering; 2005. ICDE 2005. Proceedings. 21st International Conference on,2005,115,12
-Implementing XQuery 1.0: The Galax Experience,Mary Fernández; Jérôme Siméon; Byron Choi; Amélie Marian; Gargi Sur,This chapter demonstrates the Galax system as well as its most advanced features;including support for XPath 2.0; XML Schema; and static type checking. It also presentssome of the first experiments with optimization. The chapter demonstrates query-rewritingcapabilities in the Galax compiler; and the ability to run queries on documents up to aGigabyte without the need for preindexing. Although early versions of Galax have beenshown in industrial conferences over the past; this is the first time it is demonstrated in thedatabase community. Galax is a light-weight; portable; open-source implementation ofXQuery 1.0. Started in December 2000 as a small prototype designed to test the XQuerystatic type system; Galax has now become a solid implementation; aiming at fullconformance with the family of XQuery 1.0 specifications. Because of its completeness …,*,2003,108,17
Improving the quality of predictions using textual information in online user reviews,Gayatree Ganu; Yogesh Kakodkar; AméLie Marian,Abstract Online reviews are often accessed by users deciding to buy a product; see a movie;or go to a restaurant. However; most reviews are written in a free-text format; usually withvery scant structured metadata information and are therefore difficult for computers tounderstand; analyze; and aggregate. Users then face the daunting task of accessing andreading a large quantity of reviews to discover potentially useful information. We identifiedtopical and sentiment information from free-form text reviews; and use this knowledge toimprove user experience in accessing reviews. Specifically; we focus on improvingrecommendation accuracy in a restaurant review scenario. We propose methods to derive atext-based rating from the body of the reviews. We then group similar users together usingsoft clustering techniques based on the topics and sentiments that appear in the reviews …,Information Systems,2013,91,10
Sailing the information ocean with awareness of currents: Discovery and application of source dependence,Laure Berti-Equille; Anish Das Sarma; Amelie Marian; Divesh Srivastava,Abstract: The Web has enabled the availability of a huge amount of useful information; buthas also eased the ability to spread false information and rumors across multiple sources;making it hard to distinguish between what is true and what is not. Recent examples includethe premature Steve Jobs obituary; the second bankruptcy of United airlines; the creation ofBlack Holes by the operation of the Large Hadron Collider; etc. Since it is important to permitthe expression of dissenting and conflicting opinions; it would be a fallacy to try to ensurethat the Web provides only consistent information. However; to help in separating the wheatfrom the chaff; it is essential to be able to determine dependence between sources. Giventhe huge number of data sources and the vast volume of conflicting data available on theWeb; doing so in a scalable manner is extremely challenging and has not been …,arXiv preprint arXiv:0909.1776,2009,64,10
Corroborating Answers from Multiple Web Sources.,Minji Wu; Amélie Marian,ABSTRACT The Internet has changed the way people look for information. Users nowexpect the answers to their questions to be available through a simple web search. Websearch engines are increasingly efficient at identifying the best sources for any givenkeyword query; and are often able to identify the answer within the sources. Unfortunately;many web sources are not trustworthy; because of erroneous; misleading; biased; oroutdated information. In many cases; users are not satisfied with—or do not trust—the resultsfrom any single source and prefer checking several sources for corroborating evidence. Inthis paper; we propose methods to aggregate query results from different sources in order tosave users the hassle of individually checking query-related web sites to corroborateanswers. To return the best aggregated answers to the users; our techniques consider the …,WebDB,2007,64,4
A framework for corroborating answers from multiple web sources,Minji Wu; Amélie Marian,Abstract Search engines are increasingly efficient at identifying the best sources for anygiven keyword query; and are often able to identify the answer within the sources.Unfortunately; many web sources are not trustworthy; because of erroneous; misleading;biased; or outdated information. In many cases; users are not satisfied with the results fromany single source. In this paper; we propose a framework to aggregate query results fromdifferent sources in order to save users the hassle of individually checking query-relatedweb sites to corroborate answers. To return the best answers to the users; we assign a scoreto each individual answer by taking into account the number; relevance and originality of thesources reporting the answer; as well as the prominence of the answer within the sources;and aggregate the scores of similar answers. We conducted extensive qualitative and …,Information Systems,2011,32,10
Multi-dimensional search for personal information management systems,Christopher Peery; Wei Wang; Amélie Marian; Thu D Nguyen,Abstract With the explosion in the amount of semi-structured data users access and store inpersonal information management systems; there is a need for complex search tools toretrieve often very heterogeneous data in a simple and efficient way. Existing tools usuallyindex text content; allowing for some IR-style ranking on the textual part of the query; butonly consider structure (eg; file directory) and metadata (eg; date; file type) as filteringconditions. We propose a novel multi-dimensional approach to semi-structured datasearches in personal information management systems by allowing users to provide fuzzystructure and metadata conditions in addition to keyword conditions. Our techniques providea complex query interface that is more comprehensive than content-only searches as itconsiders three query dimensions (content; structure; metadata) in the search. We …,Proceedings of the 11th international conference on Extending database technology: Advances in database technology,2008,28,4
Processing top-k join queries,Minji Wu; Laure Berti-Equille; Amélie Marian; Cecilia M Procopiuc; Divesh Srivastava,Abstract We consider the problem of efficiently finding the top-k answers for join queries overweb-accessible databases. Classical algorithms for finding top-k answers use branch-and-bound techniques to avoid computing scores of all candidates in identifying the top-kanswers. To be able to apply such techniques; it is critical to efficiently compute (lower andupper) bounds and expected scores of candidate answers in an incremental fashion duringthe evaluation. In this paper; we describe novel techniques for these problems. The firstcontribution of this paper is a method to efficiently compute bounds for the score of a queryresult when tuples in tables from the" FROM" clause are discovered incrementally; througheither sorted or random access. Our second contribution is an algorithm that; given a set ofpartially evaluated candidate answers; determines a good order in which to access the …,Proceedings of the VLDB Endowment,2010,23,4
Acquiring XML pages for a WebHouse.,Laurent Mignet; Serge Abiteboul; Sébastien Ailleret; Bernd Amann; Amélie Marian; Mihai Preda,Xyleme is a dynamic warehouse for the XML data of the web supporting change control anddata integration. Major issues are the acquisition of XML data and keeping data up to date withthe web as best as possible. This is the topic of the present paper … Xyleme est un entrep tpour toutes les donn es XML de la toile o rant des fonc- tionalit s de contr le des changementset d'int gration de donn es. Des probl mes importants soulev s sont l'acquisition et la maintenancejour de ces donn es. C'est le sujet du pr sent article … Keywords: XML; Warehouse;WebHouse; Refresh Policy; Page Rank; Change Control … The current development of theweb and the generalization of XML 21] technology provides a major opportunity for changingthe face of the web in a fundamental way. This work is part of the Xyleme project 25] aiming atthe development of a dynamic XML warehouse for the web. In the present paper; we …,BDA,2000,21,3
XML repository and active views demonstration,JC Mamou; C Souza; S Abiteboul; V Aguilera; S Ailleret; B Amann; S Cluet; B Hills; F Hubert; A Marian; L Mignet; B Tessier; AM Vercoustre; T Milo,The goal of this demonstration is to present the main features of (i) Axielle; an XMLrepository developed by Ardent Software [3] on top of the O2 object-oriented DBMS and (ii)the ActiveView system which has been built by the Verso project at INRIA [1] on top ofAxielle. The demonstration is based on a simple electronic commerce application which willbe described in Section 2. Electronic commerce is emerging as a major Web-supportedapplication. It involves handling and exchange of data (eg product catalogs; yellow pages;etc.) and must provide (i) database functionalities (query language; transactions;concurrency control; distribution and recovery) for the efficient management of large datavolumes and hundreds of users as well as (ii) standard data storage and exchange formats(eg XML; SGML) for the easy integration of existing software and data. The ActiveView …,Proceeding of the 25th VLDB Conference; Edinburgh; Scotland,1999,20,4
Corroborating Information from Web Sources.,Amélie Marian; Minji Wu,Abstract Information available on the Internet is abundant but often inaccurate. Web sourceshave different degrees of trustworthiness based on their accuracy; freshness; origin or bias.Web users are then left with the daunting task of assessing the correctness of possiblyconflicting answers to their queries. In this paper; we present techniques for corroboratinginformation from different web sources. We discuss techniques that estimates thetruthfulness of answers and the trustworthiness of the sources based on an underlyingprobabilistic model. We show how to apply data corroboration to a web setting where datasources can have multiple forms; all with various quality issues: individual web sites; searchengine query results; user reviews; map and street view data; and social tags.,IEEE Data Eng. Bull.,2011,17,4
Circumventing data quality problems using multiple join paths.,Yannis Kotidis; Amélie Marian; Divesh Srivastava,ABSTRACT We propose the Multiple Join Path (MJP) framework for obtaining high qualityinformation by linking fields across multiple databases; when the underlying databases havepoor quality data; which are characterized by violations of integrity constraints like keys andfunctional dependencies within and across databases. MJP associates quality scores withcandidate answers by first scoring individual data paths between a pair of field values takinginto account data quality with respect to specified integrity constraints; and thenagglomerating scores across multiple data paths that serve as corroborating evidences for acandidate answer. We address the problem of finding the top-few (highest quality) answersin the MJP framework using novel techniques; and demonstrate the utility of our techniquesusing real data and our Virtual Integration Prototype testbed.,CleanDB,2006,12,22
One size does not fit all: Multi-granularity search of web forums,Gayatree Ganu; Amélie Marian,Abstract Users rely increasingly on online forums; blogs; and mailing lists to exchangeinformation; practical tips; and stories. Although this type of social interaction has becomecentral to our daily lives and decision-making processes; forums are surprisinglytechnologically poor: often there is no choice but to browse through massive numbers ofposts while looking for specific information. A critical challenge then for forum search is toprovide results that are as complete as possible and that do not miss some relevantinformation but that are not too broad. In this paper; we address the problem of presentingtextual search results in a concise manner to answer user needs. Specifically; we propose anew search approach over free-form text in forums that allows for the search results to bereturned at varying granularity levels. We implement a novel hierarchical representation …,Proceedings of the 22nd ACM international conference on Information & Knowledge Management,2013,8,13
Social networking on top of the WebdamExchange system,Emilien Antoine; Alban Galland; Kristian Lyngbaek; Amélie Marian; Neokis Polyzotis,The demonstration presents the WebdamExchange system; a distributed knowledge basemanagement system with access rights; localization and provenance. This system is basedon the exchange of logical statements that describe documents; collections; access rights;keys and localization information and updates of this data. We illustrate how the model canbe used in a social-network context to help users keep control on their data on the web. Inparticular; we show how users within very different schemes of data-distribution (centralized;dht; unstructured P2P; etc.) can still transparently collaborate while keeping a good controlover their own data.,Data Engineering (ICDE); 2011 IEEE 27th International Conference on,2011,8,10
Efficient multidimensional fuzzy search for personal information management systems,Wei Wang; Christopher Peery; Amélie Marian; Thu D Nguyen,With the explosion in the amount of semistructured data users access and store in personalinformation management systems; there is a critical need for powerful search tools toretrieve often very heterogeneous data in a simple and efficient way. Existing tools typicallysupport some IR-style ranking on the textual part of the query; but only consider structure(eg; file directory) and metadata (eg; date; file type) as filtering conditions. We propose anovel multidimensional search approach that allows users to perform fuzzy searches forstructure and metadata conditions in addition to keyword conditions. Our techniquesindividually score each dimension and integrate the three dimension scores into ameaningful unified score. We also design indexes and algorithms to efficiently identify themost relevant files that match multidimensional queries. We perform a thorough …,IEEE transactions on knowledge and data engineering,2012,7,23
URSA-User Review Structure Analysis: Understanding Online Reviewing Trends,Gayatree Ganu; Amlie Marian; Nomie Elhadad,ABSTRACT Online reviews are an important asset for users deciding to buy a product; see amovie; or go to a restaurant; as well as for businesses tracking user feedback. However;most reviews are written in a free-text format; and are therefore difficult for computers tounderstand; analyze; and aggregate. One consequence of this lack of structure is thatsearching text reviews is often frustrating for users; keyword searches typically do notprovide good results as the same keywords routinely appear in good and in bad reviews.The textual body of reviews contains very rich information and user experience in accessingreviews would be greatly improved if the structure and sentiment information conveyed inthe content of the reviews were taken into account. Our work focuses on an analysis of free-text reviews by means of classification of reviews at the sentence level; with respect to …,DCS technical report2010,2010,7,10
Acquisition and Maintenance of XML Data from the Web,Laurent Mignet; Mihai Preda; Serge Abiteboul; Bernd Amann; Amélie Marian,ABSTRACT We consider the acquisition and maintenance of XML data found on the web.More precisely; we study the problem of discovering XML data on the web; ie; in a world stilldominated by HTML; and keeping it up to date with the web as best as possible; under setresources.,Tec. report,2001,7,22
System and method for providing structure and content scoring for XML,*,A system; method and computer readable medium are disclosed. The method embodimentrelates to a method of computing score of candidate answers to a database query. Themethod comprises receiving a database query; assigning a first score to a match to thequery; the first score being associated with a relative importance of an individual keyword ina collection of documents based on all structural and content predicates in the query;assigning a second score to the match; the second score being associated with a relativeimportance of a keyword in an individual document and using the assigned first score andsecond score to compute an answer score for the query.,*,2011,5,22
