Lars: A location-aware recommender system,Justin J Levandoski; Mohamed Sarwat; Ahmed Eldawy; Mohamed F Mokbel,This paper proposes LARS; a location-aware recommender system that uses location-basedratings to produce recommendations. Traditional recommender systems do not considerspatial properties of users nor items; LARS; on the other hand; supports a taxonomy of threenovel classes of location-based ratings; namely; spatial ratings for non-spatial items; non-spatial ratings for spatial items; and spatial ratings for spatial items. LARS exploits userrating locations through user partitioning; a technique that influences recommendations withratings spatially close to querying users in a manner that maximizes system scalability whilenot sacrificing recommendation quality. LARS exploits item locations using travel penalty; atechnique that favors recommendation candidates closer in travel distance to querying usersin a way that avoids exhaustive access to all spatial items. LARS can apply these …,Data Engineering (ICDE); 2012 IEEE 28th International Conference on,2012,272,10
The Bw-Tree: A B-tree for new hardware platforms,Justin J Levandoski; David B Lomet; Sudipta Sengupta,The emergence of new hardware and platforms has led to reconsideration of how datamanagement systems are designed. However; certain basic functions such as key indexedaccess to records remain essential. While we exploit the common architectural layering ofprior systems; we make radically new design decisions about each layer. Our new form of B-tree; called the Bw-tree achieves its very high performance via a latch-free approach thateffectively exploits the processor caches of modern multi-core chips. Our storage manageruses a unique form of log structuring that blurs the distinction between a page and a recordstore and works well with flash storage. This paper describes the architecture and algorithmsfor the Bw-tree; focusing on the main memory aspects. The paper includes results of ourexperiments that demonstrate that this fresh approach produces outstanding performance.,Data Engineering (ICDE); 2013 IEEE 29th International Conference on,2013,148,10
Skyline query processing for incomplete data,Mohamed E Khalefa; Mohamed F Mokbel; Justin J Levandoski,Recently; there has been much interest in processing skyline queries for variousapplications that include decision making; personalized services; and search pruning.Skyline queries aim to prune a search space of large numbers of multi-dimensional dataitems to a small set of interesting items by eliminating items that are dominated by others.Existing skyline algorithms assume that all dimensions are available for all data items. Thispaper goes beyond this restrictive assumption as we address the more practical case ofinvolving incomplete data items (ie; data items missing values in some of their dimensions).In contrast to the case of complete data where the dominance relation is transitive;incomplete data suffer from non-transitive dominance relation which may lead to a cyclicdominance behavior. We first propose two algorithms; namely;" Replacement" and" …,Data Engineering; 2008. ICDE 2008. IEEE 24th International Conference on,2008,120,22
Deuteronomy: Transaction Support for Cloud Data.,Justin J Levandoski; David B Lomet; Mohamed F Mokbel; Kevin Zhao,Abstract The Deuteronomy system supports efficient and scalable ACID transactions in thecloud by decomposing functions of a database storage engine kernel into:(a) a transactionalcomponent (TC) that manages transactions and their “logical” concurrency control andundo/redo recovery; but knows nothing about physical data location and (b) a datacomponent (DC) that maintains a data cache and uses access methods to support a record-oriented interface with atomic operations; but knows nothing about transactions. TheDeuteronomy TC can be applied to data anywhere (in the cloud; local; etc.) with a variety ofdeployments for both the TC and DC. In this paper; we describe the architecture of our TC;and the considerations that led to it. Preliminary experiments using an adapted TPC-Wworkload show good performance supporting ACID transactions for a wide range of DC …,CIDR,2011,113,18
LARS*: An efficient and scalable location-aware recommender system,Mohamed Sarwat; Justin J Levandoski; Ahmed Eldawy; Mohamed F Mokbel,This paper proposes LARS*; a location-aware recommender system that uses location-based ratings to produce recommendations. Traditional recommender systems do notconsider spatial properties of users nor items; LARS*; on the other hand; supports ataxonomy of three novel classes of location-based ratings; namely; spatial ratings for non-spatial items; non-spatial ratings for spatial items; and spatial ratings for spatial items. LARS*exploits user rating locations through user partitioning; a technique that influencesrecommendations with ratings spatially close to querying users in a manner that maximizessystem scalability while not sacrificing recommendation quality. LARS* exploits itemlocations using travel penalty; a technique that favors recommendation candidates closer intravel distance to querying users in a way that avoids exhaustive access to all spatial …,IEEE Transactions on Knowledge and Data Engineering,2014,94,10
LARS*: An efficient and scalable location-aware recommender system,Mohamed Sarwat; Justin J Levandoski; Ahmed Eldawy; Mohamed F Mokbel,This paper proposes LARS*; a location-aware recommender system that uses location-based ratings to produce recommendations. Traditional recommender systems do notconsider spatial properties of users nor items; LARS*; on the other hand; supports ataxonomy of three novel classes of location-based ratings; namely; spatial ratings for non-spatial items; non-spatial ratings for spatial items; and spatial ratings for spatial items. LARS*exploits user rating locations through user partitioning; a technique that influencesrecommendations with ratings spatially close to querying users in a manner that maximizessystem scalability while not sacrificing recommendation quality. LARS* exploits itemlocations using travel penalty; a technique that favors recommendation candidates closer intravel distance to querying users in a way that avoids exhaustive access to all spatial …,IEEE Transactions on Knowledge and Data Engineering,2014,94,10
Toward context and preference-aware location-based services,Mohamed F Mokbel; Justin J Levandoski,Abstract The explosive growth of location-detection devices; wireless communications; andmobile databases has resulted in the realization of location-based services as commercialproducts and research prototypes. Unfortunately; current location-based applications (eg;store finders) are rigid as they are completely isolated from various concepts of user"preferences" and/or" context". Such rigidness results in nonsuitable services (eg; avegetarian user may get a restaurant with non-vegetarian menu). In this paper; we introducethe system architecture of a Context and Preference-Aware Location-based DatabaseServer (CareDB; for short); currently under development at University of Minnesota; thatdelivers personalized services to its customers based on the surrounding context. CareDBgoes beyond the traditional scheme of" one size fits all" of existing location-aware …,Proceedings of the Eighth ACM International Workshop on Data Engineering for Wireless and Mobile Access,2009,82,10
Identifying hot and cold data in main-memory databases,Justin J Levandoski; P-A Larson; Radu Stoica,Main memories are becoming sufficiently large that most OLTP databases can be storedentirely in main memory; but this may not be the best solution. OLTP workloads typicallyexhibit skewed access patterns where some records are hot (frequently accessed) but manyrecords are cold (infrequently or never accessed). It is more economical to store the coldestrecords on secondary storage such as flash. As a first step towards managing cold data indatabases optimized for main memory we investigate how to efficiently identify hot and colddata. We propose to log record accesses-possibly only a sample to reduce overhead-andperform offline analysis to estimate record access frequencies. We present four estimationalgorithms based on exponential smoothing and experimentally evaluate their efficiency andaccuracy. We find that exponential smoothing produces very accurate estimates; leading …,Data Engineering (ICDE); 2013 IEEE 29th International Conference on,2013,79,4
Application layer packet classifier for Linux,Justin Levandoski,CiNii 国立情報学研究所 学術情報ナビゲータ[サイニィ]. メニュー 検索 …,http://l7-filter. sourceforge. net/,2008,79,10
RDF data-centric storage,Justin J Levandoski; Mohamed F Mokbel,The vision of the Semantic Web has brought about new challenges at the intersection of webresearch and data management. One fundamental research issue at this intersection is thestorage of the Resource Description Framework (RDF) data: the model at the core of theSemantic Web. We present a data-centric approach for storage of RDF in relationaldatabases. The intuition behind our approach is that each RDF dataset requires a tailoredtable schema that achieves efficient query processing by (1) reducing the need for joins inthe query plan and (2) keeping null storage below a given threshold. Using a basic structurederived from the RDF data; we propose a two-phase algorithm involving clustering andpartitioning. The clustering phase aims to reduce the need for joins in a query. Thepartitioning phase aims to optimize storage of extra (ie; null) data in the underlying …,Web Services; 2009. ICWS 2009. IEEE International Conference on,2009,60,4
