Minimization of tree pattern queries,Sihem Amer-Yahia; SungRan Cho; Laks VS Lakshmanan; Divesh Srivastava,Abstract Tree patterns forms a natural basis to query tree-structured data such as XML andLDAP. Since the efficiency of tree pattern matching against a tree-structured databasedepends on the size of the pattern; it is essential to identify and eliminate redundant nodesin the pattern and do so as quickly as possible. In this paper; we study tree patternminimization both in the absence and in the presence of integrity constraints (ICs) on theunderlying tree-structured database. When no ICs are considered; we call the process ofminimizing a tree pattern; constraint-independent minimization. We develop a polynomialtime algorithm called CIM for this purpose. CIM's efficiency stems from two key properties:(i)a node cannot be redundant unless its children are; and (ii) the order of elimination ofredundant nodes is immaterial. When ICs are considered for minimization; we refer to it …,ACM SIGMOD Record,2001,317,16
FleXPath: flexible structure and full-text querying for XML,Sihem Amer-Yahia; Laks VS Lakshmanan; Shashank Pandit,Abstract Querying XML data is a well-explored topic with powerful database-style querylanguages such as XPath and XQuery set to become W3C standards. An equally compellingparadigm for querying XML documents is full-text search on textual content. In this paper; westudy fundamental challenges that arise when we try to integrate these two queryingparadigms. While keyword search is based on approximate matching; XPath has exactmatch semantics. We address this mismatch by considering queries on structure as a"template"; and looking for answers that best match this template and the full-text search. Toachieve this; we provide an elegant definition of relaxation on structure and define primitiveoperators to span the space of relaxations. Query answering is now based on rankingpotential answers on structural and full-text search conditions. We set out certain …,Proceedings of the 2004 ACM SIGMOD international conference on Management of data,2004,261,4
Group recommendation: Semantics and efficiency,Sihem Amer-Yahia; Senjuti Basu Roy; Ashish Chawlat; Gautam Das; Cong Yu,Abstract We study the problem of group recommendation. Recommendation is an importantinformation exploration paradigm that retrieves interesting items for users based on theirprofiles and past activities. Single user recommendation has received significant attention inthe past due to its extensive use in Amazon and Netflix. How to recommend to a group ofusers who may or may not share similar tastes; however; is still an open problem. The needfor group recommendation arises in many scenarios: a movie for friends to watch together; atravel destination for a family to spend a holiday break; and a good restaurant for colleaguesto have a working lunch. Intuitively; items that are ideal for recommendation to a group maybe quite different from those for individual members. In this paper; we analyze the desiderataof group recommendation and propose a formal semantics that accounts for both item …,Proceedings of the VLDB Endowment,2009,253,10
Tree pattern relaxation,Sihem Amer-Yahia; SungRan Cho; Divesh Srivastava,Abstract Tree patterns are fundamental to querying tree-structured data like XML. Becauseof the heterogeneity of XML data; it is often more appropriate to permit approximate querymatching and return ranked answers; in the spirit of Information Retrieval; than to return onlyexact answers. In this paper; we study the problem of approximate XML query matching;based on tree pattern relaxations; and devise efficient algorithms to evaluate relaxed treepatterns. We consider weighted tree patterns; where exact and relaxed weights; associatedwith nodes and edges of the tree pattern; are used to compute the scores of query answers.We are interested in the problem of finding answers whose scores are at least as large as agiven threshold. We design data pruning algorithms where intermediate query results arefiltered dynamically during the evaluation process. We develop an optimization that …,International Conference on Extending Database Technology,2002,249,18
Automatic construction of travel itineraries using social breadcrumbs,Munmun De Choudhury; Moran Feldman; Sihem Amer-Yahia; Nadav Golbandi; Ronny Lempel; Cong Yu,Abstract Vacation planning is one of the frequent---but nonetheless laborious---tasks thatpeople engage themselves with online; requiring skilled interaction with a multitude ofresources. This paper constructs intra-city travel itineraries automatically by tapping a latentsource reflecting geo-temporal breadcrumbs left by millions of tourists. For example; thepopular rich media sharing site; Flickr; allows photos to be stamped by the time of when theywere taken and be mapped to Points Of Interests (POIs) by geographical (ie latitude-longitude) and semantic (eg; tags) metadata. Leveraging this information; we constructitineraries following a two-step approach. Given a city; we first extract photo streams ofindividual users. Each photo stream provides estimates on where the user was; how long hestayed at each place; and what was the transit time between places. In the second step …,Proceedings of the 21st ACM conference on Hypertext and hypermedia,2010,226,4
Finding frequent items in probabilistic data,Qin Zhang; Feifei Li; Ke Yi,Abstract Computing statistical information on probabilistic data has attracted a lot of attentionrecently; as the data generated from a wide range of data sources are inherently fuzzy oruncertain. In this paper; we study an important statistical query on probabilistic data: findingthe frequent items. One straightforward approach to identify the frequent items in aprobabilistic data set is to simply compute the expected frequency of an item and decide if itexceeds a certain fraction of the expected size of the whole data set. However; this simpledefinition misses important information about the internal structure of the probabilistic dataand the interplay among all the uncertain entities. Thus; we propose a new definition basedon the possible world semantics that has been widely adopted for many query types inuncertain data management; trying to find all the items that are likely to be frequent in a …,Proceedings of the 2008 ACM SIGMOD international conference on Management of data,2008,218,4
Semantics of ranking queries for probabilistic data and expected ranks,Graham Cormode; Feifei Li; Ke Yi,When dealing with massive quantities of data; top-k queries are a powerful technique forreturning only the k most relevant tuples for inspection; based on a scoring function. Theproblem of efficiently answering such ranking queries has been studied and analyzedextensively within traditional database settings. The importance of the top-k is perhaps evengreater in probabilistic databases; where a relation can encode exponentially many possibleworlds. There have been several recent attempts to propose definitions and algorithms forranking queries over probabilistic data. However; these all lack many of the intuitiveproperties of a top-k over deterministic data. Specifically; we define a number of fundamentalproperties; including exact-k; containment; unique-rank; value-invariance; and stability;which are all satisfied by ranking queries on certain data. We argue that all these …,Data Engineering; 2009. ICDE'09. IEEE 25th International Conference on,2009,212,13
Efficient computation of diverse query results,Erik Vee; Utkarsh Srivastava; Jayavel Shanmugasundaram; Prashant Bhat; Sihem Amer Yahia,We study the problem of efficiently computing diverse query results in online shoppingapplications; where users specify queries through a form interface that allows a mix ofstructured and content-based selection conditions. Intuitively; the goal of diverse queryanswering is to return a representative set of top-k answers from all the tuples that satisfy theuser selection condition. For example; if a user is searching for Honda cars and we can onlydisplay five results; we wish to return cars from five different Honda models; as opposed toreturning cars from only one or two Honda models. A key contribution of this paper is toformally define the notion of diversity; and to show that existing score based techniquescommonly used in web applications are not sufficient to guarantee diversity. Anothercontribution of this paper is to develop novel and efficient query processing techniques …,Data Engineering; 2008. ICDE 2008. IEEE 24th International Conference on,2008,185,22
Structure and content scoring for XML,Sihem Amer-Yahia; Nick Koudas; Amélie Marian; Divesh Srivastava; David Toman,Abstract XML repositories are usually queried both on structure and content. Due tostructural heterogeneity of XML; queries are often interpreted approximately and theiranswers are returned ranked by scores. Computing answer scores in XML is an active areaof research that oscillates between pure content scoring such as the well-known tf* idf andtaking structure into account. However; none of the existing proposals fully accounts forstructure and combines it with content to score query answers. We propose novel XMLscoring methods that are inspired by tf* idf and that account for both structure and contentwhile considering query relaxations. Twig scoring; accounts for the most structure andcontent and is thus used as our reference method. Path scoring is an approximation thatloosens correlations between query nodes hence reducing the amount of time required to …,Proceedings of the 31st international conference on Very large data bases,2005,178,4
Texquery: a full-text search extension to xquery,Sihem Amer-Yahia; Chavdar Botev; Jayavel Shanmugasundaram,Abstract One of the key benefits of XML is its ability to represent a mix of structured andunstructured (text) data. Although current XML query languages such as XPath and XQuerycan express rich queries over structured data; they can only express very rudimentaryqueries over text data. We thus propose TeXQuery; which is a powerful full-text searchextension to XQuery. TeXQuery provides a rich set of fully composable full-text searchprimitives; such as Boolean connectives; phrase matching; proximity distance; stemmingand thesauri. TeXQuery also enables users to seamlessly query over both structured andtext data by embedding TeXQuery primitives in XQuery; and vice versa. Finally; TeXQuerysupports a flexible scoring construct that can be used toscore query results based on full-textpredicates. TeXQuery is the precursor ofthe full-text language extensions to XPath 2.0 …,Proceedings of the 13th international conference on World Wide Web,2004,170,4
