Graph pattern matching: from intractable to polynomial time,Wenfei Fan; Jianzhong Li; Shuai Ma; Nan Tang; Yinghui Wu; Yunpeng Wu,Abstract Graph pattern matching is typically defined in terms of subgraph isomorphism;which makes it an np-complete problem. Moreover; it requires bijective functions; which areoften too restrictive to characterize patterns in emerging applications. We propose a class ofgraph patterns; in which an edge denotes the connectivity in a data graph within apredefined number of hops. In addition; we define matching based on a notion of boundedsimulation; an extension of graph simulation. We show that with this revision; graph patternmatching can be performed in cubic-time; by providing such an algorithm. We also developalgorithms for incrementally finding matches when data graphs are updated; withperformance guarantees for dag patterns. We experimentally verify that these algorithmsscale well; and that the revised notion of graph pattern matching allows us to identify …,Proceedings of the VLDB Endowment,2010,204
NADEEF: a commodity data cleaning system,Michele Dallachiesa; Amr Ebaid; Ahmed Eldawy; Ahmed Elmagarmid; Ihab F Ilyas; Mourad Ouzzani; Nan Tang,Abstract Despite the increasing importance of data quality and the rich theoretical andpractical contributions in all aspects of data cleaning; there is no single end-to-end off-the-shelf solution to (semi-) automate the detection and the repairing of violations wrt a set ofheterogeneous and ad-hoc quality constraints. In short; there is no commodity platformsimilar to general purpose DBMSs that can be easily customized and deployed to solveapplication-specific data quality problems. In this paper; we present NADEEF; an extensible;generalized and easy-to-deploy data cleaning platform. NADEEF distinguishes between aprogramming interface and a core to achieve generality and extensibility. The programminginterface allows the users to specify multiple types of data quality rules; which uniformlydefine what is wrong with the data and (possibly) how to repair it through writing code that …,Proceedings of the 2013 ACM SIGMOD International Conference on Management of Data,2013,136
Adding regular expressions to graph reachability and pattern queries,Wenfei Fan; Jianzhong Li; Shuai Ma; Nan Tang; Yinghui Wu,It is increasingly common to find graphs in which edges bear different types; indicating avariety of relationships. For such graphs we propose a class of reachability queries and aclass of graph patterns; in which an edge is specified with a regular expression of a certainform; expressing the connectivity in a data graph via edges of various types. In addition; wedefine graph pattern matching based on a revised notion of graph simulation. On graphs inemerging applications such as social networks; we show that these queries are capable offinding more sensible information than their traditional counterparts. Better still; theirincreased expressive power does not come with extra complexity. Indeed;(1) we investigatetheir containment and minimization problems; and show that these fundamental problemsare in quadratic time for reachability queries and are in cubic time for pattern queries.(2) …,Data Engineering (ICDE); 2011 IEEE 27th International Conference on,2011,112
Interaction between record matching and data repairing,Wenfei Fan; Shuai Ma; Nan Tang; Wenyuan Yu,Abstract Central to a data cleaning system are record matching and data repairing. Matchingaims to identify tuples that refer to the same real-world object; and repairing is to make adatabase consistent by fixing errors in the data by using integrity constraints. These aretypically treated as separate processes in current data cleaning systems; based on heuristicsolutions. This article studies a new problem in connection with data cleaning; namely theinteraction between record matching and data repairing. We show that repairing caneffectively help us identify matches; and vice versa. To capture the interaction; we provide auniform framework that seamlessly unifies repairing and matching operations to clean adatabase based on integrity constraints; matching rules; and master data. We give a fulltreatment of fundamental problems associated with data cleaning via matching and …,Journal of Data and Information Quality (JDIQ),2014,107
Towards certain fixes with editing rules and master data,Wenfei Fan; Jianzhong Li; Shuai Ma; Nan Tang; Wenyuan Yu,Abstract A variety of integrity constraints have been studied for data cleaning. While theseconstraints can detect the presence of errors; they fall short of guiding us to correct theerrors. Indeed; data repairing based on these constraints may not find certain fixes that areabsolutely correct; and worse; may introduce new errors when repairing the data. Wepropose a method for finding certain fixes; based on master data; a notion of certain regions;and a class of editing rules. A certain region is a set of attributes that are assured correct bythe users. Given a certain region and master data; editing rules tell us what attributes to fixand how to update them. We show how the method can be used in data monitoring andenrichment. We develop techniques for reasoning about editing rules; to decide whetherthey lead to a unique fix and whether they are able to fix all the attributes in a tuple …,Proceedings of the VLDB Endowment,2010,83
Multiple materialized view selection for XPath query rewriting,Nan Tang; Jeffrey Xu Yu; M Tamer Ozsu; Byron Choi; Kam-Fai Wong,We study the problem of answering XPATH queries using multiple materialized views.Despite the efforts on answering queries using single materialized view; answering queriesusing multiple views remains relatively new. We address two important aspects of thisproblem: multiple-view selection and equivalent multiple-view rewriting. With regards to thefirst problem; we propose an NFA-based approach (called VFILTER) to filter views thatcannot be used to answer a given query. We then present the criterion for multipleview/query answerability. Based on the output of VFILTER; we further propose a heuristicmethod to identify a minimal view set that can answer a given query. For the problem ofmultiple-view rewriting; we first refine the materialized fragments of each selected view (likepushing selection); we then join the refined fragments utilizing an encoding scheme …,Data Engineering; 2008. ICDE 2008. IEEE 24th International Conference on,2008,69
Katara: A data cleaning system powered by knowledge bases and crowdsourcing,Xu Chu; John Morcos; Ihab F Ilyas; Mourad Ouzzani; Paolo Papotti; Nan Tang; Yin Ye,Abstract Classical approaches to clean data have relied on using integrity constraints;statistics; or machine learning. These approaches are known to be limited in the cleaningaccuracy; which can usually be improved by consulting master data and involving experts toresolve ambiguity. The advent of knowledge bases KBs both general-purpose and withinenterprises; and crowdsourcing marketplaces are providing yet more opportunities toachieve higher accuracy at a larger scale. We propose KATARA; a knowledge base andcrowd powered data cleaning system that; given a table; a KB; and a crowd; interprets tablesemantics to align it with the KB; identifies correct and incorrect data; and generates top-kpossible repairs for incorrect data. Experiments show that KATARA can be applied tovarious datasets and KBs; and can efficiently annotate data and suggest possible repairs.,Proceedings of the 2015 ACM SIGMOD International Conference on Management of Data,2015,63
Towards certain fixes with editing rules and master data,Wenfei Fan; Jianzhong Li; Shuai Ma; Nan Tang; Wenyuan Yu,Abstract A variety of integrity constraints have been studied for data cleaning. While theseconstraints can detect the presence of errors; they fall short of guiding us to correct theerrors. Indeed; data repairing based on these constraints may not find certain fixes that areguaranteed correct; and worse still; may even introduce new errors when attempting torepair the data. We propose a method for finding certain fixes; based on master data; anotion of certain regions; and a class of editing rules. A certain region is a set of attributesthat are assured correct by the users. Given a certain region and master data; editing rulestell us what attributes to fix and how to update them. We show how the method can be usedin data monitoring and enrichment. We also develop techniques for reasoning about editingrules; to decide whether they lead to a unique fix and whether they are able to fix all the …,The VLDB Journal,2012,60
Bigdansing: A system for big data cleansing,Zuhair Khayyat; Ihab F Ilyas; Alekh Jindal; Samuel Madden; Mourad Ouzzani; Paolo Papotti; Jorge-Arnulfo Quiané-Ruiz; Nan Tang; Si Yin,Abstract Data cleansing approaches have usually focused on detecting and fixing errorswith little attention to scaling to big datasets. This presents a serious impediment since datacleansing often involves costly computations such as enumerating pairs of tuples; handlinginequality joins; and dealing with user-defined functions. In this paper; we presentBigDansing; a Big Data Cleansing system to tackle efficiency; scalability; and ease-of-useissues in data cleansing. The system can run on top of most common general purpose dataprocessing platforms; ranging from DBMSs to MapReduce-like frameworks. A user-friendlyprogramming interface allows users to express data quality rules both declaratively andprocedurally; with no requirement of being aware of the underlying distributed platform.BigDansing takes these rules into a series of transformations that enable distributed …,Proceedings of the 2015 ACM SIGMOD International Conference on Management of Data,2015,52
Towards dependable data repairing with fixing rules,Nan Tang Jiannan Wang,*,Proceedings of the 2014 international conference on Management of data (SIGMOD),2014,49
