The case for RAMClouds: scalable high-performance storage entirely in DRAM,John Ousterhout; Parag Agrawal; David Erickson; Christos Kozyrakis; Jacob Leverich; David Mazières; Subhasish Mitra; Aravind Narayanan; Guru Parulkar; Mendel Rosenblum; Stephen M Rumble; Eric Stratmann; Ryan Stutsman,Abstract Disk-oriented approaches to online storage are becoming increasingly problematic:they do not scale gracefully to meet the needs of large-scale Web applications; andimprovements in disk capacity have far outstripped improvements in access latency andbandwidth. This paper argues for a new approach to datacenter storage called RAMCloud;where information is kept entirely in DRAM and large-scale systems are created byaggregating the main memories of thousands of commodity servers. We believe thatRAMClouds can provide durable and available storage with 100-1000x the throughput ofdisk-based systems and 100-1000x lower access latency. The combination of low latencyand large scale will enable a new breed of dataintensive applications.,ACM SIGOPS Operating Systems Review,2010,472
Fast crash recovery in RAMCloud,Diego Ongaro; Stephen M Rumble; Ryan Stutsman; John Ousterhout; Mendel Rosenblum,Abstract RAMCloud is a DRAM-based storage system that provides inexpensive durabilityand availability by recovering quickly after crashes; rather than storing replicas in DRAM.RAMCloud scatters backup data across hundreds or thousands of disks; and it harnesseshundreds of servers in parallel to reconstruct lost data. The system uses a log-structuredapproach for all its data; in DRAM as well as on disk: this provides high performance bothduring normal operation and during recovery. RAMCloud employs randomized techniquesto manage the system in a scalable and decentralized fashion. In a 60-node cluster;RAMCloud recovers 35 GB of data from a failed server in 1.6 seconds. Our measurementssuggest that the approach will scale to recover larger memory sizes (64 GB or more) in lesstime with larger clusters.,Proceedings of the Twenty-Third ACM Symposium on Operating Systems Principles,2011,274
The case for RAMCloud,John Ousterhout; Parag Agrawal; David Erickson; Christos Kozyrakis; Jacob Leverich; David Mazières; Subhasish Mitra; Aravind Narayanan; Diego Ongaro; Guru Parulkar; Mendel Rosenblum; Stephen M Rumble; Eric Stratmann; Ryan Stutsman,For the past four decades magnetic disks have been the primary storage location for online informationin computer systems. Over that period; disk technology has undergone dramatic improvementswhile being harnessed by higher-level storage systems (such as file systems and relationaldatabases). However; disk performance has not improved as quickly as disk capacity; and developersfind it increasingly difficult to scale disk-based systems to meet the needs of large-scale Webapplications. Many computer scientists have proposed new approaches to disk-based storageas a solution; and others have suggested replacing disks with flash memory devices. Incontrast; we say the solution is to shift the primary locus of online data from disk to DRAM; withdisk relegated to a backup/archival role … A new class of storage called RAMCloud will providethe storage substrate for many future applications. RAMCloud stores all of its information …,Communications of the ACM,2011,154
Energy management in mobile devices with the cinder operating system,Arjun Roy; Stephen M Rumble; Ryan Stutsman; Philip Levis; David Mazières; Nickolai Zeldovich,Abstract We argue that controlling energy allocation is an increasingly useful and importantfeature for operating systems; especially on mobile devices. We present two new low-levelabstractions in the Cinder operating system; reserves and taps; which store and distributeenergy for application use. We identify three key properties of control--isolation; delegation;and subdivision--and show how using these abstractions can achieve them. We also showhow the architecture of the HiStar information-flow control kernel lends itself well to energycontrol. We prototype and evaluate Cinder on a popular smartphone; the Android G1.,Proceedings of the sixth conference on Computer systems,2011,134
It's Time for Low Latency.,Stephen M Rumble; Diego Ongaro; Ryan Stutsman; Mendel Rosenblum; John K Ousterhout,Abstract The operating systems community has ignored network latency for too long. In thepast; speed-of-light delays in wide area networks and unoptimized network hardware havemade sub-100is round-trip times impossible. However; in the next few years datacenters willbe deployed with low-latency Ethernet. Without the burden of propagation delays in thedatacenter campus and network delays in the Ethernet devices; it will be up to us to finishthe job and see this benefit through to applications. We argue that OS researchers must leadthe charge in rearchitecting systems to push the boundaries of lowlatency datacentercommunication. 5-10is remote procedure calls are possible in the short term–two orders ofmagnitude better than today. In the long term; moving the network interface on to the CPUcore will make 1is times feasible.,HotOS,2011,126
The RAMCloud storage system,John Ousterhout; Arjun Gopalan; Ashish Gupta; Ankita Kejriwal; Collin Lee; Behnam Montazeri; Diego Ongaro; Seo Jin Park; Henry Qin; Mendel Rosenblum; Stephen Rumble; Ryan Stutsman; Stephen Yang,Abstract RAMCloud is a storage system that provides low-latency access to large-scaledatasets. To achieve low latency; RAMCloud stores all data in DRAM at all times. To supportlarge capacities (1PB or more); it aggregates the memories of thousands of servers into asingle coherent key-value store. RAMCloud ensures the durability of DRAM-based data bykeeping backup copies on secondary storage. It uses a uniform log-structured mechanism tomanage both DRAM and secondary storage; which results in high performance and efficientmemory usage. RAMCloud uses a polling-based approach to communication; bypassing thekernel to communicate directly with NICs; with this approach; client applications can readsmall objects from any RAMCloud storage server in less than 5μs; durable writes of smallobjects take about 13.5μs. RAMCloud does not keep multiple copies of data online; …,ACM Transactions on Computer Systems (TOCS),2015,78
Copysets: Reducing the Frequency of Data Loss in Cloud Storage.,Asaf Cidon; Stephen M Rumble; Ryan Stutsman; Sachin Katti; John K Ousterhout; Mendel Rosenblum,ABSTRACT Random replication is widely used in data center storage systems to preventdata loss. However; random replication is almost guaranteed to lose data in the commonscenario of simultaneous node failures due to cluster-wide power outages. Due to the highfixed cost of each incident of data loss; many data center operators prefer to minimize thefrequency of such events at the expense of losing more data in each event. We presentCopyset Replication; a novel generalpurpose replication technique that significantly reducesthe frequency of data loss events. We implemented and evaluated Copyset Replication ontwo open source data center storage systems; HDFS and RAMCloud; and show it incurs alow overhead on all operations. Such systems require that each node's data be scatteredacross several nodes for parallel data recovery and access. Copyset Replication presents …,Usenix Annual Technical Conference,2013,75
Translation-based steganography,Christian Grothoff; Krista Grothoff; Ludmila Alkhutova; Ryan Stutsman; Mikhail Atallah,Abstract This paper investigates the possibilities of steganographically embeddinginformation in the “noise” created by automatic translation of natural language documents.Because the inherent redundancy of natural language creates plenty of room for variation intranslation; machine translation is ideal for steganographic applications. Also; because thereare frequent errors in legitimate automatic text translations; additional errors inserted by aninformation hiding mechanism are plausibly undetectable and would appear to be part of thenormal noise associated with translation. Significantly; it should be extremely difficult for anadversary to determine if inaccuracies in the translation are caused by the use ofsteganography or by deficiencies of the translation software.,International Workshop on Information Hiding,2005,68
Lost in just the translation,Ryan Stutsman; Christian Grothoff; Mikhail Atallah; Krista Grothoff,Abstract This paper describes the design and implementation of a scheme for hidinginformation in translated natural language text; and presents experimental results using theimplemented system. Unlike the previous work; which required the presence of both thesource and the translation; the protocol presented in this paper requires only the translatedtext for recovering the hidden message. This is a significant improvement; as transmitting thesource text was both wasteful of resources and less secure. The security of the system isnow improved not only because the source text is no longer available to the adversary; butalso because a broader repertoire of defenses (such as mixing human and machinetranslation) can now be used.,Proceedings of the 2006 ACM symposium on Applied computing,2006,56
Apprehending joule thieves with cinder,Stephen M Rumble; Ryan Stutsman; Philip Levis; David Mazières; Nickolai Zeldovich,Abstract Energy is the critical limiting resource to mobile computing devices.Correspondingly; an operating system must track; provision; and ration how applicationsconsume energy. The emergence of third-party application stores and marketplaces makesthis concern even more pressing. A third-party application must not deny service throughexcessive; unforeseen energy expenditure; whether accidental or malicious. Previousresearch has shown promise in tracking energy usage and rationing it to meet devicelifetime goals; but such mechanisms and policies are still nascent; especially regarding userinteraction. We argue for a new operating system; called Cinder; which builds on top of theHiStar OS. Cinder's energy awareness is based on hierarchical capacitors and task profiles.We introduce and explore these abstractions; paying particular attention to the ways in …,ACM SIGCOMM Computer Communication Review,2010,34
