HERMES: aggregative LBS via a trajectory DB engine,Nikos Pelekis; Elias Frentzos; Nikos Giatrakos; Yannis Theodoridis,Abstract We present HERMES; a prototype system based on a powerful query language fortrajectory databases; which enables the support of aggregative Location-Based Services(LBS). The key observation that motivates HERMES is that the more the knowledge in handabout the trajectory of a mobile user; the better the exploitation of the advances in spatio-temporal query processing for providing intelligent LBS. HERMES is fully incorporated into astate-of-the-art Object-Relational DBMS; and its demonstration illustrates its flexibility andusefulness for delivering custom-defined LBS.,Proceedings of the 2008 ACM SIGMOD international conference on Management of data,2008,83
Prediction-based geometric monitoring over distributed data streams,Nikos Giatrakos; Antonios Deligiannakis; Minos Garofalakis; Izchak Sharfman; Assaf Schuster,Abstract Many modern streaming applications; such as online analysis of financial; network;sensor and other forms of data are inherently distributed in nature. An important query typethat is the focal point in such application scenarios regards actuation queries; where properaction is dictated based on a trigger condition placed upon the current value that amonitored function receives. Recent work studies the problem of (non-linear) sophisticatedfunction tracking in a distributed manner. The main concept behind the geometric monitoringapproach proposed there; is for each distributed site to perform the function monitoring overan appropriate subset of the input domain. In the current work; we examine whether thedistributed monitoring mechanism can become more efficient; in terms of the number ofcommunicated messages; by extending the geometric monitoring framework to utilize …,Proceedings of the 2012 ACM SIGMOD International Conference on Management of Data,2012,56
T-warehouse: visual olap analysis on trajectory data,Luca Leonardi; Gerasimos Marketos; Elias Frentzos; Nikos Giatrakos; Salvatore Orlando; Nikos Pelekis; Alessandra Raffaetà; Alessandro Roncato; Claudio Silvestri; Yannis Theodoridis,Technological advances in sensing technologies and wireless telecommunication devicesenable novel research fields related to the management of trajectory data. As it usuallyhappens in the data management world; the challenge after storing the data is theimplementation of appropriate analytics for extracting useful knowledge. However;traditional data warehousing systems and techniques were not designed for analyzingtrajectory data. Thus; in this work; we demonstrate a framework that transforms the traditionaldata cube model into a trajectory warehouse. As a proof-of-concept; we implemented T-WAREHOUSE; a system that incorporates all the required steps for Visual Trajectory DataWarehousing; from trajectory reconstruction and ETL processing to Visual OLAP analysis onmobility data.,Data Engineering (ICDE); 2010 IEEE 26th International Conference on,2010,31
SeTraStream: semantic-aware trajectory construction over streaming movement data,Zhixian Yan; Nikos Giatrakos; Vangelis Katsikaros; Nikos Pelekis; Yannis Theodoridis,Abstract Location data generated from GPS equipped moving objects are typically collectedas streams of spatiotemporal< x; y; t> points that when put together form correspondingtrajectories. Most existing studies focus on building ad-hoc querying; analysis; as well asdata mining techniques on formed trajectories. As a prior step; trajectory construction isevidently necessary for mobility data processing and understanding; including tasks liketrajectory data cleaning; compression; and segmentation so as to identify semantic trajectoryepisodes like stops (eg while sitting and standing) and moves (while jogging; walking;driving etc). However; semantic trajectory construction methods in the current literature aretypically based on offline procedures; which is not sufficient for real life trajectoryapplications that rely on timely delivery of computed trajectories to serve real-time query …,International Symposium on Spatial and Temporal Databases,2011,30
Visual mobility analysis using t-warehouse,A Raffaetà; L Leonardi; G Marketos; G Andrienko; N Andrienko; E Frentzos; N Giatrakos; S Orlando; N Pelekis; A Roncato; C Silvestri,ABSTRACT Technological advances in sensing technologies and wirelesstelecommunication devices enable research fields related to the management of trajectorydata. The challenge after storing the data is the implementation of appropriate analytics forextracting useful knowledge. However; traditional data warehousing systems andtechniques were not designed for analyzing trajectory data. In this paper; the authorsdemonstrate a framework that transforms the traditional data cube model into a trajectorywarehouse. As a proof-of-concept; the authors implement T-Warehouse; a system thatincorporates all the required steps for Visual Trajectory Data Warehousing; from trajectoryreconstruction and ETL processing to Visual OLAP analysis on mobility data.,*,2013,27
TACO: tunable approximate computation of outliers in wireless sensor networks,Nikos Giatrakos; Yannis Kotidis; Antonios Deligiannakis; Vasilis Vassalos; Yannis Theodoridis,Abstract Wireless sensor networks are becoming increasingly popular for a variety ofapplications. Users are frequently faced with the surprising discovery that readingsproduced by the sensing elements of their motes are often contaminated with outliers.Outlier readings can severely affect applications that rely on timely and reliable sensory datain order to provide the desired functionality. As a consequence; there is a recent trend toexplore how techniques that identify outlier values can be applied to sensory data cleaning.Unfortunately; most of these approaches incur an overwhelming communication overhead;which limits their practicality. In this paper we introduce an in-network outlier detectionframework; based on locality sensitive hashing; extended with a novel boosting process aswell as efficient load balancing and comparison pruning mechanisms. Our method trades …,Proceedings of the 2010 ACM SIGMOD International Conference on Management of data,2010,26
HERMES: A trajectory DB engine for mobility-centric applications,Nikos Pelekis; Elias Frentzos; Nikos Giatrakos; Yannis Theodoridis,Abstract This paper presents HERMES; a prototype DB engine that defines a powerful querylanguage for trajectory databases; which enables the support of mobility-centricapplications; such as Location-Based Services (LBS). HERMES extends the data definitionand manipulation language of Object-Relational DBMS (ORDBMS) with spatio-temporalsemantics and functionality based on advanced spatio-temporal indexing and queryprocessing techniques. Its implementation over two ORDBMS and its utilization in variousdomains proves the expressive power and applicability of HERMES in different applicationdomains where knowledge regarding mobility data is essential. As a proof-of-concept; in thispaper HERMES is applied to a case study related with vehicle traffic analysis; demonstratingits flexibility and usefulness for delivering custom-defined LBS.,International Journal of Knowledge-Based Organizations (IJKBO),2015,20
Distributed geometric query monitoring using prediction models,Nikos Giatrakos; Antonios Deligiannakis; Minos Garofalakis; Izchak Sharfman; Assaf Schuster,Abstract Many modern streaming applications; such as online analysis of financial; network;sensor; and other forms of data; are inherently distributed in nature. An important query typethat is the focal point in such application scenarios regards actuation queries; where properaction is dictated based on a trigger condition placed upon the current value that amonitored function receives. Recent work [Sharfman et al. 2006; 2007b; 2008] studies theproblem of (nonlinear) sophisticated function tracking in a distributive manner. The mainconcept behind the geometric monitoring approach proposed there is for each distributedsite to perform the function monitoring over an appropriate subset of the input domain. In thecurrent work; we examine whether the distributed monitoring mechanism can become moreefficient; in terms of the number of communicated messages; by extending the geometric …,ACM Transactions on Database Systems (TODS),2014,19
Issues in complex event processing: Status and prospects in the Big Data era,Ioannis Flouris; Nikos Giatrakos; Antonios Deligiannakis; Minos Garofalakis; Michael Kamp; Michael Mock,Abstract Many Big Data technologies were built to enable the processing of humangenerated data; setting aside the enormous amount of data generated from Machine-to-Machine (M2M) interactions and Internet-of-Things (IoT) platforms. Such interactions createreal-time data streams that are much more structured; often in the form of series of eventoccurrences. In this paper; we provide an overview on the main research issues confrontedby existing Complex Event Processing (CEP) techniques; with an emphasis on queryoptimization aspects. Our study expands on both deterministic and probabilistic eventmodels and spans from centralized to distributed network settings. In that; we cover a widerange of approaches in the CEP domain and review the current status of techniques thattackle efficient query processing. These techniques serve as a starting point for …,Journal of Systems and Software,2017,11
In-network approximate computation of outliers with quality guarantees,Nikos Giatrakos; Yannis Kotidis; Antonios Deligiannakis; Vasilis Vassalos; Yannis Theodoridis,Abstract Wireless sensor networks are becoming increasingly popular for a variety ofapplications. Users are frequently faced with the surprising discovery that readingsproduced by the sensing elements of their motes are often contaminated with outliers.Outlier readings can severely affect applications that rely on timely and reliable sensory datain order to provide the desired functionality. As a consequence; there is a recent trend toexplore how techniques that identify outlier values based on their similarity to other readingsin the network can be applied to sensory data cleaning. Unfortunately; most of theseapproaches incur an overwhelming communication overhead; which limits their practicality.In this paper we introduce an in-network outlier detection framework; based on localitysensitive hashing; extended with a novel boosting process as well as efficient load …,Information Systems,2013,11
