LIRS: an efficient low inter-reference recency set replacement policy to improve buffer cache performance,Song Jiang; Xiaodong Zhang,Abstract Although LRU replacement policy has been commonly used in the buffer cachemanagement; it is well known for its inability to cope with access patterns with weak locality.Previous work; such as LRU-K and 2Q; attempts to enhance LRU capacity by making use ofadditional history information of previous block references other than only the recencyinformation used in LRU. These algorithms greatly increase complexity and/or can notconsistently provide performance improvement. Many recently proposed policies; such asUBM and SEQ; improve replacement performance by exploiting access regularities inreferences. They only address LRU problems on certain specific and well-defined casessuch as access patterns like sequences and loops. Motivated by the limits of previousstudies; we propose an efficient buffer cache replacement policy; called Low Inter …,ACM SIGMETRICS Performance Evaluation Review,2002,534
Measurements; analysis; and modeling of BitTorrent-like systems,Lei Guo; Songqing Chen; Zhen Xiao; Enhua Tan; Xiaoning Ding; Xiaodong Zhang,Abstract Existing studies on BitTorrent systems are single-torrent based; while more than85% of all peers participate in multiple torrents according to our trace analysis. In addition;these studies are not sufficiently insightful and accurate even for single-torrent models; dueto some unrealistic assumptions. Our analysis of representative Bit-Torrent traffic providesseveral new findings regarding the limitations of BitTorrent systems:(1) Due to theexponentially decreasing peer arrival rate in reality; service availability in such systemsbecomes poor quickly; after which it is difficult for the file to be located and downloaded.(2)Client performance in the BitTorrent-like systems is unstable; and fluctuates widely with thepeer population.(3) Existing systems could provide unfair services to peers; where peerswith high downloading speed tend to download more and upload less. In this paper; we …,Proceedings of the 5th ACM SIGCOMM conference on Internet Measurement,2005,526
Understanding intrinsic characteristics and system implications of flash memory based solid state drives,Feng Chen; David A Koufaty; Xiaodong Zhang,Abstract Flash Memory based Solid State Drive (SSD) has been called a" pivotaltechnology" that could revolutionize data storage systems. Since SSD shares a commoninterface with the traditional hard disk drive (HDD); both physically and logically; an effectiveintegration of SSD into the storage hierarchy is very important. However; details of SSDhardware implementations tend to be hidden behind such narrow interfaces. In fact; sincesophisticated algorithms are usually; of necessity; adopted in SSD controller firmware; morecomplex performance dynamics are to be expected in SSD than in HDD systems. Mostexisting literature or product specifications on SSD just provide high-level descriptions andstandard performance data; such as bandwidth and latency. In order to gain insight into theunique performance characteristics of SSD; we have conducted intensive experiments …,ACM SIGMETRICS Performance Evaluation Review,2009,466
Gaining insights into multicore cache partitioning: Bridging the gap between simulation and real systems,Jiang Lin; Qingda Lu; Xiaoning Ding; Zhao Zhang; Xiaodong Zhang; P Sadayappan,Cache partitioning and sharing is critical to the effective utilization of multicore processors.However; almost all existing studies have been evaluated by simulation that often hasseveral limitations; such as excessive simulation time; absence of OS activities andproneness to simulation inaccuracy. To address these issues; we have taken an efficientsoftware approach to supporting both static and dynamic cache partitioning in OS throughmemory address mapping. We have comprehensively evaluated several representativecache partitioning schemes with different optimization objectives; including performance;fairness; and quality of service (QoS). Our software approach makes it possible to run theSPEC CPU2006 benchmark suite to completion. Besides confirming important conclusionsfrom previous work; we are able to gain several insights from whole-program executions …,High Performance Computer Architecture; 2008. HPCA 2008. IEEE 14th International Symposium on,2008,358
Hadoop gis: a high performance spatial data warehousing system over mapreduce,Ablimit Aji; Fusheng Wang; Hoang Vo; Rubao Lee; Qiaoling Liu; Xiaodong Zhang; Joel Saltz,Abstract Support of high performance queries on large volumes of spatial data becomesincreasingly important in many application domains; including geospatial problems innumerous fields; location based services; and emerging scientific applications that areincreasingly data-and compute-intensive. The emergence of massive scale spatial data isdue to the proliferation of cost effective and ubiquitous positioning technologies;development of high resolution imaging technologies; and contribution from a large numberof community users. There are two major challenges for managing and querying massivespatial data to support spatial queries: the explosion of spatial data; and the highcomputational complexity of spatial queries. In this paper; we present Hadoop-GIS-ascalable and high performance spatial data warehousing system for running large scale …,Proceedings of the VLDB Endowment,2013,345
RCFile: A fast and space-efficient data placement structure in MapReduce-based warehouse systems,Yongqiang He; Rubao Lee; Yin Huai; Zheng Shao; Namit Jain; Xiaodong Zhang; Zhiwei Xu,MapReduce-based data warehouse systems are playing important roles of supporting bigdata analytics to understand quickly the dynamics of user behavior trends and their needs intypical Web service providers and social network sites (eg; Facebook). In such a system; thedata placement structure is a critical factor that can affect the warehouse performance in afundamental way. Based on our observations and analysis of Facebook production systems;we have characterized four requirements for the data placement structure:(1) fast dataloading;(2) fast query processing;(3) highly efficient storage space utilization; and (4) strongadaptivity to highly dynamic workload patterns. We have examined three commonlyaccepted data placement structures in conventional databases; namely row-stores; column-stores; and hybrid-stores in the context of large data analysis using MapReduce. We …,Data Engineering (ICDE); 2011 IEEE 27th International Conference on,2011,302
Location-aware topology matching in P2P systems,Yunhao Liu; Xiaomei Liu; Li Xiao; Lionel M Ni; Xiaodong Zhang,Peer-to-peer (P2P) computing has emerged as a popular model aiming at further utilizingInternet information and resources; complementing the available client-server services.However; the mechanism of peers randomly choosing logical neighbors without anyknowledge about underlying physical topology can cause a serious topology mismatchingbetween the P2P overlay network and the physical underlying network. The topologymismatching problem brings a great stress in the Internet infrastructure and greatly limits theperformance gain from various search or routing techniques. Meanwhile; due to theinefficient overlay topology; the flooding-based search mechanisms cause a large volume ofunnecessary traffic. Aiming at alleviating the mismatching problem and reducing theunnecessary traffic; we propose a location-aware topology matching (LTM) technique; an …,INFOCOM 2004. Twenty-third AnnualJoint Conference of the IEEE Computer and Communications Societies,2004,287
Location awareness in unstructured peer-to-peer systems,Yunhao Liu; Li Xiao; Xiaomei Liu; Lionel M Ni; Xiaodong Zhang,Peer-to-peer (P2P) computing has emerged as a popular model aiming at further utilizingInternet information and resources. However; the mechanism of peers randomly choosinglogical neighbors without any knowledge about underlying physical topology can cause aserious topology mismatch between the P2P overlay network and the physical underlyingnetwork. The topology mismatch problem brings great stress in the Internet infrastructure. Itgreatly limits the performance gain from various search or routing techniques. Meanwhile;due to the inefficient overlay topology; the flooding-based search mechanisms cause a largevolume of unnecessary traffic. Aiming at alleviating the mismatching problem and reducingthe unnecessary traffic; we propose a location-aware topology matching (LTM) technique.LTM builds an efficient overlay by disconnecting slow connections and choosing …,IEEE Transactions on Parallel and Distributed Systems,2005,247
CAFTL: A Content-Aware Flash Translation Layer Enhancing the Lifespan of Flash Memory based Solid State Drives.,Feng Chen; Tian Luo; Xiaodong Zhang,Abstract Although Flash Memory based Solid State Drive (SSD) exhibits high performanceand low power consumption; a critical concern is its limited lifespan along with theassociated reliability issues. In this paper; we propose to build a Content-Aware FlashTranslation Layer (CAFTL) to enhance the endurance of SSDs at the device level. With noneed of any semantic information from the host; CAFTL can effectively reduce write traffic toflash memory by removing unnecessary duplicate writes and can also substantially extendavailable free flash memory space by coalescing redundant data in SSDs; which furtherimproves the efficiency of garbage collection and wear-leveling. In order to retain high dataaccess performance; we have also designed a set of acceleration techniques to reduce theruntime overhead and minimize the performance impact caused by extra computational …,FAST,2011,239
Hystor: making the best use of solid state drives in high performance storage systems,Feng Chen; David A Koufaty; Xiaodong Zhang,Abstract With the fast technical improvement; flash memory based Solid State Drives (SSDs)are becoming an important part of the computer storage hierarchy to significantly improveperformance and energy efficiency. However; due to its relatively high price and lowcapacity; a major system research issue to address is on how to make SSDs play their mosteffective roles in a high-performance storage system in cost-and performance-effectiveways. In this paper; we will answer several related questions with insights based on thedesign and implementation of a high performance hybrid storage system; called Hystor. Wemake the best use of SSDs in storage systems by achieving a set of optimization objectivesfrom both system deployment and algorithm design perspectives. Hystor manages bothSSDs and hard disk drives (HDDs) as one single block device with minimal changes to …,Proceedings of the international conference on Supercomputing,2011,223
