Approximate aggregation techniques for sensor databases,Jeffrey Considine; Feifei Li; George Kollios; John Byers,In the emerging area of sensor-based systems; a significant challenge is to developscalable; fault-tolerant methods to extract useful information from the data the sensorscollect. An approach to this data management problem is the use of sensor databasesystems; exemplified by TinyDB and Cougar; which allow users to perform aggregationqueries such as MIN; COUNT and AVG on a sensor network. Due to power and rangeconstraints; centralized approaches are generally impractical; so most systems use in-network aggregation to reduce network traffic. However; these aggregation strategiesbecome bandwidth-intensive when combined with the fault-tolerant; multipath routingmethods often used in these environments. For example; duplicate-sensitive aggregatessuch as SUM cannot be computed exactly using substantially less bandwidth than explicit …,Data Engineering; 2004. Proceedings. 20th International Conference on,2004,767
Semantics of ranking queries for probabilistic data and expected ranks,Graham Cormode; Feifei Li; Ke Yi,When dealing with massive quantities of data; top-k queries are a powerful technique forreturning only the k most relevant tuples for inspection; based on a scoring function. Theproblem of efficiently answering such ranking queries has been studied and analyzedextensively within traditional database settings. The importance of the top-k is perhaps evengreater in probabilistic databases; where a relation can encode exponentially many possibleworlds. There have been several recent attempts to propose definitions and algorithms forranking queries over probabilistic data. However; these all lack many of the intuitiveproperties of a top-k over deterministic data. Specifically; we define a number of fundamentalproperties; including exact-k; containment; unique-rank; value-invariance; and stability;which are all satisfied by ranking queries on certain data. We argue that all these …,Data Engineering; 2009. ICDE'09. IEEE 25th International Conference on,2009,734
On trip planning queries in spatial databases,Feifei Li; Dihan Cheng; Marios Hadjieleftheriou; George Kollios; Shang-Hua Teng,Abstract In this paper we discuss a new type of query in Spatial Databases; called the TripPlanning Query (TPQ). Given a set of points of interest P in space; where each point belongsto a specific category; a starting point S and a destination E; TPQ retrieves the best trip thatstarts at S; passes through at least one point from each category; and ends at E. Forexample; a driver traveling from Boston to Providence might want to stop to a gas station; abank and a post office on his way; and the goal is to provide him with the best possible route(in terms of distance; traffic; road conditions; etc.). The difficulty of this query lies in theexistence of multiple choices per category. In this paper; we study fast approximationalgorithms for TPQ in a metric space. We provide a number of approximation algorithms withapproximation ratios that depend on either the number of categories; the maximum …,International Symposium on Spatial and Temporal Databases,2005,540
Dynamic authenticated index structures for outsourced databases,Feifei Li; Marios Hadjieleftheriou; George Kollios; Leonid Reyzin,Abstract In outsourced database (ODB) systems the database owner publishes its datathrough a number of remote servers; with the goal of enabling clients at the edge of thenetwork to access and query the data more efficiently. As servers might be untrusted or canbe compromised; query authentication becomes an essential component of ODB systems.Existing solutions for this problem concentrate mostly on static scenarios and are based onidealistic properties for certain cryptographic primitives. In this work; first we define a varietyof essential and practical cost metrics associated with ODB systems. Then; we analyticallyevaluate a number of different approaches; in search for a solution that best leverages allmetrics. Most importantly; we look at solutions that can handle dynamic scenarios; whereowners periodically update the data residing at the servers. Finally; we discuss query …,Proceedings of the 2006 ACM SIGMOD international conference on Management of data,2006,382
Efficient processing of top-k queries in uncertain databases with x-relations,Ke Yi; Feifei Li; George Kollios; Divesh Srivastava,This work introduces novel polynomial algorithms for processing top-k queries in uncertaindatabases under the generally adopted model of x-relations. An x-relation consists of anumber of x-tuples; and each x-tuple randomly instantiates into one tuple from one or morealternatives. Our results significantly improve the best known algorithms for top-k queryprocessing in uncertain databases; in terms of both runtime and memory usage. In the single-alternative case; the new algorithms are 2 to 3 orders of magnitude faster than the previousalgorithms. In the multialternative case; we introduce the first-known polynomial algorithms;while the current best algorithms have exponential complexity in both time and space. Ouralgorithms run in near linear or low polynomial time and cover both types of top-k queries inuncertain databases. We provide both the theoretical analysis and an extensive …,IEEE transactions on knowledge and data engineering,2008,228
Finding frequent items in probabilistic data,K Yi Q Zhang; F Li,*,Proceedings of the 2008 ACM SIGMOD 2008,2008,209
Efficient parallel kNN joins for large data in MapReduce,Chi Zhang; Feifei Li; Jeffrey Jestes,Abstract In data mining applications and spatial and multimedia databases; a useful tool isthe kNN join; which is to produce the k nearest neighbors (NN); from a dataset S; of everypoint in a dataset R. Since it involves both the join and the NN search; performing kNN joinsefficiently is a challenging task. Meanwhile; applications continue to witness a quick(exponential in some cases) increase in the amount of data to be processed. A popularmodel nowadays for large-scale data processing is the shared-nothing cluster on a numberof commodity machines using MapReduce [6]. Hence; how to execute kNN joins efficientlyon large data that are stored in a MapReduce cluster is an intriguing problem that meetsmany practical needs. This work proposes novel (exact and approximate) algorithms inMapReduce to perform efficient parallel kNN joins on large data. We demonstrate our …,Proceedings of the 15th International Conference on Extending Database Technology,2012,200
Spatio-temporal aggregation using sketches,Yufei Tao; George Kollios; Jeffrey Considine; Feifei Li; Dimitris Papadias,Several spatio-temporal applications require the retrieval of summarized information aboutmoving objects that lie in a query region during a query interval (eg; the number of mobileusers covered by a cell; traffic volume in a district; etc.). Existing solutions have the distinctcounting problem: if an object remains in the query region for several timestamps during thequery interval; it will be counted multiple times in the result. We solve this problem byintegrating spatio-temporal indexes with sketches; traditionally used for approximate queryprocessing. The proposed techniques can also be applied to reduce the space requirementsof conventional spatio-temporal data and to mine spatio-temporal association rules.,Data Engineering; 2004. Proceedings. 20th International Conference on,2004,183
Secure nearest neighbor revisited,Bin Yao; Feifei Li; Xiaokui Xiao,In this paper; we investigate the secure nearest neighbor (SNN) problem; in which a clientissues an encrypted query point E (q) to a cloud service provider and asks for an encrypteddata point in E (D)(the encrypted database) that is closest to the query point; withoutallowing the server to learn the plaintexts of the data or the query (and its result). We showthat efficient attacks exist for existing SNN methods [21];[15]; even though they were claimedto be secure in standard security models (such as indistinguishability under chosen plaintextor ciphertext attacks). We also establish a relationship between the SNN problem and theorder-preserving encryption (OPE) problem from the cryptography field [6];[5]; and we showthat SNN is at least as hard as OPE. Since it is impossible to construct secure OPE schemesin standard security models [6];[5]; our results imply that one cannot expect to find the …,ICDE 2013,2013,120
NDC: Analyzing the impact of 3D-stacked memory+ logic devices on MapReduce workloads,Seth H Pugsley; Jeffrey Jestes; Huihui Zhang; Rajeev Balasubramonian; Vijayalakshmi Srinivasan; Alper Buyuktosunoglu; Al Davis; Feifei Li,While Processing-in-Memory has been investigated for decades; it has not been embracedcommercially. A number of emerging technologies have renewed interest in this topic. Inparticular; the emergence of 3D stacking and the imminent release of Micron's HybridMemory Cube device have made it more practical to move computation near memory.However; the literature is missing a detailed analysis of a killer application that can leveragea Near Data Computing (NDC) architecture. This paper focuses on in-memory MapReduceworkloads that are commercially important and are especially suitable for NDC because oftheir embarrassing parallelism and largely localized memory accesses. The NDCarchitecture incorporates several simple processing cores on a separate; non-memory die ina 3D-stacked memory package; these cores can perform Map operations with efficient …,Performance Analysis of Systems and Software (ISPASS); 2014 IEEE International Symposium on,2014,117
