Privacy-preserving distributed mining of association rules on horizontally partitioned data,Murat Kantarcioglu; Chris Clifton,Data mining can extract important knowledge from large data collections ut sometimes thesecollections are split among various parties. Privacy concerns may prevent the parties fromdirectly sharing the data and some types of information about the data. We address securemining of association rules over horizontally partitioned data. The methods incorporatecryptographic techniques to minimize the information shared; while adding little overhead tothe mining task.,IEEE transactions on knowledge and data engineering,2004,1171
Tools for privacy preserving distributed data mining,Chris Clifton; Murat Kantarcioglu; Jaideep Vaidya; Xiaodong Lin; Michael Y Zhu,Abstract Privacy preserving mining of distributed data has numerous applications. Eachapplication poses different constraints: What is meant by privacy; what are the desiredresults; how is the data distributed; what are the constraints on collaboration andcooperative computing; etc. We suggest that the solution to this is a toolkit of componentsthat can be combined for specific privacy-preserving data mining applications. This paperpresents some components of such a toolkit; and shows how they can be used to solveseveral privacy-preserving data mining problems.,ACM Sigkdd Explorations Newsletter,2002,972
Access Pattern disclosure on Searchable Encryption: Ramification; Attack and Mitigation.,Mohammad Saiful Islam; Mehmet Kuzu; Murat Kantarcioglu,Abstract The advent of cloud computing has ushered in an era of mass data storage inremote servers. Remote data storage offers reduced data management overhead for dataowners in a cost effective manner. Sensitive documents; however; need to be stored inencrypted format due to security concerns. But; encrypted storage makes it difficult to searchon the stored documents. Therefore; this poses a major barrier towards selective retrieval ofencrypted documents from the remote servers. Various protocols have been proposed for,Ndss,2012,264
Security issues for cloud computing,Kevin Hamlen; Murat Kantarcioglu; Latifur Khan; Bhavani Thuraisingham,ABSTRACT In this paper; the authors discuss security issues for cloud computing andpresent a layered framework for secure clouds and then focus on two of the layers; ie; thestorage layer and the data layer. In particular; the authors discuss a scheme for secure thirdparty publications of documents in a cloud. Next; the paper will converse secure federatedquery processing with map Reduce and Hadoop; and discuss the use of secure co-processors for cloud computing. Finally; the authors discuss XACML implementation forHadoop and discuss their beliefs that building trusted applications from untrustedcomponents will be a major aspect of secure cloud computing.,Optimizing information security and advancing privacy assurance: new technologies: new technologies,2012,224
Inferring private information using social network data,Jack Lindamood; Raymond Heatherly; Murat Kantarcioglu; Bhavani Thuraisingham,Abstract On-line social networks; such as Facebook; are increasingly utilized by many users.These networks allow people to publish details about themselves and connect to theirfriends. Some of the information revealed inside these networks is private and it is possiblethat corporations could use learning algorithms on the released data to predict undisclosedprivate information. In this paper; we explore how to launch inference attacks using releasedsocial networking data to predict undisclosed private information about individuals. We thenexplore the effectiveness of possible sanitization techniques that can be used to combatsuch inference attacks under different scenarios.,Proceedings of the 18th international conference on World wide web,2009,216
Defining privacy for data mining,Chris Clifton; Murat Kantarcioglu; Jaideep Vaidya,Abstract: Privacy preserving data mining–getting valid data mining results without learningthe underlying data values–has been receiving attention in the research community andbeyond. It is unclear what privacy preserving means. This paper provides a framework andmetrics for discussing the meaning of privacy preserving data mining; as a foundation forfurther research in this field.,National Science Foundation Workshop on Next Generation Data Mining,2002,203
Efficient similarity search over encrypted data,Mehmet Kuzu; Mohammad Saiful Islam; Murat Kantarcioglu,In recent years; due to the appealing features of cloud computing; large amount of data havebeen stored in the cloud. Although cloud based services offer many advantages; privacy andsecurity of the sensitive data is a big concern. To mitigate the concerns; it is desirable tooutsource sensitive data in encrypted form. Encrypted storage protects the data againstillegal access; but it complicates some basic; yet important functionality such as the searchon the data. To achieve search over encrypted data without compromising the privacy;considerable amount of searchable encryption schemes have been proposed in theliterature. However; almost all of them handle exact query matching but not similaritymatching; a crucial requirement for real world applications. Although some sophisticatedsecure multi-party computation based cryptographic techniques are available for …,Data Engineering (ICDE); 2012 IEEE 28th International Conference on,2012,192
A semantic web based framework for social network access control,Barbara Carminati; Elena Ferrari; Raymond Heatherly; Murat Kantarcioglu; Bhavani Thuraisingham,Abstract The existence of on-line social networks that include person specific informationcreates interesting opportunities for various applications ranging from marketing tocommunity organization. On the other hand; security and privacy concerns need to beaddressed for creating such applications. Improving social network access control systemsappears as the first step toward addressing the existing security and privacy concernsrelated to on-line social networks. To address some of the current limitations; we propose anextensible fine grained access control model based on semantic web tools. In addition; wepropose authorization; admin and filtering policies that depend on trust relationships amongvarious users; and are modeled using OWL and SWRL. Besides describing the model; wepresent the architecture of the framework in its support.,Proceedings of the 14th ACM symposium on Access control models and technologies,2009,183
Privacy-preserving data integration and sharing,Chris Clifton; Murat Kantarcioǧlu; AnHai Doan; Gunther Schadow; Jaideep Vaidya; Ahmed Elmagarmid; Dan Suciu,Abstract Integrating data from multiple sources has been a longstanding challenge in thedatabase community. Techniques such as privacy-preserving data mining promises privacy;but assume data has integration has been accomplished. Data integration methods areseriously hampered by inability to share the data to be integrated. This paper lays out aprivacy framework for data integration. Challenges for data integration in the context of thisframework are discussed; in the context of existing accomplishments in data integration.Many of these challenges are opportunities for the data mining community.,Proceedings of the 9th ACM SIGMOD workshop on Research issues in data mining and knowledge discovery,2004,172
Privacy preserving naive bayes classifier for horizontally partitioned data,Murat Kantarcıoglu; Jaideep Vaidya; C Clifton,Abstract The problem of secure distributed classification is an important one. In manysituations; data is split between multiple organizations. These organizations may want toutilize all of the data to create more accurate predictive models while revealing neither theirtraining data/databases nor the instances to be classified. The Naive Bayes Classifier is asimple but efficient baseline classifier. In this paper; we present a privacy preserving NaiveBayes Classifier for horizontally partitioned data.,IEEE ICDM workshop on privacy preserving data mining,2003,168
Secure multidimensional range queries over outsourced data,Bijit Hore; Sharad Mehrotra; Mustafa Canim; Murat Kantarcioglu,Abstract In this paper; we study the problem of supporting multidimensional range querieson encrypted data. The problem is motivated by secure data outsourcing applications wherea client may store his/her data on a remote server in encrypted form and want to executequeries using server's computational capabilities. The solution approach is to compute asecure indexing tag of the data by applying bucketization (a generic form of datapartitioning) which prevents the server from learning exact values but still allows it to check ifa record satisfies the query predicate. Queries are evaluated in an approximate mannerwhere the returned set of records may contain some false positives. These records thenneed to be weeded out by the client which comprises the computational overhead of ourscheme. We develop a bucketization procedure for answering multidimensional range …,The VLDB Journal,2012,156
When do data mining results violate privacy?,Murat Kantarcioǧlu; Jiashun Jin; Chris Clifton,Abstract Privacy-preserving data mining has concentrated on obtaining valid results whenthe input data is private. An extreme example is Secure Multiparty Computation-basedmethods; where only the results are revealed. However; this still leaves a potential privacybreach: Do the results themselves violate privacy? This paper explores this issue;developing a framework under which this question can be addressed. Metrics are proposed;along with analysis that those metrics are consistent in the face of apparent problems.,Proceedings of the tenth ACM SIGKDD international conference on Knowledge discovery and data mining,2004,147
Privacy-preserving naive bayes classification,Jaideep Vaidya; Murat Kantarcıoğlu; Chris Clifton,Abstract Privacy-preserving data mining—developing models without seeing the data–isreceiving growing attention. This paper assumes a privacy-preserving distributed datamining scenario: data sources collaborate to develop a global model; but must not disclosetheir data to others. The problem of secure distributed classification is an important one. Inmany situations; data is split between multiple organizations. These organizations may wantto utilize all of the data to create more accurate predictive models while revealing neithertheir training data/databases nor the instances to be classified. Naïve Bayes is often used asa baseline classifier; consistently providing reasonable classification performance. Thispaper brings privacy-preservation to that baseline; presenting protocols to develop a NaïveBayes classifier on both vertically as well as horizontally partitioned data.,The VLDB Journal,2008,142
Preventing private information inference attacks on social networks,Raymond Heatherly; Murat Kantarcioglu; Bhavani Thuraisingham,Online social networks; such as Facebook; are increasingly utilized by many people. Thesenetworks allow users to publish details about themselves and to connect to their friends.Some of the information revealed inside these networks is meant to be private. Yet it ispossible to use learning algorithms on released data to predict private information. In thispaper; we explore how to launch inference attacks using released social networking data topredict private information. We then devise three possible sanitization techniques that couldbe used in various situations. Then; we explore the effectiveness of these techniques andattempt to use methods of collective inference to discover sensitive attributes of the data set.We show that we can decrease the effectiveness of both local and relational classificationalgorithms by using the sanitization methods we described.,IEEE Transactions on Knowledge and Data Engineering,2013,140
An approach to evaluate data trustworthiness based on data provenance,Chenyun Dai; Dan Lin; Elisa Bertino; Murat Kantarcioglu,Abstract Today; with the advances of information technology; individual people andorganizations can obtain and process data from different sources. It is critical to ensure dataintegrity so that effective decisions can be made based on these data. An importantcomponent of any solution for assessing data integrity is represented by techniques andtools to evaluate the trustworthiness of data provenance. However; few efforts have beendevoted to investigate approaches for assessing how trusted the data are; based in turn onan assessment of the data sources and intermediaries. To bridge this gap; we propose adata provenance trust model which takes into account various factors that may affect thetrustworthiness and; based on these factors; assigns trust scores to both data and dataproviders. Such trust scores represent key information based on which data users may …,Workshop on Secure Data Management,2008,124
Private record matching using differential privacy,Ali Inan; Murat Kantarcioglu; Gabriel Ghinita; Elisa Bertino,Abstract Private matching between datasets owned by distinct parties is a challengingproblem with several applications. Private matching allows two parties to identify the recordsthat are close to each other according to some distance functions; such that no additionalinformation other than the join result is disclosed to any party. Private matching can besolved securely and accurately using secure multi-party computation (SMC) techniques; butsuch an approach is prohibitively expensive in practice. Previous work proposed the releaseof sanitized versions of the sensitive datasets which allows blocking; ie; filtering out sub-setsof records that cannot be part of the join result. This way; SMC is applied only to a smallfraction of record pairs; reducing the matching cost to acceptable levels. The blocking step isessential for the privacy; accuracy and efficiency of matching. However; the state-of-the …,Proceedings of the 13th International Conference on Extending Database Technology,2010,121
Security issues in querying encrypted data,Murat Kantarcıoǧlu; Chris Clifton,Abstract There has been considerable interest in querying encrypted data; allowing a“secure database server” model where the server does not know data values. This papershows how results from cryptography prove the impossibility of developing a server thatmeets cryptographic-style definitions of security and is still efficient enough to be practical.The weaker definitions of security supported by previous secure database server proposalshave the potential to reveal significant information. We propose a definition of a securedatabase server that provides probabilistic security guarantees; and sketch how a practicalsystem meeting the definition could be built and proven secure. The primary goal of thispaper is to provide a vision of how research in this area should proceed: efficient encrypteddatabase and query processing with provable security properties.,IFIP Annual Conference on Data and Applications Security and Privacy,2005,119
A cryptographic approach to securely share and query genomic sequences,Murat Kantarcioglu; Wei Jiang; Ying Liu; Bradley Malin,To support large-scale biomedical research projects; organizations need to share person-specific genomic sequences without violating the privacy of their data subjects. In the past;organizations protected subjects' identities by removing identifiers; such as name and socialsecurity number; however; recent investigations illustrate that deidentified genomic data canbe ldquoreidentifiedrdquo to named individuals using simple automated methods. In thispaper; we present a novel cryptographic framework that enables organizations to supportgenomic data mining without disclosing the raw genomic sequences. Organizationscontribute encrypted genomic sequence records into a centralized repository; where theadministrator can perform queries; such as frequency counts; without decrypting the data.We evaluate the efficiency of our framework with existing databases of single nucleotide …,IEEE Transactions on information technology in biomedicine,2008,111
Semantic web-based social network access control,Barbara Carminati; Elena Ferrari; Raymond Heatherly; Murat Kantarcioglu; Bhavani Thuraisingham,Abstract The existence of online social networks that include person specific informationcreates interesting opportunities for various applications ranging from marketing tocommunity organization. On the other hand; security and privacy concerns need to beaddressed for creating such applications. Improving social network access control systemsappears as the first step toward addressing the existing security and privacy concernsrelated to online social networks. To address some of the current limitations; we havecreated an experimental social network using synthetic data which we then use to test theefficacy of the semantic reasoning based approaches we have previously suggested.,computers & security,2011,107
The applicability of the perturbation based privacy preserving data mining for real-world data,Li Liu; Murat Kantarcioglu; Bhavani Thuraisingham,Abstract The perturbation method has been extensively studied for privacy preserving datamining. In this method; random noise from a known distribution is added to the privacysensitive data before the data is sent to the data miner. Subsequently; the data minerreconstructs an approximation to the original data distribution from the perturbed data anduses the reconstructed distribution for data mining purposes. Due to the addition of noise;loss of information versus preservation of privacy is always a trade off in the perturbationbased approaches. The question is; to what extent are the users willing to compromise theirprivacy? This is a choice that changes from individual to individual. Different individuals mayhave different attitudes towards privacy based on customs and cultures. Unfortunately;current perturbation based privacy preserving data mining techniques do not allow the …,Data & Knowledge Engineering,2008,97
A hybrid approach to private record linkage,Ali Inan; Murat Kantarcioglu; Elisa Bertino; Monica Scannapieco,Real-world entities are not always represented by the same set of features in different datasets. Therefore matching and linking records corresponding to the same real-world entitydistributed across these data sets is a challenging task. If the data sets contain privateinformation; the problem becomes even harder due to privacy concerns. Existing solutions ofthis problem mostly follow two approaches: sanitization techniques and cryptographictechniques. The former achieves privacy by perturbing sensitive data at the expense ofdegrading matching accuracy. The later; on the other hand; attains both privacy and highaccuracy under heavy communication and computation costs. In this paper; we propose amethod that combines these two approaches and enables users to trade off betweenprivacy; accuracy and cost. Experiments conducted on real data sets show that our …,Data Engineering; 2008. ICDE 2008. IEEE 24th International Conference on,2008,93
Privacy-preserving decision trees over vertically partitioned data,Jaideep Vaidya; Chris Clifton; Murat Kantarcioglu; A Scott Patterson,Abstract Privacy and security concerns can prevent sharing of data; derailing data-miningprojects. Distributed knowledge discovery; if done correctly; can alleviate this problem. Weintroduce a generalized privacy-preserving variant of the ID3 algorithm for verticallypartitioned data distributed over two or more parties. Along with a proof of security; wediscuss what would be necessary to make the protocols completely secure. We also provideexperimental results; giving a first demonstration of the practical complexity of securemultiparty computation-based data mining.,ACM Transactions on Knowledge Discovery from Data (TKDD),2008,92
Data intensive query processing for large RDF graphs using cloud computing tools,Mohammad Farhan Husain; Latifur Khan; Murat Kantarcioglu; Bhavani Thuraisingham,Cloud computing is the newest paradigm in the IT world and hence the focus of newresearch. Companies hosting cloud computing services face the challenge of handling dataintensive applications. Semantic web technologies can be an ideal candidate to be usedtogether with cloud computing tools to provide a solution. These technologies have beenstandardized by the World Wide Web Consortium (W3C). One such standard is theResource Description Framework (RDF). With the explosion of semantic web technologies;large RDF graphs are common place. Current frameworks do not scale for large RDFgraphs. In this paper; we describe a framework that we built using Hadoop; a popular opensource framework for Cloud Computing; to store and retrieve large numbers of RDF triples.We describe a scheme to store RDF data in Hadoop Distributed File System. We present …,Cloud Computing (CLOUD); 2010 IEEE 3rd International Conference on,2010,87
Privately computing a distributed k-nn classifier,Murat Kantarcıoǧlu; Chris Clifton,Abstract The ability of databases to organize and share data often raises privacy concerns.Data warehousing combined with data mining; bringing data from multiple sources under asingle authority; increases the risk of privacy violations. Privacy preserving data miningprovides a means of addressing this issue; particularly if data mining is done in a way thatdoesn't disclose information beyond the result. This paper presents a method for privatelycomputing k–nn classification from distributed sources without revealing any informationabout the sources or their data; other than that revealed by the final classification result.,European conference on principles of data mining and knowledge discovery,2004,81
Using anonymized data for classification,Ali Inan; Murat Kantarcioglu; Elisa Bertino,In recent years; anonymization methods have emerged as an important tool to preserveindividual privacy when releasing privacy sensitive data sets. This interest in anonymizationtechniques has resulted in a plethora of methods for anonymizing data under differentprivacy and utility assumptions. At the same time; there has been little research addressinghow to effectively use the anonymized data for data mining in general and for distributeddata mining in particular. In this paper; we propose a new approach for building classifiersusing anonymized data by modeling anonymized data as uncertain data. In our method; wedo not assume any probability distribution over the data. Instead; we propose collecting allnecessary statistics during anonymization and releasing these together with the anonymizeddata. We show that releasing such statistics does not violate anonymity. Experiments …,Data Engineering; 2009. ICDE'09. IEEE 25th International Conference on,2009,77
A constraint satisfaction cryptanalysis of bloom filters in private record linkage,Mehmet Kuzu; Murat Kantarcioglu; Elizabeth Durham; Bradley Malin,Abstract For over fifty years;“record linkage” procedures have been refined to integrate datain the face of typographical and semantic errors. These procedures are traditionallyperformed over personal identifiers (eg; names); but in modern decentralized environments;privacy concerns have led to regulations that require the obfuscation of such attributes.Various techniques have been proposed to resolve the tension; including secure multi-partycomputation protocols; however; such protocols are computationally intensive and do notscale for real world linkage scenarios. More recently; procedures based on Bloom filterencoding (BFE) have gained traction in various applications; such as healthcare; where theyyield highly accurate record linkage results in a reasonable amount of time. Thoughpromising; no formal security analysis has been designed or applied to this emerging …,International Symposium on Privacy Enhancing Technologies Symposium,2011,73
