A gradient of childhood self-control predicts health; wealth; and public safety,Terrie E Moffitt; Louise Arseneault; Daniel Belsky; Nigel Dickson; Robert J Hancox; HonaLee Harrington; Renate Houts; Richie Poulton; Brent W Roberts; Stephen Ross; Malcolm R Sears; W Murray Thomson; Avshalom Caspi,Abstract Policy-makers are considering large-scale programs aimed at self-control toimprove citizens' health and wealth and reduce crime. Experimental and economic studiessuggest such programs could reap benefits. Yet; is self-control important for the health;wealth; and public safety of the population? Following a cohort of 1;000 children from birth tothe age of 32 y; we show that childhood self-control predicts physical health; substancedependence; personal finances; and criminal offending outcomes; following a gradient ofself-control. Effects of children's self-control could be disentangled from their intelligenceand social class as well as from mistakes they made as adolescents. In another cohort of500 sibling-pairs; the sibling with lower self-control had poorer outcomes; despite sharedfamily background. Interventions addressing self-control might reduce a panoply of …,Proceedings of the National Academy of Sciences,2011,2144
Regular inhaled beta-agonist treatment in bronchial asthma,Malcolm R Sears; D Robin Taylor; CG Print; DC Lake; QINGQING Li; EM Flannery; DM Yates; MK Lucas; GP Herbison,Abstract 89 subjects with stable asthma took part in a double-blind; placebo-controlled;randomised; crossover study of the effects of regular versus on-demand inhaledbronchodilator therapy. The subjects inhaled fenoterol or placebo by a dry powder deliverysystem for 24 weeks. Control of asthma was judged by daily morning and evening peakexpiratory flow rates; symptom diaries; use of additional inhaled bronchodilator; andrequirement for short courses of prednisone. Of 64 subjects who completed the trial; 57showed a clear difference in degree of control of asthma between the fenoterol and placeboperiods: in 17 (30%[95% confidence interval 18· 4-43· 4%]) asthma was better controlledduring regular inhaled bronchodilator treatment; whereas in 40 (70%[56· 6-81· 6%]) controlwas better during placebo treatment with bronchodilator for symptom relief only. Mean …,The Lancet,1990,1174
A longitudinal; population-based; cohort study of childhood asthma followed to adulthood,Malcolm R Sears; Justina M Greene; Andrew R Willan; Elizabeth M Wiecek; D Robin Taylor; Erin M Flannery; Jan O Cowan; G Peter Herbison; Phil A Silva; Richie Poulton,Background The outcome of childhood asthma in adults has been described in high-riskcohorts; but few population-based studies have reported the risk factors for persistence andrelapse. Methods We assessed children born from April 1972 through March 1973 inDunedin; New Zealand; repeatedly from 9 to 26 years of age with questionnaires; pulmonary-function tests; bronchial-challenge testing; and allergy testing. Results By the age of 26years; 51.4 percent of 613 study members with complete respiratory data had reportedwheezing at more than one assessment. Eighty-nine study members (14.5 percent) hadwheezing that persisted from childhood to 26 years of age; whereas 168 (27.4 percent) hadremission; but 76 (12.4 percent) subsequently relapsed by the age of 26. Sensitization tohouse dust mites predicted the persistence of wheezing (odds ratio; 2.41; P= 0.001) and …,New England Journal of Medicine,2003,1146
An official American Thoracic Society/European Respiratory Society statement: asthma control and exacerbations: standardizing endpoints for clinical asthma trials a...,Helen K Reddel; D Robin Taylor; Eric D Bateman; Louis-Philippe Boulet; Homer A Boushey; William W Busse; Thomas B Casale; Pascal Chanez; Paul L Enright; Peter G Gibson; Johan C De Jongste; Huib AM Kerstjens; Stephen C Lazarus; Mark L Levy; Paul M O'byrne; Martyn R Partridge; Ian D Pavord; Malcolm R Sears; Peter J Sterk; Stuart W Stoloff; Sean D Sullivan; Stanley J Szefler; Mike D Thomas; Sally E Wenzel,Background: The assessment of asthma control is pivotal to the evaluation of treatmentresponse in individuals and in clinical trials. Previously; asthma control; severity; andexacerbations were defined and assessed in many different ways. Purpose: The Task Forcewas established to provide recommendations about standardization of outcomes relating toasthma control; severity; and exacerbations in clinical trials and clinical practice; for adultsand children aged 6 years or older. Methods: A narrative literature review was conducted toevaluate the measurement properties and strengths/weaknesses of outcome measuresrelevant to asthma control and exacerbations. The review focused on diary variables;physiologic measurements; composite scores; biomarkers; quality of life questionnaires; andindirect measures. Results: The Task Force developed new definitions for asthma control …,American journal of respiratory and critical care medicine,2009,1096
Relation between airway responsiveness and serum IgE in children with asthma and in apparently normal children,MR Sears; B Burrows; EM Flannery; GP Herbison; CJ Hewitt; MD Holdaway,Abstract Background. Although asthma diagnosed by a physician is known to be related toserum IgE levels; it is not known whether there is a relation between the level of IgE andairway hyperresponsiveness to a methacholine challenge. The characteristics ofasymptomatic persons that predispose them to airway hyperresponsiveness are alsounknown. Methods. We studied the relation between the serum total IgE level and airwayhyperresponsiveness in the presence or absence of asthma and other atopic diseases in abirth cohort of children. Data from a questionnaire regarding respiratory symptoms; plusmeasurements of the serum total IgE level and airway responsiveness to inhaledmethacholine; were obtained for 562 11-year-olds in New Zealand. Results. The boys had ahigher prevalence than the girls of current diagnosed asthma (13 percent vs. 6 percent) …,New England Journal of Medicine,1991,898
Association between children's experience of socioeconomic disadvantage and adult health: a life-course study,Richie Poulton; Avshalom Caspi; Barry J Milne; W Murray Thomson; Alan Taylor; Malcolm R Sears; Terrie E Moffitt,Summary Background Research into social inequalities in health has tended to focus on lowsocioeconomic status in adulthood. We aimed to test the hypothesis that children'sexperience of socioeconomic disadvantage is associated with a wide range of health riskfactors and outcomes in adult life. Methods We studied an unselected cohort of 1000children (born in New Zealand during 1972–73) who had been assessed at birth and ages3; 5; 7; 9; 11; 13; and 15 years. At age 26 years; we assessed these individuals for healthoutcomes including body-mass index; waist: hip ratio; blood pressure; cardiorespiratoryfitness; dental caries; plaque scores; gingival bleeding; periodontal disease; majordepression; and tobacco and alcohol dependence; and tested for associations betweenthese variables and childhood and adult socioeconomic status. Findings Compared with …,The lancet,2002,842
Female and male antisocial trajectories: From childhood origins to adult outcomes,Candice L Odgers; Terrie E Moffitt; Jonathan M Broadbent; Nigel Dickson; Robert J Hancox; Honalee Harrington; Richie Poulton; Malcolm R Sears; W Murray Thomson; Avshalom Caspi,Abstract This article reports on the childhood origins and adult outcomes of female versusmale antisocial behavior trajectories in the Dunedin longitudinal study. Four antisocialbehavior trajectory groups were identified among females and males using general growthmixture modeling and included life-course persistent (LCP); adolescent-onset; childhood-limited; and low trajectory groups. During childhood; both LCP females and males werecharacterized by social; familial and neurodevelopmental risk factors; whereas those on theadolescent-onset pathway were not. At age 32; women and men on the LCP pathway wereengaging in serious violence and experiencing significant mental health; physical health;and economic problems. Females and males on the adolescent-onset pathway were alsoexperiencing difficulties at age 32; although to a lesser extent. Although more males than …,Development and psychopathology,2008,652
Long-term relation between breastfeeding and development of atopy and asthma in children and young adults: a longitudinal study,Malcolm R Sears; Justina M Greene; Andrew R Willan; D Robin Taylor; Erin M Flannery; Jan O Cowan; G Peter Herbison; Richie Poulton,Summary Background Breastfeeding is widely advocated to reduce risk of atopy andasthma; but the evidence for such an effect is conflicting. We aimed to assess long-termoutcomes of asthma and atopy related to breastfeeding in a New Zealand birth cohort.Methods Our cohort consisted of 1037 of 1139 children born in Dunedin; New Zealand;between April; 1972; and March; 1973; and residing in Otago province at age 3 years.Children were assessed every 2–5 years from ages 9 to 26 years with respiratoryquestionnaires; pulmonary function; bronchial challenge; and allergy skin tests. History ofbreastfeeding had been independently recorded in early childhood. Findings 504 (49%) of1037 eligible children were breastfed (4 weeks or longer) and 533 (51%) were not. Morechildren who were breastfed were atopic at all ages from 13 to 21 years to cats (p= 0 …,The Lancet,2002,639
The relative risks of sensitivity to grass pollen; house dust mite and cat dander in the development of childhood asthma,MR Sears; GP Herbison; MD Holdaway; CJ Hewitt; ERIN M FLANNERY; PA Silva,Summary The associations between skin sensitivity to various common allergens and thedevelopment of childhood asthma were ascertained in a longitudinal study of a birth cohortof New Zealand children up to the age of 13 years. Of 714 children skin-tested; 45.8% weresensitive to at least one of 11 allergens; the most common responses being to rye grasspollen (32.5%); house dust mite (30.1%) and cat dander (13.3%). Allergen-specific relativerisk analysis; controlled for the effect of sensitivity to other allergens; demonstrated thatsensitivity to house dust mite and to cat dander were highly significant independent riskfactors associated with the development of asthma (whether defined as recurrent typicalrespiratory symptoms; increased airway responsiveness; or the concurrent presence ofboth); whereas grass sensitivity was not a significant independent risk factor for asthma.,Clinical & Experimental Allergy,1989,618
Gut microbiota of healthy Canadian infants: profiles by mode of delivery and infant diet at 4 months,Meghan B Azad; Theodore Konya; Heather Maughan; David S Guttman; Catherine J Field; Radha S Chari; Malcolm R Sears; Allan B Becker; James A Scott; Anita L Kozyrskyj,Background: The gut microbiota is essential to human health throughout life; yet theacquisition and development of this microbial community during infancy remains poorlyunderstood. Meanwhile; there is increasing concern over rising rates of cesarean deliveryand insufficient exclusive breastfeeding of infants in developed countries. In this article; wecharacterize the gut microbiota of healthy Canadian infants and describe the influence ofcesarean delivery and formula feeding. Methods: We included a subset of 24 term infantsfrom the Canadian Healthy Infant Longitudinal Development (CHILD) birth cohort. Mode ofdelivery was obtained from medical records; and mothers were asked to report on infant dietand medication use. Fecal samples were collected at 4 months of age; and we characterizedthe microbiota composition using high-throughput DNA sequencing. Results: We …,Canadian Medical Association Journal,2013,425
A new perspective on concepts of asthma severity and control,DR Taylor; ED Bateman; LP Boulet; HA Boushey; WW Busse; TB Casale; P Chanez; PL Enright; PG Gibson; JC De Jongste; HAM Kerstjens; SC Lazarus; ML Levy; PM O'Byrne; MR Partridge; ID Pavord; MR Sears; PJ Sterk; SW Stoloff; SJ Szefler; SD Sullivan; MD Thomas; SE Wenzel; HK Reddel,Concepts of asthma severity and control are important in the evaluation of patients and theirresponse to treatment but the terminology is not standardised and the terms are often usedinterchangeably. This review; arising from the work of an American ThoracicSociety/European Respiratory Society Task Force; identifies the need for separate conceptsof control and severity; describes their evolution in asthma guidelines and provides aframework for understanding the relationship between current concepts of asthmaphenotype; severity and control.“Asthma control” refers to the extent to which themanifestations of asthma have been reduced or removed by treatment. Its assessmentshould incorporate the dual components of current clinical control (eg symptoms; relieveruse and lung function) and future risk (eg exacerbations and lung function decline). The …,European Respiratory Journal,2008,416
