Security issues in a future vehicular network,Magda El Zarki; Sharad Mehrotra; Gene Tsudik; Nalini Venkatasubramanian,ABSTRACT In this paper we present a novel infrastructure for vehicular communication onhighways (DAHNI) and propose some potential applications aimed at assisting drivers.Certain unique features of the envisaged infrastructure and applications result in equallyunique and interesting security challenges. We discuss these challenges and outline somepossible solutions.,European Wireless,2002,224
Mobile cloud computing: A survey; state of art and future directions,M Reza Rahimi; Jian Ren; Chi Harold Liu; Athanasios V Vasilakos; Nalini Venkatasubramanian,Abstract In the recent years; cloud computing frameworks such as Amazon Web Services;Google AppEngine and Windows Azure have become increasingly popular among ITorganizations and developers. Simultaneously; we have seen a phenomenal increase in theusage and deployment of smartphone platforms and applications worldwide. This paperdiscusses the current state of the art in the merger of these two popular technologies; that werefer to as Mobile Cloud Computing (MCC). We illustrate the applicability of MCC in variousdomains including mobile learning; commerce; health/wellness and social medias. Wefurther identify research gaps covering critical aspects of how MCC can be realized andeffectively utilized at scale. These include improved resource allocation in the MCCenvironment through efficient task distribution and offloading; security and privacy.,Mobile Networks and Applications,2014,211
A software defined networking architecture for the internet-of-things,Zhijing Qin; Grit Denker; Carlo Giannelli; Paolo Bellavista; Nalini Venkatasubramanian,The growing interest in the Internet of Things (IoT) has resulted in a number of wide-areadeployments of IoT subnetworks; where multiple heterogeneous wireless communicationsolutions coexist: from multiple access technologies such as cellular; WiFi; ZigBee; andBluetooth; to multi-hop ad-hoc and MANET routing protocols; they all must be effectivelyintegrated to create a seamless communication platform. Managing these open;geographically distributed; and heterogeneous networking infrastructures; especially indynamic environments; is a key technical challenge. In order to take full advantage of themany opportunities they provide; techniques to concurrently provision the different classes ofIoT traffic across a common set of sensors and networking resources must be designed. Inthis paper; we will design a software-defined approach for the IoT environment to …,Network Operations and Management Symposium (NOMS); 2014 IEEE,2014,165
Integrated power management for video streaming to mobile handheld devices,Shivajit Mohapatra; Radu Cornea; Nikil Dutt; Alex Nicolau; Nalini Venkatasubramanian,Abstract Optimizing user experience for streaming video applications on handheld devicesis a significant research challenge. In this paper; we propose an integrated powermanagement approach that unifies low level architectural optimizations (CPU; memory;register); OS power-saving mechanisms (Dynamic Voltage Scaling) and adaptivemiddleware techniques (admission control; optimal transcoding; network traffic regulation).Specifically; we identify interaction parameters between the different levels and optimizethem to significantly reduce power consumption. With knowledge of device configurations;dynamic device parameters and changing system conditions; the middleware layer selectsan appropriate video quality and fine tunes the architecture for optimized delivery of video.Our performance results indicate that architectural optimizations that are cognizant of user …,Proceedings of the eleventh ACM international conference on Multimedia,2003,153
Privacy protecting data collection in media spaces,Jehan Wickramasuriya; Mahesh Datt; Sharad Mehrotra; Nalini Venkatasubramanian,Abstract Around the world as both crime and technology become more prevalent; officialsfind themselves relying more and more on video surveillance as a cure-all in the name ofpublic safety. Used properly; video cameras help expose wrongdoing but typically come atthe cost of privacy to those not involved in any maleficent activity. What if we could designintelligent systems that are more selective in what video they capture; and focus onanomalous events while protecting the privacy of authorized personnel? This paperproposes a novel way of combining sensor technology with traditional video surveillance inbuilding a privacy protecting framework that exploits the strengths of these modalities andcomplements their individual limitations. Our fully functional system utilizes off the shelfsensor hardware (ie RFID; motion detection) for localization; and combines this with a …,Proceedings of the 12th annual ACM international conference on Multimedia,2004,139
MAPCloud: mobile applications on an elastic and scalable 2-tier cloud architecture,M Reza Rahimi; Nalini Venkatasubramanian; Sharad Mehrotra; Athanasios V Vasilakos,The rise in popularity of mobile applications creates a growing demand to deliver richerfunctionality to users executing on mobile devices with limited resources. The availability ofcloud computing platforms has made available unlimited and scalable resource pools ofcomputation and storage that can be used to enhance service quality for mobileapplications. This paper exploits the observation that using local resources in closeproximity to the user; ie local clouds; can increase the quality and performance of mobileapplications. In contrast; public cloud offerings (eg Amazon Web Services) offer scalability atthe cost of higher delays; higher power consumption and higher price on the mobile device.In this paper we introduce MAP Cloud; a hybrid; tiered cloud architecture consisting of localand public clouds and show how it can be leveraged to increase both performance and …,Utility and Cloud Computing (UCC); 2012 IEEE Fifth International Conference on,2012,118
Energy efficient data collection in distributed sensor environments,Qi Han; Sharad Mehrotra; Nalini Venkatasubramanian,Sensors are typically deployed to gather data about the physical world and its artifacts for avariety of purposes that range from environment monitoring; control; to data analysis. Sincesensors are resource constrained; often sensor data is collected into a sensor database thatresides at (more powerful) servers. A natural tradeoff exists between the sensor resources(bandwidth; energy) consumed and the quality of data collected at the server. Blindlytransmitting sensor updates at a fixed periodicity to the server results in a suboptimalsolution due to the differences in stability of sensor values and due to the varying applicationneeds that impose different quality requirements across sensors. We propose adaptive datacollection mechanisms for sensor environments that adjusts to these variations while at thesame time optimizing the energy consumption of sensors. Our experimental results show …,Distributed Computing Systems; 2004. Proceedings. 24th International Conference on,2004,109
Project RESCUE: challenges in responding to the unexpected,Sharad Mehrotra; CT Butts; Dmitri Kalashnikov; Nalini Venkatasubramanian; Ramesh R Rao; Ganz Chockalingam; Ron Eguchi; BJ Adams; Charles Huyck,This paper provides an overview of Project RESCUE; which aims to enhance the mitigationcapabilities of first responders in the event of a crisis by dramatically transforming their abilityto collect; store; analyze; interpret; share and disseminate data. The multidisciplinaryresearch agenda incorporates a variety of information technologies: networks; distributedsystems; databases; image and video processing; and machine learning; together withsubjective information obtained through social science. While the IT challenges focus onsystems and algorithms to get the right information to the right person at the right time; socialscience provides the right context. Besides providing an overview of the nature of RESCUEresearch activities the paper highlights challenges of particular interest to the internetimaging community.,Internet Imaging V,2003,107
MuSIC: Mobility-aware optimal service allocation in mobile cloud computing,M Reza Rahimi; Nalini Venkatasubramanian; Athanasios V Vasilakos,This paper exploits the observation that using tiered clouds; ie clouds at multiple levels(local and public) can increase the performance and scalability of mobile applications. UserMobility introduces new complexities in enabling an optimal decomposition of tasks that canexecute cooperatively on mobile clients and the tiered cloud architecture while consideringmultiple QoS goals such application delay; device power consumption and user cost/price.In this paper; we propose a novel framework to model mobile applications as a location-timeworkflows (LTW) of tasks; here user mobility patterns are translated to a mobile serviceusage patterns. We show that an optimal mapping of LTWs to tiered mobile cloud resourcesis an NP-hard problem. We propose an efficient heuristic algorithm called MuSIC that is ableto perform well (78% of optimal; 30% better than simple strategies); and scale well to a …,Cloud Computing (CLOUD); 2013 IEEE Sixth International Conference on,2013,105
Dynamic backlight adaptation for low-power handheld devices,Sudeep Pasricha; Manev Luthra; Shivajit Mohapatra; Nikil Dutt; Nalini Venkatasubramanian,Backlight power minimization can effectively extend battery life for mobile handheld devices.This article proposes an adaptive middleware-based approach to optimize backlight powerconsumption when playing streaming video. The technique simultaneously minimizes thenegative impact on perceived video quality.,IEEE design & test of computers,2004,105
