Cayuga: A General Purpose Event Monitoring System.,Alan J Demers; Johannes Gehrke; Biswanath Panda; Mirek Riedewald; Varun Sharma; Walker M White,ABSTRACT We describe the design and implementation of the Cornell Cayuga System forscalable event processing. We present a query language based on Cayuga Algebra fornaturally expressing complex event patterns. We also describe several novel system designand implementation issues; focusing on Cayuga's query processor; its indexing approach;how Cayuga handles simultaneous events; and its specialized garbage collector.,Cidr,2007,424
Approximate join processing over data streams,Abhinandan Das; Johannes Gehrke; Mirek Riedewald,Abstract We consider the problem of approximating sliding window joins over data streamsin a data stream processing system with limited resources. In our model; we deal withresource constraints by shedding load in the form of dropping tuples from the data streams.We first discuss alternate architectural models for data stream join processing; and wesurvey suitable measures for the quality of an approximation of a set-valued query result. Wethen consider the number of generated result tuples as the quality measure; and we giveoptimal offline and fast online algorithms for it. In a thorough experimental study withsynthetic and real data we show the efficacy of our solutions. For applications with demandfor exact results we introduce a new Archive-metric which captures the amount of workneeded to complete the join in case the streams are archived for later processing.,Proceedings of the 2003 ACM SIGMOD international conference on Management of data,2003,350
Towards expressive publish/subscribe systems,Alan Demers; Johannes Gehrke; Mingsheng Hong; Mirek Riedewald; Walker White,Abstract Traditional content based publish/subscribe (pub/sub) systems allow users toexpress stateless subscriptions evaluated on individual events. However; many applicationssuch as monitoring RSS streams; stock tickers; or management of RFID data streams requirethe ability to handle stateful subscriptions. In this paper; we introduce Cayuga; a statefulpub/sub system based on nondeterministic finite state automata (NFA). Cayuga allows usersto express subscriptions that span multiple events; and it supports powerful languagefeatures such as parameterization and aggregation; which significantly extend theexpressive power of standard pub/sub systems. Based on a set of formally defined languageoperators; the subscription language of Cayuga provides non-ambiguous subscriptionsemantics as well as unique opportunities for optimizations. We experimentally …,International Conference on Extending Database Technology,2006,319
Processing theta-joins using MapReduce,Alper Okcan; Mirek Riedewald,Abstract Joins are essential for many data analysis tasks; but are not supported directly bythe MapReduce paradigm. While there has been progress on equi-joins; implementation ofjoin algorithms in MapReduce in general is not sufficiently understood. We study theproblem of how to map arbitrary join conditions to Map and Reduce functions; ie; a parallelinfrastructure that controls data flow based on key-equality only. Our proposed join modelsimplifies creation of and reasoning about joins in MapReduce. Using this model; we derivea surprisingly simple randomized algorithm; called 1-Bucket-Theta; for implementingarbitrary joins (theta-joins) in a single MapReduce job. This algorithm only requires minimalstatistics (input cardinality) and we provide evidence that for a variety of join problems; it iseither close to optimal or the best possible option. For some of the problems where 1 …,Proceedings of the 2011 ACM SIGMOD International Conference on Management of data,2011,272
Cayuga: a high-performance event processing engine,Lars Brenna; Alan Demers; Johannes Gehrke; Mingsheng Hong; Joel Ossher; Biswanath Panda; Mirek Riedewald; Mohit Thatte; Walker White,Abstract We propose a demonstration of Cayuga; a complex event monitoring system forhigh speed data streams. Our demonstration will show Cayuga applied to monitoring Webfeeds; the demo will illustrate the expressiveness of the Cayuga query language; thescalability of its query processing engine to high stream rates; and a visualization of theinternals of the query processing engine.,Proceedings of the 2007 ACM SIGMOD international conference on Management of data,2007,245
Data-intensive science: a new paradigm for biodiversity studies,Steve Kelling; Wesley M Hochachka; Daniel Fink; Mirek Riedewald; Rich Caruana; Grant Ballard; Giles Hooker,Abstract The increasing availability of massive volumes of scientific data requires newsynthetic analysis techniques to explore and identify interesting patterns that are otherwisenot apparent. For biodiversity studies; a “data-driven” approach is necessary because of thecomplexity of ecological systems; particularly when viewed at large spatial and temporalscales. Data-intensive science organizes large volumes of data from multiple sources andfields and then analyzes them using techniques tailored to the discovery of complex patternsin high-dimensional data through visualizations; simulations; and various types of modelbuilding. Through interpreting and analyzing these models; truly novel and surprisingpatterns that are “born from the data” can be discovered. These patterns provide valuableinsight for concrete hypotheses about the underlying ecological processes that created …,BioScience,2009,176
Discovery of influence sets in frequently updated databases,Ioana Stanoi; Mirek Riedewald; Divyakant Agrawal; Amr El Abbadi,Abstract An increasing number of organizations are currently working on ways to expressand provide location infor-mation to services and applications. A location aware systemknows the position of each component; and it is able to track devices through changes dueto movement. In this context; data management issues such as efficient storage and retrievalof data through frequent updates pose new challenges. While we believe that spatialqueries in general are going to gain in importance due to the emerging type of applications;we are particularly interested in the discovery of influence regions and influence sets arounda query point. An influence set is formed by all points that have q as their nearest neighbor;and are located within the boundaries of an influence region. In this paper we pro-pose forthe first time a technique that reduces such a query to the more familiar nearest neighbor …,VLDB,2001,156
Spatiotemporal exploratory models for broad‐scale survey data,Daniel Fink; Wesley M Hochachka; Benjamin Zuckerberg; David W Winkler; Ben Shaby; M Arthur Munson; Giles Hooker; Mirek Riedewald; Daniel Sheldon; Steve Kelling,Abstract The distributions of animal populations change and evolve through time. Migratoryspecies exploit different habitats at different times of the year. Biotic and abiotic features thatdetermine where a species lives vary due to natural and anthropogenic factors. Thisspatiotemporal variation needs to be accounted for in any modeling of species' distributions.In this paper we introduce a semiparametric model that provides a flexible framework foranalyzing dynamic patterns of species occurrence and abundance from broad-scale surveydata. The spatiotemporal exploratory model (STEM) adds essential spatiotemporal structureto existing techniques for developing species distribution models through a simpleparametric structure without requiring a detailed understanding of the underlying dynamicprocesses. STEMs use a multi-scale strategy to differentiate between local and global …,Ecological Applications,2010,129
Data-mining discovery of pattern and process in ecological systems,Wesley M Hochachka; Rich Caruana; Daniel Fink; ART Munson; Mirek Riedewald; Daria Sorokina; Steve Kelling,Abstract Most ecologists use statistical methods as their main analytical tools whenanalyzing data to identify relationships between a response and a set of predictors; thus;they treat all analyses as hypothesis tests or exercises in parameter estimation. However;little or no prior knowledge about a system can lead to creation of a statistical model ormodels that do not accurately describe major sources of variation in the response variable.We suggest that under such circumstances data mining is more appropriate for analysis. Inthis paper we 1) present the distinctions between data-mining (usually exploratory) analysesand parametric statistical (confirmatory) analyses; 2) illustrate 3 strengths of data-miningtools for generating hypotheses from data; and 3) suggest useful ways in which data miningand statistical analyses can be integrated into a thorough analysis of data to facilitate …,Journal of Wildlife Management,2007,125
Hilda: A high-level language for data-drivenweb applications,Fan Yang; Jayavel Shanmugasundaram; Mirek Riedewald; Johannes Gehrke,We propose Hilda; a high-level language for developing data-driven web applications. Theprimary benefits of Hilda over existing development platforms are:(a) it uses a unified datamodel for all layers of the application;(b) it is declarative;(c) it models both applicationqueries and updates;(d) it supports structured programming for web sites; and (e) it enablesconflict detection for concurrent updates. We also describe the implementation of a simpleproof-ofconcept Hilda compiler; which translates a Hilda application program into JavaServlet code.,Data Engineering; 2006. ICDE'06. Proceedings of the 22nd International Conference on,2006,76
