Differentially private histogram publication,Jia Xu; Zhenjie Zhang; Xiaokui Xiao; Yin Yang; Ge Yu; Marianne Winslett,Abstract Differential privacy (DP) is a promising scheme for releasing the results of statisticalqueries on sensitive data; with strong privacy guarantees against adversaries with arbitrarybackground knowledge. Existing studies on differential privacy mostly focus on simpleaggregations such as counts. This paper investigates the publication of DP-complianthistograms; which is an important analytical tool for showing the distribution of a randomvariable; eg; hospital bill size for certain patients. Compared to simple aggregations whoseresults are purely numerical; a histogram query is inherently more complex; since it mustalso determine its structure; ie; the ranges of the bins. As we demonstrate in the paper; a DP-compliant histogram with finer bins may actually lead to significantly lower accuracy than acoarser one; since the former requires stronger perturbations in order to satisfy DP …,The VLDB Journal,2013,176
Functional mechanism: regression analysis under differential privacy,Jun Zhang; Zhenjie Zhang; Xiaokui Xiao; Yin Yang; Marianne Winslett,Abstract ε-differential privacy is the state-of-the-art model for releasing sensitive informationwhile protecting privacy. Numerous methods have been proposed to enforce ε-differentialprivacy in various analytical tasks; eg; regression analysis. Existing solutions for regressionanalysis; however; are either limited to non-standard types of regression or unable toproduce accurate regression results. Motivated by this; we propose the FunctionalMechanism; a differentially private method designed for a large class of optimization-basedanalyses. The main idea is to enforce ε-differential privacy by perturbing the objectivefunction of the optimization problem; rather than its results. As case studies; we apply thefunctional mechanism to address two most widely used regression models; namely; linearregression and logistic regression. Both theoretical analysis and thorough experimental …,Proceedings of the VLDB Endowment,2012,120
Authenticated join processing in outsourced databases,Yin Yang; Dimitris Papadias; Stavros Papadopoulos; Panos Kalnis,Abstract Database outsourcing requires that a query server constructs a proof of resultcorrectness; which can be verified by the client using the data owner's signature. Previousauthentication techniques deal with range queries on a single relation using anauthenticated data structure (ADS). On the other hand; authenticated join processing isinherently more complex than ranges since only the base relations (but not theircombination) are signed by the owner. In this paper; we present three novel join algorithmsdepending on the ADS availability:(i) Authenticated Indexed Sort Merge Join (AISM); whichutilizes a single ADS on the join attribute;(ii) Authenticated Index Merge Join (AIM) thatrequires an ADS (on the join attribute) for both relations; and (iii) Authenticated Sort MergeJoin (ASM); which does not rely on any ADS. We experimentally demonstrate that the …,Proceedings of the 2009 ACM SIGMOD International Conference on Management of data,2009,110
An enhanced model for searching in semantic portals,Lei Zhang; Yong Yu; Jian Zhou; ChenXi Lin; Yin Yang,Abstract Semantic Portal is the next generation of web portals that are powered by SemanticWeb technologies for improved information sharing and exchange for a community of users.Current methods of searching in Semantic Portals are limited to keyword-based searchusing information retrieval (IR) techniques; ontology-based formal query and reasoning; or asimple combination of the two. In this paper; we propose an enhanced model that tightlyintegrates IR with formal query and reasoning to fully utilize both textual and semanticinformation for searching in Semantic Portals. The model extends the search capabilities ofexisting methods and can answer more complex search requests. The ideas in a fuzzydescription logic (DL) IR model and a formal DL query method are employed and combinedin our model. Based on the model; a semantic search service is implemented and …,Proceedings of the 14th international conference on World Wide Web,2005,102
Query by document,Yin Yang; Nilesh Bansal; Wisam Dakka; Panagiotis Ipeirotis; Nick Koudas; Dimitris Papadias,Abstract We are experiencing an unprecedented increase of content contributed by users inforums such as blogs; social networking sites and microblogging services. Such abundanceof content complements content on web sites and traditional media forums such as newspapers; news and financial streams; and so on. Given such plethora of information there is apressing need to cross reference information across textual services. For example;commonly we read a news item and we wonder if there are any blogs reporting relatedcontent or vice versa. In this paper; we present techniques to automate the process of crossreferencing online information content. We introduce methodologies to extract phrases froma given" query document" to be used as queries to search interfaces with the goal to retrievecontent related to the query document. In particular; we consider two techniques to extract …,Proceedings of the Second ACM International Conference on Web Search and Data Mining,2009,98
Spatial outsourcing for location-based services,Yin Yang; Stavros Papadopoulos; Dimitris Papadias; George Kollios,The embedding of positioning capabilities in mobile devices and the emergence of location-based applications have created novel opportunities for utilizing several types of multi-dimensional data through spatial outsourcing. In this setting; a data owner (DO) delegates itsdata management tasks to a location-based service (LBS) that processes queries originatingfrom several clients/subscribers. Because the LBS is not the real owner of the data; it mustprove (to each client) the correctness of query output using an authenticated structuresigned by the DO. Currently there is very narrow selection of multi-dimensionalauthenticated structures; among which the VR-tree is the best choice. Our first contribution isthe MR-tree; a novel index suitable for spatial outsourcing. We show; analytically andexperimentally; that the MR-tree outperforms the VR-tree; usually by orders of magnitude …,Data Engineering; 2008. ICDE 2008. IEEE 24th International Conference on,2008,92
Keyword search on relational data streams,Alexander Markowetz; Yin Yang; Dimitris Papadias,Abstract Increasing monitoring of transactions; environmental parameters; homelandsecurity; RFID chips and interactions of online users rapidly establishes new data sourcesand application scenarios. In this paper; we propose keyword search on relational datastreams (S-KWS) as an effective way for querying in such intricate and dynamicenvironments. Compared to conventional query methods; S-KWS has several benefits. First;it allows search for combinations of interesting terms without a-priori knowledge of the datastreams in which they appear. Second; it hides the schema from the user and allows it tochange; without the need for query re-writing. Finally; keyword queries are easy to express.Our contributions are summarized as follows.(i) We provide formal semantics for S-KWS;addressing the temporal validity and order of results.(ii) We propose an efficient algorithm …,Proceedings of the 2007 ACM SIGMOD international conference on Management of data,2007,91
Authenticated indexing for outsourced spatial databases,Yin Yang; Stavros Papadopoulos; Dimitris Papadias; George Kollios,Abstract In spatial database outsourcing; a data owner delegates its data management tasksto a location-based service (LBS); which indexes the data with an authenticated datastructure (ADS). The LBS receives queries (ranges; nearest neighbors) originating fromseveral clients/subscribers. Each query initiates the computation of a verification object (VO)based on the ADS. The VO is returned to the client that can verify the result correctnessusing the public key of the owner. Our first contribution is the MR-tree; a space-efficient ADSthat supports fast query processing and verification. Our second contribution is the MR*-tree;a modified version of the MR-tree; which significantly reduces the VO size through a novelembedding technique. Finally; whereas most ADSs must be constructed and maintained bythe owner; we outsource the MR-and MR*-tree construction and maintenance to the LBS …,The VLDB Journal—The International Journal on Very Large Data Bases,2009,90
CADS: Continuous authentication on data streams,Stavros Papadopoulos; Yin Yang; Dimitris Papadias,*,Proceedings of the 33rd international conference on Very large data bases,2007,88
Low-rank mechanism: optimizing batch queries under differential privacy,Ganzhao Yuan; Zhenjie Zhang; Marianne Winslett; Xiaokui Xiao; Yin Yang; Zhifeng Hao,Abstract Differential privacy is a promising privacy-preserving paradigm for statistical queryprocessing over sensitive data. It works by injecting random noise into each query result;such that it is provably hard for the adversary to infer the presence or absence of anyindividual record from the published noisy results. The main objective in differentially privatequery processing is to maximize the accuracy of the query results; while satisfying theprivacy guarantees. Previous work; notably the matrix mechanism [16]; has suggested thatprocessing a batch of correlated queries as a whole can potentially achieve considerableaccuracy gains; compared to answering them individually. However; as we point out in thispaper; the matrix mechanism is mainly of theoretical interest; in particular; several inherentproblems in its design limit its accuracy in practice; which almost never exceeds that of …,Proceedings of the VLDB Endowment,2012,67
