Imagenet: A large-scale hierarchical image database,Jia Deng; Wei Dong; Richard Socher; Li-Jia Li; Kai Li; Li Fei-Fei,The explosion of image data on the Internet has the potential to foster more sophisticatedand robust models and algorithms to index; retrieve; organize and interact with images andmultimedia data. But exactly how such data can be harnessed and organized remains acritical problem. We introduce here a new database called “ImageNet”; a large-scaleontology of images built upon the backbone of the WordNet structure. ImageNet aims topopulate the majority of the 80;000 synsets of WordNet with an average of 500-1000 cleanand full resolution images. This will result in tens of millions of annotated images organizedby the semantic hierarchy of WordNet. This paper offers a detailed analysis of ImageNet inits current state: 12 subtrees with 5247 synsets and 3.2 million images in total. We show thatImageNet is much larger in scale and diversity and much more accurate than the current …,Computer Vision and Pattern Recognition; 2009. CVPR 2009. IEEE Conference on,2009,5985
Imagenet large scale visual recognition challenge,Olga Russakovsky; Jia Deng; Hao Su; Jonathan Krause; Sanjeev Satheesh; Sean Ma; Zhiheng Huang; Andrej Karpathy; Aditya Khosla; Michael Bernstein; Alexander C Berg; Li Fei-Fei,Abstract The ImageNet Large Scale Visual Recognition Challenge is a benchmark in objectcategory classification and detection on hundreds of object categories and millions ofimages. The challenge has been run annually from 2010 to present; attracting participationfrom more than fifty institutions. This paper describes the creation of this benchmark datasetand the advances in object recognition that have been possible as a result. We discuss thechallenges of collecting large-scale ground truth annotation; highlight key breakthroughs incategorical object recognition; provide a detailed analysis of the current state of the field oflarge-scale image classification and object detection; and compare the state-of-the-artcomputer vision accuracy with human accuracy. We conclude with lessons learned in the 5years of the challenge; and propose future directions and improvements.,International Journal of Computer Vision,2015,4833
A bayesian hierarchical model for learning natural scene categories,Li Fei-Fei; Pietro Perona,We propose a novel approach to learn and recognize natural scene categories. Unlikeprevious work; it does not require experts to annotate the training set. We represent theimage of a scene by a collection of local regions; denoted as codewords obtained byunsupervised learning. Each region is represented as part of a" theme". In previous work;such themes were learnt from hand-annotations of experts; while our method learns thetheme distributions as well as the codewords distribution over the themes withoutsupervision. We report satisfactory categorization performances on a large set of 13categories of complex scenes.,Computer Vision and Pattern Recognition; 2005. CVPR 2005. IEEE Computer Society Conference on,2005,3650
Learning generative visual models from few training examples: An incremental bayesian approach tested on 101 object categories,Li Fei-Fei; Rob Fergus; Pietro Perona,Abstract Current computational approaches to learning visual object categories requirethousands of training images; are slow; cannot learn in an incremental manner and cannotincorporate prior information into the learning process. In addition; no algorithm presented inthe literature has been tested on more than a handful of object categories. We present anmethod for learning object categories from just a few training images. It is quick and it usesprior information in a principled way. We test it on a dataset composed of images of objectsbelonging to 101 widely varied categories. Our proposed method is based on making use ofprior information; assembled from (unrelated) object categories which were previouslylearnt. A generative probabilistic model is used; which represents the shape andappearance of a constellation of features belonging to the object. The parameters of the …,Computer vision and Image understanding,2007,3031
Unsupervised learning of human action categories using spatial-temporal words,Juan Carlos Niebles; Hongcheng Wang; Li Fei-Fei,Abstract We present a novel unsupervised learning method for human action categories. Avideo sequence is represented as a collection of spatial-temporal words by extracting space-time interest points. The algorithm automatically learns the probability distributions of thespatial-temporal words and the intermediate topics corresponding to human actioncategories. This is achieved by using latent topic models such as the probabilistic LatentSemantic Analysis (pLSA) model and Latent Dirichlet Allocation (LDA). Our approach canhandle noisy feature points arisen from dynamic background and moving cameras due tothe application of the probabilistic models. Given a novel video sequence; the algorithm cancategorize and localize the human action (s) contained in the video. We test our algorithmon three challenging datasets: the KTH human motion dataset; the Weizmann human …,International Journal of Computer Vision,2008,1813
Large-scale video classification with convolutional neural networks,Andrej Karpathy; George Toderici; Sanketh Shetty; Thomas Leung; Rahul Sukthankar; Li Fei-Fei,Abstract Convolutional Neural Networks (CNNs) have been established as a powerful classof models for image recognition problems. Encouraged by these results; we provide anextensive empirical evaluation of CNNs on largescale video classification using a newdataset of 1 million YouTube videos belonging to 487 classes. We study multipleapproaches for extending the connectivity of a CNN in time domain to take advantage oflocal spatio-temporal information and suggest a multiresolution; foveated architecture as apromising way of speeding up the training. Our best spatio-temporal networks displaysignificant performance improvements compared to strong feature-based baselines (55.3%to 63.9%); but only a surprisingly modest improvement compared to single-frame models(59.3% to 60.9%). We further study the generalization performance of our best model by …,Proceedings of the IEEE conference on Computer Vision and Pattern Recognition,2014,1783
Deep visual-semantic alignments for generating image descriptions,Andrej Karpathy; Li Fei-Fei,Abstract We present a model that generates natural language descriptions of images andtheir regions. Our approach leverages datasets of images and their sentence descriptions tolearn about the inter-modal correspondences between language and visual data. Ouralignment model is based on a novel combination of Convolutional Neural Networks overimage regions; bidirectional Recurrent Neural Networks over sentences; and a structuredobjective that aligns the two modalities through a multimodal embedding. We then describea Multimodal Recurrent Neural Network architecture that uses the inferred alignments tolearn to generate novel descriptions of image regions. We demonstrate that our alignmentmodel produces state of the art results in retrieval experiments on Flickr8K; Flickr30K andMSCOCO datasets. We then show that the generated descriptions significantly …,Proceedings of the IEEE conference on computer vision and pattern recognition,2015,1347
One-shot learning of object categories,Li Fei-Fei; Rob Fergus; Pietro Perona,Learning visual models of object categories notoriously requires hundreds or thousands oftraining examples. We show that it is possible to learn much information about a categoryfrom just one; or a handful; of images. The key insight is that; rather than learning fromscratch; one can take advantage of knowledge coming from previously learned categories;no matter how different these categories might be. We explore a Bayesian implementation ofthis idea. Object categories are represented by probabilistic models. Prior knowledge isrepresented as a probability density function on the parameters of these models. Theposterior model for an object category is obtained by updating the prior in the light of one ormore observations. We test a simple implementation of our algorithm on a database of 101diverse object categories. We compare category models learned by an implementation of …,IEEE transactions on pattern analysis and machine intelligence,2006,989
Object bank: A high-level image representation for scene classification and semantic feature sparsification,Li-Jia Li; Hao Su; Eric P Xing; Li Fei-Fei,Abstract Robust low-level image features have been proven to be effective representationsfor a variety of visual recognition tasks such as object recognition and scene classification;but pixels; or even local image patches; carry little semantic meanings. For high level visualtasks; such low-level image representations are potentially not enough. In this paper; wepropose a high-level image representation; called the Object Bank; where an image isrepresented as a scale invariant response map of a large number of pre-trained genericobject detectors; blind to the testing dataset or visual task. Leveraging on the Object Bankrepresentation; superior performances on high level visual recognition tasks can beachieved with simple off-the-shelf classifiers such as logistic regression and linear SVM.Sparsity algorithms make our representation more efficient and scalable for large scene …,Advances in Neural Information Processing Systems,2010,838
Learning object categories from Google's image search,Robert Fergus; Li Fei-Fei; Pietro Perona; Andrew Zisserman,Current approaches to object category recognition require datasets of training images to bemanually prepared; with varying degrees of supervision. We present an approach that canlearn an object category from just its name; by utilizing the raw output of image searchengines available on the Internet. We develop a new model; TSI-pLSA; which extends pLSA(as applied to visual words) to include spatial information in a translation and scale invariantmanner. Our approach can handle the high intra-class variability and large proportion ofunrelated images returned by search engines. We evaluate tire models on standard testsets; showing performance competitive with existing methods trained on hand prepareddatasets,Computer Vision; 2005. ICCV 2005. Tenth IEEE International Conference on,2005,826
Learning Object Categories from Googles Image Search. Computer Vision; 2005. ICCV 2005,R Fergus; L Fei-Fei; P Perona; A Zisserman,*,Tenth IEEE International Conference on,2005,826
What; where and who? classifying events by scene and object recognition,Li-Jia Li; Li Fei-Fei,We propose a first attempt to classify events in static images by integrating scene and objectcategorizations. We define an event in a static image as a human activity taking place in aspecific environment. In this paper; we use a number of sport games such as snow boarding;rock climbing or badminton to demonstrate event classification. Our goal is to classify theevent in the image as well as to provide a number of semantic labels to the objects andscene environment within the image. For example; given a rowing scene; our algorithmrecognizes the event as rowing by classifying the environment as a lake and recognizing thecritical objects in the image as athletes; rowing boat; water; etc. We achieve this integrativeand holistic recognition through a generative graphical model. We have assembled a highlychallenging database of 8 widely varied sport events. We show that our system is capable …,Computer Vision; 2007. ICCV 2007. IEEE 11th International Conference on,2007,708
Rapid natural scene categorization in the near absence of attention,Fei Fei Li; Rufin VanRullen; Christof Koch; Pietro Perona,Abstract What can we see when we do not pay attention? It is well known that we can be“blind” even to major aspects of natural scenes when we attend elsewhere. The only tasksthat do not need attention appear to be carried out in the early stages of the visual system.Contrary to this common belief; we report that subjects can rapidly detect animals or vehiclesin briefly presented novel natural scenes while simultaneously performing anotherattentionally demanding task. By comparison; they are unable to discriminate large T's fromL's; or bisected two-color disks from their mirror images under the same conditions. Weconclude that some visual tasks associated with “high-level” cortical areas may proceed inthe near absence of attention.,Proceedings of the National Academy of Sciences,2002,686
Modeling temporal structure of decomposable motion segments for activity classification,Juan Niebles; Chih-Wei Chen; Li Fei-Fei,Abstract Much recent research in human activity recognition has focused on the problem ofrecognizing simple repetitive (walking; running; waving) and punctual actions (sitting up;opening a door; hugging). However; many interesting human activities are characterized bya complex temporal composition of simple actions. Automatic recognition of such complexactions can benefit from a good understanding of the temporal structures. We present in thispaper a framework for modeling motion by exploiting the temporal structure of the humanactivities. In our framework; we represent activities as temporal compositions of motionsegments. We train a discriminative model that encodes a temporal decomposition of videosequences; and appearance models for each motion segment. In recognition; a query videois matched to the model according to the learned appearances and motion segment …,Computer Vision–ECCV 2010,2010,583
Simultaneous image classification and annotation,Wang Chong; David Blei; Fei-Fei Li,Image classification and annotation are important problems in computer vision; but rarelyconsidered together. Intuitively; annotations provide evidence for the class label; and theclass label provides evidence for annotations. For example; an image of class highway ismore likely annotated with words “road;”“car;” and “traffic” than words “fish;”“boat;” and“scuba.” In this paper; we develop a new probabilistic model for jointly modeling the image;its class label; and its annotations. Our model treats the class label as a global description ofthe image; and treats annotation terms as local descriptions of parts of the image. Itsunderlying probabilistic assumptions naturally integrate these two sources of information.We derive an approximate inference and estimation algorithms based on variationalmethods; as well as efficient approximations for classifying and annotating new images …,Computer Vision and Pattern Recognition; 2009. CVPR 2009. IEEE Conference on,2009,538
Towards total scene understanding: Classification; annotation and segmentation in an automatic framework,Li-Jia Li; Richard Socher; Li Fei-Fei,Given an image; we propose a hierarchical generative model that classifies the overallscene; recognizes and segments each object component; as well as annotates the imagewith a list of tags. To our knowledge; this is the first model that performs all three tasks in onecoherent framework. For instance; a scene of apolo game'consists of several visual objectssuch ashuman';horse';grass'; etc. In addition; it can be further annotated with a list of moreabstract (egdusk') or visually less salient (egsaddle') tags. Our generative model jointlyexplains images through a visual model and a textual model. Visually relevant objects arerepresented by regions and patches; while visually irrelevant textual annotations areinfluenced directly by the overall scene class. We propose a fully automatic learningframework that is able to learn robust scene models from noisy Web data such as images …,Computer Vision and Pattern Recognition; 2009. CVPR 2009. IEEE Conference on,2009,480
A hierarchical model of shape and appearance for human action classification,Juan Carlos Niebles; Li Fei-Fei,We present a novel model for human action categorization. A video sequence isrepresented as a collection of spatial and spatial-temporal features by extracting static anddynamic interest points. We propose a hierarchical model that can be characterized as aconstellation of bags-of-features and that is able to combine both spatial and spatial-temporal features. Given a novel video sequence; the model is able to categorize humanactions in a frame-by-frame basis. We test the model on a publicly available human actiondataset [2] and show that our new method performs well on the classification task. We alsoconducted control experiments to show that the use of the proposed mixture of hierarchicalmodels improves the classification performance over bag of feature models. An additionalexperiment shows that using both dynamic and static features provides a richer …,Computer Vision and Pattern Recognition; 2007. CVPR'07. IEEE Conference on,2007,468
A Bayesian approach to unsupervised one-shot learning of object categories,Li Fe-Fei; Rob Fergus; Pietro Perona,Learning visual models of object categories notoriously requires thousands of trainingexamples; this is due to the diversity and richness of object appearance which requiresmodels containing hundreds of parameters. We present a method for learning objectcategories from just a few images (1/spl sim/5). It is based on incorporating" generic"knowledge which may be obtained from previously learnt models of unrelated categories.We operate in a variational Bayesian framework: object categories are represented byprobabilistic models; and" prior" knowledge is represented as a probability density functionon the parameters of these models. The" posterior" model for an object category is obtainedby updating the prior in the light of one or more observations. Our ideas are demonstratedon four diverse categories (human faces; airplanes; motorcycles; spotted cats). Initially …,Computer Vision; 2003. Proceedings. Ninth IEEE International Conference on,2003,435
What does classifying more than 10;000 image categories tell us?,Jia Deng; Alexander Berg; Kai Li; Li Fei-Fei,Abstract Image classification is a critical task for both humans and computers. One of thechallenges lies in the large scale of the semantic space. In particular; humans can recognizetens of thousands of object classes and scenes. No computer vision algorithm today hasbeen tested at this scale. This paper presents a study of large scale categorization includinga series of challenging experiments on classification with more than 10;000 image classes.We find that a) computational issues become crucial in algorithm design; b) conventionalwisdom from a couple of hundred image categories on relative performance of differentclassifiers does not necessarily hold when the number of categories increases; c) there is asurprisingly strong relationship between the structure of WordNet (developed for studyinglanguage) and the difficulty of visual categorization; d) classification can be improved by …,Computer Vision–ECCV 2010,2010,426
