LOF: identifying density-based local outliers,Markus M Breunig; Hans-Peter Kriegel; Raymond T Ng; Jörg Sander,Abstract For many KDD applications; such as detecting criminal activities in E-commerce;finding the rare instances or the outliers; can be more interesting than finding the commonpatterns. Existing work in outlier detection regards being an outlier as a binary property. Inthis paper; we contend that for many scenarios; it is more meaningful to assign to eachobject a degree of being an outlier. This degree is called the local outlier factor (LOF) of anobject. It is local in that the degree depends on how isolated the object is with respect to thesurrounding neighborhood. We give a detailed formal analysis showing that LOF enjoysmany desirable properties. Using real-world datasets; we demonstrate that LOF can be usedto find outliers which appear to be meaningful; but can otherwise not be identified withexisting approaches. Finally; a careful performance evaluation of our algorithm confirms …,ACM sigmod record,2000,3507
E cient and E ective Clustering Methods for Spatial Data Mining,Raymond T Ng; Jiawei Han,Abstract Spatial data mining is the discovery of interesting relationships and characteristicsthat may exist implicitly in spatial databases. In this paper; we explore whether clusteringmethods have a role to play in spatial data mining. To this end; we develop a new clusteringmethod called CLARANS which is based on randomized search. We also develop twospatial data mining algorithms that use CLARANS. Our analysis and experiments show thatwith the assistance of CLARANS; these two algorithms are very e ective and can lead todiscoveries that are di cult to nd with current spatial data mining algorithms. Furthermore;experiments conducted to compare the performance of CLARANS with that of existingclustering methods show that CLARANS is the most e cient.,Proceedings of VLDB,1994,2861
Algorithms for mining distancebased outliers in large datasets,Edwin M Knox; Raymond T Ng,Abstract This paper deals with finding outliers (exceptions) in large; multidimensionaldatasets. The identification of outliers can lead to the discovery of truly unexpectedknowledge in areas such as electronic commerce; credit card fraud; and even the analysis ofperformance statistics of professional athletes. Existing methods that we have seen forfinding outliers in large datasets can only deal efficiently with two dimensions/attributes of adataset. Here; we study the notion of DB-(Distance-Based) outliers. While we provide formaland empirical evidence showing the usefulness of DB-outliers; we focus on the developmentof algorithms for computing such outliers. First; we present two simple algorithms; bothhaving a complexity of O (k N'); k being the dimensionality and N being the number ofobjects in the dataset. These algorithms readily support datasets with many more than …,Proceedings of the International Conference on Very Large Data Bases,1998,1940
Distance-based outliers: algorithms and applications,Edwin M Knorr; Raymond T Ng; Vladimir Tucakov,Abstract This paper deals with finding outliers (exceptions) in large; multidimensionaldatasets. The identification of outliers can lead to the discovery of truly unexpectedknowledge in areas such as electronic commerce; credit card fraud; and even the analysis ofperformance statistics of professional athletes. Existing methods that we have seen forfinding outliers can only deal efficiently with two dimensions/attributes of a dataset. In thispaper; we study the notion of DB (distance-based) outliers. Specifically; we show that (i)outlier detection can be done efficiently for large datasets; and for k-dimensional datasetswith large values of k (eg; $ k\ge 5$); and (ii); outlier detection is a meaningful and importantknowledge discovery task. First; we present two simple algorithms; both having a complexityof $ O (k\: N^ 2) $; k being the dimensionality and N being the number of objects in the …,The VLDB Journal—The International Journal on Very Large Data Bases,2000,1107
Exploratory mining and pruning optimizations of constrained associations rules,Raymond T Ng; Laks VS Lakshmanan; Jiawei Han; Alex Pang,Abstract From the standpoint of supporting human-centered discovery of knowledge; thepresent-day model of mining association rules suffers from the following seriousshortcomings:(i) lack of user exploration and control;(ii) lack of focus; and (iii) rigid notion ofrelationships. In effect; this model functions as a black-box; admitting little user interaction inbetween. We propose; in this paper; an architecture that opens up the black-box; andsupports constraint-based; human-centered exploratory mining of associations. Thefoundation of this architecture is a rich set of constraint constructs; including domain; class;and SQL-style aggregate constraints; which enable users to clearly specify whatassociations are to be mined. We propose constrained association queries as a means ofspecifying the constraints to be satisfied by the antecedent and consequent of a mined …,ACM Sigmod Record,1998,945
CLARANS: A method for clustering objects for spatial data mining,Raymond T.  Ng; Jiawei Han,Spatial data mining is the discovery of interesting relationships and characteristics that mayexist implicitly in spatial databases. To this end; this paper has three main contributions.First; it proposes a new clustering method called CLARANS; whose aim is to identify spatialstructures that may be present in the data. Experimental results indicate that; whencompared with existing clustering methods; CLARANS is very efficient and effective.Second; the paper investigates how CLARANS can handle not only point objects; but alsopolygon objects efficiently. One of the methods considered; called the IR-approximation; isvery efficient in clustering convex and nonconvex polygon objects. Third; building on top ofCLARANS; the paper develops two spatial data mining algorithms that aim to discoverrelationships between spatial and nonspatial attributes. Both algorithms can discover …,IEEE transactions on knowledge and data engineering,2002,922
Finding intensional knowledge of distance-based outliers,Edwin M Knorr; Raymond T Ng,Abstract Existing studies on outliers focus only on the identification aspect; none providesany intensional knowledge of the outliers—by which we mean a description or anexplanation of why an identified outlier is exceptional. For many applications; a descriptionor explanation is at least as vital to the user as the identification aspect. Specifically;intensional knowledge helps the user to:(i) evaluate the validity of the identified outliers; and(ii) improve one's understanding of the data. The two main issues addressed in this paperare: what kinds of intensional knowledge to provide; and how to optimize the computation ofsuch knowledge. With respect to the first issue; we propose finding strongest and weakoutliers and their corresponding structural intensional knowledge. With respect to thesecond issue; we first present a naive and a semi-naive algorithm. Then; by means of …,VLDB,1999,575
On the marriage of lp-norms and edit distance,Lei Chen; Raymond Ng,Abstract Existing studies on time series are based on two categories of distance functions.The first category consists of the Lp-norms. They are metric distance functions but cannotsupport local time shifting. The second category consists of distance functions which arecapable of handling local time shifting but are nonmetric. The first contribution of this paperis the proposal of a new distance function; which we call ERP (" Edit distance with RealPenalty"). Representing a marriage of L1-norm and the edit distance; ERP can support localtime shifting; and is a metric. The second contribution of the paper is the development ofpruning strategies for large time series databases. Given that ERP is a metric; one way toprune is to apply the triangle inequality. Another way to prune is to develop a lower boundon the ERP distance. We propose such a lower bound; which has the nice computational …,Proceedings of the Thirtieth international conference on Very large data bases-Volume 30,2004,570
Predicting source code changes by mining change history,Annie TT Ying; Gail C Murphy; Raymond Ng; Mark C Chu-Carroll,Software developers are often faced with modification tasks that involve source which isspread across a code base. Some dependencies between source code; such as thosebetween source code written in different languages; are difficult to determine using existingstatic and dynamic analyses. To augment existing analyses and to help developers identifyrelevant source code during a modification task; we have developed an approach thatapplies data mining techniques to determine change patterns-sets of files that were changedtogether frequently in the past-from the change history of the code base. Our hypothesis isthat the change patterns can be used to recommend potentially relevant source code to adeveloper performing a modification task. We show that this approach can reveal valuabledependencies by applying the approach to the Eclipse and Mozilla open source projects …,IEEE transactions on Software Engineering,2004,532
A comprehensive analysis of common copy-number variations in the human genome,Kendy K Wong; Nirpjit S Dosanjh; Lindsey R Kimm; Ze Cheng; Douglas E Horsman; Calum MacAulay; Raymond T Ng; Carolyn J Brown; Evan E Eichler; Wan L Lam,Segmental copy-number variations (CNVs) in the human genome are associated withdevelopmental disorders and susceptibility to diseases. More importantly; CNVs mayrepresent a major genetic component of our phenotypic diversity. In this study; using a whole-genome array comparative genomic hybridization assay; we identified 3;654 autosomalsegmental CNVs; 800 of which appeared at a frequency of at least 3%. Of these frequentCNVs; 77% are novel. In the 95 individuals analyzed; the two most diverse genomes differedby at least 9 Mb in size or varied by at least 266 loci in content. Approximately 68% of the800 polymorphic regions overlap with genes; which may reflect human diversity in senses(smell; hearing; taste; and sight); rhesus phenotype; metabolism; and disease susceptibility.Intriguingly; 14 polymorphic regions harbor 21 of the known human microRNAs; raising …,The American Journal of Human Genetics,2007,517
A Unified Notion of Outliers: Properties and Computation.,Edwin M Knorr; Raymond T Ng,Abstract As said in signal processing;“One person's noise is another person's signal.” Formany applications; such as the exploration of satellite or medical images; and the monitoringof criminal activities in electronic commerce; identifying exceptions can often lead to thediscovery of truly unexpected knowledge. In this paper; we study an intuitive notion ofoutliers. A key contribution of this paper is to show how the proposed notion of outliersunifies or generalizes many ex-: d: m;;;; c:;;;; c;.. A;:;;;;.-;.;:; 4;.-l I..; A:;.;;...;-l;..“.. Kl” Ul~ II” l; I” IID“I “UbUT; ID IJ'“Y'U~ U uy uKL” LuarlLy tests for standard statistical distributions. Thus; aunified outlier detection system can replace a whole spectrum of statistical discordancy testswith a single module detecting only the kinds of outliers proposed. A second contribution ofthis paper is the development of an approach to find all outliers in a dataset. The structure …,KDD,1997,387
