Synthesis of N-doped graphene by chemical vapor deposition and its electrical properties,Dacheng Wei; Yunqi Liu; Yu Wang; Hongliang Zhang; Liping Huang; Gui Yu,To realize graphene-based electronics; various types of graphene are required; thus;modulation of its electrical properties is of great importance. Theoretic studies show thatintentional doping is a promising route for this goal; and the doped graphene might promisefascinating properties and widespread applications. However; there is no experimentalexample and electrical testing of the substitutionally doped graphene up to date. Here; wesynthesize the N-doped graphene by a chemical vapor deposition (CVD) method. We findthat most of them are few-layer graphene; although single-layer graphene can beoccasionally detected. As doping accompanies with the recombination of carbon atoms intographene in the CVD process; N atoms can be substitutionally doped into the graphenelattice; which is hard to realize by other synthetic methods. Electrical measurements show …,Nano letters,2009,1910
Length-dependent thermal conductivity in suspended single-layer graphene,Xiangfan Xu; Luiz FC Pereira; Yu Wang; Jing Wu; Kaiwen Zhang; Xiangming Zhao; Sukang Bae; Cong Tinh Bui; Rongguo Xie; John TL Thong; Byung Hee Hong; Kian Ping Loh; Davide Donadio; Baowen Li; Barbaros Özyilmaz,Abstract Graphene exhibits extraordinary electronic and mechanical properties; andextremely high thermal conductivity. Being a very stable atomically thick membrane that canbe suspended between two leads; graphene provides a perfect test platform for studyingthermal conductivity in two-dimensional systems; which is of primary importance for phonontransport in low-dimensional materials. Here we report experimental measurements and non-equilibrium molecular dynamics simulations of thermal conduction in suspended single-layer graphene as a function of both temperature and sample length. Interestingly and incontrast to bulk materials; at 300 K; thermal conductivity keeps increasing and remainslogarithmically divergent with sample length even for sample lengths much larger than theaverage phonon mean free path. This result is a consequence of the two-dimensional …,Nature communications,2014,350
Wiley Interdiscip,D Yang; MJ Campolongo; TN Nhi Tran; RCH Ruiz; JS Kahn; D Luo,*,Rev.: Comput. Mol. Sci,2015,174
Scotch-tape-like exfoliation of graphite assisted with elemental sulfur and graphene–sulfur composites for high-performance lithium-sulfur batteries,Tianquan Lin; Yufeng Tang; Yaoming Wang; Hui Bi; Zhanqiang Liu; Fuqiang Huang; Xiaoming Xie; Mianheng Jiang,A new composite structure of graphene–sulfur with a high electrochemical performance isproposed. Scotch-tape-like sulfur-assisted exfoliation of graphite is developed to producethe graphene–sulfur composites and freestanding low-defect graphene sheets. The intimateinteraction between sulfur and graphene; attributed to the similar electronegativities of thetwo elements; is stronger than the van der Waals forces between adjacent π–π stackedgraphene layers. This causes cleavage of the graphene layers when the sulfur moleculesstick to the surface and edges of the graphite; similar to Scotch tape in micromechanicalexfoliation processes. This approach enables us to obtain graphene with an electricalconductivity as high as 1820 S cm− 1 and a Hall mobility as high as 200 cm2 V− 1 s− 1;superior to most reported graphene. Furthermore; the graphene sheets which uniformly …,Energy & Environmental Science,2013,146
Efficient synthesis of carbon nanotube–nanoparticle hybrids,XL Li; YQ Liu; Lei Fu; LC Cao; DC Wei; Yu Wang,Abstract A simple and versatile approach has been developed to synthesize different carbonnanotube (CNT)–nanoparticle hybrid materials. The strategy is based on the nondestructive(noncovalent) functionalization of pristine CNTs and the subsequent in situ synthesis of avariety of different nanoparticles; including metal; semiconductor; and insulator particles; onthe modified CNTs. This strategy has been demonstrated here with Pt; CdS; and silicananoparticles. It is believe that this technique will provide a simple and convenient route toefficiently assemble a wide variety of nanoscale particles/clusters on the surfaces of CNTs;and will enable the construction of nanoscale heterostructures with novel functionalities innanotechnology.,Advanced Functional Materials,2006,119
Technological Superpower China,Jon Sigurdson,Digital Collections.,*,2005,112
Localized low-weight graph and its applications in wireless ad hoc networks,Xiang-Yang Li; Yu Weng; Peng-Jun Wan; Wen-Zhan Song; Ophir Frieder,We propose a new localized structure; namely; Incident MST and RNG Graph (IMRG); fortopology control and broadcasting in wireless ad hoc networks. In the construction algorithm;each node first builds a modified relative neighborhood graph (RNG'); and then informs itsone-hop neighbors its incident edges in RNG'. Each node then collects all its one-hopneighbors and the two-hop neighbors who have RNG edges to some of its one-hopneighbors; and builds an Euclidean minimum spanning tree of these nodes. Each node ukeeps an edge uv only if uv is in the constructed minimum spanning tree. We analyticallyprove that the node degree of the IMRG is at most 6; it is connected and planar; and moreimportantly; the total edge length of the IMRG is within a constant factor of that of theminimum spanning tree. To the best of our knowledge; this is the first algorithm that can …,INFOCOM 2004. Twenty-third AnnualJoint Conference of the IEEE Computer and Communications Societies,2004,109
The role of microRNA in human lung squamous cell carcinoma,Ye Yang; Xiaofei Li; Qi Yang; Xiaoping Wang; Yongan Zhou; Tao Jiang; Qunfeng Ma; Yun-Jie Wang,Abstract MicroRNAs (miRNAs) are a group of small noncoding RNAs with modulator activityof gene expression. Deregulation of miRNA genes was found in several types of cancers. Toexplore the role of the miRNAs in Chinese lung squamous cell carcinoma (SCC); theexpression profile of 711 miRNAs in SCC was analyzed. Total RNAs were used forhybridization on a commercially available array (miRCURY LNA array v. 10.0); whichcontains 1;200 probes in tetramer; corresponding to 711 human miRNA genes. The resultsof miRNA microarray analysis were confirmed with quantitative real-time polymerase chainreaction. Seven human miRNAs (miR-126; miR-193a-3p; miR-30d; miR-30a; miR-101; let-7i; and miR-15a) were found to be significantly downregulated in lung SCC (P< 0.05);compared with normal lung tissues. The miRNAs miR-185∗ and miR-125a-5p were …,Cancer genetics and cytogenetics,2010,100
Radial basis function neural network-based QSPR for the prediction of critical temperature,Xiaojun Yao; Yawei Wang; Xiaoyun Zhang; Ruisheng Zhang; Mancang Liu; Zhide Hu; Botao Fan,Abstract A QSPR study was performed to develop models that relate the structures of 856organic compounds to their critical temperatures. Molecular descriptors derived solely fromstructure were used to represent molecular structures. A subset of the calculated descriptorsselected using forward stepwise regression was used in the QSPR models development.Multiple linear regression (MLR) and radial basis function neural networks (RBFNNs) areutilized to construct the linear and nonlinear QSPR models; respectively. The optimal QSPRmodel was developed based on a 10–33–1 radial basis function neural network architectureusing molecular descriptors calculated from molecular structure alone. The root meansquare errors in critical temperature predictions were 13.97 K for the whole set; 12.32 K forthe training set; and 14.23 K for the prediction set. The prediction results are in good …,Chemometrics and Intelligent Laboratory Systems,2002,100
Conventional and unconventional petroleum “orderly accumulation”: Concept and practical significance,Zou Caineng; Yang Zhi; Guosheng Zhang; Hou Lianhua; Zhu Rukai; Tao Shizhen; Yuan Xuanjun; WANG Yuman; GUO Qiulin; WANG Lan; BI Haibin; LI Denghua; WU Na,Abstract Based on the latest global conventional-unconventional petroleum developmentsituation and the conclusion of petroleum geology theory and technology innovation inrecent 10 years; the connotation of conventional and unconventional petroleum “orderlyaccumulation” connotation is formulated. This concept indicates that; unconventionalpetroleum occurs in the hydrocarbon supply direction of conventional petroleum; andconventional petroleum may appear in the outer space of unconventional petroleum. Properevaluation methods and engineering technology are important to push the conventional-unconventional petroleum co-development; and the petroleum finding thought from outer-source into inner-source. Unconventional petroleum evaluation focuses on source rockscharacteristics; lithology; physical property; brittleness; oil-gas possibility and stress …,Petroleum Exploration and Development,2014,96
Regulation of Set9-mediated H4K20 methylation by a PWWP domain protein,Yu Wang; Bharat Reddy; James Thompson; Hengbin Wang; Ken-ichi Noma; John R Yates III; Songtao Jia,Summary Methylation of histone H4 lysine 20 (H4K20me) is essential for recruitingcheckpoint proteins 53BP1/Crb2 to DNA lesions and subsequent activation of a DNA-damage checkpoint. In fission yeast; Set9 (spKMT5) catalyzes mono-; di-; and trimethylationof H4K20. However; the mechanisms that regulate Set9 function are poorly understood.Here; we identified a PWWP domain protein Pdp1 as a Set9-associated factor. Pdp1 bindsto histones and is required for Set9 chromatin localization. Yeast cells without Pdp1 weredeficient in all three states of H4K20me; sensitive to genotoxic treatments; and impaired inCrb2 recruitment. The PWWP domain of Pdp1 binds to H4K20me; and mutations within thePWWP domain that abrogated this interaction in vitro reduced both the association of Set9with chromatin and the extent of H4K20me in vivo. These results demonstrate that the …,Molecular cell,2009,95
