Probabilistic frequent itemset mining in uncertain databases,Thomas Bernecker; Hans-Peter Kriegel; Matthias Renz; Florian Verhein; Andreas Zuefle,Abstract Probabilistic frequent itemset mining in uncertain transaction databasessemantically and computationally differs from traditional techniques applied to standard"certain" transaction databases. The consideration of existential uncertainty of item (sets);indicating the probability that an item (set) occurs in a transaction; makes traditionaltechniques inapplicable. In this paper; we introduce new probabilistic formulations offrequent itemsets based on possible world semantics. In this probabilistic context; an itemsetX is called frequent if the probability that X occurs in at least minSup transactions is above agiven threshold τ. To the best of our knowledge; this is the first approach addressing thisproblem under possible worlds semantics. In consideration of the probabilistic formulations;we present a framework which is able to solve the Probabilistic Frequent Itemset Mining …,Proceedings of the 15th ACM SIGKDD international conference on Knowledge discovery and data mining,2009,280
A framework for clustering uncertain data,Erich Schubert; Alexander Koos; Tobias Emrich; Andreas Züfle; Klaus Arthur Schmid; Arthur Zimek,Abstract The challenges associated with handling uncertain data; in particular with queryingand mining; are finding increasing attention in the research community. Here we focus onclustering uncertain data and describe a general framework for this purpose that also allowsto visualize and understand the impact of uncertainty---using different uncertainty models---on the data mining results. Our framework constitutes release 0.7 of ELKI (http://elki. dbs. ifi.lmu. de/) and thus comes along with a plethora of implementations of algorithms; distancemeasures; indexing techniques; evaluation measures and visualization components.,Proceedings of the VLDB Endowment,2015,64
Querying uncertain spatio-temporal data,Tobias Emrich; Hans-Peter Kriegel; Nikos Mamoulis; Matthias Renz; Andreas Zufle,The problem of modeling and managing uncertain data has received a great deal of interest;due to its manifold applications in spatial; temporal; multimedia and sensor databases.There exists a wide range of work covering spatial uncertainty in the static (snapshot) case;where only one point of time is considered. In contrast; the problem of modeling andquerying uncertain spatio-temporal data has only been treated as a simple extension of thespatial case; disregarding time dependencies between consecutive timestamps. In this work;we present a framework for efficiently modeling and querying uncertain spatio-temporaldata. The key idea of our approach is to model possible object trajectories by stochasticprocesses. This approach has three major advantages over previous work. First it allowsanswering queries in accordance with the possible worlds model. Second; dependencies …,Data Engineering (ICDE); 2012 IEEE 28th International Conference on,2012,62
Reverse k-nearest neighbor search in dynamic and general metric databases,Elke Achtert; Hans-Peter Kriegel; Peer Kröger; Matthias Renz; Andreas Züfle,Abstract In this paper; we propose an original solution for the general reverse k-nearestneighbor (RkNN) search problem. Compared to the limitations of existing methods for theRkNN search; our approach works on top of any hierarchically organized tree-like indexstructure and; thus; is applicable to any type of data as long as a metric distance function isdefined on the data objects. We will exemplarily show how our approach works on top of themost prevalent index structures for Euclidean and metric data; the R-Tree and the M-Tree;respectively. Our solution is applicable for arbitrary values of k and can also be applied indynamic environments where updates of the database frequently occur. Although being themost general solution for the RkNN problem; our solution outperforms existing methods interms of query execution times because it exploits different strategies for pruning false …,Proceedings of the 12th International Conference on Extending Database Technology: Advances in Database Technology,2009,59
Statistical density prediction in traffic networks,Hans-Peter Kriegel; Matthias Renz; Matthias Schubert; Andreas Zuefle,Abstract Recently; modern tracking methods started to allow capturing the position ofmassive numbers of moving objects. Given this information; it is possible to analyze andpredict the traffic density in a network which offers valuable information for traffic control;congestion prediction and prevention. In this paper; we propose a novel statistical approachto predict the density on any edge of such a network at some time in the future. Our methodis based on short-time observations of the traffic history. Therefore; knowing the destinationof each traveling individual is not required. Instead; we assume that the individuals will actrationally and choose the shortest path from their starting points to their destinations. Basedon this assumption; we introduce a statistical approach to describe the likelihood of anygiven individual in the network to be located at a certain position at a certain time. Since …,*,2008,55
Efficient probabilistic reverse nearest neighbor query processing on uncertain data,Thomas Bernecker; Tobias Emrich; Hans-Peter Kriegel; Matthias Renz; Stefan Zankl; Andreas Züfle,Abstract Given a query object q; a reverse nearest neighbor (RNN) query in a commoncertain database returns the objects having q as their nearest neighbor. A new challenge fordatabases is dealing with uncertain objects. In this paper we consider probabilistic reversenearest neighbor (PRNN) queries; which return the uncertain objects having the queryobject as nearest neighbor with a sufficiently high probability. We propose an algorithm forefficiently answering PRNN queries using new pruning mechanisms taking distancedependencies into account. We compare our algorithm to state-of-the-art approachesrecently proposed. Our experimental evaluation shows that our approach is able tosignificantly outperform previous approaches. In addition; we show how our approach caneasily be extended to PRkNN (where k> 1) query processing for which there is currently …,Proceedings of the VLDB Endowment,2011,53
Boosting spatial pruning: on optimal pruning of MBRs,Tobias Emrich; Hans-Peter Kriegel; Peer Kröger; Matthias Renz; Andreas Züfle,Abstract Fast query processing of complex objects; eg spatial or uncertain objects; dependson efficient spatial pruning of objects' approximations; which are typically minimumbounding rectangles (MBRs). In this paper; we propose a novel effective and efficientcriterion to determine the spatial topology between multi-dimensional rectangles. Giventhree rectangles R; A; and B; in a multi-dimensional space; the task is to determine whetherA; is definitely closer to R; than B. This domination relation is used in many applications toperform spatial pruning. Traditional techniques apply spatial pruning based on minimal andmaximal distance. These techniques however show significant deficiencies in terms ofeffectivity. We prove that our decision criterion is correct; complete; and efficient to computeeven for high dimensional databases. In addition; we tackle the problem of computing the …,Proceedings of the 2010 ACM SIGMOD International Conference on Management of data,2010,42
Scalable probabilistic similarity ranking in uncertain databases,Thomas Bernecker; Hans-Peter Kriegel; Nikos Mamoulis; Matthias Renz; Andreas Zuefle,This paper introduces a scalable approach for probabilistic top-k similarity ranking onuncertain vector data. Each uncertain object is represented by a set of vector instances thatis assumed to be mutually exclusive. The objective is to rank the uncertain data according totheir distance to a reference object. We propose a framework that incrementally computesfor each object instance and ranking position; the probability of the object falling at thatranking position. The resulting rank probability distribution can serve as input for severalstate-of-the-art probabilistic ranking models. Existing approaches compute this probabilitydistribution by applying the Poisson binomial recurrence technique of quadratic complexity.In this paper; we theoretically as well as experimentally show that our framework reducesthis to a linear-time complexity while having the same memory requirements; facilitated by …,IEEE Transactions on Knowledge and Data Engineering,2010,41
Probabilistic nearest neighbor queries on uncertain moving object trajectories,Johannes Niedermayer; Andreas Züfle; Tobias Emrich; Matthias Renz; Nikos Mamoulis; Lei Chen; Hans-Peter Kriegel,Abstract Nearest neighbor (NN) queries in trajectory databases have received significantattention in the past; due to their applications in spatio-temporal data analysis. More recentwork has considered the realistic case where the trajectories are uncertain; however; onlysimple uncertainty models have been proposed; which do not allow for accurateprobabilistic search. In this paper; we fill this gap by addressing probabilistic nearestneighbor queries in databases with uncertain trajectories modeled by stochastic processes;specifically the Markov chain model. We study three nearest neighbor query semantics thattake as input a query state or trajectory q and a time interval; and theoretically evaluate theirruntime complexity. Furthermore we propose a sampling approach which uses Bayesianinference to guarantee that sampled trajectories conform to the observation data stored in …,Proceedings of the VLDB Endowment,2013,40
A novel probabilistic pruning approach to speed up similarity queries in uncertain databases,Thomas Bernecker; Tobias Emrich; Hans-Peter Kriegel; Nikos Mamoulis; Matthias Renz; Andreas Züfle,In this paper; we propose a novel; effective and efficient probabilistic pruning criterion forprobabilistic similarity queries on uncertain data. Our approach supports a generaluncertainty model using continuous probabilistic density functions to describe the (possiblycorrelated) uncertain attributes of objects. In a nutshell; the problem to be solved is tocompute the PDF of the random variable denoted by the probabilistic domination count:Given an uncertain database object B; an uncertain reference object R and a set D ofuncertain database objects in a multi-dimensional space; the probabilistic domination countdenotes the number of uncertain objects in D that are closer to R than B. This dominationcount can be used to answer a wide range of probabilistic similarity queries. Specifically; wepropose a novel geometric pruning filter and introduce an iterative filter-refinement …,Data Engineering (ICDE); 2011 IEEE 27th International Conference on,2011,34
