‘I am unmusical!’: the verdict of self-judgement,Eve Ruddock; Samuel Leong,The phenomenon of people labelling themselves as unmusical is widespread; and termssuch as talent; giftedness and musicality characterize the research field. This article presentsfour case studies of adult non-musicians (a lawyer; a teacher educator; a teacher; and apublic servant); providing perspectives of the impact of self-view on their self-judgement ofmusicality. A major negative consequence is the deprivation of self from future activeparticipation in; and enjoyment of; music making.,International Journal of Music Education,2005,59
Navigating the emerging futures in music education,Samuel Leong,Our globalized world is having to rediscover and reinvent itself in the face of emergentfutures resulting from multiple dynamics; including the breakdown of traditional structures;new capabilities of advanced technologies; new educational agendas and new humanneeds. This article navigates through several key predictions and recent developmentsrelevant to music education and technology; and urges for a new music education future thatis strongly linked with the global knowledge economy in the digital and conceptual age. Thenew future should give more attention to learners who were under-served in the past; bemore coherent with real-world issues and problems; harness the powers of ICT to actualizeworthy educational and societal transformation; and locate music effectively as an essential;integral and vibrant aspect of human lives and civilization.,Journal of Music; Technology & Education,2012,19
The relationship between music competencies perceived as important for novice teachers and the professional expectations of high school music teachers in Australia,Samuel Leong,*,*,1996,18
Musicianship in the 21st century: Issues; trends & possibilities,Samuel Leong,*,*,2003,17
How musical are you? Examining the discourse of derision in music education,Pamela Burnard; S Hennessy,*,Musicianship in the 21st century: Issues; trends and possibilities,2003,17
Creativity and assessment in Chinese arts education: Perspectives of Hong Kong students,Samuel Leong,The Chinese government has opened up its education system since the early 1990s;blending traditional test-centered approaches with critical thinking and versatility; andeasing exam pressures. This article examines the place of creativity in the education reformagenda; and creativity and assessment in Chinese arts education; from the perspective ofHong Kong students 10 years after the handover and 6 years after the launch of theeducation reform. The article reports the findings of a survey on the types of assessmentemployed by music and visual arts teachers in primary and secondary government schools;what arts students thought about arts assessment and what contributed to arts learning; theirpreparation for and confidence in taking arts assessment. Key differences between thepractices and perspectives of music and the visual arts are highlighted; and the …,Research Studies in Music Education,2010,16
Music in schools and teacher education: A global perspective,Samuel Leong,*,*,1997,10
Musicianship in the age of the prosumer: The business of cultivating the planetary musician,S Leong,*,Musicianship in the 21st century: Issues; trends and possibilities,2003,9
Designing a ‘creativity and assessment scale’for arts education,Samuel Leong; Xue-Lan Qiu,Having accurate insights of teachers' conceptions of creativity and the role of assessment inarts education would inform education policy; training programmes and the measurement oflearning outcomes. Yet no study has been found to examine the relationship betweenteachers' conceptions of creativity and their conceptions of assessment in arts education.Additionally; there is no suitable instrument found that has been designed for measuring theinteractions between teachers' conceptions of creativity and their conceptions of assessmentpractice in arts education. The study has successfully developed and validated aninstrument for use in arts education with satisfactory psychometric properties and sensitivityto respondents' gender and major area of study. It has enabled the study to obtain usefulfindings that illustrate the importance of studying the conceptions of creativity and …,Educational Psychology,2013,8
Assessing creativity in music: International perspectives and practices,Samuel Leong; Pamela Burnard; Neryl Jeanneret; Bo Wah Leung; Carole Waugh,This article presents six case studies from England; Australia; and Hong Kong; whichillustrate the different ways creativity in music is defined and assessed by teachers andlearners in various educational contexts. It considers the influence of educational policieson the assessment of musical creativity. It also examines the key features of music creativityassessment in order to draw parallels between various contexts. The article concludeswith a discussion of the implications for classroom practice.,*,2012,8
Integrating Ancient Nanyin Music within an Interdisciplinary and National Education School-Wide Curriculum: An Australian-Singaporean Collaborative Arts Educati...,Samuel Leong,Abstract This article describes a school-wide arts education project that incorporates aninterdisciplinary approach involving an Australian university; the Singapore Ministry ofEducation; the Singapore National Arts Council; a community music association; and a localprimary school. The Project engages young school children with Nanyin music; an ancientmusical art form from China; and works with practicing Nanyin musicians and their musicalpractices. The Project integrates music into the regular music curriculum for an entire ten-week term; and incorporates a National Education focus with an interdisciplinary approach;encouraging students to make connections with subjects such as language; mathematicsand social studies. The Project culminates with a public performance of Nanyin music by theparticipating students and an exhibition of their project work. This paper will also present …,International Journal of Education & the Arts,2005,8
Creativity and the arts in Chinese societies,Samuel LEONG,*,*,2011,7
Mentoring and research supervision in music education: Perspectives of Chinese postgraduate students,Samuel Leong,The Organization for Economic Co-operation and Development (OECD) estimated that thenumber of students studying outside their own country would be over 20 million by 2030.Chinese students have increasingly formed a large percentage of international students atuniversities across the English-speaking world; and the Chinese demand for transnationaleducation is estimated to grow by 15 percent annually (CEDA; 2005). This paper reviews theliterature and examines the key issues underpinning good practices in postgraduatesupervision. In the context of music education; it emphasizes the importance of mentoring inpostgraduate supervision supported by the perspectives of Chinese students surveyedregarding the roles and relationships between postgraduate supervisor and supervisee. Theimplications for research supervisors of Chinese students are discussed with …,International Journal of Music Education,2010,7
A competency profile of the music teacher,Samuel Leong,Recent Developments in Australian Education Excellence in teaching has become a key areaof focus in recent years. The Finn Report (Young People's Participation in Post-Complusory Educationand Training;1991) and the Mayer Reports (Employment;Related Key Competencies: A Proposalfor Consultation;1992 and Key Competencies: Draft Report; 1992) pose major challenges tothe way futUre music educators are prepared if they are to befunctio~allyrelevant in the nextmillenium and to keep in step with important changes in other subject areas. Duerksen(1988) has suggested that music educators pause to rethink and redefine significant problemsconfronting the profession: There seems to be minimal attention to sorting out the major factorsimportant to the field. Perhaps attention needs to be given to identifying what new knowledgeis needed to improve professionalpractice. What common- sense 'beliefs need …,Honing the Craft: Improving the Quality of Music Education; Conference Proceedings of the Australian Society for Music Education; 10th National Conference,1995,6
Effects of real‐time visual feedback on pre‐service teachers' singing,Samuel Leong; Lee Cheng,Abstract This pilot study focuses on the use real-time visual feedback technology (VFT) invocal training. The empirical research has two aims: to ascertain the effectiveness of the real-time visual feedback software 'Sing & See'in the vocal training of pre-service music teachersand the teachers' perspective on their experience with VFT. Forty participants from anundergraduate music teacher education programme were randomly assigned to threegroups. The first two groups were assigned the teacher and student versions of Sing & See;respectively; and the third group served as a control group without access to the software.The experimental groups were given 12 weeks to use the software for vocal training on aself-regulated basis. The technique of complex selections (TCS) was designed to assess thepitch accuracy and richness of vocal timbre. Pre-and post-test singing tasks showed that …,Journal of Computer Assisted Learning,2014,4
Creative arts in education and culture,Samuel Leong; Bo Wah Leung,Today's “Greater China”–comprising China; Hong Kong; Macao and Taiwan–has grown intoa vibrant and rapidly transforming region characterized by rich historical legacies; enormousdynamism and exciting cultural metamorphosis. Home to over 200 million people; the PearlDelta region of Greater China has been identified as the world's first and largest “mega-region” in a recent United Nations' State of World Cities Report (Vidal; 2010). Concomitantwith the economic rise of China and widespread calls for more “creative” and “liberal”education; the educational and cultural sectors in the region have witnessed significantreforms in recent years. The regional borders have become more porous and policies;practices; and pedagogies are evolving. There is also an emergence of a “new” awarenessof Chinese cultural values and the uniqueness of being Chinese. Arts education in the …,*,2013,4
Music education and the review of early childhood education in Hong Kong: Professional development needs of early childhood teachers,CW Chan; Samuel LEONG,*,*,2007,4
Innovative vision for early childhood music teacher education in Hong Kong: Perspectives of pre-school principals; teachers and pre-school teacher educators on ed...,Winsor CHAN; Samuel LEONG,*,*,2006,4
Urban Land-use in Hong Kong and Kowloon,Chi-sen Liang; SF Leong; HY Cheung,*,*,1966,4
Cultural mismatch and creativity in arts education,Samuel Leong,Culture has been found to impact upon creativity; which is valued as 'a motor of economicand social innovation'in a world that is experiencing rapid cultural changes and increasingcultural diversity. Recent research has given attention to the problem of cultural mismatch ineducation; with studies showing that children's success at school depends on the extent towhich the knowledge; background and values of their families match the school's values andpriorities. The greater the mismatch between the two cultures; the less likely the childrenwould benefit from schooling. When schools fail to effectively address the mismatch; socialinequalities and academic failure are perpetuated. But the problem is not confined to homeversus school cultures; and can be present in other kinds of mismatches such as western-eastern cultures and traditional-popular cultures. This article discusses this problem in the …,International Journal of Education through Art,2014,3
Education policy reform: Cultures; creativities and conditions in Hong Kong post-1997,Samuel Leong,Since the handover to Chinese sovereignty in 1997; Hong Kong (HK) has remained amodern metropolis famous as a global financial centre and a shopping and diningdestination where Western and Chinese cultures meet. Its seven million inhabitants live andwork in a dynamic and entrepreneurial economy noted for its efficiency; materialistic cultureand consumerism. Hong Kong has been ranked as the world's freest economy for theeighteenth consecutive year by the 2012 Index of Economic Freedom (The HeritageFoundation and Wall StreetJournal) and aspires to become an international culturalmetropolis; recently launching the mega US $2.8 billion West Kowloon Cultural Districtproject; which is perhaps the largest cultural infrastructure project being undertaken in theworld today. As a Special Administrative Region (SAR) under the 'One Country; Two …,Developing creativities in higher music education: International perspectives and practices,2014,3
Strategies for enabling curriculum reform: Lessons from Australia; Singapore and Hong Kong,Samuel Leong,The global educational challenge today is to enable people to successfully and effectivelyadapt new knowledge and cope with new situations (UNESCO 1992; Darling-Hammondand Sclan 1996). Many countries have initiated education reforms reforms that emphasizedthe “role of knowledge; technology and learning in economic performance'in a globalknowledge economy (OECD 1999; p. 1)-Such a knowledge economy; also known asthe'information economy'; is described in Australia's Strategic Framework for the InformationEconomy 2004-2006 as one: where information; knowledge and education are major inputsto business and social activity. It is not a separate'new'economy-it is an economy in whichthe rapid development and diffusion of ICT-based [information and communicationtechnology] innovation is transforming all sectors and all aspects of society.(Australian …,Music Education with Digital Technology,2007,3
Mentoring and the doctoral experience of Asian arts educators in western universities,Samuel Leong,*,*,2006,3
Cultural policy and the development of local cultures in Hong Kong,Samuel Leong,Abstract Fifteen years after Hong Kong's return to China; culture is considered one of theimportant resources for the growth of the cultural and creative industries. As a SpecialAdministrative Region (SAR) of China; the Hong Kong government has committed itself todiversify the local economy by promoting the cultural and creative industries as one of thesix core areas of long-term economic development. Large-scale developments such as themulti-billion dollar West Kowloon Cultural District (WKCD) project promise invigoratedcultural activity for both local residents and the tourism market. But critics have lamentedHong Kong's lack of a cultural policy; and its visionary WKCD project has attracted repeatedcalls to prioritize “cultural software” development–ie; cultural growth; audience developmentand cultural consumption and production. A major priority for Hong Kong's future is the …,*,2013,2
Creativity and the art of Cantonese opera,Samuel Leong; Bo Wah Leung,*,*,2012,2
Quality people quality life: Developing Hong Kong into a creative metropolis through arts education,Anne Bamford; Rachel Chan; Samuel Leong,*,*,2011,2
III. The Present State of Music Education in Singapore,Samuel Leong,ПОИСК. Найти. Расширенный поиск …,International Journal of Music Education,1984,2
A planetary perspective,Samuel Leong,This chapter discusses some of the critical considerations when undertaking interculturalarts research; and proposes a “planetary-commonality” approach that is sensitive to global–local interactions as the point of departure for generating cultural understanding. It sees“interculturality” as involving positive interactions between different cultures on a number oflevels; including sub-cultures; artistic cultures; gender cultures; linguistic cultures; andlearning cultures. This distinguishes itself from a “fusion” approach by taking togethernessas the starting point and having the synthesis of “multiple identities” as its essence (seeRentschler & Huong Le; 2008). The three issues of identity; power relations and presenceare examined and discussed with reference to three intercultural arts phenomena inChinese cultural contexts: the transmission of the Cantonese opera tradition; the adaptive …,The Routledge international handbook of intercultural arts research,2016,1
Bachelor of Music: purpose; desires and requirements,Heather Monkhouse,Abstract Effective curriculum design demands a thorough understanding of the purpose ofthe particular award; balanced with awareness of the amount of time required forknowledge; understanding; and the development of skills necessary to demonstrateachieved learning. For practical; tertiary-level; music study there are several intersectingimperatives that must be considered when establishing a curriculum to sit within a Bachelorof Music. This paper summarises; briefly; international guidelines established for Bachelor ofMusic programs; in particular the desired attributes for tertiary music performance graduates;then details the Australian context and finally considers how assessment strategies may beused to support required learning outcomes.,*,2015,1
The Spirit of Chinese Creativity in Twenty-first-century Cantonese Culture,Samuel Leong,Strongly influenced by its Confucian legacy; key aspects of Chinese culture have beenmisinterpreted by many as being 'uncreative'through the inappropriate application ofWestern criteria. Distinct cultural differences between the East and West are manifested indifferent and sometimes subtle ways; with the East giving more attention to the mastery ofskills; the inner experience of personal fulfilment; ideas preceding form; and skilldevelopment preceding creative exploration and expression. As China modernizes andtransforms into a superpower; the confluences of Eastern and Western cultures arebecoming more evident with traditional values intersecting with those of capitalism andinternationalization. This is apparent in the Chinese Cantonese culture of Hong Kong.Drawing on two creative and collaborative projects located within Hong Kong's …,Collaborative Creative Thought and Practice in Music,2014,1
Civic engagement and cultural policy-making in Hong Kong: The case of the West Kowloon Cultural Development District,Samuel LEONG,*,*,2014,1
A new approach to arts policy formulation that directly supports the arts and cultural identity in Hong Kong,Hilary Louise DU CROS; Samuel LEONG,*,*,2011,1
Music education and the culture of assessment: A Hong Kong secondary school perspective,Richard Guy WHITBREAD; Samuel LEONG,*,*,2011,1
Navigating music and sound education: A review essay,S Leong,Navigating Music and Sound Education; co-edited by Julie Ballantyne and Brydie-LeighBartleet; is a very valuable contribution to music education literature. A panel of internationalexperts has blind reviewed the eleven chapters written by twenty one leading musiceducators specifically for pre-service music teachers being prepared to “respond to thechanging realities” of future school contexts (p. xvii). The chapters illuminate real issuesconfronted by today's music education practitioners in a variety of contexts from earlychildhood-adult; formal-informal; urban-remote; and general-vocational education. Theperspectives presented are evidence based and informed by research and practice; drawnfrom the contributors' personal and diverse experiences in Australia; England; USA; Greece;Cyprus; Holland and,International Journal of Education & the Arts,2011,1
