Experimental quantum key distribution with decoy states,Yi Zhao; Bing Qi; Xiongfeng Ma; Hoi-Kwong Lo; Li Qian,Abstract To increase dramatically the distance and the secure key generation rate ofquantum key distribution (QKD); the idea of quantum decoys—signals of different intensities—has recently been proposed. Here; we present the first experimental implementation ofdecoy state QKD. By making simple modifications to a commercial quantum key distributionsystem; we show that a secure key generation rate of 165 bit/s; which is 1/4 of the theoreticallimit; can be obtained over 15 km of a telecommunication fiber. We also show that with thesame experimental parameters; not even a single bit of secure key can be extracted with anon-decoy-state protocol. Compared to building single photon sources; decoy state QKD isa much simpler method for increasing the distance and key generation rate ofunconditionally secure QKD.,Physical review letters,2006,319
Experimental demonstration of polarization encoding measurement-device-independent quantum key distribution,Zhiyuan Tang; Zhongfa Liao; Feihu Xu; Bing Qi; Li Qian; Hoi-Kwong Lo,Abstract We demonstrate the first implementation of polarization encoding measurement-device-independent quantum key distribution (MDI-QKD); which is immune to all detectorside-channel attacks. Active phase randomization of each individual pulse is implemented toprotect against attacks on imperfect sources. By optimizing the parameters in the decoy stateprotocol; we show that it is feasible to implement polarization encoding MDI-QKD withcommercial off-the-shelf devices. A rigorous finite key analysis is applied to estimate thesecure key rate. Our work paves the way for the realization of a MDI-QKD network; in whichthe users only need compact and low-cost state-preparation devices and can sharecomplicated and expensive detectors provided by an untrusted network server.,Physical review letters,2014,163
High-speed quantum random number generation by measuring phase noise of a single-mode laser,Bing Qi; Yue-Meng Chi; Hoi-Kwong Lo; Li Qian,We present a high-speed random number generation scheme based on measuring thequantum phase noise of a single-mode laser operating at a low intensity level near thelasing threshold. A delayed self-heterodyning system has been developed to measure therandom phase fluctuation. By actively stabilizing the phase of the interferometer; a randomnumber generation rate of 500 Mbit/s has been demonstrated and the generated randomnumbers have passed all the DIEHARD tests.,Optics letters,2010,137
Experimental study on the Gaussian-modulated coherent-state quantum key distribution over standard telecommunication fibers,Bing Qi; Lei-Lei Huang; Li Qian; Hoi-Kwong Lo,Abstract In this paper; we present a fully fiber-based one-way quantum-key-distribution(QKD) system implementing the Gaussian-modulated coherent-state (GMCS) protocol. Thesystem employs a double Mach-Zehnder interferometer (MZI) configuration in which theweak quantum signal and the strong local oscillator (LO) go through the same fiber betweenAlice and Bob; and are separated into two paths inside Bob's terminal. To suppress the LOleakage into the signal path; which is an important contribution to the excess noise; weimplemented a scheme combining polarization and frequency multiplexing; achieving anextinction ratio of 70 dB. To further minimize the system excess noise due to phase drift ofthe double MZI; we propose that; instead of employing phase feedback control; one simplylet Alice remap her data by performing a rotation operation. We further present noise …,Physical Review A,2007,110
Led sunken lamp,*,A LED sunken lamp includes a case and a lighting assembly. The case includes a lampshade and a case seat. The lamp shade is wedged in the case seat. The lighting assemblyalso is wedged in the case seat and includes at least a LED lamp and a circuit board that areelectrically connected. The case seat can be disassembled to facilitate wedging of the lampshade and the lighting assembly in the case seat. The case seat also has a plurality ofradiation fins to disperse heat energy generated by the LED lamp when in use to increasethe life span of the LED lamp.,*,2008,79
Feasibility of quantum key distribution through a dense wavelength division multiplexing network,Bing Qi; Wen Zhu; Li Qian; Hoi-Kwong Lo,Abstract In this paper; we study the feasibility of conducting quantum key distribution (QKD)together with classical communication through the same optical fiber by employing dense-wavelength-division-multiplexing (DWDM) technology at telecom wavelength. The impact ofclassical channels on the quantum channel has been investigated for both QKD based onsingle-photon detection and QKD based on homodyne detection. Our studies show that thelatter can tolerate a much higher level of contamination from classical channels than theformer. This is because the local oscillator used in the homodyne detector acts as a'modeselector'; which can suppress noise photons effectively. We have performed simulationsbased on both the decoy BB84 QKD protocol and the Gaussian-modulated coherent state(GMCS) QKD protocol. While the former cannot tolerate even one classical channel (with …,New Journal of Physics,2010,74
Simulation and implementation of decoy state quantum key distribution over 60km telecom fiber,Yi Zhao; Bing Qi; Xiongfeng Ma; Hoi-Kwong Lo; Li Qian,Decoy state quantum key distribution (QKD) has been proposed as a novel approach toimprove dramatically both the security and the performance of practical QKD set-ups.Recently; many theoretical efforts have been made on this topic and have theoreticallypredicted the high performance of decoy method. However; the gap between theory andexperiment remains open. In this paper; we report the first experiments on decoy state QKD;thus bridging the gap. Two protocols of decoy state QKD are implemented: one-decoyprotocol over 15 km of standard telecom fiber; and weak+ vacuum protocol over 60 km ofstandard telecom fiber. We implemented the decoy state method on a modified commercialQKD system. The modification we made is simply adding commercial acousto-opticmodulator (AOM) on the QKD system. The AOM is used to modulate the intensity of each …,Information Theory; 2006 IEEE International Symposium on,2006,71
Direct generation of polarization-entangled photon pairs in a poled fiber,Eric Y Zhu; Zhiyuan Tang; Li Qian; Lukas G Helt; Marco Liscidini; JE Sipe; Costantino Corbari; Albert Canagasabey; Morten Ibsen; Peter G Kazansky,Abstract We experimentally demonstrate the direct generation of polarization-entangledphoton pairs in an optical fiber at room temperature by exploiting type-II phase-matchedspontaneous parametric down-conversion. A second-order nonlinearity is artificially inducedin the 17-cm-long weakly birefringent step-index fiber through the process of thermal poling;and quasi-phase-matching allows for the generation of entangled photons in the 1.5-microntelecom band when the fiber is pumped at 775 nm. A greater-than 80∶ 1 coincidence-to-accidental ratio is achieved; limited mainly by multiphoton pair generation. Without the needto subtract accidentals or to compensate for walk-off; the raw two-photon interferencevisibility is found to be better than 95%; and violation of Bell's inequality is observed by morethan 18 standard deviations. This makes for a truly alignment-free; plug-and-play source …,Physical review letters,2012,67
Transcription factor neuromancer/TBX20 is required for cardiac function in Drosophila with implications for human heart disease,Li Qian; Bhagyalaxmi Mohapatra; Takeshi Akasaka; Jiandong Liu; Karen Ocorr; Jeffrey A Towbin; Rolf Bodmer,Abstract neuromancer/Tbx20 (nmr) genes are cardiac T-box transcription factors that areevolutionarily conserved from flies to humans. Along with other known congenital heartdisease genes; including tinman/Nkx2–5; dorsocross/Tbx5/6; and pannier/Gata4/6; they areimportant for specification and morphogenesis of the embryonic heart. The Drosophila hearthas proven to be an excellent model to study genes involved in establishing andmaintaining the structural integrity of the adult heart; as well as genes involved inmaintaining physiological function. Using this model; we have identified nmr as a generequired in adult fly hearts for the maintenance of both normal myofibrillar architecture andcardiac physiology. Moreover; we have discovered synergistic interactions between nmr andother cardiac transcription factors; including tinman/Nkx2–5; in regulating cardiac …,Proceedings of the National Academy of Sciences,2008,66
A balanced homodyne detector for high-rate Gaussian-modulated coherent-state quantum key distribution,Yue-Meng Chi; Bing Qi; Wen Zhu; Li Qian; Hoi-Kwong Lo; Sun-Hyun Youn; AI Lvovsky; Liang Tian,Abstract We discuss the excess noise contributions of a practical balanced homodynedetector (BHD) in Gaussian-modulated coherent-state (GMCS) quantum key distribution(QKD). We point out that the key generated from the original realistic model of GMCS QKDmay not be secure. In our refined realistic model; we take into account excess noise due tothe finite bandwidth of the homodyne detector and the fluctuation of the local oscillator (LO).A high-speed BHD suitable for GMCS QKD in the telecommunication wavelength region isbuilt and experimentally tested. The 3 dB bandwidth of the BHD is found to be 104 MHz andits electronic noise level is 13 dB below the shot noise at an LO level of 8.5× 10 8 photonsper pulse. The secure key rate of a GMCS QKD experiment with this homodyne detector isexpected to reach Mbits s− 1 over a few kilometers.,New Journal of Physics,2011,53
Compact highly-nonlinear AlGaAs waveguides for efficient wavelength conversion,Ksenia Dolgaleva; Wing Chau Ng; Li Qian; J Stewart Aitchison,We report on the efficient nonlinear optical interactions in AlGaAs strip-loaded waveguideswith a wafer composition specifically designed to increase the nonlinear coefficient. Wedemonstrate a broad-band self-phase modulation with a nonlinear phase shift up to 6π; andfour-wave mixing with a 20-nm tuning range and signal-to-idler conversion efficiency up to10 dB. Our samples are several times shorter than similar devices used for wavelengthconversion by XPM and FWM in previous reports; but the efficiency of the observed effects issimilar. Our experimental studies demonstrate the high potential of AlGaAs for all-opticalnetworks.,Optics express,2011,52
