The complexity of causality and responsibility for query answers and non-answers,Alexandra Meliou; Wolfgang Gatterbauer; Katherine F Moore; Dan Suciu,Abstract An answer to a query has a well-defined lineage expression (alternatively calledhow-provenance) that explains how the answer was derived. Recent work has also shownhow to compute the lineage of a non-answer to a query. However; the cause of an answer ornon-answer is a more subtle notion and consists; in general; of only a fragment of thelineage. In this paper; we adapt Halpern; Pearl; and Chockler's recent definitions of causalityand responsibility to define the causes of answers and non-answers to queries; and theirdegree of responsibility. Responsibility captures the notion of degree of causality and servesto rank potentially many causes by their relative contributions to the effect. Then; we studythe complexity of computing causes and responsibilities for conjunctive queries. It is knownthat computing causes is NP-complete in general. Our first main result shows that all …,Proceedings of the VLDB Endowment,2010,118
Fusing data with correlations,Ravali Pochampally; Anish Das Sarma; Xin Luna Dong; Alexandra Meliou; Divesh Srivastava,Abstract Many applications rely on Web data and extraction systems to accomplishknowledge-driven tasks. Web information is not curated; so many sources provideinaccurate; or conflicting information. Moreover; extraction systems introduce additionalnoise to the data. We wish to automatically distinguish correct data and erroneous data forcreating a cleaner set of integrated data. Previous work has shown that a naive votingstrategy that trusts data provided by the majority or at least a certain number of sources maynot work well in the presence of copying between the sources. However; correlationbetween sources can be much broader than copying: sources may provide data fromcomplementary domains (negative correlation); extractors may focus on different types ofinformation (negative correlation); and extractors may apply common rules in extraction …,Proceedings of the 2014 ACM SIGMOD international conference on Management of data,2014,74
Causality in databases,Alexandra Meliou; Wolfgang Gatterbauer; Joseph Y Halpern; Christoph Koch; Katherine F Moore; Dan Suciu,Abstract Provenance is often used to validate data; by verifying its origin and explaining itsderivation. When searching for “causes” of tuples in the query results or in generalobservations; the analysis of lineage becomes an essential tool for providing suchjustifications. However; lineage can quickly grow very large; limiting its immediate use forproviding intuitive explanations to the user. The formal notion of causality is a more refinedconcept that identifies causes for observations based on user-defined criteria; and thatassigns to them gradual degrees of responsibility based on their respective contributions. Inthis paper; we initiate a discussion on causality in databases; give some simple definitions;and motivate this formalism through a number of example applications.,IEEE Data Eng. Bull.,2010,72
Lifted inference seen from the other side: The tractable features,Abhay Jha; Vibhav Gogate; Alexandra Meliou; Dan Suciu,Abstract Lifted inference algorithms for representations that combine first-order logic andprobabilistic graphical models have been the focus of much recent research. All liftedalgorithms developed to date are based on the same underlying idea: take a standardprobabilistic inference algorithm (eg; variable elimination; belief propagation etc.) andimprove its efficiency by exploiting repeated structure in the first-order model. In this paper;we propose an approach from the other side in that we use techniques from logic forprobabilistic inference. In particular; we define a set of rules that look only at the logicalrepresentation to identify models for which exact efficient inference is possible. We show thatour rules yield several new tractable classes that cannot be solved efficiently by any of theexisting techniques.,Advances in Neural Information Processing Systems,2010,72
Nonmyopic informative path planning in spatio-temporal models,Alexandra Meliou; Andreas Krause; Carlos Guestrin; Joseph M Hellerstein,*,AAAI,2007,67
Data gathering tours in sensor networks,Alexandra Meliou; David Chu; Carlos Guestrin; Joseph Hellerstein; Wei Hong,A basic task in sensor networks is to interactively gather data from a subset of the sensornodes. When data needs to be gathered from a selected set of nodes in the network; existingcommunication schemes often behave poorly. In this paper; we study the algorithmicchallenges in efficiently routing a fixed-size packet through a small number of nodes in asensor network; picking up data as the query is routed. We show that computing the optimalrouting scheme to visit a specific set of nodes is NP-complete; but we develop approximationalgorithms that produce plans with costs within a constant factor of the optimum. Weenhance the robustness of our initial approach to accommodate the practical issues oflimited-sized packets as well as network link and node failures; and examine how differentapproaches behave with dynamic changes in the network topology. Our theoretical …,Information Processing in Sensor Networks; 2006. IPSN 2006. The Fifth International Conference on,2006,55
Tiresias: the database oracle for how-to queries,Alexandra Meliou; Dan Suciu,Abstract How-To queries answer fundamental data analysis questions of the form:" Howshould the input change in order to achieve the desired output". As a Reverse DataManagement problem; the evaluation of how-to queries is harder than their" forward"counterpart: hypothetical; or what-if queries. In this paper; we present Tiresias; the firstsystem that provides support for how-to queries; allowing the definition and integratedevaluation of a large set of constrained optimization problems; specifically Mixed IntegerProgramming problems; on top of a relational database system. Tiresias generates theproblem variables; constraints and objectives by issuing standard SQL statements; allowingfor its integration with any RDBMS.,Proceedings of the 2012 ACM SIGMOD International Conference on Management of Data,2012,43
Why so? or why no? functional causality for explaining query answers,Alexandra Meliou; Wolfgang Gatterbauer; Katherine F Moore; Dan Suciu,Abstract: In this paper; we propose causality as a unified framework to explain queryanswers and non-answers; thus generalizing and extending several previously proposedapproaches of provenance and missing query result explanations. We develop ourframework starting from the well-studied definition of actual causes by Halpern and Pearl.After identifying some undesirable characteristics of the original definition; we proposefunctional causes as a refined definition of causality with several desirable properties. Theseproperties allow us to apply our notion of causality in a database context and apply ituniformly to define the causes of query results and their individual contributions in severalways:(i) we can model both provenance as well as non-answers;(ii) we can defineexplanations as either data in the input relations or relational operations in a query plan …,arXiv preprint arXiv:0912.5340,2009,39
Tracing data errors with view-conditioned causality,Alexandra Meliou; Wolfgang Gatterbauer; Suman Nath; Dan Suciu,Abstract A surprising query result is often an indication of errors in the query or theunderlying data. Recent work suggests using causal reasoning to find explanations for thesurprising result. In practice; however; one often has multiple queries and/or multipleanswers; some of which may be considered correct and others unexpected. In this paper; wefocus on determining the causes of a set of unexpected results; possibly conditioned onsome prior knowledge of the correctness of another set of results. We call this problem View-Conditioned Causality. We adapt the definitions of causality and responsibility for the case ofmultiple answers/views and provide a non-trivial algorithm that reduces the problem offinding causes and their responsibility to a satisfiability problem that can be solved withexisting tools. We evaluate both the accuracy and effectiveness of our approach on a real …,Proceedings of the 2011 ACM SIGMOD International Conference on Management of data,2011,38
Approximating sensor network queries using in-network summaries,Alexandra Meliou; Carlos Guestrin; Joseph M Hellerstein,Abstract In this work we present new in-network techniques for communication efficientapproximate query processing in wireless sensornets. We use a model-based approach thatconstructs and maintains a spanning tree within the network; rooted at the basestation. Thetree maintains compressed summary information for each link that is used to “stub out”traversal during query processing. Our work is based on a formal model of the in-networktree construction task framed as an optimization problem. We demonstrate hardness resultsfor that problem; and develop efficient approximation algorithms for subtasks that are tooexpensive to compute exactly. We also propose efficient heuristics to accommodate a widerset of workloads; and empirically evaluate their performance and sensitivity to modelchanges.,Proceedings of the 2009 International Conference on Information Processing in Sensor Networks,2009,31
Reverse data management,Alexandra Meliou; Wolfgang Gatterbauer; Dan Suciu,ABSTRACT Database research mainly focuses on forward-moving data flows: source data issubjected to transformations and evolves through queries; aggregations; and viewdefinitions to form a new target instance; possibly with a different schema. This ForwardParadigm underpins most data management tasks today; such as querying; data integration;data mining; etc. We contrast this forward processing with Reverse Data Management(RDM); where the action needs to be performed on the input data; on behalf of desiredoutcomes in the output data. Some data management tasks already fall under this paradigm;for example updates through views; data generation; data cleaning and repair. RDM is; bynecessity; conceptually more difficult to define; and computationally harder to achieve.Today; however; as increasingly more of the available data is derived from other data …,Proceedings of the VLDB Endowment,2011,29
Data x-ray: A diagnostic tool for data errors,Xiaolan Wang; Xin Luna Dong; Alexandra Meliou,Abstract A lot of systems and applications are data-driven; and the correctness of theiroperation relies heavily on the correctness of their data. While existing data cleaningtechniques can be quite effective at purging datasets of errors; they disregard the fact that alot of errors are systematic; inherent to the process that produces the data; and thus will keepoccurring unless the problem is corrected at its source. In contrast to traditional datacleaning; in this paper we focus on data diagnosis: explaining where and how the errorshappen in a data generative process. We develop a large-scale diagnostic framework calledDATA X-RAY. Our contributions are three-fold. First; we transform the diagnosis problem tothe problem of finding common properties among erroneous elements; with minimal domain-specific assumptions. Second; we use Bayesian analysis to derive a cost model that …,Proceedings of the 2015 ACM SIGMOD International Conference on Management of Data,2015,20
Causality and explanations in databases,Alexandra Meliou; Sudeepa Roy; Dan Suciu,Abstract With the surge in the availability of information; there is a great demand for tools thatassist users in understanding their data. While today's exploration tools rely mostly on datavisualization; users often want to go deeper and understand the underlying causes of aparticular observation. This tutorial surveys research on causality and explanation for data-oriented applications. We will review and summarize the research thus far into causality andexplanation in the database and AI communities; giving researchers a snapshot of thecurrent state of the art on this topic; and propose a unified framework as well as directions forfuture research. We will cover both the theory of causality/explanation and someapplications; we also discuss the connections with other topics in database research likeprovenance; deletion propagation; why-not queries; and OLAP techniques.,Proceedings of the VLDB Endowment,2014,17
Data debugging with continuous testing,Kıvanç Muşlu; Yuriy Brun; Alexandra Meliou,Abstract Today; systems rely as heavily on data as on the software that manipulates thosedata. Errors in these systems are incredibly costly; annually resulting in multi-billion dollarlosses; and; on multiple occasions; in death. While software debugging and testing havereceived heavy research attention; less effort has been devoted to data debugging:discovering system errors caused by well-formed but incorrect data. In this paper; wepropose continuous data testing: using otherwise-idle CPU cycles to run test queries; in thebackground; as a user or database administrator modifies a database. This techniquenotifies the user or administrator about a data bug as quickly as possible after that bug isintroduced; leading to at least three benefits:(1) The bug is discovered quickly and can befixed before it is likely to cause a problem.(2) The bug is discovered while the relevant …,Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering,2013,17
The complexity of resilience and responsibility for self-join-free conjunctive queries,Cibele Freire; Wolfgang Gatterbauer; Neil Immerman; Alexandra Meliou,Abstract Several research thrusts in the area of data management have focused onunderstanding how changes in the data affect the output of a view or standing query.Example applications are explaining query results; propagating updates through views; andanonymizing datasets. An important aspect of this analysis is the problem of deleting aminimum number of tuples from the input tables to make a given Boolean query false; whichwe refer to as" the resilience of a query." In this paper; we study the complexity of resiliencefor self-join-free conjunctive queries with arbitrary functional dependencies. The cornerstoneof our work is the novel concept of triads; a simple structural property of a query that leads tothe several dichotomy results we show in this paper. The concepts of triads and resiliencebridge the connections between the problems of deletion propagation and causal …,Proceedings of the VLDB Endowment,2015,13
Bringing Provenance to Its Full Potential Using Causal Reasoning.,Alexandra Meliou; Wolfgang Gatterbauer; Dan Suciu,Abstract Provenance information is often used to explain query results and outcomes; exploitresults of prior reasoning; and establish trust in data. The generality of the notion makes itapplicable in a variety of domains; including data warehousing [7]; curated databases [4];and various scientific applications. The recent introduction of causal reasoning in adatabase setting exploits provenance in ways that expand its applicability to more complexproblems; and establish new directions; making a step towards achieving provenance's fullpotential. In this paper we explore through a variety of examples how causality improves onprovenance information; discuss the challenges of building causality able systems; andpropose some new directions.,TaPP,2011,13
Preventing data errors with continuous testing,Kıvanç Muşlu; Yuriy Brun; Alexandra Meliou,Abstract Today; software systems that rely on data are ubiquitous; and ensuring the data'squality is an increasingly important challenge as data errors result in annual multi-billiondollar losses. While software debugging and testing have received heavy research attention;less effort has been devoted to data debugging: identifying system errors caused by well-formed but incorrect data. We present continuous data testing (CDT); a low-overhead; delay-free technique that quickly identifies likely data errors. CDT continuously executes domain-specific test queries; when a test fails; CDT unobtrusively warns the user or administrator.We implement CDT in the ConTest prototype for the PostgreSQL database managementsystem. A feasibility user study with 96 humans shows that ConTest was extremely effectivein a setting with a data entry application at guarding against data errors: With ConTest …,Proceedings of the 2015 International Symposium on Software Testing and Analysis,2015,10
