Estimating simple functions on the union of data streams,Phillip B Gibbons; Srikanta Tirthapura,Abstract Massive data sets often arise as physically distributed; parallel data streams. Wepresent algorithms for estimating simple functions on the union of such data streams; whileusing only logarithmic space per stream. Each processor observes only its own stream; andcommunicates with the other processors only after observing its entire stream. This modelsthe set-up in current network monitoring products. Our algorithms employ a novelcoordinated sampling technique to extract a sample of the union; this sample can be used toestimate aggregate functions on the union. The technique can also be used to estimateaggregate functions over the distinct “labels” in one or more data streams; eg; to determinethe zeroth frequency moment (ie; the number of distinct labels) in one or more data streams.Our space and time bounds are the best known for these problems; and our logarithmic …,Proceedings of the thirteenth annual ACM symposium on Parallel algorithms and architectures,2001,221
Distributed streams algorithms for sliding windows,Phillip B Gibbons; Srikanta Tirthapura,Abstract This paper presents algorithms for estimating aggregate functions over a" slidingwindow" of the N most recent data items in one or more streams. Our results include:< ol>For a single stream; we present the first &egr;-approximation scheme for the number of 1's ina sliding window that is optimal in both worst case time and space. We also present the first&egr; for the sum of integers in [0.. R] in a sliding window that is optimal in both worst casetime and space (assuming R is at most polynomial in N). Both algorithms are deterministicand use only logarithmic memory words.,Proceedings of the fourteenth annual ACM symposium on Parallel algorithms and architectures,2002,179
A tree-edit-distance algorithm for comparing simple; closed shapes,Philip Klein; Srikanta Tirthapura; Daniel Sharvit; Ben Kimia,Abstract We discuss a graph-algorithmic approach to comparing shapes. We focus in thispaper on comparing simple closed curves in the plane. Our approach is to (1) representsuch a shape by its skeleton; which is a tree embedded in the plane; and (2) compare twoshapes by comparing their skeletons via tree edit-distance.,Proceedings of the eleventh annual ACM-SIAM symposium on Discrete algorithms,2000,114
Counting and sampling triangles from a graph stream,Aduri Pavan; Kanat Tangwongsan; Srikanta Tirthapura; Kun-Lung Wu,Abstract This paper presents a new space-efficient algorithm for counting and samplingtriangles--and more generally; constant-sized cliques--in a massive graph whose edgesarrive as a stream. Compared to prior work; our algorithm yields significant improvements inthe space and time complexity for these fundamental problems. Our algorithm is simple toimplement and has very good practical performance on large graphs.,Proceedings of the VLDB Endowment,2013,86
Indexing based on edit-distance matching of shape graphs,Srikanta Tirthapura; Daniel Sharvit; Philip Klein; Benjamin B Kimia,We are investigating a graph matching approach for indexing into pictorial databases usingshock graphs; a symmetry-based representation of shape. Each shape (or a collection ofedge elements) is represented by a shock graph. Indexing of a query into a pictorialdatabase is accomplished by comparing the corresponding shock graph to the graphsrepresenting database elements and selecting the best match. This paper introduces a newmetric for comparing shock graphs.,Multimedia Storage and Archiving Systems III,1998,70
Analysis of link reversal routing algorithms for mobile ad hoc networks,Costas Busch; Srikanth Surapaneni; Srikanta Tirthapura,Abstract Link reversal algorithms provide a simple mechanism for routing in mobile ad hocnetworks. These algorithms maintain routes to any particular destination in the network;even when the network topology changes frequently. In link reversal; a node reverses itsincident links whenever it loses routes to the destination. Link reversal algorithms have beenstudied experimentally and have been used in practical routing algorithms; including [8].This paper presents the first formal performance analysis of link reversal algorithms. Westudy these algorithms in terms of work (number of node reversals) and the time neededuntil the network stabilizes to a state in which all the routes are reestablished. We focus onthe full reversal algorithm and the partial reversal algorithm; both due to Gafni and Berstekas[5]; the first algorithm is simpler; while the latter has been found to be more efficient for …,Proceedings of the fifteenth annual ACM symposium on Parallel algorithms and architectures,2003,62
Time-decaying aggregates in out-of-order streams,Graham Cormode; Flip Korn; Srikanta Tirthapura,Abstract Processing large data streams is now a major topic in data management. The datainvolved can be truly massive; and the required analyses complex. In a stream of sequentialevents such as stock feeds; sensor readings; or IP traffic measurements; data tuplespertaining to recent events are typically more important than older ones. This can beformalized via time-decay functions; which assign weights to data based on the age of data.Decay functions such as sliding windows and exponential decay have been studied underthe assumption of well-ordered arrivals; ie; data arrives in non-decreasing order of timestamps. However; data quality issues are prevalent in massive streams (due to networkasynchrony and delays etc.); and correct arrival order is not guaranteed. We focus on thecomputation of decayed aggregates such as range queries; quantiles; and heavy hitters …,Proceedings of the twenty-seventh ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,2008,58
Sketching asynchronous streams over a sliding window,Srikanta Tirthapura; Bojian Xu; Costas Busch,Abstract We study the problem of maintaining sketches of recent elements of a data stream.Motivated by applications involving network data; we consider streams that areasynchronous; in which the observed order of data is not the same as the time order inwhich the data was generated. The notion of recent elements of a stream is modeled by thesliding timestamp window; which is the set of elements with timestamps that are close to thecurrent time. We design algorithms for maintaining sketches of all elements within the slidingtimestamp window that can give provably accurate estimates of two basic aggregates; thesum and the median; of a stream of numbers. The space taken by the sketches; the timeneeded for querying the sketch; and the time for inserting new elements into the sketch areall polylog with respect to the maximum window size and the values of the data items in …,Proceedings of the twenty-fifth annual ACM symposium on Principles of distributed computing,2006,41
Self stabilizing distributed queuing,Maurice Herlihy; Srikanta Tirthapura,Abstract Distributed queuing is a fundamental problem in distributed computing; arising in avariety ofapplications. In a distributed queuing protocol; each participating process informsits predecessor of its identity; and (when appropriate) learns the identity ofits successor. Thispaper presents a new; self-stabilizing distributed queuing protocol. This protocol adds self-stabilizing actions to the Arrow distributed queuing protocol; a simple path-reversal protocolthat runs on a network spanning tree. The protocol is structured as a layer that runs on topofan y selfstabilizing spanning tree protocol. This additional layer stabilizes in constant time;establishing that self-stabilizing distributed queuing is no more difficult than self-stabilizingspanning tree maintenance. The key idea is that the global predicate defining the legality ofaprotocol state can be written as the conjunction ofman y purely local predicates; one for …,International Symposium on Distributed Computing,2001,40
Competitive concurrent distributed queuing,Maurice Herlihy; Srikanta Tirthapura; Rogert Wattenhofer,Abstract Distributed queuing is a fundamental problem in distributed computing; arising in avariety of applications. The challenge in designing a distributed queuing algorithm is tominimize message traffic and delay. This paper gives a novel competitive analysis of theArrow distributed queuing protocol under concurrent access. We analyze the combinedlatency of r simultaneous requests; and derive a competitive ratio of s· log r; where s is thestretch of a preselected spanning tree in the network.,Proceedings of the twentieth annual ACM symposium on Principles of distributed computing,2001,40
A graph-based formulation for computational characterization of bulk heterojunction morphology,Olga Wodo; Srikanta Tirthapura; Sumit Chaudhary; Baskar Ganapathysubramanian,Abstract To improve the efficiency of organic solar cells; it is essential to understand the roleof morphology and to tailor fabrication process to get desired morphologies. In this context; acomprehensive set of computational tools to quantify and classify the 2D/3D heterogeneousinternal structure of thin films is invaluable. We present a graph-based framework toefficiently compute a broad suite of physically meaningful morphology descriptors. Thesemorphology descriptors are further classified according to the physical subprocesses withinOSCs–photon absorption; exciton diffusion; charge separation; and charge transport. Thisapproach is motivated by the equivalence between a discretized 2D/3D morphology and alabeled; weighted; undirected graph. We utilize this approach to pose six key questionsrelated to structure characterization. These questions are the basis for a comprehensive …,Organic Electronics,2012,39
