Large-scale matrix factorization with distributed stochastic gradient descent,Rainer Gemulla; Erik Nijkamp; Peter J Haas; Yannis Sismanis,Abstract We provide a novel algorithm to approximately factor large matrices with millions ofrows; millions of columns; and billions of nonzero elements. Our approach rests onstochastic gradient descent (SGD); an iterative stochastic optimization algorithm. We firstdevelop a novel" stratified" SGD variant (SSGD) that applies to general loss-minimizationproblems in which the loss function can be expressed as a weighted sum of" stratum losses."We establish sufficient conditions for convergence of SSGD using results from stochasticapproximation theory and regenerative process theory. We then specialize SSGD to obtain anew matrix-factorization algorithm; called DSGD; that can be fully distributed and run on web-scale datasets using; eg; MapReduce. DSGD can handle a wide variety of matrixfactorizations. We describe the practical techniques used to optimize performance in our …,Proceedings of the 17th ACM SIGKDD international conference on Knowledge discovery and data mining,2011,428
Jaql: A scripting language for large scale semistructured data analysis,Kevin S Beyer; Vuk Ercegovac; Rainer Gemulla; Andrey Balmin; Mohamed Eltabakh; Carl-Christian Kanne; Fatma Ozcan; Eugene J Shekita,ABSTRACT This paper describes Jaql; a declarative scripting language for analyzing largesemistructured datasets in parallel using Hadoop's MapReduce framework. Jaql is currentlyused in IBM's InfoS-phere BigInsights [5] and Cognos Consumer Insight [9] products. Jaql'sdesign features are:(1) a flexible data model;(2) reusability;(3) varying levels of abstraction;and (4) scalability. Jaql's data model is inspired by JSON and can be used to representdatasets that vary from flat; relational tables to collections of semistructured documents. AJaql script can start without any schema and evolve over time from a partial to a rigidschema. Reusability is provided through the use of higher-order functions and by packagingrelated functions into modules. Most Jaql scripts work at a high level of abstraction forconcise specification of logical operations (eg; join); but Jaql's notion of physical …,Proceedings of VLDB conference,2011,221
CoHadoop: flexible data placement and its exploitation in Hadoop,Mohamed Y Eltabakh; Yuanyuan Tian; Fatma Özcan; Rainer Gemulla; Aljoscha Krettek; John McPherson,Abstract Hadoop has become an attractive platform for large-scale data analytics. In thispaper; we identify a major performance bottleneck of Hadoop: its lack of ability to colocaterelated data on the same set of nodes. To overcome this bottleneck; we introduceCoHadoop; a lightweight extension of Hadoop that allows applications to control where dataare stored. In contrast to previous approaches; CoHadoop retains the flexibility of Hadoop inthat it does not require users to convert their data to a certain format (eg; a relationaldatabase or a specific file format). Instead; applications give hints to CoHadoop that someset of files are related and may be processed jointly; CoHadoop then tries to colocate thesefiles for improved efficiency. Our approach is designed such that the strong fault toleranceproperties of Hadoop are retained. Colocation can be used to improve the efficiency of …,Proceedings of the VLDB Endowment,2011,216
Ricardo: integrating R and Hadoop,Sudipto Das; Yannis Sismanis; Kevin S Beyer; Rainer Gemulla; Peter J Haas; John McPherson,Abstract Many modern enterprises are collecting data at the most detailed level possible;creating data repositories ranging from terabytes to petabytes in size. The ability to applysophisticated statistical analysis methods to this data is becoming essential for marketplacecompetitiveness. This need to perform deep analysis over huge data repositories poses asignificant challenge to existing statistical software and data management systems. On theone hand; statistical software provides rich functionality for data analysis and modeling; butcan handle only limited amounts of data; eg; popular packages like R and SPSS operateentirely in main memory. On the other hand; data management systems-such asMapReduce-based systems-can scale to petabytes of data; but provide insufficient analyticalfunctionality. We report our experiences in building Ricardo; a scalable platform for deep …,Proceedings of the 2010 ACM SIGMOD International Conference on Management of data,2010,197
Clausie: clause-based open information extraction,Luciano Del Corro; Rainer Gemulla,Abstract We propose ClausIE; a novel; clause-based approach to open informationextraction; which extracts relations and their arguments from natural language text. ClausIEfundamentally differs from previous approaches in that it separates the detectionof``useful''pieces of information expressed in a sentence from their representation in terms ofextractions. In more detail; ClausIE exploits linguistic knowledge about the grammar of theEnglish language to first detect clauses in an input sentence and to subsequently identify thetype of each clause according to the grammatical function of its constituents. Based on thisinformation; ClausIE is able to generate high-precision extractions; the representation ofthese extractions can be flexibly customized to the underlying application. ClausIE is basedon dependency parsing and a small set of domain-independent lexica; operates …,Proceedings of the 22nd international conference on World Wide Web,2013,185
On synopses for distinct-value estimation under multiset operations,Kevin Beyer; Peter J Haas; Berthold Reinwald; Yannis Sismanis; Rainer Gemulla,Abstract The task of estimating the number of distinct values (DVs) in a large dataset arisesin a wide variety of settings in computer science and elsewhere. We provide DV estimationtechniques that are designed for use within a flexible and scalable" synopsis warehouse"architecture. In this setting; incoming data is split into partitions and a synopsis is created foreach partition; each synopsis can then be used to quickly estimate the number of DVs in itscorresponding partition. By combining and extending a number of results in the literature; weobtain both appropriate synopses and novel DV estimators to use in conjunction with thesesynopses. Our synopses can be created in parallel; and can then be easily combined toyield synopses and DV estimates for arbitrary unions; intersections or differences ofpartitions. Our synopses can also handle deletions of individual partition elements. We …,Proceedings of the 2007 ACM SIGMOD international conference on Management of data,2007,126
Distributed matrix completion,Christina Teflioudi; Faraz Makari; Rainer Gemulla,We discuss parallel and distributed algorithms for large-scale matrix completion onproblems with millions of rows; millions of columns; and billions of revealed entries. Wefocus on in-memory algorithms that run on a small cluster of commodity nodes; even verylarge problems can be handled effectively in such a setup. Our DALS; ASGD; and DSGD++algorithms are novel variants of the popular alternating least squares and stochasticgradient descent algorithms; they exploit thread-level parallelism; in-memory processing;and asynchronous communication. We provide some guidance on the asymptoticperformance of each algorithm and investigate the performance of both our algorithms andpreviously proposed Map Reduce algorithms in large-scale experiments. We found thatDSGD++ outperforms competing methods in terms of overall runtime; memory …,Data Mining (ICDM); 2012 IEEE 12th International Conference on,2012,59
Mind the gap: Large-scale frequent sequence mining,Iris Miliaraki; Klaus Berberich; Rainer Gemulla; Spyros Zoupanos,Abstract Frequent sequence mining is one of the fundamental building blocks in datamining. While the problem has been extensively studied; few of the available techniques aresufficiently scalable to handle datasets with billions of sequences; such large-scale datasetsarise; for instance; in text mining and session analysis. In this paper; we propose MG-FSM; ascalable algorithm for frequent sequence mining on MapReduce. MG-FSM can handle so-called" gap constraints"; which can be used to limit the output to a controlled set of frequentsequences. At its heart; MG-FSM partitions the input database in a way that allows us tomine each partition independently using any existing frequent sequence mining algorithm.We introduce the notion of w-equivalency; which is a generalization of the notion of a"projected database" used by many frequent pattern mining algorithms. We also present a …,Proceedings of the 2013 ACM SIGMOD International Conference on Management of Data,2013,43
A dip in the reservoir: Maintaining sample synopses of evolving datasets,Rainer Gemulla; Wolfgang Lehner; Peter J Haas,Abstract Perhaps the most flexible synopsis of a database is a random sample of the data;such samples are widely used to speed up processing of analytic queries and data-miningtasks; enhance query optimization; and facilitate information integration. In this paper; westudy methods for incrementally maintaining a uniform random sample of the items in adataset in the presence of an arbitrary sequence of insertions and deletions. For" stable"datasets whose size remains roughly constant over time; we provide a novel samplingscheme; called" random pairing"(RP) which maintains a bounded-size uniform sample byusing newly inserted data items to compensate for previous deletions. The RP algorithm isthe first extension of the almost 40-year-old reservoir sampling algorithm to handledeletions. Experiments show that; when dataset-size fluctuations over time are not too …,Proceedings of the 32nd international conference on Very large data bases,2006,42
Fast integer compression using SIMD instructions,Benjamin Schlegel; Rainer Gemulla; Wolfgang Lehner,Abstract We study algorithms for efficient compression and decompression of a sequence ofintegers on modern hardware. Our focus is on universal codes in which the codeword lengthis a monotonically non-decreasing function of the uncompressed integer value; such codesare widely used for compressing" small integers". In contrast to traditional integercompression; our algorithms make use of the SIMD capabilities of modern processors byencoding multiple integer values at once. More specifically; we provide SIMD versions ofboth null suppression and Elias gamma encoding. Our experiments show that theseversions provide a speedup from 1.5 x up to 6.7 x for decompression; while maintaining asimilar compression performance.,Proceedings of the Sixth International Workshop on Data Management on New Hardware,2010,38
