Dwarf: Shrinking the petacube,Yannis Sismanis; Antonios Deligiannakis; Nick Roussopoulos; Yannis Kotidis,Abstract Dwarf is a highly compressed structure for computing; storing; and querying datacubes. Dwarf identifies prefix and suffix structural redundancies and factors them out bycoalescing their store. Prefix redundancy is high on dense areas of cubes but suffixredundancy is significantly higher for sparse areas. Putting the two together fuses theexponential sizes of high dimensional full cubes into a dramatically condensed datastructure. The elimination of suffix redundancy has an equally dramatic reduction in thecomputation of the cube because recomputation of the redundant suffixes is avoided. Thiseffect is multiplied in the presence of correlation amongst attributes in the cube. A Petabyte25-dimensional cube was shrunk this way to a 2.3 GB Dwarf Cube; in less than 20 minutes;a 1: 400000 storage reduction ratio. Still; Dwarf provides 100% precision on cube queries …,Proceedings of the 2002 ACM SIGMOD international conference on Management of data,2002,359
Hierarchical in-network data aggregation with quality guarantees,Antonios Deligiannakis; Yannis Kotidis; Nick Roussopoulos,Abstract Earlier work has demonstrated the effectiveness of in-network data aggregation inorder to minimize the amount of messages exchanged during continuous queries in largesensor networks. The key idea is to build an aggregation tree; in which parent nodesaggregate the values received from their children. Nevertheless; for large sensor networkswith severe energy constraints the reduction obtained through the aggregation tree mightnot be sufficient. In this paper we extend prior work on in-network data aggregation tosupport approximate evaluation of queries to further reduce the number of exchangedmessages among the nodes and extend the longevity of the network. A key ingredient to ourframework is the notion of the residual mode of operation that is used to eliminate messagesfrom sibling nodes when their cumulative change is small. We introduce a new algorithm …,International Conference on Extending Database Technology,2004,205
Compressing historical information in sensor networks,Antonios Deligiannakis; Yannis Kotidis; Nick Roussopoulos,Abstract We are inevitably moving into a realm where small and inexpensive wirelessdevices would be seamlessly embedded in the physical world and form a wireless sensornetwork in order to perform complex monitoring and computational tasks. Such networkspose new challenges in data processing and dissemination because of the limitedresources (processing; bandwidth; energy) that such devices possess. In this paper wepropose a new technique for compressing multiple streams containing historical data fromeach sensor. Our method exploits correlation and redundancy among multiplemeasurements on the same sensor and achieves high degree of data reduction whilemanaging to capture even the smallest details of the recorded measurements. The key toour technique is the base signal; a series of values extracted from the real measurements …,Proceedings of the 2004 ACM SIGMOD international conference on Management of data,2004,203
Dwarf cube architecture for reducing storage sizes of multidimensional data,*,The invention relates to data warehouses and the ability to create and maintain data cubesof multi-dimensional data. More specifically; the invention pertains to data cube architecturesthat permit significant reduction of storage; exhibit very efficient retrieval and provide a veryefficient incremental update of the data cubes.,*,2006,115
Dwarf cube architecture for reducing storage sizes of multidimensional data,*,The invention relates to data warehouses and the ability to create and maintain data cubesof multi-dimensional data. More specifically; the invention pertains to data cube architecturesthat permit significant reduction of storage; exhibit very efficient retrieval and provide a veryefficient incremental update of the data cubes.,*,2006,115
Sketch-based querying of distributed sliding-window data streams,Odysseas Papapetrou; Minos Garofalakis; Antonios Deligiannakis,Abstract While traditional data-management systems focus on evaluating single; ad-hocqueries over static data sets in a centralized setting; several emerging applications require(possibly; continuous) answers to queries on dynamic data that is widely distributed andconstantly updated. Furthermore; such query answers often need to discount data that is"stale"; and operate solely on a sliding window of recent data arrivals (eg; data updatesoccurring over the last 24 hours). Such distributed data streaming applications mandatenovel algorithmic solutions that are both time-and space-efficient (to manage high-speeddata streams); and also communication-efficient (to deal with physical data distribution). Inthis paper; we consider the problem of complex query answering over distributed; high-dimensional data streams in the sliding-window model. We introduce a novel sketching …,Proceedings of the VLDB Endowment,2012,72
Extended wavelets for multiple measures,Antonios Deligiannakis; Nick Roussopoulos,Abstract While work in recent years has demonstrated that wavelets can be efficiently usedto compress large quantities of data and provide fast and fairly accurate answers to queries;little emphasis has been placed on using wavelets in approximating datasets containingmultiple measures. Existing decomposition approaches will either operate on each measureindividually; or treat all measures as a vector of values and process them simultaneously.We show in this paper that the resulting individual or combined storage approaches for thewavelet coefficients of different measures that stem from these existing algorithms may leadto suboptimal storage utilization; which results to reduced accuracy to queries. To alleviatethis problem; we introduce in this work the notion of an extended wavelet coefficient as aflexible storage method for the wavelet coefficients; and propose novel algorithms for …,Proceedings of the 2003 ACM SIGMOD international conference on Management of data,2003,64
Prediction-based geometric monitoring over distributed data streams,Nikos Giatrakos; Antonios Deligiannakis; Minos Garofalakis; Izchak Sharfman; Assaf Schuster,Abstract Many modern streaming applications; such as online analysis of financial; network;sensor and other forms of data are inherently distributed in nature. An important query typethat is the focal point in such application scenarios regards actuation queries; where properaction is dictated based on a trigger condition placed upon the current value that amonitored function receives. Recent work studies the problem of (non-linear) sophisticatedfunction tracking in a distributed manner. The main concept behind the geometric monitoringapproach proposed there; is for each distributed site to perform the function monitoring overan appropriate subset of the input domain. In the current work; we examine whether thedistributed monitoring mechanism can become more efficient; in terms of the number ofcommunicated messages; by extending the geometric monitoring framework to utilize …,Proceedings of the 2012 ACM SIGMOD International Conference on Management of Data,2012,56
Processing approximate aggregate queries in wireless sensor networks,Antonios Deligiannakis; Yannis Kotidis; Nick Roussopoulos,Abstract In-network data aggregation has been recently proposed as an effective means toreduce the number of messages exchanged in wireless sensor networks. Nodes of thenetwork form an aggregation tree; in which parent nodes aggregate the values receivedfrom their children and propagate the result to their own parents. However; this schemaprovides little flexibility for the end-user to control the operation of the nodes in a datasensitive manner. For large sensor networks with severe energy constraints; the reduction(in the number of messages exchanged) obtained through the aggregation tree might not besufficient. In this paper; we present new algorithms for obtaining approximate aggregatestatistics from large sensor networks. The user specifies the maximum error that he is willingto tolerate and; in turn; our algorithms program the nodes in a way that seeks to minimize …,Information Systems,2006,54
Hierarchical dwarfs for the rollup cube,Yannis Sismanis; Antonios Deligiannakis; Yannis Kotidis; Nick Roussopoulos,Abstract The data cube operator exemplifies two of the most important aspects of OLAPqueries: aggregation and dimension hierarchies. In earlier work we presented Dwarf; ahighly compressed and clustered structure for creating; storing and indexing data cubes.Dwarf is a complete architecture that supports queries and updates; while also including atunable granularity parameter that controls the amount of materialization performed.However; it does not directly support dimension hierarchies. Rollup and drilldown querieson dimension hierarchies that naturally arise in OLAP need to be handled externally andare; thus; very costly. In this paper we present extensions to the Dwarf architecture forincorporating rollup data cubes; ie cubes with hierarchical dimensions. We show that theextended Hierarchical Dwarf retains all its advantages both in terms of creation time and …,Proceedings of the 6th ACM international workshop on Data warehousing and OLAP,2003,54
Detecting outliers in sensor networks using the geometric approach,Sabbas Burdakis; Antonios Deligiannakis,The topic of outlier detection in sensor networks has received significant attention in recentyears. Detecting when the measurements of a node become" abnormal''is interesting;because this event may help detect either a malfunctioning node; or a node that startsobserving a local interesting phenomenon (ie; a fire). In this paper we present a newalgorithm for detecting outliers in sensor networks; based on the geometric approach. Unlikeprior work. our algorithms perform a distributed monitoring of outlier readings; exhibit 100%accuracy in their monitoring (assuming no message losses); and require the transmission ofmessages only at a fraction of the epochs; thus allowing nodes to safely refrain fromtransmitting in many epochs. Our approach is based on transforming common similaritymetrics in a way that admits the application of the recently proposed geometric approach …,Data Engineering (ICDE); 2012 IEEE 28th International Conference on,2012,52
DCC&U: An extended digital curation lifecycle model,Panos Constantopoulos; Costis Dallas; Ion Androutsopoulos; Stavros Angelis; Antonios Deligiannakis; Dimitris Gavrilis; Yannis Kotidis; Christos Papatheodorou,Abstract The proliferation of Web; database and social networking technologies has enabledus to produce; publish and exchange digital assets at an enormous rate. This vast amount ofinformation that is either digitized or born-digital needs to be collected; organized andpreserved in a way that ensures that our digital assets and the information they carry remainavailable for future use. Digital curation has emerged as a new inter-disciplinary practicethat seeks to set guidelines for disciplined management of information. In this paper wereview two recent models for digital curation introduced by the Digital Curation Centre(DCC) and the Digital Curation Unit (DCU) of the Athena Research Centre. We then proposea fusion of the two models that highlights the need to extend the digital curation lifecycle byadding (a) provisions for the registration of usage experience;(b) a stage for knowledge …,International Journal of Digital Curation,2009,35
Another outlier bites the dust: Computing meaningful aggregates in sensor networks,Antonios Deligiannakis; Yannis Kotidis; Vasilis Vassalos; Vassilis Stoumpos; Alex Delis,Recent work has demonstrated that readings provided by commodity sensor nodes are oftenof poor quality. In order to provide a valuable sensory infrastructure for monitoringapplications; we first need to devise techniques that can withstand" dirty" and unreliable dataduring query processing. In this paper we present a novel aggregation framework thatdetects suspicious measurements by outlier nodes and refrains from incorporating suchmeasurements in the computed aggregate values. We consider different definitions of anoutlier node; based on the notion of a user-specified minimum support; and discusstechniques for properly routing messages in the networkin order to reduce the bandwidthconsumption and the energy drain during the query evaluation. In our experiments usingreal and synthetic traces we demonstrate that:(i) a straightforward evaluation of a user …,Data Engineering; 2009. ICDE'09. IEEE 25th International Conference on,2009,33
Geometric monitoring of heterogeneous streams,Daniel Keren; Guy Sagy; Amir Abboud; David Ben-David; Assaf Schuster; Izchak Sharfman; Antonios Deligiannakis,Interest in stream monitoring is shifting toward the distributed case. In many applications thedata is high volume; dynamic; and distributed; making it infeasible to collect the distinctstreams to a central node for processing. Often; the monitoring problem consists ofdetermining whether the value of a global function; defined on the union of all streams;crossed a certain threshold. We wish to reduce communication by transforming the globalmonitoring to the testing of local constraints; checked independently at the nodes. Geometricmonitoring (GM) proved useful for constructing such local constraints for general functions.Alas; in GM the constraints at all nodes share an identical structure and are thus unsuitablefor handling heterogeneous streams. Therefore; we propose a general approach formonitoring heterogeneous streams (HGM); which defines constraints tailored to fit the …,IEEE Transactions on Knowledge and Data Engineering,2014,31
