Sagas,Hector Garcia-Molina; Kenneth Salem,Abstract Long lived transactions (LLTs) hold on to database resources for relatively longperiods of time; significantly delaying the termination of shorter and more commontransactions. To alleviate these problems we propose the notion of a saga. A LLT is a saga ifit can be written as a sequence of transactions that can be interleaved with othertransactions. The database management system guarantees that either all the transactionsin a saga are successfully completed or compensating transactions are run to amend apartial execution. Both the concept of saga and its implementation are relatively simple; butthey have the potential to improve performance significantly. We analyze the variousimplementation issues related to sagas; including how they can be run on an existingsystem that does not directly support them. We also discuss techniques for database and …,ACM Sigmod Record,1987,1489
Main memory database systems: An overview,Hector Garcia-Molina; Kenneth Salem,Main memory database systems (MMDBs) store their data in main physical memory andprovide very high-speed access. Conventional database systems are optimized for theparticular characteristics of disk storage mechanisms. Memory resident systems; on theother hand; use different optimizations to structure and organize data; as well as to make itreliable. The authors survey the major memory residence optimizations and briefly discusssome of the MMDBs that have been designed or implemented.,IEEE Transactions on knowledge and data engineering,1992,698
Adaptive control of virtualized resources in utility computing environments,Pradeep Padala; Kang G Shin; Xiaoyun Zhu; Mustafa Uysal; Zhikui Wang; Sharad Singhal; Arif Merchant; Kenneth Salem,Abstract Data centers are often under-utilized due to over-provisioning as well as time-varying resource demands of typical enterprise applications. One approach to increaseresource utilization is to consolidate applications in a shared infrastructure usingvirtualization. Meeting application-level quality of service (QoS) goals becomes a challengein a consolidated environment as application resource needs differ. Furthermore; for multi-tier applications; the amount of resources needed to achieve their QoS goals might bedifferent at each tier and may also depend on availability of resources in other tiers. In thispaper; we develop an adaptive resource control system that dynamically adjusts theresource shares to individual tiers in order to meet application-level QoS goals whileachieving high resource utilization in the data center. Our control system is developed …,ACM SIGOPS Operating Systems Review,2007,670
Disk Striping,Kenneth Salem; Hector Garcia-Molina,Just like parallel processing elements can substantially speed up computationally intensivetasks; concurrent transfer of data in and out of memory can speed up data intensive tasks. Inthis paper we study one general purpose facility for achieving parallel data motion: diskstriping. A group of disks is striped if each data block is multiplexed across all the disks.Since each subblock is in a different device; input and output can proceed in parallel. Withthe help of an analytical model; we investigate the effect of striping on disk service times andits advantages and limitations in one of a set representative applications; file processing. Wealso explore several possible enhancements to striping: immediate reading; ordered blocks;and matched disks.,International Conference on Data Engineering; February 5-7; 1986; Bonaventure Hotel; Los Angeles; California; USA.,1986,471
Automatic virtual machine configuration for database workloads,Ahmed A Soror; Umar Farooq Minhas; Ashraf Aboulnaga; Kenneth Salem; Peter Kokosielis; Sunil Kamath,Abstract Virtual machine monitors are becoming popular tools for the deployment ofdatabase management systems and other enterprise software. In this article; we consider acommon resource consolidation scenario in which several database management systeminstances; each running in a separate virtual machine; are sharing a common pool ofphysical computing resources. We address the problem of optimizing the performance ofthese database management systems by controlling the configurations of the virtualmachines in which they run. These virtual machine configurations determine how the sharedphysical resources will be allocated to the different database system instances. Weintroduce a virtualization design advisor that uses information about the anticipatedworkloads of each of the database systems to recommend workload-specific …,ACM Transactions on Database Systems (TODS),2010,220
Lazy database replication with snapshot isolation,Khuzaima Daudjee; Kenneth Salem,Abstract Snapshot isolation is a popular transactional isolation level in database systems.Several replication techniques based on snapshot isolation have recently been proposed.These proposals; however; do not fully leverage the local concurrency controls that providesnapshot isolation. Furthermore; guaranteeing snapshot isolation in lazy replicated systemsmay result in transaction inversions; which happen when transactions see stale data. Strongsnapshot isolation; which is provided in centralized database servers; avoids transactioninversions but is expensive to provide in a lazy replicated system. In this paper; we showhow snapshot isolation can be maintained in lazy replicated systems while taking fulladvantage of the local concurrency controls. We propose strong session snapshot isolation;a correctness criterion that prevents transaction inversions. We show how strong session …,Proceedings of the 32nd international conference on Very large data bases,2006,178
Adaptive block rearrangement,Sedat Akyürek; Kenneth Salem,Abstract An adaptive technique for reducing disk seek times is described. The techniquecopies frequently referenced blocks from their original locations to reserved space near themiddle of the disk. Reference frequencies need not be known in advance. Instead; they areestimated by monitoring the stream of arriving requests. Trace-driven simulations show thatseek times can be cut substantially by copying only a small number of blocks using thistechnique. The technique has been implemented by modifying a UNIX device driver. Nomodifications are required to the file system that uses the driver.,ACM Transactions on Computer Systems (TOCS),1995,163
Modeling long-running activities as nested sagas,Hector Garcia-Molina; Dieter Gawlick; Johannes Klein; Karl Kleissner; Kenneth Salem,*,Data Engineering,1991,160
Concurrency control and recovery for global procedures in federated database systems,Rafael Alonso; Hector Garcia-Molina; Kenneth Salem,ABSTRACT A federated database system is a collection of autonomous databasescooperating for mutual beneﬁt. Global procedures can access several databases; butcontrolling concurrent database accesses by them is problematic. In particular; eachdatabase has its own {possibly different) concurrency control mechanism; and it must remainindependent from the global controls. Furthermore; it may be difﬁcult for the global controlsto know exactly what granules (eg; records or pages) are touched by each database access.In this paper we discuss the concurrency control problem for federated database systems;and suggest two mechanisms that may satisfy the requirements.,IEEE Data Eng. Bull.,1987,132
How to roll a join: Asynchronous incremental view maintenance,Kenneth Salem; Kevin Beyer; Bruce Lindsay; Roberta Cochrane,Abstract Incremental refresh of a materialized join view is often less expensive than a full;non-incremental refresh. However; it is still a potentially costly atomic operation. This paperpresents an algorithm that performs incremental view maintenance as a series of small;asynchronous steps. The size of each step can be controlled to limit contention between therefresh process and concurrent operations that access the materialized view or theunderlying relations. The algorithm supports point-in-time refresh; which allows amaterialized view to be refreshed to any time between the last refresh and the present.,ACM SIGMOD Record,2000,119
Altruistic locking,Kenneth Salem; Hector Garcia-Molina; Jeannie Shands,Abstract Long-lived transactions (LLTs) hold on to database resources for relatively longperiods of time; significantly delaying the completion of shorter and more commontransactions. To alleviate this problem we propose an extension to two-phase locking; calledaltruistic locking; whereby LLTs can release their locks early. Transactions that access thisreleased data are said to run in the wake of the LLT and must follow special locking rules.Like two-phase locking; altruistic locking is easy to implement and guarantees serializability.,ACM Transactions on Database Systems (TODS),1994,107
Deploying database appliances in the cloud.,Ashraf Aboulnaga; Kenneth Salem; Ahmed A Soror; Umar Farooq Minhas; Peter Kokosielis; Sunil Kamath,Page 1. 本翻译论文源于厦门大学计算机系数据库实验室林子雨老师的云数据库技术资料专区http://dblab.xmu.edu.cn/cloud_database_view 第1 页/共12 页翻译：厦门大学计算机系教师林子雨http://www.cs.xmu.edu.cn/linziyu Deploying Database Appliances in the Cloud Ashraf Aboulnaga;Kenneth Salem; Ahmed A. Soror; Umar Farooq Minhas; Peter Kokosielis; Sunil Kamath …,IEEE Data Eng. Bull.,2009,98
Checkpointing memory-resident databases,Kenneth Salem; Hector Garcia-Molina,A database system is considered in which a main-memory database system holds all data insemiconductor memory; and for recovery purposes a backup copy of the database ismaintained in secondary storage. The checkpointer is the component of the crash recoverymanager responsible for maintaining the backup copy. Ideally; the checkpointer shouldmaintain an almost-up-to-date backup while interfering as little as possible with the system'stransaction processing activities. Several algorithms for maintaining such a backupdatabase are presented and compared using an analytic model. The results show somesignificant performance differences among the algorithms and illustrate some of the tradeoffsthat are available in designing such a checkpointer.,Data Engineering; 1989. Proceedings. Fifth International Conference on,1989,93
