Big data and cloud computing: current state and future opportunities,Divyakant Agrawal; Sudipto Das; Amr El Abbadi,Abstract Scalable database management systems (DBMS)---both for update intensiveapplication workloads as well as decision support systems for descriptive and deepanalytics---are a critical part of the cloud infrastructure and play an important role in ensuringthe smooth transition of applications from the traditional enterprise infrastructures to nextgeneration cloud infrastructures. Though scalable data management has been a vision formore than three decades and much research has focussed on large scale datamanagement in traditional enterprise setting; cloud computing brings its own set of novelchallenges that must be addressed to ensure the success of data management solutions inthe cloud environment. This tutorial presents an organized picture of the challenges faced byapplication developers and DBMS designers in developing and deploying internet scale …,Proceedings of the 14th International Conference on Extending Database Technology,2011,509
Advanced transaction models in workflow contexts,Gustavo Alonso; Divyakant Agrawal; Amr El Abbadi; Mohan Kamath; Roger Gunthor; Chandrasekaran Mohan,In recent years; numerous transaction models have been proposed to address the problemsposed by advanced database applications; but only a few of these models are being used incommercial products. In this paper; we make the case that such models may be too centeredaround databases to be useful in real environments. Advanced applications raise a varietyof issues that are not addressed at all by transaction models. These same issues; however;are the basis for existing workflow systems; which are having considerable success ascommercial products in spite of not having a solid theoretical foundation. We explore someof these issues and show that; in many aspects; workflow models are a superset oftransaction models and have the added advantage of incorporating a variety of ideas thathave so far remained outside the scope of traditional transaction processing.,Data Engineering; 1996. Proceedings of the Twelfth International Conference on,1996,448
Efficient computation of frequent and top-k elements in data streams,Ahmed Metwally; Divyakant Agrawal; Amr El Abbadi,Abstract We propose an integrated approach for solving both problems of finding the mostpopular k elements; and finding frequent elements in a data stream. Our technique isefficient and exact if the alphabet under consideration is small. In the more practical largealphabet case; our solution is space efficient and reports both top-k and frequent elementswith tight guarantees on errors. For general data distributions; our top-k algorithm can returna set of k′ elements; where k′≈ k; which are guaranteed to be the top-k'elements; and weuse minimal space for calculating frequent elements. For realistic Zipfian data; our spacerequirement for the frequent elements problem decreases dramatically with the parameter ofthe distribution; and for top-k queries; we ensure that only the top-k elements; in the correctorder; are reported. Our experiments show significant space reductions with no loss in …,International Conference on Database Theory,2005,420
Meghdoot: content-based publish/subscribe over P2P networks,Abhishek Gupta; Ozgur D Sahin; Divyakant Agrawal; Amr El Abbadi,Abstract Publish/Subscribe systems have become a prevalent model for delivering data fromproducers (publishers) to consumers (subscribers) distributed across wide-area networkswhile decoupling the publishers and the subscribers from each other. In this paper wepresent Meghdoot; which adapts content-based publish/subscribe systems to DistributedHash Table based P2P networks in order to provide scalable content delivery mechanismswhile maintaining the decoupling between the publishers and the subscribers. Meghdoot isdesigned to adapt to highly skewed data sets; which is typical of real applications. Theexperimental results demonstrate that Meghdoot balances the load among the peers andthe design scales well with increasing number of peers; subscriptions and events.,ACM/IFIP/USENIX International Conference on Distributed Systems Platforms and Open Distributed Processing,2004,409
An efficient and fault-tolerant solution for distributed mutual exclusion,Divyakant Agrawal; Amr El Abbadi,Abstract In this paper; we present an efficient and fault-tolerant algorithm for generatingquorums to solve the distributed mutual exclusion problem. The algorithm uses a logical treeorganization of the network to generate tree quorums; which are logarithmic in the size of thenetwork in the best case. Our approach is resilient to both site and communication failures;even when such failures lead to network partitioning. Furthermore; the algorithm exhibits aproperty of graceful degradation; ie; it requires more messages only as the number offailures increase in the network. We describe how tree quorums can be used for variousdistributed applications for providing mutually exclusive access to a distributed resource;managing replicated objects; and atomically commiting a distributed transaction.,ACM Transactions on Computer Systems (TOCS),1991,400
Limiting the spread of misinformation in social networks,Ceren Budak; Divyakant Agrawal; Amr El Abbadi,Abstract In this work; we study the notion of competing campaigns in a social network andaddress the problem of influence limitation where a" bad" campaign starts propagating froma certain node in the network and use the notion of limiting campaigns to counteract theeffect of misinformation. The problem can be summarized as identifying a subset ofindividuals that need to be convinced to adopt the competing (or" good") campaign so as tominimize the number of people that adopt the" bad" campaign at the end of both propagationprocesses. We show that this optimization problem is NP-hard and provide approximationguarantees for a greedy solution for various definitions of this problem by proving that theyare submodular. We experimentally compare the performance of the greedy method tovarious heuristics. The experiments reveal that in most cases inexpensive heuristics such …,Proceedings of the 20th international conference on World wide web,2011,387
Functionality and limitations of current workflow management systems,Gustavo Alonso; Divyakant Agrawal; Amr El Abbadi; Carl Mohan,Abstract Work ow systems hold the promise of facilitating the everyday operation of manyenterprises and work environments. As a result; many commercial work ow managementsystems have been developed. These systems; although useful; do not scale well; havelimited fault-tolerance; and are in exible in terms of interoperating with other work owsystems. In this paper; we discuss the limitations of contemporary work ow managementsystems; and then elaborate on various directions for research and potential futureextensions to the design and modeling of work ow management systems.,IEEE expert,1997,379
Efficient view maintenance at data warehouses,Divyakant Agrawal; Amr El Abbadi; Ambuj Singh; Tolga Yurek,Abstract We present incremental view maintenance algorithms for a data warehouse derivedfrom multiple distributed autonomous data sources. We begin with a detailed framework foranalyzing view maintenance algorithms for multiple data sources with concurrent updates.Earlier approaches for view maintenance in the presence of concurrent updates typicallyrequire two types of messages: one to compute the view change due to the initial updateand the other to compensate the view change due to interfering concurrent updates. Thealgorithms developed in this paper instead perform the compensation locally by using theinformation that is already available at the data warehouse. The first algorithm; termedSWEEP; ensures complete consistency of the view at the data warehouse in the presence ofconcurrent updates. Previous algorithms for incremental view maintenance either …,ACM SIGMOD Record,1997,374
An efficient; fault-tolerant protocol for replicated data management,Amr El Abbadi; Dale Skeen; Flaviu Cristian,ABSTRACT The objective of data replication is to increase data availability in the presenceof processor and link failures and to decrease data retrieval costs by reading local or closecopies of data. Moreover; concurrent execution of transactions on replicated data basesmust be equivalent to the serial execution of the same transactions on non-replicateddatabases. We present a pedagogical derivation of a replicated data management protocolwhich meets the above requirements. The protocol tolerates any number of componentomission and performance failures (even when these lead to network partitioning); andhandles any number of (possibly simultaneous) processor and link recoveries. It implementsthe reading of a logical object efficiently--by reading the nearest; available copy. Whenreads outnumber writes and failures are rare; the protocol performs better than other …,Proceedings of the fourth ACM SIGACT-SIGMOD symposium on Principles of database systems,1985,302
Reverse nearest neighbor queries for dynamic databases.,Ioana Stanoi; Divyakant Agrawal; Amr El Abbadi,Abstract In this paper we propose an algorithm for answering reverse nearest neighbor(RNN) queries; a problem formulated only recently. This class of queries is strongly relatedto that of nearest neighbor (NN) queries; although the two are not necessarilycomplementary. Unlike nearest neighbor queries; RNN queries find the set of databasepoints that have the query point as the nearest neighbor. There is no other proposal we areaware of; that provides an algorithmic approach to answer RNN queries. The earlierapproach for RNN queries (KM99]) is based on the pre-computation of neighborhoodinformation that is organized in terms of auxiliary data structures. It can be argued that theprecomputation of the RNN information for all points in the database can be too restrictive. Inthe case of dynamic databases; insert and update operations are expensive and can lead …,ACM SIGMOD workshop on research issues in data mining and knowledge discovery,2000,282
