Efficient time series matching by wavelets,Kin-Pong Chan; Ada Wai-Chee Fu,Time series stored as feature vectors can be indexed by multidimensional index trees like R-Trees for fast retrieval. Due to the dimensionality curse problem; transformations are appliedto time series to reduce the number of dimensions of the feature vectors. Differenttransformations like Discrete Fourier Transform (DFT) Discrete Wavelet Transform (DWT);Karhunen-Loeve (KL) transform or Singular Value Decomposition (SVD) can be applied.While the use of DFT and KL transform or SVD have been studied on the literature; to ourknowledge; there is no in-depth study on the application of DWT. In this paper we propose touse Haar Wavelet Transform for time series indexing. The major contributions are:(1) weshow that Euclidean distance is preserved in the Haar transformed domain and no falsedismissal will occur;(2) we show that Haar transform can outperform DFT through …,Data Engineering; 1999. Proceedings.; 15th International Conference on,1999,1293
A fast distributed algorithm for mining association rules,David W Cheung; Jiawei Han; Vincent T Ng; Ada W Fu; Yongjian Fu,With the existence of many large transaction databases; the huge amounts of data; the highscalability of distributed systems; and the easy partitioning and distribution of a centralizeddatabase; it is important to investigate efficient methods for distributed mining of associationrules. The study discloses some interesting relationships between locally large and globallylarge item sets and proposes an interesting distributed association rule mining algorithm;FDM (fast distributed mining of association rules); which generates a small number ofcandidate sets and substantially reduces the number of messages to be passed at miningassociation rules. A performance study shows that FDM has a superior performance over thedirect application of a typical sequential algorithm. Further performance enhancement leadsto a few variations of the algorithm.,Parallel and Distributed Information Systems; 1996.; Fourth International Conference on,1996,669
Entropy-based subspace clustering for mining numerical data,Chun-Hung Cheng; Ada Waichee Fu; Yi Zhang,Abstract Mining numerical data is a relatively difficult problem in data mining. Clustering isone of the techniques. We consider a database with numerical attributes; in which eachtransaction is viewed as a multi-dimensional vector. By studying the clusters formed by thesevectors; we can discover certain behaviors hidden in the data. Traditional clusteringalgorithms find clusters in the full space of the data sets. This results in high dimensionalclusters; which are poorly comprehensible to human. One important task in this setting is theability to discover clusters embedded in the subspaces of a high-dimensional data set. Thisproblem is known as subspace clustering. We follow the basic assumptions of previous workCLIQUE. It is found that the number of subspaces with clustering is very large; and a criterioncalled the coverage is proposed in CLIQUE for the pruning. In addition to coverage; we …,Proceedings of the fifth ACM SIGKDD international conference on Knowledge discovery and data mining,1999,639
Mining fuzzy association rules in databases,Chan Man Kuok; Ada Fu; Man Hon Wong,Abstract Data mining is the discovery of previously unknown; potentially useful and hiddenknowledge in databases. In this paper; we concentrate on the discovery of association rules.Many algorithms have been proposed to find association rules in databases with binaryattributes. We introduce the fuzzy association rules of the form;'If X is A then Y is B'; to dealwith quantitative attributes. X; Y are set of attributes and A; B are fuzzy sets which describe Xand Y respectively. Using the fuzzy set concept; the discovered rules are moreunderstandable to human. Moreover; fuzzy sets handle numerical values better than existingmethods because fuzzy sets soften the effect of sharp boundaries.,ACM Sigmod Record,1998,635
Mining association rules with weighted items,Chun Hing Cai; Ada Wai-Chee Fu; CH Cheng; WW Kwong,Discovery of association rules has been found useful in many applications. In previous work;all items in a basket database are treated uniformly. We generalize this to the case whereitems are given weights to reflect their importance to the user. The weights may correspondto special promotions on some products; or the profitability of different items. We can minethe weighted association rules with weights. The downward closure property of the supportmeasure in the unweighted case no longer exists and previous algorithms cannot beapplied. In this paper; two new algorithms are introduced to handle this problem. In thesealgorithms we make use of a metric called the k-support bound in the mining process.Experimental results show the efficiency of the algorithms for large databases.,Database Engineering and Applications Symposium; 1998. Proceedings. IDEAS'98. International,1998,584
Hot sax: Efficiently finding the most unusual time series subsequence,Eamonn Keogh; Jessica Lin; Ada Fu,In this work; we introduce the new problem of finding time series discords. Time seriesdiscords are subsequences of a longer time series that are maximally different to all the restof the time series subsequences. They thus capture the sense of the most unusualsubsequence within a time series. Time series discords have many uses for data mining;including improving the quality of clustering; data cleaning; summarization; and anomalydetection. Discords are particularly attractive as anomaly detectors because they onlyrequire one intuitive parameter (the length of the subsequence) unlike most anomalydetection algorithms that typically require many parameters. We evaluate our work with acomprehensive set of experiments. In particular; we demonstrate the utility of discords withobjective experiments on domains as diverse as Space Shuttle telemetry monitoring …,Data mining; fifth IEEE international conference on,2005,582
Efficient mining of association rules in distributed databases,David W Cheung; Vincent T Ng; Ada W Fu; Yongjian Fu,Many sequential algorithms have been proposed for the mining of association rules.However; very little work has been done in mining association rules in distributeddatabases. A direct application of sequential algorithms to distributed databases is noteffective; because it requires a large amount of communication overhead. In this study; anefficient algorithm called DMA (Distributed Mining of Association rules); is proposed. Itgenerates a small number of candidate sets and requires only O (n) messages for support-count exchange for each candidate set; where n is the number of sites in a distributeddatabase. The algorithm has been implemented on an experimental testbed; and itsperformance is studied. The results show that DMA has superior performance; whencompared with the direct application of a popular sequential algorithm; in distributed …,IEEE transactions on Knowledge and Data Engineering,1996,540
Mining multiple-level association rules in large databases,Jiawei Han; Yongjian Fu,A top-down progressive deepening method is developed for efficient mining of multiple-levelassociation rules from large transaction databases based on the a priori principle. A group ofvariant algorithms is proposed based on the ways of sharing intermediate results; with therelative performance tested and analyzed. The enforcement of different interestingnessmeasurements to find more interesting rules; and the relaxation of rule conditions for finding"level-crossing" association rules; are also investigated. The study shows that efficientalgorithms can be developed from large databases for the discovery of interesting andstrong multiple-level association rules.,IEEE Transactions on knowledge and data engineering,1999,495
Utility-based anonymization using local recoding,Jian Xu; Wei Wang; Jian Pei; Xiaoyuan Wang; Baile Shi; Ada Wai-Chee Fu,Abstract Privacy becomes a more and more serious concern in applications involvingmicrodata. Recently; efficient anonymization has attracted much research work. Most of theprevious methods use global recoding; which maps the domains of the quasi-identifierattributes to generalized or changed values. However; global recoding may not alwaysachieve effective anonymization in terms of discernability and query answering accuracyusing the anonymized data. Moreover; anonymized data is often for analysis. As wellaccepted in many analytical applications; different attributes in a data set may have differentutility in the analysis. The utility of attributes has not been considered in the previousmethods. In this paper; we study the problem of utility-based anonymization. First; wepropose a simple framework to specify utility of attributes. The framework covers both …,Proceedings of the 12th ACM SIGKDD international conference on Knowledge discovery and data mining,2006,415
(α; k)-anonymity: an enhanced k-anonymity model for privacy preserving data publishing,Raymond Chi-Wing Wong; Jiuyong Li; Ada Wai-Chee Fu; Ke Wang,Abstract Privacy preservation is an important issue in the release of data for miningpurposes. The k-anonymity model has been introduced for protecting individualidentification. Recent studies show that a more sophisticated model is necessary to protectthe association of individuals to sensitive information. In this paper; we propose an (α; k)-anonymity model to protect both identifications and relationships to sensitive information indata. We discuss the properties of (α; k)-anonymity model. We prove that the optimal (α; k)-anonymity problem is NP-hard. We first presentan optimal global-recoding method for the (α;k)-anonymity problem. Next we propose a local-recoding algorithm which is more scalableand result in less data distortion. The effectiveness and efficiency are shown by experiments.We also describe how the model can be extended to more general case.,Proceedings of the 12th ACM SIGKDD international conference on Knowledge discovery and data mining,2006,353
K-isomorphism: privacy preserving network publication against structural attacks,James Cheng; Ada Wai-chee Fu; Jia Liu,Abstract Serious concerns on privacy protection in social networks have been raised inrecent years; however; research in this area is still in its infancy. The problem is challengingdue to the diversity and complexity of graph data; on which an adversary can use manytypes of background knowledge to conduct an attack. One popular type of attacks as studiedby pioneer work [2] is the use of embedding subgraphs. We follow this line of work andidentify two realistic targets of attacks; namely; NodeInfo and LinkInfo. Our investigationsshow that k-isomorphism; or anonymization by forming k pairwise isomorphic subgraphs; isboth sufficient and necessary for the protection. The problem is shown to be NP-hard. Wedevise a number of techniques to enhance the anonymization efficiency while retaining thedata utility. A compound vertex ID mechanism is also introduced for privacy preservation …,Proceedings of the 2010 ACM SIGMOD International Conference on Management of data,2010,291
Enhancing effectiveness of outlier detections for low density patterns,Jian Tang; Zhixiang Chen; Ada Wai-Chee Fu; David W Cheung,Abstract Outlier detection is concerned with discovering exceptional behaviors of objects indata sets. It is becoming a growingly useful tool in applications such as credit card frauddetection; discovering criminal behaviors in e-commerce; identifying computer intrusion;detecting health problems; etc. In this paper; we introduce a connectivity-based outlier factor(COF) scheme that improves the effectiveness of an existing local outlier factor (LOF)scheme when a pattern itself has similar neighbourhood density as an outlier. We givetheoretical and empirical analysis to demonstrate the improvement in effectiveness and thecapability of the COF scheme in comparison with the LOF scheme.,Pacific-Asia Conference on Knowledge Discovery and Data Mining,2002,285
