Keys for XML,Peter Buneman; Susan Davidson; Wenfei Fan; Carmem Hara; Wang-Chiew Tan,Keys are an essential part of database design [2;19]: they are fundamental to data models andconceptual design; they provide the means by which one tuple in a relational database mayrefer to another tuple; and they are important in update; for they enable us to guarantee that anupdate will affect precisely one tuple. More philosophically; if we think of a tuple as representingsome real-world entity; the key provides an invariant connection between the tuple andentity … If XML documents are to do double duty as databases; then we shall need keys forthem. In fact; a cursory examination 3 of existing document type definitions (DTDs) reveals anumber of cases in which some element or attribute is specified––in comments––as a “uniqueidentifier”. Moreover a number of scientific databases; which are typically stored in somespecial-purpose hierarchical data format ripe for conversion to XML; have a …,Computer networks,2002,467
On XML integrity constraints in the presence of DTDs,Wenfei Fan; Leonid Libkin,Abstract The article investigates XML document specifications with DTDs and integrityconstraints; such as keys and foreign keys. We study the consistency problem of checkingwhether a given specification is meaningful: that is; whether there exists an XML documentthat both conforms to the DTD and satisfies the constraints. We show that DTDs interact withconstraints in a highly intricate way and as a result; the consistency problem in general isundecidable. When it comes to unary keys and foreign keys; the consistency problem isshown to be NP-complete. This is done by coding DTDs and integrity constraints with linearconstraints on the integers. We consider the variations of the problem (by both restrictingand enlarging the class of constraints); and identify a number of tractable cases; as well as anumber of additional NP-complete ones. By incorporating negations of constraints; we …,Journal of the ACM (JACM),2002,348
Secure XML querying with security views,Wenfei Fan; Chee-Yong Chan; Minos Garofalakis,Abstract The prevalent use of XML highlights the need for a generic; flexible access-controlmechanism for XML documents that supports efficient and secure query access; withoutrevealing sensitive information unauthorized users. This paper introduces a novel paradigmfor specifying XML security constraints and investigates the enforcement of such constraintsduring XML query evaluation. Our approach is based on the novel concept of security views;which provide for each user group (a) an XML view consisting of all and only the informationthat the users are authorized to access; and (b) a view DTD that the XML view conforms to.Security views effectively protect sensitive data from access and potential inferences byunauthorized user; and provide authorized users with necessary schema information tofacilitate effective query formulation and optimization. We propose an efficient algorithm …,Proceedings of the 2004 ACM SIGMOD international conference on Management of data,2004,344
A cost-based model and effective heuristic for repairing constraints by value modification,Philip Bohannon; Wenfei Fan; Michael Flaster; Rajeev Rastogi,Abstract Data integrated from multiple sources may contain inconsistencies that violateintegrity constraints. The constraint repair problem attempts to find" low cost" changes that;when applied; will cause the constraints to be satisfied. While in most previous work repaircost is stated in terms of tuple insertions and deletions; we follow recent work to define adatabase repair as a set of value modifications. In this context; we introduce a novel costframework that allows for the application of techniques from record-linkage to the search forgood repairs. We prove that finding minimal-cost repairs in this model is NP-complete in thesize of the database; and introduce an approach to heuristic repair-construction based onequivalence classes of attribute values. Following this approach; we define two greedyalgorithms. While these simple algorithms take time cubic in the size of the database; we …,Proceedings of the 2005 ACM SIGMOD international conference on Management of data,2005,317
Conditional functional dependencies for data cleaning,Philip Bohannon; Wenfei Fan; Floris Geerts; Xibei Jia; Anastasios Kementsietsidis,We propose a class of constraints; referred to as conditional functional dependencies(CFDs); and study their applications in data cleaning. In contrast to traditional functionaldependencies (FDs) that were developed mainly for schema design; CFDs aim at capturingthe consistency of data by incorporating bindings of semantic ally related values. For CFDswe provide an inference system analogous to Armstrong's axioms for FDs; as well asconsistency analysis. Since CFDs allow data bindings; a large number of individualconstraints may hold on a table; complicating detection of constraint violations. We developtechniques for detecting CFD violations in SQL as well as novel techniques for checkingmultiple constraints in a single query. We experimentally evaluate the performance of ourCFD-based methods for inconsistency detection. This not only yields a constraint theory …,Data Engineering; 2007. ICDE 2007. IEEE 23rd International Conference on,2007,311
Improving data quality: Consistency and accuracy,Gao Cong; Wenfei Fan; Floris Geerts; Xibei Jia; Shuai Ma,Abstract Two central criteria for data quality are consistency and accuracy. Inconsistenciesand errors in a database often emerge as violations of integrity constraints. Given a dirtydatabase D; one needs automated methods to make it consistent; ie; find a repair D'thatsatisfies the constraints and" minimally" differs from D. Equally important is to ensure that theautomatically-generated repair D'is accurate; or makes sense; ie; D'differs from the" correct"data within a predefined bound. This paper studies effective methods for improving bothdata consistency and accuracy. We employ a class of conditional functional dependencies(CFDs) proposed in [6] to specify the consistency of the data; which are able to captureinconsistencies and errors beyond what their traditional counterparts can catch. To improvethe consistency of the data; we propose two algorithms: one for automatically computing a …,Proceedings of the 33rd international conference on Very large data bases,2007,305
XPath satisfiability in the presence of DTDs,Michael Benedikt; Wenfei Fan; Floris Geerts,Abstract We study the satisfiability problem associated with XPath in the presence of DTDs.This is the problem of determining; given a query p in an XPath fragment and a DTD D;whether or not there exists an XML document T such that T conforms to D and the answer ofp on T is nonempty. We consider a variety of XPath fragments widely used in practice; andinvestigate the impact of different XPath operators on the satisfiability analysis. We first studythe problem for negation-free XPath fragments with and without upward axes; recursion anddata-value joins; identifying which factors lead to tractability and which to NP-completeness.We then turn to fragments with negation but without data values; establishing lower andupper bounds in the absence and in the presence of upward modalities and recursion. Weshow that with negation the complexity ranges from PSPACE to EXPTIME. Moreover …,Journal of the ACM (JACM),2008,288
Reasoning about keys for XML,Peter Buneman; Susan Davidson; Wenfei Fan; Carmem Hara; Wang-Chiew Tan,Abstract We study absolute and relative keys for XML; and investigate their associateddecision problems. We argue that these keys are important to many forms of hierarchicallystructured data including XML documents. In contrast to other proposals of keys for XML; weshow that these keys are always (finitely) satisfiable; and their (finite) implication problem isfinitely axiomatizable. Furthermore; we provide a polynomial time algorithm for determining(finite) implication in the size of keys. Our results also demonstrate; among other things; thatthe analysis of XML keys is far more intricate than its relational counterpart.,Information Systems,2003,286
Integrity constraints for XML,Wenfei Fan; Jérôme Siméon,Abstract Integrity constraints have proved fundamentally important in databasemanagement. The ID/IDREF mechanism provided by XML DTDs relies on a simple form ofconstraints to describe references. Yet; this mechanism is sufficient neither for specifyingreferences in XML documents; nor for expressing semantic constraints commonly found indatabases. In this paper; we extend XML DTDs with several classes of integrity constraintsand investigate the complexity of reasoning about these constraints. The constraints rangeover keys; foreign keys; inverse constraints as well as ID constraints for capturing thesemantics of object identities. They improve semantic specifications and provide a betterreference mechanism for native XML applications. They are also useful in informationexchange and data integration for preserving the semantics of data originating in …,Journal of Computer and System Sciences,2003,285
Conditional functional dependencies for capturing data inconsistencies,Wenfei Fan; Floris Geerts; Xibei Jia; Anastasios Kementsietsidis,Abstract We propose a class of integrity constraints for relational databases; referred to asconditional functional dependencies (CFDs); and study their applications in data cleaning. Incontrast to traditional functional dependencies (FDs) that were developed mainly for schemadesign; CFDs aim at capturing the consistency of data by enforcing bindings of semanticallyrelated values. For static analysis of CFDs we investigate the consistency problem; which isto determine whether or not there exists a nonempty database satisfying a given set ofCFDs; and the implication problem; which is to decide whether or not a set of CFDs entailsanother CFD. We show that while any set of transitional FDs is trivially consistent; theconsistency problem is NP-complete for CFDs; but it is in PTIME when either the databaseschema is predefined or no attributes involved in the CFDs have a finite domain. For the …,ACM Transactions on Database Systems (TODS),2008,284
