A class of parallel tiled linear algebra algorithms for multicore architectures,Alfredo Buttari; Julien Langou; Jakub Kurzak; Jack Dongarra,Abstract As multicore systems continue to gain ground in the high performance computingworld; linear algebra algorithms have to be reformulated or new algorithms have to bedeveloped in order to take advantage of the architectural features on these new processors.Fine grain parallelism becomes a major requirement and introduces the necessity of loosesynchronization in the parallel execution of an operation. This paper presents algorithms forthe Cholesky; LU and QR factorization where the operations can be represented as asequence of small tasks that operate on square blocks of data. These tasks can bedynamically scheduled for execution based on the dependencies among them and on theavailability of computational resources. This may result in out of order execution of taskswhich will completely hide the presence of intrinsically sequential tasks in the …,Parallel Computing,2009,502
Numerical linear algebra on emerging architectures: The PLASMA and MAGMA projects,Emmanuel Agullo; Jim Demmel; Jack Dongarra; Bilel Hadri; Jakub Kurzak; Julien Langou; Hatem Ltaief; Piotr Luszczek; Stanimire Tomov,Abstract The emergence and continuing use of multi-core architectures and graphicsprocessing units require changes in the existing software and sometimes even a redesign ofthe established algorithms in order to take advantage of now prevailing parallelism. ParallelLinear Algebra for Scalable Multi-core Architectures (PLASMA) and Matrix Algebra on GPUand Multics Architectures (MAGMA) are two projects that aims to achieve high performanceand portability across a wide range of multi-core architectures and hybrid systemsrespectively. We present in this document a comparative study of PLASMA's performanceagainst established linear algebra packages and some preliminary results of MAGMA onhybrid multi-core and GPU systems.,Journal of Physics: Conference Series,2009,392
Communication-optimal parallel and sequential QR and LU factorizations,James Demmel; Laura Grigori; Mark Hoemmen; Julien Langou,We present parallel and sequential dense QR factorization algorithms that are both optimal(up to polylogarithmic factors) in the amount of communication they perform and just asstable as Householder QR. We prove optimality by deriving new lower bounds for thenumber of multiplications done by “non-Strassen-like” QR; and using these in knowncommunication lower bounds that are proportional to the number of multiplications. We notonly show that our QR algorithms attain these lower bounds (up to polylogarithmic factors);but that existing LAPACK and ScaLAPACK algorithms perform asymptotically morecommunication. We derive analogous communication lower bounds for LU factorization andpoint out recent LU algorithms in the literature that attain at least some of these lowerbounds. The sequential and parallel QR algorithms for tall and skinny matrices lead to …,SIAM Journal on Scientific Computing,2012,263
Parallel tiled QR factorization for multicore architectures,Alfredo Buttari; Julien Langou; Jakub Kurzak; Jack Dongarra,Abstract As multicore systems continue to gain ground in the high-performance computingworld; linear algebra algorithms have to be reformulated or new algorithms have to bedeveloped in order to take advantage of the architectural features on these new processors.Fine-grain parallelism becomes a major requirement and introduces the necessity of loosesynchronization in the parallel execution of an operation. This paper presents an algorithmfor the QR factorization where the operations can be represented as a sequence of smalltasks that operate on square blocks of data (referred to as 'tiles'). These tasks can bedynamically scheduled for execution based on the dependencies among them and on theavailability of computational resources. This may result in an out-of-order execution of thetasks that will completely hide the presence of intrinsically sequential tasks in the …,Concurrency and Computation: Practice and Experience,2008,208
Algorithm-based fault tolerance applied to high performance computing,George Bosilca; Rémi Delmas; Jack Dongarra; Julien Langou,Abstract We present a new approach to fault tolerance for High Performance Computingsystem. Our approach is based on a careful adaptation of the Algorithm-Based FaultTolerance technique [K. Huang; J. Abraham; Algorithm-based fault tolerance for matrixoperations; IEEE Transactions on Computers (Spec. Issue Reliable & Fault-Tolerant Comp.)33 (1984) 518–528] to the need of parallel distributed computation. We obtain a stronglyscalable mechanism for fault tolerance. We can also detect and correct errors (bit-flip) on thefly of a computation. To assess the viability of our approach; we have developed a fault-tolerant matrix–matrix multiplication subroutine and we propose some models to predict itsrunning time. Our parallel fault-tolerant matrix–matrix multiplication scores 1.4 TFLOPS on484 processors (cluster jacquard. nersc. gov) and returns a correct result while one …,Journal of Parallel and Distributed Computing,2009,161
Tiled QR factorization algorithms,Henricus Bouwmeester; Mathias Jacquelin; Julien Langou; Yves Robert,Abstract This work revisits existing algorithms for the QR factorization of rectangular matricescomposed of p× q tiles; where p≥ q. Within this framework; we study the critical paths andperformance of algorithms such as Sameh-Kuck; Fibonacci; Greedy; and those found withinPLASMA. Although neither Fibonacci nor Greedy is optimal; both are shown to beasymptotically optimal for all matrices of size p= q 2 f (q); where f is any function such thatlim+∞ f= 0. This novel and important complexity result applies to all matrices where p and qare proportional; p= λq; with λ≥ 1; thereby encompassing many important situations inpractice (least squares). We provide an extensive set of experiments that show thesuperiority of the new algorithms for tall matrices.,Proceedings of 2011 International Conference for High Performance Computing; Networking; Storage and Analysis,2011,149
The impact of multicore on math software,Alfredo Buttari; Jack Dongarra; Jakub Kurzak; Julien Langou; Piotr Luszczek; Stanimire Tomov,Abstract Power consumption and heat dissipation issues are pushing the microprocessorsindustry towards multicore design patterns. Given the cubic dependence between corefrequency and power consumption; multicore technologies leverage the idea that doublingthe number of cores and halving the cores frequency gives roughly the same performancereducing the power consumption by a factor of four. With the number of cores on multicorechips expected to reach tens in a few years; efficient implementations of numerical librariesusing shared memory programming models is of high interest. The current message passingparadigm used in ScaLAPACK and elsewhere introduces unnecessary memory overheadand memory copy operations; which degrade performance; along with the making it harderto schedule operations that could be done in parallel. Limiting the use of shared memory …,International Workshop on Applied Parallel Computing,2006,143
Exploiting the performance of 32 bit floating point arithmetic in obtaining 64 bit accuracy (revisiting iterative refinement for linear systems),Julie Langou; Piotr Luszczek; Jakub Kurzak; Alfredo Buttari; Jack Dongarra,Recent versions of microprocessors exhibit performance characteristics for 32 bit floatingpoint arithmetic (single precision) that is substantially higher than 64 bit floating pointarithmetic (double precision). Examples include the Intel's Pentium IV and M processors;AMD's Opteron architectures and the IBM's Cell Broad Engine processor. When working insingle precision; floating point operations can be performed up to two times faster on thePentium and up to ten times faster on the Cell over double precision. The performanceenhancements in these architectures are derived by accessing extensions to the basicarchitecture; such as SSE2 in the case of the Pentium and the vector functions on the IBMCell. The motivation for this paper is to exploit single precision operations wheneverpossible and resort to double precision at critical stages while attempting to provide the …,SC 2006 Conference; Proceedings of the ACM/IEEE,2006,142
Accelerating scientific computations with mixed precision algorithms,Marc Baboulin; Alfredo Buttari; Jack Dongarra; Jakub Kurzak; Julie Langou; Julien Langou; Piotr Luszczek; Stanimire Tomov,Abstract On modern architectures; the performance of 32-bit operations is often at least twiceas fast as the performance of 64-bit operations. By using a combination of 32-bit and 64-bitfloating point arithmetic; the performance of many dense and sparse linear algebraalgorithms can be significantly enhanced while maintaining the 64-bit accuracy of theresulting solution. The approach presented here can apply not only to conventionalprocessors but also to other technologies such as Field Programmable Gate Arrays (FPGA);Graphical Processing Units (GPU); and the STI Cell BE processor. Results on modernprocessor architectures and the STI Cell BE are presented. Program summary Program title:ITER-REF Catalogue identifier: AECO_v1_0 Program summary URL: http://cpc. cs. qub. ac.uk/summaries/AECO_v1_0. html Program obtainable from: CPC Program Library …,Computer Physics Communications,2009,120
Flexible development of dense linear algebra algorithms on massively parallel architectures with DPLASMA,George Bosilca; Aurelien Bouteiller; Anthony Danalis; Mathieu Faverge; Azzam Haidar; Thomas Herault; Jakub Kurzak; Julien Langou; Pierre Lemarinier; Hatem Ltaief; Piotr Luszczek; Asim YarKhan; Jack Dongarra,We present a method for developing dense linear algebra algorithms that seamlessly scalesto thousands of cores. It can be done with our project called DPLASMA (DistributedPLASMA) that uses a novel generic distributed Direct Acyclic Graph Engine (DAGuE). Theengine has been designed for high performance computing and thus it enables scaling oftile algorithms; originating in PLASMA; on large distributed memory systems. The underlyingDAGuE framework has many appealing features when considering distributed-memoryplatforms with heterogeneous multicore nodes: DAG representation that is independent ofthe problem-size; automatic extraction of the communication from the dependencies;overlapping of communication and computation; task prioritization; and architecture-awarescheduling and management of tasks. The originality of this engine lies in its capacity to …,Parallel and Distributed Processing Workshops and Phd Forum (IPDPSW); 2011 IEEE International Symposium on,2011,114
