Similarity search for web services,Xin Dong; Alon Halevy; Jayant Madhavan; Ema Nemes; Jun Zhang,Abstract Web services are loosely coupled software components; published; located; andinvoked across the web. The growing number of web services available within anorganization and on the Web raises a new and challenging search problem: locatingdesired web services. Traditional keyword search is insufficient in this context: the specifictypes of queries users require are not captured; the very small text fragments in web servicesare unsuitable for keyword search; and the underlying structure and semantics of the webservices are not exploited. We describe the algorithms underlying the Woogle search enginefor web services. Woogle supports similarity search for web services; such as finding similarweb-service operations and finding operations that compose with a given one. We describenovel techniques to support these types of searches; and an experimental study on a …,Proceedings of the Thirtieth international conference on Very large data bases-Volume 30,2004,896
Reference reconciliation in complex information spaces,Xin Dong; Alon Halevy; Jayant Madhavan,Abstract Reference reconciliation is the problem of identifying when different references (ie;sets of attribute values) in a dataset correspond to the same real-world entity. Most previousliterature assumed references to a single class that had a fair number of attributes (eg;research publications). We consider complex information spaces: our references belong tomultiple related classes and each reference may have very few attribute values. A primeexample of such a space is Personal Information Management; where the goal is to providea coherent view of all the information on one's desktop. Our reconciliation algorithm hasthree principal features. First; we exploit the associations between references to design newmethods for reference comparison. Second; we propagate information betweenreconciliation decisions to accumulate positive and negative evidences. Third; we …,Proceedings of the 2005 ACM SIGMOD international conference on Management of data,2005,636
Knowledge vault: A web-scale approach to probabilistic knowledge fusion,Xin Dong; Evgeniy Gabrilovich; Geremy Heitz; Wilko Horn; Ni Lao; Kevin Murphy; Thomas Strohmann; Shaohua Sun; Wei Zhang,Abstract Recent years have witnessed a proliferation of large-scale knowledge bases;including Wikipedia; Freebase; YAGO; Microsoft's Satori; and Google's Knowledge Graph.To increase the scale even further; we need to explore automatic methods for constructingknowledge bases. Previous approaches have primarily focused on text-based extraction;which can be very noisy. Here we introduce Knowledge Vault; a Web-scale probabilisticknowledge base that combines extractions from Web content (obtained via analysis of text;tabular data; page structure; and human annotations) with prior knowledge derived fromexisting knowledge repositories. We employ supervised machine learning methods forfusing these distinct information sources. The Knowledge Vault is substantially bigger thanany previously published structured knowledge repository; and features a probabilistic …,Proceedings of the 20th ACM SIGKDD international conference on Knowledge discovery and data mining,2014,561
Web-scale data integration: You can only afford to pay as you go,Jayant Madhavan; Shawn R Jeffery; Shirley Cohen; Xin Dong; David Ko; Cong Yu; Alon Halevy,ABSTRACT The World Wide Web is witnessing an increase in the amount of structuredcontent–vast heterogeneous collections of structured data are on the rise due to the DeepWeb; annotation schemes like Flickr; and sites like Google Base. While this phenomenon iscreating an opportunity for structured data management; dealing with heterogeneity on theweb-scale presents many new challenges. In this paper; we highlight these challenges intwo scenarios–the Deep Web and Google Base. We contend that traditional data integrationtechniques are no longer valid in the face of such heterogeneity and scale. We propose anew data integration architecture; PAYGO; which is inspired by the concept of dataspacesand emphasizes pay-as-you-go data management as means for achieving web-scale dataintegration.,*,2007,429
Integrating conflicting data: the role of source dependence,Xin Luna Dong; Laure Berti-Equille; Divesh Srivastava,Abstract Many data management applications; such as setting up Web portals; managingenterprise data; managing community data; and sharing scientific data; require integratingdata from multiple sources. Each of these sources provides a set of values and differentsources can often provide conflicting values. To present quality data to users; it is critical thatdata integration systems can resolve conflicts and discover true values. Typically; we expecta true value to be provided by more sources than any particular false one; so we can takethe value provided by the majority of the sources as the truth. Unfortunately; a false valuecan be spread through copying and that makes truth discovery extremely tricky. In this paper;we consider how to find true values from conflicting information when there are a largenumber of sources; among which some may copy from others. We present a novel …,Proceedings of the VLDB Endowment,2009,297
Bootstrapping pay-as-you-go data integration systems,Anish Das Sarma; Xin Dong; Alon Halevy,Abstract Data integration systems offer a uniform interface to a set of data sources. Despiterecent progress; setting up and maintaining a data integration application still requiressignificant upfront effort of creating a mediated schema and semantic mappings from thedata sources to the mediated schema. Many application contexts involving multiple datasources (eg; the web; personal information management; enterprise intranets) do not requirefull integration in order to provide useful services; motivating a pay-as-you-go approach tointegration. With that approach; a system starts with very few (or inaccurate) semanticmappings and these mappings are improved over time as deemed necessary. This paperdescribes the first completely self-configuring data integration system. The goal of our workis to investigate how advanced of a starting point we can provide a pay-as-you-go system …,Proceedings of the 2008 ACM SIGMOD international conference on Management of data,2008,280
The Piazza peer data management project,Igor Tatarinov; Zachary Ives; Jayant Madhavan; Alon Halevy; Dan Suciu; Nilesh Dalvi; Xin Luna Dong; Yana Kadiyska; Gerome Miklau; Peter Mork,Abstract A major problem in today's information-driven world is that sharing heterogeneous;semantically rich data is incredibly difficult. Piazza is a peer data management system thatenables sharing heterogeneous data in a distributed and scalable way. Piazza assumes theparticipants to be interested in sharing data; and willing to define pairwise mappingsbetween their schemas. Then; users formulate queries over their preferred schema; and aquery answering system expands recursively any mappings relevant to the query; retrievingdata from other peers. In this paper; we provide a brief overview of the Piazza projectincluding our work on developing mapping languages and query reformulation algorithms;assisting the users in defining mappings; indexing; and enforcing access control overshared data.,ACM Sigmod Record,2003,263
Data integration with uncertainty,Xin Dong; Alon Y Halevy; Cong Yu,Abstract This paper reports our first set of results on managing uncertainty in dataintegration. We posit that data-integration systems need to handle uncertainty at three levels;and do so in a principled fashion. First; the semantic mappings between the data sourcesand the mediated schema may be approximate because there may be too many of them tobe created and maintained or because in some domains (eg; bioinformatics) it is not clearwhat the mappings should be. Second; queries to the system may be posed with keywordsrather than in a structured form. Third; the data from the sources may be extracted usinginformation extraction techniques and so may yield imprecise data. As a first step to buildingsuch a system; we introduce the concept of probabilistic schema mappings and analyzetheir formal foundations. We show that there are two possible semantics for such …,Proceedings of the 33rd international conference on Very large data bases,2007,251
Big data integration,Xin Luna Dong; Divesh Srivastava,The Big Data era is upon us: data is being generated; collected and analyzed at anunprecedented scale; and data-driven decision making is sweeping through all aspects ofsociety. Since the value of data explodes when it can be linked and fused with other data;addressing the big data integration (BDI) challenge is critical to realizing the promise of BigData. BDI differs from traditional data integration in many dimensions:(i) the number of datasources; even for a single domain; has grown to be in the tens of thousands;(ii) many of thedata sources are very dynamic; as a huge amount of newly collected data are continuouslymade available;(iii) the data sources are extremely heterogeneous in their structure; withconsiderable variety even for substantially similar entities; and (iv) the data sources are ofwidely differing qualities; with significant differences in the coverage; accuracy and …,Data Engineering (ICDE); 2013 IEEE 29th International Conference on,2013,237
A platform for personal information management and integration,Xin Luna Dong; Alon Halevy,Abstract The explosion of the amount of information available in digital form has madesearch a hot research topic for the Information Management Community. While most of theresearch on search is focused on the WWW; individual computer users have developed theirown vast collections of data on their desktops; and these collections are in critical need forgood search tools. We study the Personal Information Management (PIM) problem from thedata management point of view. We argue that the key for building a successful PIM systemis to provide a logical view of one's personal information; consisting of semanticallymeaningful objects and associations. The thesis of this research is to build a prototype of aPIM system based upon this logical view; and demonstrate how we can leverage such aview to address the many PIM challenges.,CIDR,2005,226
Truth discovery and copying detection in a dynamic world,Xin Luna Dong; Laure Berti-Equille; Divesh Srivastava,Abstract Modern information management applications often require integrating data from avariety of data sources; some of which may copy or buy data from other sources. When thesedata sources model a dynamically changing world (eg; people's contact informationchanges over time; restaurants open and go out of business); sources often provide out-of-date data. Errors can also creep into data when sources are updated often. Given out-of-date and erroneous data provided by different; possibly dependent; sources; it ischallenging for data integration systems to provide the true values. Straightforward ways toresolve such inconsistencies (eg; voting) may lead to noisy results; often with detrimentalconsequences. In this paper; we study the problem of finding true values and determiningthe copying relationship between sources; when the update history of the sources is …,Proceedings of the VLDB Endowment,2009,186
Indexing dataspaces,Xin Dong; Alon Halevy,Abstract Dataspaces are collections of heterogeneous and partially unstructured data.Unlike data-integration systems that also offer uniform access to heterogeneous datasources; dataspaces do not assume that all the semantic relationships between sources areknown and specified. Much of the user interaction with dataspaces involves exploring thedata; and users do not have a single schema to which they can pose queries. Consequently;it is important that queries are allowed to specify varying degrees of structure; spanningkeyword queries to more structure-aware queries. This paper considers indexing support forqueries that combine keywords and structure. We describe several extensions to invertedlists to capture structure when it is present. In particular; our extensions incorporate attributelabels; relationships between data items; hierarchies of schema elements; and synonyms …,Proceedings of the 2007 ACM SIGMOD international conference on Management of data,2007,178
Truth finding on the deep web: Is the problem solved?,Xian Li; Xin Luna Dong; Kenneth Lyons; Weiyi Meng; Divesh Srivastava,Abstract The amount of useful information available on the Web has been growing at adramatic pace in recent years and people rely more and more on the Web to fulfill theirinformation needs. In this paper; we study truthfulness of Deep Web data in two domainswhere we believed data are fairly clean and data quality is important to people's lives: Stockand Flight. To our surprise; we observed a large amount of inconsistency on data fromdifferent sources and also some sources with quite low accuracy. We further applied onthese two data sets state-of-the-art data fusion methods that aim at resolving conflicts andfinding the truth; analyzed their strengths and limitations; and suggested promising researchdirections. We wish our study can increase awareness of the seriousness of conflicting dataon the Web and in turn inspire more research in our community to tackle this problem.,Proceedings of the VLDB Endowment,2012,174
Data fusion: resolving data conflicts for integration,Xin Luna Dong; Felix Naumann,Abstract The amount of information produced in the world increases by 30% every year andthis rate will only go up. With advanced network technology; more and more sources areavailable either over the Internet or in enterprise intranets. Modern data managementapplications; such as setting up Web portals; managing enterprise data; managingcommunity data; and sharing scientific data; often require integrating available data sourcesand providing a uniform interface for users to access data from different sources; suchrequirements have been driving fruitful research on data integration over the last twodecades [11; 13].,Proceedings of the VLDB Endowment,2009,167
Data integration with uncertainty,Xin Luna Dong; Alon Halevy; Cong Yu,Abstract This paper reports our first set of results on managing uncertainty in dataintegration. We posit that data-integration systems need to handle uncertainty at three levelsand do so in a principled fashion. First; the semantic mappings between the data sourcesand the mediated schema may be approximate because there may be too many of them tobe created and maintained or because in some domains (eg; bioinformatics) it is not clearwhat the mappings should be. Second; the data from the sources may be extracted usinginformation extraction techniques and so may yield erroneous data. Third; queries to thesystem may be posed with keywords rather than in a structured form. As a first step tobuilding such a system; we introduce the concept of probabilistic schema mappings andanalyze their formal foundations. We show that there are two possible semantics for such …,The VLDB Journal,2009,140
Personal information management with SEMEX,Yuhan Cai; Xin Luna Dong; Alon Halevy; Jing Michelle Liu; Jayant Madhavan,Abstract The explosion of information available in digital form has made search a hotresearch topic for the Information Management Community. While most of the research onsearch is focused on the WWW; individual computer users have developed their own vastcollections of data on their desktops; and these collections are in critical need for goodsearch and query tools. The problem is exacerbated by the proliferation of varied electronicdevices (laptops; PDAs; cellphones) that are at our disposal; which often hold subsets orvariations of our data. In fact; several recent venues have noted Personal InformationManagement (PIM) as an area of growing interest to the data management community [1; 8;6],Proceedings of the 2005 ACM SIGMOD international conference on Management of data,2005,129
Global detection of complex copying relationships between sources,Xin Luna Dong; Laure Berti-Equille; Yifan Hu; Divesh Srivastava,Abstract Web technologies have enabled data sharing between sources but also simplifiedcopying (and often publishing without proper attribution). The copying relationships can becomplex: some sources copy from multiple sources on different subsets of data; some co-copy from the same source; and some transitively copy from another. Understanding suchcopying relationships is desirable both for business purposes and for improving many keycomponents in data integration; such as resolving conflicts across various sources;reconciling distinct references to the same real-world entity; and efficiently answeringqueries over multiple sources. Recent works have studied how to detect copying between apair of sources; but the techniques can fall short in the presence of complex copyingrelationships. In this paper we describe techniques that discover global copying …,Proceedings of the VLDB Endowment,2010,109
Less is more: Selecting sources wisely for integration,Xin Luna Dong; Barna Saha; Divesh Srivastava,Abstract We are often thrilled by the abundance of information surrounding us and wish tointegrate data from as many sources as possible. However; understanding; analyzing; andusing these data are often hard. Too much data can introduce a huge integration cost; suchas expenses for purchasing data and resources for integration and cleaning. Furthermore;including low-quality data can even deteriorate the quality of integration results instead ofbringing the desired quality gain. Thus;" the more the better" does not always hold for dataintegration and often" less is more". In this paper; we study how to select a subset of sourcesbefore integration such that we can balance the quality of integrated data and integrationcost. Inspired by the Marginalism principle in economic theory; we wish to integrate a newsource only if its marginal gain; often a function of improved integration quality; is higher …,Proceedings of the VLDB Endowment,2012,108
Linking temporal records,Pei Li; X Dong; Andrea Maurino; Divesh Srivastava,ABSTRACT Many data sets contain temporal records over a long period of time; each recordis associated with a time stamp and describes some aspects of a realworld entity at thatparticular time (eg; author information in DBLP). In such cases; we often wish to identifyrecords that describe the same entity over time and so be able to enable interestinglongitudinal data analysis. However; existing record linkage techniques ignore the temporalinformation and can fall short for temporal data. This paper studies linking temporal records.First; we apply time decay to capture the effect of elapsed time on entity value evolution.Second; instead of comparing each pair of records locally; we propose clustering methodsthat consider time order of the records and make global decisions. Experimental resultsshow that our algorithms significantly outperform traditional linkage methods on various …,Proceedings of the VLDB Endowment,2011,95
Knowledge-based trust: Estimating the trustworthiness of web sources,Xin Luna Dong; Evgeniy Gabrilovich; Kevin Murphy; Van Dang; Wilko Horn; Camillo Lugaresi; Shaohua Sun; Wei Zhang,Abstract The quality of web sources has been traditionally evaluated using exogenoussignals such as the hyperlink structure of the graph. We propose a new approach that relieson endogenous signals; namely; the correctness of factual information provided by thesource. A source that has few false facts is considered to be trustworthy. The facts areautomatically extracted from each source by information extraction methods commonly usedto construct knowledge bases. We propose a way to distinguish errors made in theextraction process from factual errors in the web source per se; by using joint inference in anovel multi-layer probabilistic model.,Proceedings of the VLDB Endowment,2015,92
From data fusion to knowledge fusion,Xin Luna Dong; Evgeniy Gabrilovich; Geremy Heitz; Wilko Horn; Kevin Murphy; Shaohua Sun; Wei Zhang,Abstract The task of data fusion is to identify the true values of data items (eg; the true date ofbirth for Tom Cruise) among multiple observed values drawn from different sources (eg; Websites) of varying (and unknown) reliability. A recent survey [20] has provided a detailedcomparison of various fusion methods on Deep Web data. In this paper; we study theapplicability and limitations of different fusion techniques on a more challenging problem:knowledge fusion. Knowledge fusion identifies true subject-predicate-object triples extractedby multiple information extractors from multiple information sources. These extractorsperform the tasks of entity linkage and schema alignment; thus introducing an additionalsource of noise that is quite different from that traditionally considered in the data fusionliterature; which only focuses on factual errors in the original sources. We adapt state-of …,Proceedings of the VLDB Endowment,2014,90
Fusing data with correlations,Ravali Pochampally; Anish Das Sarma; Xin Luna Dong; Alexandra Meliou; Divesh Srivastava,Abstract Many applications rely on Web data and extraction systems to accomplishknowledge-driven tasks. Web information is not curated; so many sources provideinaccurate; or conflicting information. Moreover; extraction systems introduce additionalnoise to the data. We wish to automatically distinguish correct data and erroneous data forcreating a cleaner set of integrated data. Previous work has shown that a naive votingstrategy that trusts data provided by the majority or at least a certain number of sources maynot work well in the presence of copying between the sources. However; correlationbetween sources can be much broader than copying: sources may provide data fromcomplementary domains (negative correlation); extractors may focus on different types ofinformation (negative correlation); and extractors may apply common rules in extraction …,Proceedings of the 2014 ACM SIGMOD international conference on Management of data,2014,74
Sailing the information ocean with awareness of currents: Discovery and application of source dependence,Laure Berti-Equille; Anish Das Sarma; Amelie Marian; Divesh Srivastava,Abstract: The Web has enabled the availability of a huge amount of useful information; buthas also eased the ability to spread false information and rumors across multiple sources;making it hard to distinguish between what is true and what is not. Recent examples includethe premature Steve Jobs obituary; the second bankruptcy of United airlines; the creation ofBlack Holes by the operation of the Large Hadron Collider; etc. Since it is important to permitthe expression of dissenting and conflicting opinions; it would be a fallacy to try to ensurethat the Web provides only consistent information. However; to help in separating the wheatfrom the chaff; it is essential to be able to determine dependence between sources. Giventhe huge number of data sources and the vast volume of conflicting data available on theWeb; doing so in a scalable manner is extremely challenging and has not been …,Arxiv preprint arXiv:0909.1776,2009,64
Incremental record linkage,Anja Gruenheid; Xin Luna Dong; Divesh Srivastava,Abstract Record linkage clusters records such that each cluster corresponds to a singledistinct real-world entity. It is a crucial step in data cleaning and data integration. In the bigdata era; the velocity of data updates is often high; quickly making previous linkage resultsobsolete. This paper presents an end-to-end framework that can incrementally andefficiently update linkage results when data updates arrive. Our algorithms not only allowmerging records in the updates with existing clusters; but also allow leveraging newevidence from the updates to fix previous linkage errors. Experimental results on three realand synthetic data sets show that our algorithms can significantly reduce linkage timewithout sacrificing linkage quality.,Proceedings of the VLDB Endowment,2014,61
Method and apparatus for updating XML views of relational data,*,A method and apparatus are provided for updating XML views of relational data. Thepresent invention translates an update to an XML view of a relational database into updateoperations to be performed on the underlying relational database itself. The disclosed XMLview update manager can perform updates in the context of an underlying relationaldatabase that serves the XML-based application; as well as traditional relational databasemanagement system (RDBMS) applications. Given a pre-existing underlying relationaldatabase schema and an XML view defined on it; the present invention provides aframework for generating update plans to perform an update without introducing side-effectsto other parts of the view.,*,2005,60
Answering Structured Queries on Unstructured Data.,Jing Liu; Xin Dong; Alon Y Halevy,Abstract There is growing number of applications that require access to both structured andunstructured data. Such collections of data have been referred to as dataspaces; andDataspace Support Platforms (DSSPs) were proposed to offer several services overdataspaces; including search and query; source discovery and categorization; indexing andsome forms of recovery. One of the key services of a DSSP is to provide seamless queryingon the structured and unstructured data. Querying each kind of data in isolation has beenthe main subject of study for the fields of databases and information retrieval. Recently thedatabase community has studied the problem of answering keyword queries on structureddata such as relational data or XML data. The only combination that has not been fullyexplored is answering structured queries on unstructured data. This paper explores an …,WebDB,2006,55
Visualization of heterogeneous data,Mike Cammarano; Xin Dong; Bryan Chan; Jeff Klingner; Justin Talbot; Alon Halevey; Pat Hanrahan,Both the resource description framework (RDF); used in the semantic web; and Maya Viz u-forms represent data as a graph of objects connected by labeled edges. Existing systems forflexible visualization of this kind of data require manual specification of the possiblevisualization roles for each data attribute. When the schema is large and unfamiliar; thisrequirement inhibits exploratory visualization by requiring a costly up-front data integrationstep. To eliminate this step; we propose an automatic technique for mapping data attributesto visualization attributes. We formulate this as a schema matching problem; findingappropriate paths in the data model for each required visualization attribute in avisualization template.,IEEE Transactions on Visualization and Computer Graphics,2007,54
Structured data meets the Web: a few observations.,Jayant Madhavan; Alon Y Halevy; Shirley Cohen; Xin Luna Dong; Shawn R Jeffery; David Ko; Cong Yu,Abstract The World Wide Web is witnessing an increase in the amount of structured content–vast heterogeneous collections of structured data are on the rise due to the Deep Web;annotation schemes like Flickr; and sites like Google Base. While this phenomenon iscreating an opportunity for structured data management; dealing with heterogeneity on theweb-scale presents many new challenges. In this paper we articulate challenges based onour experience with addressing them at Google; and offer some principles for addressingthem in a general fashion.,IEEE Data Eng. Bull.,2006,52
Containment of nested XML queries,Xin Dong; Alon Y Halevy; Igor Tatarinov,Abstract Query containment is the most fundamental relationship between a pair of databasequeries: a query Q is said to be contained in a query Q′ if the answer for Q is always asubset of the answer for Q′; independent of the current state of the database. Querycontainment is an important problem in a wide variety of data management applications;including verification of integrity constraints; reasoning about contents of data sources indata integration; semantic caching; verification of knowledge bases; determining queriesindependent of updates; and most recently; in query reformulation for peer datamanagement systems. Query containment has been studied extensively in the relationalcontext and for XPath queries; but not for XML queries with nesting. We consider thetheoretical aspects of the problem of query containment for XML queries with nesting. We …,Proceedings of the Thirtieth international conference on Very large data bases-Volume 30,2004,50
Online data fusion,Xuan Liu; Xin Luna Dong; Beng Chin Ooi; Divesh Srivastava,ABSTRACT The Web contains a significant volume of structured data in various domains;but a lot of data are dirty and erroneous; and they can be propagated through copying. Whiledata integration techniques allow querying structured data on the Web; they take the unionof the answers retrieved from different sources and can thus return conflicting information.Data fusion techniques; on the other hand; aim to find the true values; but are designed foroffline data aggregation and can take a long time. This paper proposes SOLARIS; the firstonline data fusion system. It starts with returning answers from the first probed source; andrefreshes the answers as it probes more sources and applies fusion techniques on theretrieved data. For each returned answer; it shows the likelihood that the answer is correct;and stops retrieving data for it after gaining enough confidence that data from the …,Proceedings of the VLDB Endowment,2011,49
Characterizing and selecting fresh data sources,Theodoros Rekatsinas; Xin Luna Dong; Divesh Srivastava,Abstract Data integration is a challenging task due to the large numbers of autonomous datasources. This necessitates the development of techniques to reason about the benefits andcosts of acquiring and integrating data. Recently the problem of source selection (ie;identifying the subset of sources that maximizes the profit from integration) was introducedas a preprocessing step before the actual integration. The problem was studied for staticsources and used the accuracy of data fusion to quantify the integration profit. In this paper;we study the problem of source selection considering dynamic data sources whose contentchanges over time. We define a set of time-dependent metrics; including coverage;freshness and accuracy; to characterize the quality of integrated data. We show howstatistical models for the evolution of sources can be used to estimate these metrics …,Proceedings of the 2014 ACM SIGMOD international conference on Management of data,2014,46
Record linkage with uniqueness constraints and erroneous values,Songtao Guo; Xin Luna Dong; Divesh Srivastava; Remi Zajac,Abstract Many data-management applications require integrating data from a variety ofsources; where different sources may refer to the same real-world entity in different waysand some may even provide erroneous data. An important task in this process is torecognize and merge the various references that refer to the same entity. In practice; someattributes satisfy a uniqueness constraint---each real-world entity (or most entities) has aunique value for the attribute (eg; business contact phone; address; and email). Traditionaltechniques tackle this case by first linking records that are likely to refer to the same real-world entity; and then fusing the linked records and resolving conflicts if any. Such methodscan fall short for three reasons: first; erroneous values from sources may prevent correctlinking; second; the real world may contain exceptions to the uniqueness constraints and …,Proceedings of the VLDB Endowment,2010,46
Functional Dependency Generation and Applications in Pay-As-You-Go Data Integration Systems.,Daisy Zhe Wang; Xin Luna Dong; Anish Das Sarma; Michael J Franklin; Alon Y Halevy,ABSTRACT Recently; the opportunity of extracting structured data from the Web has beenidentified by a number of research projects. One such example is that millions of relational-style HTML tables can be extracted from the Web. Traditional data integration approachesdo not scale over such corpora with hundreds of small tables in one domain. To solve thisproblem; previous work has proposed pay-as-you-go data integration systems to provide;with little up-front cost; base services over loosely-integrated information. One keycomponent of such systems; which has received little attention to date; is the need for aframework to gauge and improve the quality of the integration. We propose a frameworkbased on functional dependencies (FDs). Unlike in traditional database design; where FDsare specified as statements of truth about all possible instances of the database; in web …,WebDB,2009,44
Malleable Schemas: A Preliminary Report.,Xin Dong; Alon Y Halevy,ABSTRACT Large-scale information integration; and in particular; search on the World WideWeb; is pushing the limits on the combination of structured data and unstructured data. By itsvery nature; as we combine a large number of information sources; our ability to model thedomain in a completely structured way diminishes. We argue that in order to buildapplications that combine structured and unstructured data; there is a need for a newmodeling tool. We consider the question of modeling an application domain whose datamay be partially structured and partially unstructured. In particular; we are concerned withapplications where the border between the structured and unstructured parts of the data isnot well defined; not well known in advance; or may evolve over time. We propose theconcept of malleable schemas as a modeling tool that enables incorporating both …,WebDB,2005,38
Data modeling in dataspace support platforms,Anish Das Sarma; Xin Luna Dong; Alon Y Halevy,Abstract Data integration has been an important area of research for several years.However; such systems suffer from one of the main drawbacks of database systems: theneed to invest significant modeling effort upfront. Dataspace Support Platforms (DSSP)envision a system that offers useful services on its data without any setup effort; and improvewith time in a pay-as-you-go fashion. We argue that in order to support DSSPs; the systemneeds to model uncertainty at its core. We describe the concepts of probabilistic mediatedschemas and probabilistic mappings as enabling concepts for DSSPs.,*,2009,34
Semex: Toward on-the-fly personal information integration,Xin Dong; Alon Halevy; Ema Nemes; Stephan Sigurdsson; Pedro Domingos,Abstract On-the-fly information integration attempts to change the basic cost-benefit equationassociation with building information integration applications. This paper argues that on-the-fly can be supported by extending one's personal information space. As a first step in thisdirection; we describe the Semex system that provides a logical and integrated view of one'spersonal information.,Proc. of the VLDB IIWeb Workshop,2004,34
Data integration with dependent sources,Anish Das Sarma; Xin Luna Dong; Alon Halevy,Abstract Data integration systems offer users a uniform interface to a set of data sources.Previous work has typically assumed that the data sources are independent of each other;however; in scenarios involving large numbers of sources; such as the Web or largeenterprises; there is an eco-system of dependent sources; where some sources copy partsof their data from others. This paper considers the new optimization problems that arisewhile answering queries over large number of dependent sources. These are the (1) cost-minimization problem: what is the minimum cost we must incur to get all answer tuples;(2)maximum-coverage problem: given a bound on the cost; how can we get the maximumpossible coverage; and (3) the source-ordering problem: for a set of data sources; what isthe best order to query them so as to retrieve answer tuples as fast as possible.,Proceedings of the 14th International Conference on Extending Database Technology,2011,33
