Finding bursty topics from microblogs,Qiming Diao; Jing Jiang; Feida Zhu; Ee-Peng Lim,Abstract Microblogs such as Twitter reflect the general public's reactions to major events.Bursty topics from microblogs reveal what events have attracted the most online attention.Although bursty event detection from text streams has been studied before; previous workmay not be suitable for microblogs because compared with other text streams such as newsarticles and scientific publications; microblog posts are particularly diverse and noisy. To findtopics that have bursty patterns on microblogs; we propose a topic model thatsimultaneously captures two observations:(1) posts published around the same time aremore likely to have the same topic; and (2) posts published by the same user are more likelyto have the same topic. The former helps find event-driven posts while the latter helpsidentify and filter out" personal" posts. Our experiments on a large Twitter dataset show …,Proceedings of the 50th Annual Meeting of the Association for Computational Linguistics: Long Papers-Volume 1,2012,215
Graph OLAP: Towards online analytical processing on graphs,Chen Chen; Xifeng Yan; Feida Zhu; Jiawei Han; S Yu Philip,OLAP (On-Line Analytical Processing) is an important notion in data analysis. Recently;more and more graph or networked data sources come into being. There exists a similarneed to deploy graph analysis from different perspectives and with multiple granularities.However; traditional OLAP technology cannot handle such demands because it does notconsider the links among individual data tuples. In this paper; we develop a novel graphOLAP framework; which presents a multi-dimensional and multi-level view over graphs. Thecontributions of this work are two-fold. First; starting from basic definitions; ie; what aredimensions and measures in the graph OLAP scenario; we develop a conceptual frameworkfor data cubes on graphs. We also look into different semantics of OLAP operations; andclassify the framework into two major subcases: informational OLAP and topological …,Data Mining; 2008. ICDM'08. Eighth IEEE International Conference on,2008,140
Cqarank: jointly model topics and expertise in community question answering,Liu Yang; Minghui Qiu; Swapna Gottipati; Feida Zhu; Jing Jiang; Huiping Sun; Zhong Chen,Abstract Community Question Answering (CQA) websites; where people share expertise onopen platforms; have become large repositories of valuable knowledge. To bring the bestvalue out of these knowledge repositories; it is critically important for CQA services to knowhow to find the right experts; retrieve archived similar questions and recommend bestanswers to new questions. To tackle this cluster of closely related problems in a principledapproach; we proposed Topic Expertise Model (TEM); a novel probabilistic generativemodel with GMM hybrid; to jointly model topics and expertise by integrating textual contentmodel and link structure analysis. Based on TEM results; we proposed CQARank tomeasure user interests and expertise score under different topics. Leveraging the questionanswering history based on long-term community reviews and voting; our method could …,Proceedings of the 22nd ACM international conference on Information & Knowledge Management,2013,107
Text cube: Computing ir measures for multidimensional text database analysis,Cindy Xide Lin; Bolin Ding; Jiawei Han; Feida Zhu; Bo Zhao,Since Jim Gray introduced the concept of” data cube” in 1997; data cube; associated withonline analytical processing (OLAP); has become a driving engine in data warehouseindustry. Because the boom of Internet has given rise to an ever increasing amount of textdata associated with other multidimensional information; it is natural to propose a data cubemodel that integrates the power of traditional OLAP and IR techniques for text. In this paper;we propose a Text-Cube model on multidimensional text database and study effective OLAPover such data. Two kinds of hierarchies are distinguishable inside: dimensional hierarchyand term hierarchy. By incorporating these hierarchies; we conduct systematic studies onefficient text-cube implementation; OLAP execution and query processing. Our performancestudy shows the high promise of our methods.,Data Mining; 2008. ICDM'08. Eighth IEEE International Conference on,2008,105
Mining colossal frequent patterns by core pattern fusion,Feida Zhu; Xifeng Yan; Jiawei Han; S Yu Philip; Hong Cheng,Extensive research for frequent-pattern mining in the past decade has brought forth anumber of pattern mining algorithms that are both effective and efficient. However; theexisting frequent-pattern mining algorithms encounter challenges at mining rather largepatterns; called colossal frequent patterns; in the presence of an explosive number offrequent patterns. Colossal patterns are critical to many applications; especially in domainslike bioinformatics. In this study; we investigate a novel mining approach called pattern-fusion to efficiently find a good approximation to the colossal patterns. With Pattern-Fusion; acolossal pattern is discovered by fusing its small core patterns in one step; whereas theincremental pattern-growth mining strategies; such as those adopted in Apriori and FP-growth; have to examine a large number of mid-sized ones. This property distinguishes …,Data Engineering; 2007. ICDE 2007. IEEE 23rd International Conference on,2007,102
Hydra: Large-scale social identity linkage via heterogeneous behavior modeling,Siyuan Liu; Shuhui Wang; Feida Zhu; Jinbo Zhang; Ramayya Krishnan,Abstract We study the problem of large-scale social identity linkage across different socialmedia platforms; which is of critical importance to business intelligence by gaining fromsocial data a deeper understanding and more accurate profiling of users. This paperproposes HYDRA; a solution framework which consists of three key steps:(I) modelingheterogeneous behavior by long-term behavior distribution analysis and multi-resolutiontemporal information matching;(II) constructing structural consistency graph to measure thehigh-order structure consistency on users' core social structures across different platforms;and (III) learning the mapping function by multi-objective optimization composed of both thesupervised learning on pair-wise ID linkage information and the cross-platform structureconsistency maximization. Extensive experiments on 10 million users across seven …,Proceedings of the 2014 ACM SIGMOD international conference on Management of data,2014,97
On recommending hashtags in twitter networks,Su Mon Kywe; Tuan-Anh Hoang; Ee-Peng Lim; Feida Zhu,Abstract Twitter network is currently overwhelmed by massive amount of tweets generatedby its users. To effectively organize and search tweets; users have to depend on appropriatehashtags inserted into tweets. We begin our research on hashtags by first analyzing aTwitter dataset generated by more than 150;000 Singapore users over a three-month period.Among several interesting findings about hashtag usage by this user community; we havefound a consistent and significant use of new hashtags on a daily basis. This suggests thatmost hashtags have very short life span. We further propose a novel hashtagrecommendation method based on collaborative filtering and the method recommendshashtags found in the previous month's data. Our method considers both user preferencesand tweet content in selecting hashtags to be recommended. Our experiments show that …,International Conference on Social Informatics,2012,95
gPrune: a constraint pushing framework for graph pattern mining,Feida Zhu; Xifeng Yan; Jiawei Han; S Yu Philip,Abstract In graph mining applications; there has been an increasingly strong urge forimposing user-specified constraints on the mining results. However; unlike most traditionalitemset constraints; structural constraints; such as density and diameter of a graph; are veryhard to be pushed deep into the mining process. In this paper; we give the firstcomprehensive study on the pruning properties of both traditional and structural constraintsaiming to reduce not only the pattern search space but the data search space as well. A newgeneral framework; called gPrune; is proposed to incorporate all the constraints in such away that they recursively reinforce each other through the entire mining process. A newconcept; Pattern-inseparable Data-antimonotonicity; is proposed to handle the structuralconstraints unique in the context of graph; which; combined with known pruning …,Pacific-Asia Conference on Knowledge Discovery and Data Mining,2007,89
gapprox: Mining frequent approximate patterns from a massive network,Chen Chen; Xifeng Yan; Feida Zhu; Jiawei Han,Recently; there arise a large number of graphs with massive sizes and complex structures inmany new applications; such as biological networks; social networks; and the Web;demanding powerful data mining methods. Due to inherent noise or data diversity; it iscrucial to address the issue of approximation; if one wants to mine patterns that arepotentially interesting with tolerable variations. In this paper; we investigate the problem ofmining frequent approximate patterns from a massive network and propose a method calledgApprox. gApprox not only finds approximate network patterns; which is the key for manyknowledge discovery applications on structural data; but also enriches the library of graphmining methodologies by introducing several novel techniques such as:(1) a complete andredundancy-free strategy to explore the new pattern space faced by gApprox; and (2) …,Data Mining; 2007. ICDM 2007. Seventh IEEE International Conference on,2007,86
Topicsketch: Real-time bursty topic detection from twitter,Wei Xie; Feida Zhu; Jing Jiang; Ee-Peng Lim; Ke Wang,Twitter has become one of the largest microblogging platforms for users around the world toshare anything happening around them with friends and beyond. A bursty topic in Twitter isone that triggers a surge of relevant tweets within a short period of time; which often reflectsimportant events of mass interest. How to leverage Twitter for early detection of bursty topicshas therefore become an important research problem with immense practical value. Despitethe wealth of research work on topic modelling and analysis in Twitter; it remains achallenge to detect bursty topics in real-time. As existing methods can hardly scale to handlethe task with the tweet stream in real-time; we propose in this paper $\sf {TopicSketch} $; asketch-based topic model together with a set of techniques to achieve real-time detection.We evaluate our solution on a tweet stream with over 30 million tweets. Our experiment …,IEEE Transactions on Knowledge and Data Engineering,2016,81
