Linking data to ontologies,Antonella Poggi; Domenico Lembo; Diego Calvanese; Giuseppe De Giacomo; Maurizio Lenzerini; Riccardo Rosati,Abstract Many organizations nowadays face the problem of accessing existing data sourcesby means of flexible mechanisms that are both powerful and efficient. Ontologies are widelyconsidered as a suitable formal tool for sophisticated data access. The ontology expressesthe domain of interest of the information system at a high level of abstraction; and therelationship between data at the sources and instances of concepts and roles in theontology is expressed by means of mappings. In this paper we present a solution to theproblem of designing effective systems for ontology-based data access. Our solution isbased on three main ingredients. First; we present a new ontology language; based onDescription Logics; that is particularly suited to reason with large amounts of instances. Thesecond ingredient is a novel mapping language that is able to deal with the so-called …,*,2008,624
On the update of description logic ontologies at the instance level,Giuseppe De Giacomo; Maurizio Lenzerini; Antonella Poggi; Riccardo Rosati,*,PROCEEDINGS OF THE NATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE,2006,371
The MASTRO system for ontology-based data access,Diego Calvanese; Giuseppe De Giacomo; Domenico Lembo; Maurizio Lenzerini; Antonella Poggi; Mariano Rodriguez-Muro; Riccardo Rosati; Marco Ruzzi; Domenico Fabio Savo,Abstract In this paper we present MASTRO; a Java tool for ontology-based data access(OBDA) developed at Sapienza Università di Roma and at the Free University of Bozen-Bolzano. MASTRO manages OBDA systems in which the ontology is specified in DL-Lite A;id; a logic of the DL-Lite family of tractable Description Logics specifically tailored to ontology-based data access; and is connected to external JDBC enabled data management systemsthrough semantic mappings that associate SQL queries over the external data to theelements of the ontology. Advanced forms of integrity constraints; which turned out to be veryuseful in practical applications; are also enabled over the ontologies. Optimized algorithmsfor answering expressive queries are provided; as well as features for intensional reasoningand consistency checking. MASTRO provides a proprietary API; an OWLAPI compatible …,Semantic Web,2011,214
Ontologies and databases: The DL-Lite approach,Diego Calvanese; Giuseppe De Giacomo; Domenico Lembo; Maurizio Lenzerini; Antonella Poggi; Mariano Rodriguez-Muro; Riccardo Rosati,Abstract Ontologies provide a conceptualization of a domain of interest. Nowadays; they aretypically represented in terms of Description Logics (DLs); and are seen as the keytechnology used to describe the semantics of information at various sites. The idea of usingontologies as a conceptual view over data repositories is becoming more and more popular;but for it to become widespread in standard applications; it is fundamental that theconceptual layer through which the underlying data layer is accessed does not introduce asignificant overhead in dealing with the data. Based on these observations; in recent years afamily of DLs; called DL-Lite; has been proposed; which is specifically tailored to capturebasic ontology and conceptual data modeling languages; while keeping low complexity ofreasoning and of answering complex queries; in particular when the complexity is …,Reasoning Web. Semantic Technologies for Information Systems,2009,194
On the approximation of instance level update and erasure in description logics,Giuseppe De Giacomo; Maurizio Lenzerini; Antonella Poggi; Riccardo Rosati,*,PROCEEDINGS OF THE NATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE,2007,102
Ontology-based Database Access.,Diego Calvanese; Giuseppe De Giacomo; Domenico Lembo; Maurizio Lenzerini; Antonella Poggi; Riccardo Rosati,Abstract. One of the most interesting usages of shared conceptualizations is ontology-baseddata access. That is; to the usual data layer of an information system we superimpose aconceptual layer to be exported to the client. Such a layer allows the client to have aconceptual view of the information in the system; which abstracts away from how suchinformation is maintained in the data layer of the system itself. While ontologies are the bestcandidates for realizing the conceptual layer; relational DBMSs are natural candidates forthe management of the data layer. The need of efficiently processing large amounts of datarequires ontologies to be expressed in a suitable fragment of OWL: the fragment shouldallow; on the one hand; for modeling the kind of intensional knowledge needed in real-worldapplications; and; on the other hand; for delegating to a relational DBMS the part of …,SEBD,2007,86
Linking Data to Ontologies: The Description Logic DL-Lite_A.,Diego Calvanese; Giuseppe De Giacomo; Domenico Lembo; Maurizio Lenzerini; Antonella Poggi; Riccardo Rosati,Abstract. One of the most interesting usages of shared conceptualizations is ontology-baseddata access. That is; to the usual data layer of an information system we superimpose aconceptual layer to be exported to the client. Such a layer allows the client to have aconceptual view of the information in the system; which abstracts away from how suchinformation is maintained in the data layer of the system itself. While ontologies are the bestcandidates for realizing the conceptual layer; relational DBMSs are natural candidates forthe management of the data layer. The need of efficiently processing large amounts of datarequires ontologies to be expressed in a suitable fragment of OWL: the fragment shouldallow; on the one hand; for modeling the kind of intensional knowledge needed in real-worldapplications; and; on the other hand; for delegating to a relational DBMS the part of …,OWLED,2006,69
On database query languages for K-relations,Floris Geerts; Antonella Poggi,Abstract The relational model has recently been extended to so-called K-relations in whichtuples are assigned a unique value in a semiring K. A query language; denoted by RA K+;similar to the classical positive relational algebra; allows for the querying of K-relations. Inthis paper; we define more expressive query languages for K-relations that extend RA K+with the difference and constant annotations operations on annotated tuples. The latter arenatural extensions of the duplicate elimination operator of the relational algebra on bags.We investigate conditions on semirings under which these operations can be added to RAK+ in a natural way; and establish basic properties of the resulting query languages.Moreover; we show how the provenance semiring of Green et al. can be extended to recordprovenance of data in the presence of difference and constant annotations. Finally; we …,Journal of Applied Logic,2010,63
On instance-level update and erasure in description logic ontologies,Giuseppe De Giacomo; Maurizio Lenzerini; Antonella Poggi; Riccardo Rosati,Abstract A Description Logic (DL) ontology is constituted by two components; a TBox thatexpresses general knowledge about the concepts and their relationships; and an ABox thatdescribes the properties of individuals that are instances of concepts. We address theproblem of how to deal with changes to a DL ontology; when these changes affect only theABox; ie when the TBox is considered invariant. We consider two basic changes; namelyinstance-level update and instance-level erasure; roughly corresponding to the addition andthe deletion of a set of facts involving individuals. We characterize the semantics of instance-level update and erasure on the basis of the approaches proposed by Winslett and byKatsuno and Mendelzon. Interestingly; DLs are typically not closed with respect to instance-level update and erasure; in the sense that the set of models corresponding to the …,Journal of Logic and Computation,2008,63
OntoPIM: how to rely on a personal ontology for Personal Information Management,Vivi Katifori; Antonella Poggi; Monica Scannapieco; Tiziana Catarci; Yannis Ioannidis,Nowadays; our personal computer contains a huge amount of information; that is stored inseveral different formats; including emails; pictures; text documents; media file; addressbooks; etc. When we need to look for some information; one possibility is to use a keyword-based search tool; such as Google Desktop [1]. We then get several links to documents;mails; databases; etc. that relate to our search but are often too scattered in order to let useasily obtain the information we are looking for; even if this information is actually containedin our desktop. In this paper; we propose a framework for Personal Information Management(PIM); called OntoPIM; that relies on the use of a Personal Ontology; that describes user'sdomain of interest in terms of objects; classes and relations. The ontology is personal in thesense that it reflects the user view of her domain (s) of interest. It is used to assign a …,Proceedings of the 2005 International Conference on Semantic Desktop Workshop: Next Generation Information Management D Collaboration Infrastructure-Volume 175,2005,58
