Structured databases on the web: Observations and implications,Kevin Chen-Chuan Chang; Bin He; Chengkai Li; Mitesh Patel; Zhen Zhang,Abstract The Web has been rapidly" deepened" by the prevalence of databases online. Withthe potentially unlimited information hidden behind their query interfaces; this" deep Web" ofsearchable databses is clearly an important frontier for data access. This paper surveys thisrelatively unexplored frontier; measuring characteristics pertinent to both exploring andintegrating structured Web sources. On one hand; our" macro" study surveys the deep Webat large; in April 2004; adopting the random IP-sampling approach; with one millionsamples.(How large is the deep Web? How is it covered by current directory services?) Onthe other hand; our" micro" study surveys source-specific characteristics over 441 sources ineight representative domains; in December 2002.(How" hidden" are deep-Web sources?How do search engines cover their data? How complex and expressive are query forms?) …,ACM sigmod record,2004,562
RankSQL: query algebra and optimization for relational top-k queries,Chengkai Li; Kevin Chen-Chuan Chang; Ihab F Ilyas; Sumin Song,Abstract This paper introduces RankSQL; a system that provides a systematic and principledframework to support efficient evaluations of ranking (top-k) queries in relational databasesystems (RDBMS); by extending relational algebra and query optimization. Previously; top-kquery processing is studied in the middleware scenario or in RDBMS in a" piecemeal"fashion; ie; focusing on specific operator or sitting outside the core of query engines. Incontrast; we aim to support ranking as a first-class database construct. As a key insight; thenew ranking relationship can be viewed as another logical property of data; parallel to the"membership" property of relational data model. While membership is essentially supportedin RDBMS; the same support for ranking is clearly lacking. We address the fundamentalintegration of ranking in RDBMS in a way similar to how membership; ie; Boolean filtering …,Proceedings of the 2005 ACM SIGMOD international conference on Management of data,2005,307
Facetedpedia: dynamic generation of query-dependent faceted interfaces for wikipedia,Chengkai Li; Ning Yan; Senjuti B Roy; Lekhendro Lisham; Gautam Das,Abstract This paper proposes Facetedpedia; a faceted retrieval system for informationdiscovery and exploration in Wikipedia. Given the set of Wikipedia articles resulting from akeyword query; Facetedpedia generates a faceted interface for navigating the result articles.Compared with other faceted retrieval systems; Facetedpedia is fully automatic and dynamicin both facet generation and hierarchy construction; and the facets are based on the richsemantic information from Wikipedia. The essence of our approach is to build upon thecollaborative vocabulary in Wikipedia; more specifically the intensive internal structures(hyperlinks) and folksonomy (category system). Given the sheer size and complexity of thiscorpus; the space of possible choices of faceted interfaces is prohibitively large. We proposemetrics for ranking individual facet hierarchies by user's navigational cost; and metrics for …,Proceedings of the 19th international conference on World wide web,2010,110
Supporting ad-hoc ranking aggregates,Chengkai Li; Kevin Chen-Chuan Chang; Ihab F Ilyas,Abstract This paper presents a principled framework for efficient processing of ad-hoc top-k(ranking) aggregate queries; which provide the k groups with the highest aggregates asresults. Essential support of such queries is lacking in current systems; which process thequeries in a naïve materialize-group-sort scheme that can be prohibitively inefficient. Ourframework is based on three fundamental principles. The Upper-Bound Principle dictatesthe requirements of early pruning; and the Group-Ranking and Tuple-Ranking Principlesdictate group-ordering and tuple-ordering requirements. They together guide the queryprocessor toward a provably optimal tuple schedule for aggregate query processing. Wepropose a new execution framework to apply the principles and requirements. We addressthe challenges in realizing the framework and implementing new query operators …,Proceedings of the 2006 ACM SIGMOD international conference on Management of data,2006,82
Computational Journalism: A Call to Arms to Database Researchers.,Sarah Cohen; Chengkai Li; Jun Yang; Cong Yu,The digital age has brought sweeping changes to the news media. While onlineconsumption of news is on the rise; fewer people today read newspapers. Newspaperadvertising revenues fell by a total of 23% in 2007 and 2008; and tumbled 26% more in2009 [1]. This continuing decline of the traditional news media affects not only how news aredisseminated and consumed; but also how much and what types of news are produced;which have profound impact on the well-being of our society. In the past; we have come torely heavily upon the traditional news organizations for their investigative reporting to holdgovernments; corporations; and powerful individuals accountable to our society. The declineof traditional media has led to dwindling support for this style of journalism; which isconsidered as cost-intensive and having little revenue-generating potential. Today; there …,CIDR,2011,70
The UIUC web integration repository,Kevin Chen-Chuan Chang; Bin He; Chengkai Li; Zhen Zhang,*,Computer Science Department; University of Illinois at Urbana-Champaign. http://metaquerier. cs. uiuc. edu/repository,2003,49
Supporting ranking and clustering as generalized order-by and group-by,Chengkai Li; Min Wang; Lipyeow Lim; Haixun Wang; Kevin Chen-Chuan Chang,Abstract The Boolean semantics of SQL queries cannot adequately capture the" fuzzy"preferences and" soft" criteria required in non-traditional data retrieval applications. One wayto solve this problem is to add a flavor of" information retrieval" into database queries byallowing fuzzy query conditions and flexibly supporting grouping and ranking of the queryresults within the DBMS engine. While ranking is already supported by all major commercialDBMSs natively; support of flexibly grouping is still very limited (ie; group-by). In this paper;we propose to generalize group-by to enable flexible grouping (clustering specifically) of thequery results. Different from clustering in data mining applications; our focus is on supportingefficient clustering of Boolean results generated at query time. Moreover; we propose tointegrate ranking and clustering with Boolean conditions; forming a new type of …,Proceedings of the 2007 ACM SIGMOD international conference on Management of data,2007,47
XML Query Optimization in Map-Reduce.,Leonidas Fegaras; Chengkai Li; Upa Gupta; Jijo Philip,ABSTRACT We present a novel query language for large-scale analysis of XML data on amap-reduce environment; called MRQL; that is expressive enough to capture most commondata analysis tasks and at the same time is amenable to optimization. Our evaluation plansare constructed using a small number of higher-order physical operators that are directlyimplementable on existing map-reduce systems; such as Hadoop. We report on a prototypesystem implementation and we show some preliminary results on evaluating MRQL querieson a small cluster of PCs running Hadoop.,WebDB,2011,40
Querying knowledge graphs by example entity tuples,Nandish Jayaram; Arijit Khan; Chengkai Li; Xifeng Yan; Ramez Elmasri,We witness an unprecedented proliferation of knowledge graphs that record millions ofentities and their relationships. While knowledge graphs are structure-flexible and content-rich; they are difficult to use. The challenge lies in the gap between their overwhelmingcomplexity and the limited database knowledge of non-professional users. If writingstructured queries over “simple” tables is difficult; complex graphs are only harder to query.As an initial step toward improving the usability of knowledge graphs; we propose to querysuch data by example entity tuples; without requiring users to form complex graph queries.Our system; Graph Query By Example (GQBE); automatically discovers a weighted hiddenmaximum query graph based on input query tuples; to capture a user's query intent. It thenefficiently finds and ranks the top approximate matching answer graphs and answer …,IEEE Transactions on Knowledge and Data Engineering,2015,37
An optimization framework for map-reduce queries,Leonidas Fegaras; Chengkai Li; Upa Gupta,Abstract We present an effective optimization framework for general SQL-like map-reducequeries; which is based on a novel query algebra and uses a small number of higher-orderphysical operators that are directly implementable on existing map-reduce systems; such asHadoop. Although our framework is applicable to any SQL-like map-reduce query language;we focus on a powerful query language; called MRQL. Current map-reduce querylanguages; such as HiveQL and PigLatin; enable users to plug-in custom map-reducescripts into queries for those jobs that cannot be declaratively coded in the query language;which may result to suboptimal; error-prone; and hard-to-maintain code. In contrast to theselanguages; MRQL is expressive enough to capture most of these computations indeclarative form and at the same time is amenable to optimization. We describe an …,Proceedings of the 15th International Conference on Extending Database Technology,2012,36
