Understanding replication in databases and distributed systems,Matthias Wiesmann; Fernando Pedone; André Schiper; Bettina Kemme; Gustavo Alonso,Replication is an area of interest to both distributed systems and databases. The solutionsdeveloped from these two perspectives are conceptually similar but differ in many aspects:model; assumptions; mechanisms; guarantees provided; and implementation. In this paper;we provide an abstract and" neutral" framework to compare replication techniques from bothcommunities. The framework has been designed to emphasize the role played by differentmechanisms and to facilitate comparisons. The paper describes the replication techniquesused in both communities; compares them; and points out ways in which they can beintegrated to arrive to better; more robust replication protocols.,Distributed Computing Systems; 2000. Proceedings. 20th International Conference on,2000,480
Don't be lazy; be consistent: Postgres-r; a new way to implement database replication,Bettina Kemme; Gustavo Alonso,Abstract Database designers often point out that eager; update everywhere replication suers from high deadlock rates; message overhead and poor response times. In this paper; weshow that these limitations can be circumvented by using a combination of known and noveltechniques. Moreover; we show how the proposed solution can be incorporated into a realdatabase system. The paper discusses the new protocols and their implementation inPostgreSQL. It also provides experimental results proving that many of the dangers andlimitations of replication can be avoided by using the appropriate techniques.,VLDB,2000,371
A new approach to developing and implementing eager database replication protocols,Bettina Kemme; Gustavo Alonso,Abstract Database replication is traditionally seen as a way to increase the availability andperformance of distributed databases. Although a large number of protocols providing dataconsistency and fault-tolerance have been proposed; few of these ideas have ever beenused in commercial products due to their complexity and performance implications. Instead;current products allow inconsistencies and often resort to centralized approaches whicheliminates some of the advantages of replication. As an alternative; we propose a suite ofreplication protocols that addresses the main problems related to database replication. Onthe one hand; our protocols maintain data consistency and the same transactionalsemantics found in centralized systems. On the other hand; they provide flexibility andreasonable performance. To do so; our protocols take advantage of the rich semantics of …,ACM Transactions on Database Systems (TODS),2000,329
Middleware based data replication providing snapshot isolation,Yi Lin; Bettina Kemme; Marta Patiño-Martínez; Ricardo Jiménez-Peris,Abstract Many cluster based replication solutions have been proposed providing scalabilityand fault-tolerance. Many of these solutions perform replica control in a middleware on topof the database replicas. In such a setting concurrency control is a challenge and is oftenperformed on a table basis. Additionally; some systems put severe requirements ontransaction programs (eg; to declare all objects to be accessed in advance). This paperaddresses these issues and presents a middleware-based replication scheme whichprovides the popular snapshot isolation level at the same tuple-level granularity as databasesystems like PostgreSQL and Oracle; without any need to declare transaction properties inadvance. Both read-only and update transactions can be executed at any replica whileproviding data consistency at all times. Our approach provides what we call" 1-copy …,Proceedings of the 2005 ACM SIGMOD international conference on Management of data,2005,304
Database replication techniques: A three parameter classification,Matthias Wiesmann; Fernando Pedone; André Schiper; Bettina Kemme; Gustavo Alonso,Data replication is an increasingly important topic as databases are more and moredeployed over clusters of workstations. One of the challenges in database replication is tointroduce replication without severely affecting performance. Because of this difficulty;current database products use lazy replication; which is very efficient but can compromiseconsistency. As an alternative; eager replication guarantees consistency but most existingprotocols have a prohibitive cost. In order to clarify the current state of the art and open upnew avenues for research; this paper analyses existing eager techniques using three keyparameters (server architecture; server interaction and transaction termination). In ouranalysis; we distinguish eight classes of eager replication protocols and; for each category;discuss its requirements; capabilities and cost. The contribution lies in showing when …,Reliable Distributed Systems; 2000. SRDS-2000. Proceedings The 19th IEEE Symposium on,2000,273
MIDDLE-R: Consistent database replication at the middleware level,Marta Patiño-Martinez; Ricardo Jiménez-Peris; Bettina Kemme; Gustavo Alonso,Abstract The widespread use of clusters and Web farms has increased the importance ofdata replication. In this article; we show how to implement consistent and scalable datareplication at the middleware level. We do this by combining transactional concurrencycontrol with group communication primitives. The article presents different replicationprotocols; argues their correctness; describes their implementation as part of a genericmiddleware; Middle-R; and proves their feasibility with an extensive performance evaluation.The solution proposed is well suited for a variety of applications including Web farms anddistributed object platforms.,ACM Transactions on Computer Systems (TOCS),2005,223
A suite of database replication protocols based on group communication primitives,Bettina Kemme; Gustavo Alonso,This paper proposes a family of replication protocols based on group communication inorder to address some of the concerns expressed by database designers regarding existingreplication solutions. Due to these concerns; current database systems allowinconsistencies and often resort to centralized approaches; thereby reducing some of thekey advantages provided by replication. The protocols presented in this paper takeadvantage of the semantics of group communication and use related isolation guarantees toeliminate the possibility of deadlocks; reduce the message overhead; and increaseperformance. A simulation study shows the feasibility of the approach and the flexibility withwhich different types of bottlenecks can be circumvented.,Distributed Computing Systems; 1998. Proceedings. 18th International Conference on,1998,197
Postgres-R (SI): Combining replica control with concurrency control based on snapshot isolation,Shuqing Wu; Bettina Kemme,Replicating data over a cluster of workstations is a powerful tool to increase performance;and provide fault-tolerance for demanding database applications. The big challenge in suchsystems is to combine replica control (keeping the copies consistent) with concurrencycontrol. Most of the research so far has focused on providing the traditional correctnesscriteria serializability. However; more and more database systems; eg; Oracle andPostgreSQL; use multi-version concurrency control providing the isolation level snapshotisolation. In this paper; we present Postgres-R (SI); an extension of PostgreSQL offeringtransparent replication. Our replication tool is designed to work smoothly with PostgreSQL'sconcurrency control providing snapshot isolation for the entire replicated system. We presenta detailed description of the replica control algorithm; and how it is combined with …,Data Engineering; 2005. ICDE 2005. Proceedings. 21st International Conference on,2005,178
Are quorums an alternative for data replication?,Ricardo Jiménez-Peris; Marta Patiño-Martínez; Gustavo Alonso; Bettina Kemme,Abstract Data replication is playing an increasingly important role in the design of parallelinformation systems. In particular; the widespread use of cluster architectures often requiresto replicate data for performance and availability reasons. However; maintaining theconsistency of the different replicas is known to cause severe scalability problems. Toaddress this limitation; quorums are often suggested as a way to reduce the overalloverhead of replication. In this article; we analyze several quorum types in order to betterunderstand their behavior in practice. The results obtained challenge many of theassumptions behind quorum based replication. Our evaluation indicates that theconventional read-one/write-all-available approach is the best choice for a large range ofapplications requiring data replication. We believe this is an important result for anybody …,ACM Transactions on Database Systems (TODS),2003,157
Scalable replication in database clusters,Marta Patiño-Martínez; Ricardo Jiménez-Peris; Bettina Kemme; Gustavo Alonso,Abstract In this paper; we explore data replication pro-tocols that pro-vide both faulttolerance and good performance without compromising consistency. We do this bycombining transactional concurrency control with group communication primitives. In ourapproach; transactions are executed at only one site so that not all nodes incur in theoverhead of producing results. To further reduce latency; we use an optimistic multicasttechnique that overlaps transaction execution with total order message delivery. Theprotocols we present in the paper provide correct executions while minimizing overhead andproviding higher scalability.,International Symposium on Distributed Computing,2000,137
