Hermes: A distributed event-based middleware architecture,Peter R Pietzuch; Jean M Bacon,In this paper; we argue that there is a need for an event-based middleware to build large-scale distributed systems. Existing publish/subscribe systems still have limitations comparedto invocation-based middlewares. We introduce Hermes; a novel event-based distributedmiddleware architecture that follows a type-and attribute-based publish/subscribe model. Itcentres around the notion of an event type and supports features commonly known fromobject-oriented languages like type hierarchies and super-type subscriptions. A scalablerouting algorithm using an overlay routing network is presented that avoids globalbroadcasts by creating rendezvous nodes. Fault-tolerance mechanisms that can cope withdifferent kinds of failures in the middleware are integrated with the routing algorithmresulting in a scalable and robust system.,Distributed Computing Systems Workshops; 2002. Proceedings. 22nd International Conference on,2002,632
Distributed event-based systems,Gero Mühl; Ludger Fiege; Peter Pietzuch,In today's world; services and data are integrated in ever new constellations; requiring theeasy; flexible and scalable integration of autonomous; heterogeneous components intocomplex systems at any time. Event-based architectures inherently decouple systemcomponents. Event-based components are not designed to work with specific othercomponents in a traditional request/reply mode; but separate communication fromcomputation through asynchronous communication mechanisms via a dedicated notificationservice. Mühl; Fiege; and Pietzuch provide the reader with an in-depth description of event-based systems. They cover the complete spectrum of topics; ranging from a treatment oflocal event matching and distributed event forwarding algorithms; through a more practicaldiscussion of software engineering issues raised by the event-based style; to a …,*,2006,513
Network-aware operator placement for stream-processing systems,Peter Pietzuch; Jonathan Ledlie; Jeffrey Shneidman; Mema Roussopoulos; Matt Welsh; Margo Seltzer,To use their pool of resources efficiently; distributed stream-processing systems push queryoperators to nodes within the network. Currently; these operators; ranging from simple filtersto custom business logic; are placed manually at intermediate nodes along the transmissionpath to meet application-specific performance goals. Determining placement locations ischallenging because network and node conditions change over time and because streamsmay interact with each other; opening venues for reuse and repositioning of operators. Thispaper describes a stream-based overlay network (SBON); a layer between a stream-processing system and the physical network that manages operator placement for stream-processing systems. Our design is based on a cost space; an abstract representation of thenetwork and on-going streams; which permits decentralized; large-scale multi-query …,Data Engineering; 2006. ICDE'06. Proceedings of the 22nd International Conference on,2006,396
Hermes: A scalable event-based middleware,Peter R Pietzuch,Abstract Large-scale distributed systems require new middleware paradigms that do notsuffer from the limitations of traditional request/reply middleware. These limitations includetight coupling between components; a lack of information filtering capabilities; and supportfor one-to-one communication semantics only. We argue that event-based middleware is ascalable and powerful new type of middleware for building large-scale distributed systems.However; it is important that an event-based middleware platform includes all the standardfunctionality that an application programmer expects from middleware.,*,2004,242
Hourglass: An infrastructure for connecting sensor networks and applications,Jeff Shneidman; Peter Pietzuch; Jonathan Ledlie; Mema Roussopoulos; Margo Seltzer; Matt Welsh,Abstract The emergence of computationally-enabled sensors and the applications that usesensor data introduces the need for a software infrastructure designed specifically to enablethe rapid development and deployment of applications that draw upon data from multiple;heterogeneous sensor networks. We present the Hourglass infrastructure; which addressesthis need. Hourglass is an Internet-based infrastructure for connecting a wide range ofsensors; services; and applications in a robust fashion. In Hourglass; a stream of dataelements is routed to one or more applications. These data elements are generated fromsensors inside of sensor networks whose internals can be entirely hidden from participantsin the Hourglass system. The Hourglass infrastructure consists of an overlay network of well-connected dedicated machines that provides service registration; discovery; and routing …,*,2004,200
Integrating scale out and fault tolerance in stream processing using operator state management,Raul Castro Fernandez; Matteo Migliavacca; Evangelia Kalyvianaki; Peter Pietzuch,Abstract As users of" big data" applications expect fresh results; we witness a new breed ofstream processing systems (SPS) that are designed to scale to large numbers of cloud-hosted machines. Such systems face new challenges:(i) to benefit from the" pay-as-you-go"model of cloud computing; they must scale out on demand; acquiring additional virtualmachines (VMs) and parallelising operators when the workload increases;(ii) failures arecommon with deployments on hundreds of VMs-systems must be fault-tolerant with fastrecovery times; yet low per-machine overheads. An open question is how to achieve thesetwo goals when stream queries include stateful operators; which must be scaled out andrecovered without affecting query results. Our key idea is to expose internal operator stateexplicitly to the SPS through a set of state management primitives. Based on them; we …,Proceedings of the 2013 ACM SIGMOD international conference on Management of data,2013,199
Composite event detection as a generic middleware extension,Peter R Pietzuch; Brian Shand; Jean Bacon,Event-based communication provides a flexible and robust approach to monitoring andmanaging large-scale distributed systems. Composite event detection extends the scopeand flexibility of these systems by allowing application components to express interest incomplex patterns of events. This makes it possible to handle the large numbers of eventsgenerated in Internet-wide systems; and in network monitoring and pervasive computingapplications. In this article; we introduce a novel generic composite event detectionframework that can be added on top of existing middleware architectures; as demonstratedin our implementation over JMS. We argue that the framework is flexible; expressive andeasy to implement. Based on finite state automata extended with a rich time model andparameterization support; it provides a decomposable core language for specifying …,IEEE network,2004,178
A framework for event composition in distributed systems,Peter R Pietzuch; Brian Shand; Jean Bacon,Abstract For large-scale distributed applications such as internet-wide or ubiquitoussystems; event-based communication is an effective messaging mechanism betweencomponents. In order to handle the large volume of events in such systems; composite eventdetection enables application components to express interest in the occurrence of complexpatterns of events. In this paper; we introduce a general composite event detectionframework that can be added on top of existing middleware architectures--as demonstratedin our implementation over JMS. We argue that the framework is flexible; expressive; andeasy to implement. Based on finite state automata extended with a rich time model andsupport for parameterisation; it provides a decomposable core language for composite eventspecification; so that composite event detection can be distributed throughout the system …,Proceedings of the ACM/IFIP/USENIX 2003 International Conference on Middleware,2003,174
Peer-to-peer overlay broker networks in an event-based middleware,Peter R Pietzuch; Jean Bacon,Abstract Overlay broker networks are an important part of an event-based middleware. Inthis paper; we investigate the requirements of overlay broker networks and argue that usingpeer-to-peer techniques for their creation and the content-based routing of events has manyadvantages. We support our claims with an experimental evaluation of Hermes; an event-based middleware architecture that uses a peer-to-peer routing substrate; in comparisonwith a standard publish/subscribe system that has a simple; predefined overlay topology.The results reveal that Hermes has better routing efficiency and keeps less routing state atthe event brokers.,Proceedings of the 2nd international workshop on Distributed event-based systems,2003,164
Distributed complex event processing with query rewriting,Nicholas Poul Schultz-Møller; Matteo Migliavacca; Peter Pietzuch,Abstract The nature of data in enterprises and on the Internet is changing. Data used to bestored in a database first and queried later. Today timely processing of new data;represented as events; is increasingly valuable. In many domains; complex eventprocessing (CEP) systems detect patterns of events for decision making. Examples includeprocessing of environmental sensor data; trades in financial markets and RSS web feeds.Unlike conventional database systems; most current CEP systems pay little attention toquery optimisation. They do not rewrite queries to more efficient representations or makedecisions about operator distribution; limiting their overall scalability. This paper describesthe NEXT CEP system that was especially designed for query rewriting and distribution.Event patterns are specified in a high-level query language and; before being translated …,Proceedings of the Third ACM International Conference on Distributed Event-Based Systems,2009,153
