Preventing location-based identity inference in anonymous spatial queries,Panos Kalnis; Gabriel Ghinita; Kyriakos Mouratidis; Dimitris Papadias,The increasing trend of embedding positioning capabilities (for example; GPS) in mobiledevices facilitates the widespread use of location-based services. For such applications tosucceed; privacy and confidentiality are essential. Existing privacy-enhancing techniquesrely on encryption to safeguard communication channels; and on pseudonyms to protectuser identities. Nevertheless; the query contents may disclose the physical location of theuser. In this paper; we present a framework for preventing location-based identity inferenceof users who issue spatial queries to location-based services. We propose transformationsbased on the well-established K-anonymity concept to compute exact answers for range andnearest neighbor search; without revealing the query source. Our methods optimize theentire process of anonymizing the requests and processing the transformed spatial …,Knowledge and Data Engineering; IEEE Transactions on,2007,747
Conceptual partitioning: An efficient method for continuous nearest neighbor monitoring,Kyriakos Mouratidis; Dimitris Papadias; Marios Hadjieleftheriou,Abstract Given a set of objects P and a query point q; ak nearest neighbor (k-NN) queryretrieves the k objects in P that lie closest to q. Even though the problem is well-studied forstatic datasets; the traditional methods do not extend to highly dynamic environments wheremultiple continuous queries require real-time results; and both objects and queries receivefrequent location updates. In this paper we propose conceptual partitioning (CPM); acomprehensive technique for the efficient monitoring of continuous NN queries. CPMachieves low running time by handling location updates only from objects that fall in thevicinity of some query (and ignoring the rest). It can be used with multiple; static or movingqueries; and it does not make any assumptions about the object moving patterns. Weanalyze the performance of CPM and show that it outperforms the current state-of-the-art …,Proceedings of the 2005 ACM SIGMOD international conference on Management of data,2005,378
Continuous nearest neighbor monitoring in road networks,Kyriakos Mouratidis; Man Lung Yiu; Dimitris Papadias; Nikos Mamoulis,Abstract Recent research has focused on continuous monitoring of nearest neighbors (NN)in highly dynamic scenarios; where the queries and the data objects move frequently andarbitrarily. All existing methods; however; assume the Euclidean distance metric. In thispaper we study k-NN monitoring in road networks; where the distance between a query anda data object is determined by the length of the shortest path connecting them. We proposetwo methods that can handle arbitrary object and query moving patterns; as well asfluctuations of edge weights. The first one maintains the query results by processing onlyupdates that may invalidate the current NN sets. The second method follows the sharedexecution paradigm to reduce the processing time. In particular; it groups together thequeries that fall in the path between two consecutive intersections in the network; and …,Proceedings of the 32nd international conference on Very large data bases,2006,289
Group nearest neighbor queries,Dimitris Papadias; Qiongmao Shen; Yufei Tao; Kyriakos Mouratidis,Given two sets of points P and Q; a group nearest neighbor (GNN) query retrieves the point(s) of P with the smallest sum of distances to all points in Q. Consider; for instance; threeusers at locations q/sub 1/q/sub 2/and q/sub 3/that want to find a meeting point (eg; arestaurant); the corresponding query returns the data point p that minimizes the sum ofEuclidean distances| pq/sub i/| for 1/spl les/i/spl les/3. Assuming that Q fits in memory and Pis indexed by an R-tree; we propose several algorithms for finding the group nearestneighbors efficiently. As a second step; we extend our techniques for situations where Qcannot fit in memory; covering both indexed and nonindexed query points. An experimentalevaluation identifies the best alternative based on the data and query properties.,Data Engineering; 2004. Proceedings. 20th International Conference on,2004,258
Aggregate nearest neighbor queries in spatial databases,Dimitris Papadias; Yufei Tao; Kyriakos Mouratidis; Chun Kit Hui,Abstract Given two spatial datasets P (eg; facilities) and Q (queries); an aggregate nearestneighbor (ANN) query retrieves the point (s) of P with the smallest aggregate distance (s) topoints in Q. Assuming; for example; n users at locations q 1;… qn; an ANN query outputs thefacility p∈ P that minimizes the sum of distances &verbar; pq i &verbar; for 1≤ i≤ n that theusers have to travel in order to meet there. Similarly; another ANN query may report the pointp∈ P that minimizes the maximum distance that any user has to travel; or the minimumdistance from some user to his/her closest facility. If Q fits in memory and P is indexed by anR-tree; we develop algorithms for aggregate nearest neighbors that capture several versionsof the problem; including weighted queries and incremental reporting of results. Then; weanalyze their performance and propose cost models for query optimization. Finally; we …,ACM Transactions on Database Systems (TODS),2005,249
Continuous monitoring of top-k queries over sliding windows,Kyriakos Mouratidis; Spiridon Bakiras; Dimitris Papadias,Abstract Given a dataset P and a preference function f; a top-k query retrieves the k tuples inP with the highest scores according to f. Even though the problem is well-studied inconventional databases; the existing methods are inapplicable to highly dynamicenvironments involving numerous long-running queries. This paper studies continuousmonitoring of top-k queries over a fixed-size window W of the most recent data. The windowsize can be expressed either in terms of the number of active tuples or time units. Wepropose a general methodology for top-k monitoring that restricts processing to the sub-domains of the workspace that influence the result of some query. To cope with high streamrates and provide fast answers in an on-line fashion; the data in W reside in main memory.The valid records are indexed by a grid structure; which also maintains book-keeping …,Proceedings of the 2006 ACM SIGMOD international conference on Management of data,2006,246
A threshold-based algorithm for continuous monitoring of k nearest neighbors,Kyriakos Mouratidis; Dimitris Papadias; Spiridon Bakiras; Yufei Tao,Assume a set of moving objects and a central server that monitors their positions over time;while processing continuous nearest neighbor queries from geographically distributedclients. In order to always report up-to-date results; the server could constantly obtain themost recent position of all objects. However; this naive solution requires the transmission ofa large number of rapid data streams corresponding to location updates. Intuitively; currentinformation is necessary only for objects that may influence some query result (ie; they maybe included in the nearest neighbor set of some client). Motivated by this observation; wepresent a threshold-based algorithm for the continuous monitoring of nearest neighbors thatminimizes the communication overhead between the server and the data objects. Theproposed method can be used with multiple; static; or moving queries; for any distance …,IEEE Transactions on Knowledge and Data Engineering,2005,121
Scalable verification for outsourced dynamic databases,HweeHwa Pang; Jilian Zhang; Kyriakos Mouratidis,Abstract Query answers from servers operated by third parties need to be verified; as thethird parties may not be trusted or their servers may be compromised. Most of the existingauthentication methods construct validity proofs based on the Merkle hash tree (MHT). TheMHT; however; imposes severe concurrency constraints that slow down data updates. Weintroduce a protocol; built upon signature aggregation; for checking the authenticity;completeness and freshness of query answers. The protocol offers the important property ofallowing new data to be disseminated immediately; while ensuring that outdated valuesbeyond a pre-set age can be detected. We also propose an efficient verification techniquefor ad-hoc equijoins; for which no practical solution existed. In addition; for servers that needto process heavy query workloads; we introduce a mechanism that significantly reduces …,Proceedings of the VLDB Endowment,2009,91
Anonymous query processing in road networks,Kyriakos Mouratidis; Man Lung Yiu,The increasing availability of location-aware mobile devices has given rise to a flurry oflocation-based services (LBSs). Due to the nature of spatial queries; an LBS needs the userposition in order to process her requests. On the other hand; revealing exact user locationsto a (potentially untrusted) LBS may pinpoint their identities and breach their privacy. Toaddress this issue; spatial anonymity techniques obfuscate user locations; forwarding to theLBS a sufficiently large region instead. Existing methods explicitly target processing in theeuclidean space and do not apply when proximity to the users is defined according tonetwork distance (eg; driving time through the roads of a city). In this paper; we propose aframework for anonymous query processing in road networks. We design locationobfuscation techniques that:(1) provide anonymous LBS access to the users and (2) allow …,IEEE Transactions on Knowledge and Data Engineering,2010,87
Partially materialized digest scheme: an efficient verification method for outsourced databases,Kyriakos Mouratidis; Dimitris Sacharidis; Hweehwa Pang,Abstract In the outsourced database model; a data owner publishes her database through athird-party server; ie; the server hosts the data and answers user queries on behalf of theowner. Since the server may not be trusted; or may be compromised; users need a means toverify that answers received are both authentic and complete; ie; that the returned data havenot been tampered with; and that no qualifying results have been omitted. We propose aresult verification approach for one-dimensional queries; called Partially Materialized Digestscheme (PMD); that applies to both static and dynamic databases. PMD uses separateindexes for the data and for their associated verification information; and only partiallymaterializes the latter. In contrast with previous work; PMD avoids unnecessary costs whenprocessing queries that do not request verification; achieving the performance of an …,The VLDB Journal—The International Journal on Very Large Data Bases,2009,87
