View selection in semantic web databases,François Goasdoué; Konstantinos Karanasos; Julien Leblay; Ioana Manolescu,Abstract We consider the setting of a Semantic Web database; containing both explicit dataencoded in RDF triples; and implicit data; implied by the RDF semantics. Based on a queryworkload; we address the problem of selecting a set of views to be materialized in thedatabase; minimizing a combination of query processing; view storage; and viewmaintenance costs. Starting from an existing relational view selection method; we devisenew algorithms for recommending view sets; and show that they scale significantly beyondthe existing relational ones when adapted to the RDF context. To account for implicit triplesin query answers; we propose a novel RDF query reformulation algorithm and an innovativeway of incorporating it into view selection in order to avoid a combinatorial explosion in thecomplexity of the selection process. The interest of our techniques is demonstrated …,Proceedings of the VLDB Endowment,2011,88
Wanalytics: Geo-distributed analytics for a data intensive world,Ashish Vulimiri; Carlo Curino; Philip Brighten Godfrey; Thomas Jungblut; Konstantinos Karanasos; Jitendra Padhye; George Varghese,Abstract Many large organizations collect massive volumes of data each day in ageographically distributed fashion; at data centers around the globe. Despite theirgeographically diverse origin the data must be processed and analyzed as a whole toextract insight. We call the problem of supporting large-scale geo-distributed analytics Wide-Area Big Data (WABD). To the best of our knowledge; WABD is currently addressed bycopying all the data to a central data center where the analytics are run. This approachconsumes expensive cross-data center bandwidth and is incompatible with data sovereigntyrestrictions that are starting to take shape. We instead propose WANalytics; a system thatsolves the WABD problem by orchestrating distributed query execution and adjusting datareplication across data centers in order to minimize bandwidth usage; while respecting …,Proceedings of the 2015 ACM SIGMOD international conference on management of data,2015,54
Mercury: Hybrid Centralized and Distributed Scheduling in Large Shared Clusters.,Konstantinos Karanasos; Sriram Rao; Carlo Curino; Chris Douglas; Kishore Chaliparambil; Giovanni Matteo Fumarola; Solom Heddaya; Raghu Ramakrishnan; Sarvesh Sakalanaga,Abstract Datacenter-scale computing for analytics workloads is increasingly common. Highoperational costs force heterogeneous applications to share cluster resources for achievingeconomy of scale. Scheduling such large and diverse workloads is inherently hard; andexisting approaches tackle this in two alternative ways: 1) centralized solutions offer strict;secure enforcement of scheduling invariants (eg; fairness; capacity) for heterogeneousapplications; 2) distributed solutions offer scalable; efficient scheduling for homogeneousapplications. We argue that these solutions are complementary; and advocate a blendedapproach. Concretely; we propose,USENIX Annual Technical Conference,2015,43
Efficient XQuery rewriting using multiple views,Ioana Manolescu; Konstantinos Karanasos; Vasilis Vassalos; Spyros Zoupanos,We consider the problem of rewriting XQuery queries using multiple materialized XQueryviews. The XQuery dialect we use to express views and queries corresponds to tree patterns(returning data from several nodes; at different granularities; ranging from node identifiers tofull XML subtrees) with value joins. We provide correct and complete algorithms for findingminimal rewritings; in which no view is redundant. Our work extends the state of the art byconsidering more flexible views than the mostly XPath 1.0 dialects previously considered;and more powerful rewritings. We implemented our algorithms and assess theirperformance through a set of experiments.,Data Engineering (ICDE); 2011 IEEE 27th International Conference on,2011,34
Efficient queue management for cluster scheduling,Jeff Rasley; Konstantinos Karanasos; Srikanth Kandula; Rodrigo Fonseca; Milan Vojnovic; Sriram Rao,Abstract Job scheduling in Big Data clusters is crucial both for cluster operators' return oninvestment and for overall user experience. In this context; we observe several anomalies inhow modern cluster schedulers manage queues; and argue that maintaining queues oftasks at worker nodes has significant benefits. On one hand; centralized approaches do notuse worker-side queues. Given the inherent feedback delays that these systems incur; theyachieve suboptimal cluster utilization; particularly for workloads dominated by short tasks.On the other hand; distributed schedulers typically do employ worker-side queuing; andachieve higher cluster utilization. However; they fail to place tasks at the best possiblemachine; since they lack cluster-wide information; leading to worse job completion time;especially for heterogeneous workloads. To the best of our knowledge; this is the first …,Proceedings of the Eleventh European Conference on Computer Systems,2016,27
Growing triples on trees: an XML-RDF hybrid model for annotated documents,François Goasdoué; Konstantinos Karanasos; Yannis Katsis; Julien Leblay; Ioana Manolescu; Stamatis Zampetakis,Abstract Since the beginning of the Semantic Web initiative; significant efforts have beeninvested in finding efficient ways to publish; store; and query metadata on the Web. RDF andSPARQL have become the standard data model and query language; respectively; todescribe resources on the Web. Large amounts of RDF data are now available either asstand-alone datasets or as metadata over semi-structured (typically XML) documents. Theability to apply RDF annotations over XML data emphasizes the need to represent andquery data and metadata simultaneously. We propose XR; a novel hybrid data modelcapturing the structural aspects of XML data and the semantics of RDF; also enabling us toreason about XML data. Our model is general enough to describe pure XML or RDFdatasets; as well as RDF-annotated XML data; where any XML node can act as a …,The VLDB Journal,2013,20
Repeatability & workability evaluation of SIGMOD 2009,Stefan Manegold; Ioana Manolescu; Loredana Afanasiev; Jianlin Feng; Gang Gou; Marios Hadjieleftheriou; Stavros Harizopoulos; Panos Kalnis; Konstantinos Karanasos; Dominique Laurent; Mihai Lupu; Nicola Onose; Christopher Ré; Virginie Sans; Pierre Senellart; Tianyi Wu; Dennis Shasha,Abstract SIGMOD 2008 was the first database conference that offered to test submitters'programs against their data to verify the repeatability of the experiments published [1]. Giventhe positive feedback concerning the SIGMOD 2008 repeatability initiative; SIGMOD 2009modified and expanded the initiative with a workability assessment.,ACM SIGMOD Record,2010,16
ViP2P: Efficient XML management in DHT networks,Konstantinos Karanasos; Asterios Katsifodimos; Ioana Manolescu; Spyros Zoupanos,Abstract We consider the problem of efficiently sharing large volumes of XML data based ondistributed hash table overlay networks. Over the last three years; we have built ViP2P(standing for Vi ews in P eer-to-P eer); a platform for the distributed; parallel dissemination ofXML data among peers. At the core of ViP2P stand distributed materialized XML views;defined as XML queries; filled in with data published anywhere in the network; and exploitedto efficiently answer queries issued by any network peer. ViP2P is one of the very few fullyimplemented P2P platforms for XML sharing; deployed on hundreds of peers in a WAN. Thispaper describes the system architecture and modules; and the engineering lessons learned.We show experimental results; showing that our choices; outperf related systems by ordersof magnitude in terms of data volumes; network size and data dissemination throughput.,International Conference on Web Engineering,2012,15
RDFViewS: a storage tuning wizard for RDF applications,François Goasdoué; Konstantinos Karanasos; Julien Leblay; Ioana Manolescu,Abstract In recent years; the significant growth of RDF data used in numerous applicationshas made its efficient and scalable manipulation an important issue. In this paper; wepresent RDFViewS; a system capable of choosing the most suitable views to materialize; inorder to minimize the query response time for a specific SPARQL query workload; whiletaking into account the view maintenance cost and storage space constraints. Our systememploys practical algorithms and heuristics to navigate through the search space ofpotential view configurations; and exploits the possibly available semantic information-expressed via an RDF Schema-to ensure the completeness of the query evaluation.,Proceedings of the 19th ACM international conference on Information and knowledge management,2010,15
Fact checking and analyzing the web,François Goasdoué; Konstantinos Karanasos; Yannis Katsis; Julien Leblay; Ioana Manolescu; Stamatis Zampetakis,Abstract Fact checking and data journalism are currently strong trends. The sheer amount ofdata at hand makes it difficult even for trained professionals to spot biased; outdated orsimply incorrect information. We propose to demonstrate FactMinder; a fact checking andanalysis assistance application. SIGMOD attendees will be able to analyze documents usingFactMinder and experience how background knowledge and open data repositories helpbuild insightful overviews of current topics.,Proceedings of the 2013 ACM SIGMOD International Conference on Management of Data,2013,14
