Using WordNet to turn a folksonomy into a hierarchy of concepts,David Laniado; Davide Eynard; Marco Colombetti,Abstract. As the volume of information in the read-write Web increases rapidly; folksonomiesare becoming a widely used tool to organize and categorize resources in a bottom up; flatand inclusive way. However; due to their very structure; they show some drawbacks; inparticular the lack of hierarchy bears some limitations in the possibilities of searching andbrowsing. In this paper we investigate a new approach; based on the idea of integrating anontology in the navigation interface of a folksonomy; and we describe an application thatfilters del. icio. us keywords through the WordNet hierarchy of concepts; to enrich thepossibilities of navigation.,Semantic Web Application and Perspectives-Fourth Italian Semantic Web Workshop,2007,88
Normative multi-agent systems,Giulia Andrighetto; Guido Governatori; Pablo Noriega; Leendert WN van der Torre,As research in Multi-Agent Systems (MAS) has been expanding its focus from from theindividual; cognitive focussed; agent models to models of socially situated agents; MASresearchers have been showing rising interest in social theories. Particular attention hasbeen given to normative concepts because it is expected that norms could play as key a rolein articulating agent interactions as the one norms play in human social intelligence. Thus;the label of “normative multi-agent system” has been attached to systems where individualand collective behaviour is affected by norms. This book is not a state of the art of normativemulti-agent systems; nor a systematic description of the key concepts; or a compendium ofthe most salient challenges. However; the reader will find in its chapters something of eachof these three contents because Normative Multi-Agent Systems is an effort to clarify the …,*,2013,80
A semantic tool to support navigation in a folksonomy,David Laniado; Davide Eynard; Marco Colombetti,Abstract We propose a new approach to integrate the navigation interface of a folksonomyadding explicit semantics provided by an ontology. We describe a tool that uses WordNet tobuild a semantic hierarchy of related tags that helps users find related resources in del. icio.us. In this way it is possible to combine the advantages of the traditional approach toclassification with the ones of the collaborative paradigm that is emerging on the Web;dealing with some of the main limitations to which folksonomies are prone.,Proceedings of the eighteenth conference on Hypertext and hypermedia,2007,29
Multimodal diffusion geometry by joint diagonalization of Laplacians,Davide Eynard; Klaus Glashoff; Michael M Bronstein; Alexander M Bronstein,Abstract: We construct an extension of diffusion geometry to multiple modalities through jointapproximate diagonalization of Laplacian matrices. This naturally extends classical dataanalysis tools based on spectral geometry; such as diffusion maps and spectral clustering.We provide several synthetic and real examples of manifold learning; retrieval; andclustering demonstrating that the joint diffusion geometry frequently better captures theinherent structure of multi-modal data. We also show that many previous attempts toconstruct multimodal spectral clustering can be seen as particular cases of joint approximatediagonalization of the Laplacians. Subjects: Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs. AI) Cite as: arXiv: 1209.2295 [cs. CV](or arXiv: 1209.2295 v2[cs. CV] for this version) Submission history From: Davide Eynard [view email][v1] Tue; 11 …,arXiv preprint arXiv:1209.2295,2012,28
An integrated approach to discover tag semantics,Antonina Dattolo; Davide Eynard; Luca Mazzola,Abstract Tag-based systems have become very common for online classification thanks totheir intrinsic advantages such as self-organization and rapid evolution. However; they arestill affected by some issues that limit their utility; mainly due to the inherent ambiguity in thesemantics of tags. Synonyms; homonyms; and polysemous words; while not harmful for thecasual user; strongly affect the quality of search results and the performances of tag-basedrecommendation systems. In this paper we rely on the concept of tag relatedness in order tostudy small groups of similar tags and detect relationships between them. This approach isgrounded on a model that builds upon an edge-colored multigraph of users; tags; andresources. To put our thoughts in practice; we present a modular and extensible frameworkof analysis for discovering synonyms; homonyms and hierarchical relationships amongst …,Proceedings of the 2011 ACM symposium on applied computing,2011,28
Improving search and navigation by combining ontologies and social tags,Silvia Bindelli; Claudio Criscione; Carlo A Curino; Mauro L Drago; Davide Eynard; Giorgio Orsi,Abstract The Semantic Web has the ambitious goal of enabling complex autonomousapplications to reason on a machine-processable version of the World Wide Web. This;however; would require a coordinated effort not easily achievable in practice. On the otherhand; spontaneous communities; based on social tagging; recently achieved noticeableconsensus and diffusion. The goal of the TagOnto system is to bridge between these tworealities by automatically mapping (social) tags to more structured domain ontologies; thus;providing assistive; navigational features typical of the Semantic Web. These novelsearching and navigational capabilities are complementary to more traditional searchengine functionalities. The system; and its intuitive AJAX interface; are released anddemonstrated on-line.,OTM Confederated International Conferences" On the Move to Meaningful Internet Systems",2008,25
Shape‐from‐Operator: Recovering Shapes from Intrinsic Operators,Davide Boscaini; Davide Eynard; Drosos Kourounis; Michael M Bronstein,Abstract We formulate the problem of shape-from-operator (SfO); recovering an embeddingof a mesh from intrinsic operators defined through the discrete metric (edge lengths).Particularly interesting instances of our SfO problem include: shape-from-Laplacian;allowing to transfer style between shapes; shape-from-difference operator; used tosynthesize shape analogies; and shape-from-eigenvectors; allowing to generate 'intrinsicaverages' of shape collections. Numerically; we approach the SfO problem by splitting it intotwo optimization sub-problems: metric-from-operator (reconstruction of the discrete metricfrom the intrinsic operator) and embedding-from-metric (finding a shape embedding thatwould realize a given metric; a setting of the multidimensional scaling problem). We studynumerical properties of our problem; exemplify it on several applications; and discuss its …,Computer Graphics Forum,2015,19
Multimodal manifold analysis by simultaneous diagonalization of Laplacians,Davide Eynard; Artiom Kovnatsky; Michael M Bronstein; Klaus Glashoff; Alexander M Bronstein,We construct an extension of spectral and diffusion geometry to multiple modalities throughsimultaneous diagonalization of Laplacian matrices. This naturally extends classical dataanalysis tools based on spectral geometry; such as diffusion maps and spectral clustering.We provide several synthetic and real examples of manifold learning; object classification;and clustering; showing that the joint spectral geometry better captures the inherent structureof multi-modal data. We also show the relation of many previous approaches for multimodalmanifold analysis to our framework.,IEEE transactions on pattern analysis and machine intelligence,2015,18
The Uses of Norms,Munindar P Singh; Matthew Arrott; Tina Balke; Amit K Chopra; Rob Christiaanse; Stephen Cranefield; Frank Dignum; Davide Eynard; Emilia Farcas; Nicoletta Fornara; Fabien Gandon; Guido Governatori; Hoa Khanh Dam; Joris Hulstijn; Ingolf Krueger; Ho-Pun Lam; Michael Meisinger; Pablo Noriega; Bastin Tony Roy Savarimuthu; Kartik Tadanki; Harko Verhagen; Serena Villata,Abstract This chapter presents a variety of applications of norms. These applications includegovernance in sociotechnical systems; data licensing and data collection; understandingsoftware development teams; requirements engineering; assurance; natural resourceallocation; wireless grids; autonomous vehicles; serious games; and virtual worlds.,*,2013,16
Harvesting online contents: An analysis of hotel reviews websites,Elena Marchiori; Davide Eynard; Alessandro Inversini; Lorenzo Cantoni; Francesco Cerretti,Abstract Hotel Reviews Web sites (HRWs) are the most used online sources to evaluateaccommodation alternatives. However; they often present an overwhelming amount ofunstructured or only semi-structured information which is not shared between all the systemsand which cannot be easily analyzed in an automatic way. This study aims to automaticallyanalyse hotel evaluations for a given number of Swiss hotels by comparing hotel reviews.Furthermore; the consistency of users' countries of origin in their evaluations has beenstudied. The results show that there is an overall agreement on considered HRWs and ageneral consistency among reviewers with different countries of origin.,ENTER,2011,15
