Temperature; growth rate; and body size in ectotherms: fitting pieces of a life-history puzzle,Michael J Angilletta Jr; Todd D Steury; Michael W Sears,Abstract The majority of ectotherms grow slower but mature at a larger body size in colderenvironments. This phenomenon has puzzled biologists because classic theories of life-history evolution predict smaller sizes at maturity in environments that retard growth. Duringthe last decade; intensive theoretical and empirical research has generated some plausibleexplanations based on nonadaptive or adaptive plasticity. Nonadaptive plasticity of bodysize is hypothesized to result from thermal constraints on cellular growth that cause smallercells at higher temperatures; but the generality of this theory is poorly supported. Adaptiveplasticity is hypothesized to result from greater benefits or lesser costs of delayed maturationin colder environments. These theories seem to apply well to some species but not others.Thus; no single theory has been able to explain the generality of temperature-size …,Integrative and comparative biology,2004,528
Riding the wave: reconciling the roles of disease and climate change in amphibian declines,Karen R Lips; Jay Diffendorfer; Joseph R Mendelson III; Michael W Sears,We review the evidence for the role of climate change in triggering disease outbreaks ofchytridiomycosis; an emerging infectious disease of amphibians. Both climatic anomaliesand disease-related extirpations are recent phenomena; and effects of both are especiallynoticeable at high elevations in tropical areas; making it difficult to determine whether theyare operating separately or synergistically. We compiled reports of amphibian declines fromLower Central America and Andean South America to create maps and statistical models totest our hypothesis of spatiotemporal spread of the pathogen Batrachochytriumdendrobatidis (Bd); and to update the elevational patterns of decline in frogs belonging tothe genus Atelopus. We evaluated claims of climate change influencing the spread of Bd byincluding error into estimates of the relationship between air temperature and last year …,PLoS biology,2008,452
Can mechanism inform species’ distribution models?,Lauren B Buckley; Mark C Urban; Michael J Angilletta; Lisa G Crozier; Leslie J Rissler; Michael W Sears,Abstract Two major approaches address the need to predict species distributions inresponse to environmental changes. Correlative models estimate parametersphenomenologically by relating current distributions to environmental conditions. Bycontrast; mechanistic models incorporate explicit relationships between environmentalconditions and organismal performance; estimated independently of current distributions.Mechanistic approaches include models that translate environmental conditions intobiologically relevant metrics (eg potential duration of activity); models that captureenvironmental sensitivities of survivorship and fecundity; and models that use energetics tolink environmental conditions and demography. We compared how two correlative and threemechanistic models predicted the ranges of two species: a skipper butterfly (Atalopedes …,Ecology letters,2010,334
The world is not flat: defining relevant thermal landscapes in the context of climate change,Michael W Sears; Evan Raskin; Michael J Angilletta Jr,Abstract Although climates are rapidly changing on a global scale; these changes cannoteasily be extrapolated to the local scales experienced by organisms. In fact; suchgeneralizations might be quite problematic. For instance; models used to predict shifts in theranges of species during climate change rarely incorporate data resolved to< 1 km2;although most organisms integrate climatic drivers at much smaller scales. Empirical studiesalone suggest that the operative temperatures of many organisms vary by as much as 10–20° C on a local scale; depending on vegetation; geology; and topography. Furthermore;this variation in abiotic factors ignores thermoregulatory behaviors that many animals use tobalance heat loads. Through a set of simulations; we demonstrate how variability inelevational topography can attenuate the effects of warming climates. These simulations …,Integrative and Comparative Biology,2011,119
Predicting the physiological performance of ectotherms in fluctuating thermal environments,Amanda C Niehaus; Michael J Angilletta; Michael W Sears; Craig E Franklin; Robbie S Wilson,SUMMARY Physiological ecologists have long sought to understand the plasticity oforganisms in environments that vary widely among years; seasons and even hours. This isnow even more important because human-induced climate change is predicted to affectboth the mean and variability of the thermal environment. Although environmental changeoccurs ubiquitously; relatively few researchers have studied the effects of fluctuatingenvironments on the performance of developing organisms. Even fewer have tried tovalidate a framework for predicting performance in fluctuating environments. Here; wedetermined whether reaction norms based on performance at constant temperatures (18; 22;26; 30 and 34° C) could be used to predict embryonic and larval performance of anurans atfluctuating temperatures (18–28° C and 18–34° C). Based on existing theory; we …,Journal of Experimental Biology,2012,116
Body size clines in Sceloporus lizards: proximate mechanisms and demographic constraints,Michael W Sears; Michael J Angilletta Jr,Abstract Although most species of animals examined to date exhibit Bergmann's clines inbody size; squamates tend to exhibit opposing patterns. Squamates might exhibit reversedBergmann's clines because they tend to behaviorally regulate their body temperatureeffectively; the outcome of this thermoregulation is that warmer environments enable longerdaily and annual durations of activity than cooler environments. Lizards of the genusSceloporus provide an opportunity to understand the factors that give rise to contrastingthermal clines in body size because S. undulatus exhibits a standard Bergmann's clinewhereas S. graciosus exhibits a reverse Bergmann's cline. Interestingly; rapid growth byindividuals of both species involves adjustments of physiological processes that enablemore efficient use of food. Patterns of adult body size are likely the evolutionary …,Integrative and Comparative Biology,2004,87
Urban physiology: city ants possess high heat tolerance,Michael J Angilletta Jr; Robbie S Wilson; Amanda C Niehaus; Michael W Sears; Carlos A Navas; Pedro L Ribeiro,Urbanization has caused regional increases in temperature that exceed those measured ona global scale; leading to urban heat islands as much as 12° C hotter than theirsurroundings. Optimality models predict ectotherms in urban areas should tolerate heatbetter and cold worse than ectotherms in rural areas. We tested these predications bymeasuring heat and cold tolerances of leaf-cutter ants from South America's largest city (SãoPaulo; Brazil). Specifically; we compared thermal tolerances of ants from inside and outsideof the city. Knock-down resistance and chill-coma recovery were used as indicators of heatand cold tolerances; respectively. Ants from within the city took 20% longer to lose mobility at42° C than ants from outside the city. Interestingly; greater heat tolerance came at noobvious expense of cold tolerance; hence; our observations only partially support current …,PLoS One,2007,79
The metabolic cost of reproduction in an oviparous lizard,MJ Angilletta; MW Sears,1. Studies of reproductive effort in ectotherms have focused primarily on the energetic investmentin gamete production; much less is known about the indirect energetic costs of reproduction;such as increased metabolic costs of maintenance or activity … 2. The metabolic cost of reproductionin the oviparous lizard; Sceloporus undulatus; was investigated by measuring the metabolicrate of females prior to and following oviposition … 3. The metabolic rates of gravid femaleswere adjusted for embryonic metabolism by subtracting the metabolic rate of egg clutches; measuredimmediately after oviposition … 4. The metabolic rate of females when gravid was elevatedby 122% compared with that when non-gravid. The difference was not detected until the metabolicrates of gravid females were adjusted for the metabolic rates of the embryos … 5. The incrementin metabolic rate associated with reproduction was not correlated with clutch mass or …,Functional Ecology,2000,78
Geographic variation in the life history of the sagebrush lizard: the role of thermal constraints on activity,Michael W Sears,Abstract Thermal constraints on the time available for activity have been proposed as aproximate mechanism to explain variation in suites of life history traits. The longer that anectotherm can maintain activity; the more time it has to forage and the greater chance that itwill encounter a predator and be eaten. Thus; the thermal environment may produce a tradeoff between growth and survival when variation in the environment favors increased activity.I used mark-recapture data from a demographic study of three natural populations of thesagebrush lizard (Sceloporus graciosus) and estimates of thermal opportunity for eachpopulation to evaluate whether variation in the thermal environment can explain patterns ofgrowth and survival that occur over an elevational gradient. Lizards from the highestelevation population exhibited higher individual growth rates than those of lizards from …,Oecologia,2005,73
Spatial dynamics of nesting behavior: lizards shift microhabitats to construct nests with beneficial thermal properties,Michael J Angilletta; Michael W Sears; Robert M Pringle,Abstract Because temperature affects the growth; development; and survival of embryos;oviparous mothers should discriminate carefully among available nesting sites. Wecombined a radiotelemetric study of animal movements with a spatial mapping ofenvironmental temperatures to test predictions about the nesting behavior of the easternfence lizard (Sceloporus undulatus). Females made large excursions from their typical homeranges to construct nests in exposed substrates. These excursions appeared to be relatedsolely to nesting because all females returned to forested habitat immediately afterward. Onaverage;< 1%(range= 0–8%; n= 19) of the area used by a female during nesting wascontained within the area used before and after nesting. The selection of nesting sitesmatched predictions based on laboratory studies of embryonic performance; specifically …,Ecology,2009,71
Widespread rapid reductions in body size of adult salamanders in response to climate change,Nicholas M Caruso; Michael W Sears; Dean C Adams; Karen R Lips,Abstract Reduction in body size is a major response to climate change; yet evidence inglobally imperiled amphibians is lacking. Shifts in average population body size couldindicate either plasticity in the growth response to changing climates through changes inallocation and energetics; or through selection for decreased size where energy is limiting.We compared historic and contemporary size measurements in 15 Plethodon species from102 populations (9450 individuals) and found that six species exhibited significantreductions in body size over 55 years. Biophysical models; accounting for actual changes inmoisture and air temperature over that period; showed a 7.1–7.9% increase in metabolicexpenditure at three latitudes but showed no change in annual duration of activity. Reducedsize was greatest at southern latitudes in regions experiencing the greatest drying and …,Global Change Biology,2014,69
